takt;q1;q2;q2p
0;424.000000;-18.000000;-3.174366
1;781.000000;-29.000000;-6.348731
2;1015.000000;-39.000000;-9.523097
3;1167.000000;-46.000000;-12.697462
4;1192.000000;-47.000000;-15.871827
5;1088.000000;-43.000000;-19.046194
6;945.000000;-38.000000;-22.220558
7;745.000000;-32.000000;-25.394922
8;488.000000;-21.000000;-28.569288
9;262.000000;-12.000000;-31.743654
10;100.000000;-7.000000;-34.918022
11;-19.000000;-2.000000;-38.092388
12;-72.000000;0.000000;-41.266758
13;-15.000000;-2.000000;-44.441124
14;94.000000;-6.000000;-47.615490
15;249.000000;-12.000000;-50.789856
16;469.000000;-20.000000;-53.964226
17;713.000000;-30.000000;-57.138592
18;966.000000;-40.000000;-60.312954
19;1220.000000;-50.000000;-63.487320
20;1477.000000;-60.000000;-66.661682
21;1696.000000;-69.000000;-69.836044
22;1880.000000;-76.000000;-73.010406
23;2038.000000;-83.000000;-76.184776
24;2159.000000;-87.000000;-79.359131
25;2232.000000;-90.000000;-82.533493
26;2278.000000;-92.000000;-85.707863
27;2296.000000;-93.000000;-88.882225
28;2280.000000;-93.000000;-92.056595
29;2255.000000;-93.000000;-95.230949
30;2236.000000;-92.000000;-98.405312
31;2210.000000;-91.000000;-101.579681
32;2194.000000;-91.000000;-104.754044
33;2200.000000;-90.000000;-107.928406
34;2211.000000;-91.000000;-111.102768
35;2240.000000;-92.000000;-114.277138
36;2297.000000;-94.000000;-117.451500
37;2372.000000;-98.000000;-120.625870
38;2461.000000;-101.000000;-123.800232
39;2576.000000;-106.000000;-126.974609
40;2709.000000;-111.000000;-130.148972
41;2861.000000;-117.000000;-133.323349
42;3023.000000;-124.000000;-136.497711
43;3196.000000;-131.000000;-139.672089
44;3364.000000;-138.000000;-142.846451
45;3519.000000;-144.000000;-146.020828
46;3661.000000;-150.000000;-149.195206
47;3782.000000;-155.000000;-152.369568
48;3883.000000;-159.000000;-155.543945
49;3952.000000;-161.000000;-158.718307
50;3998.000000;-163.000000;-161.892685
51;4023.000000;-164.000000;-165.067047
52;4026.000000;-165.000000;-168.241425
53;4026.000000;-165.000000;-171.415802
54;4026.000000;-165.000000;-174.590149
55;4024.000000;-165.000000;-177.764526
56;4038.000000;-165.000000;-180.938904
57;4071.000000;-167.000000;-184.113281
58;4119.000000;-169.000000;-187.287643
59;4196.000000;-172.000000;-190.462021
60;4295.000000;-176.000000;-193.636383
61;4406.000000;-181.000000;-196.810745
62;4532.000000;-185.000000;-199.985123
63;4670.000000;-191.000000;-203.159500
64;4804.000000;-196.000000;-206.333878
65;4938.000000;-202.000000;-209.508224
66;5061.000000;-206.000000;-212.682602
67;5165.000000;-210.000000;-215.856979
68;5257.000000;-214.000000;-219.031357
69;5326.000000;-217.000000;-222.205719
70;5380.000000;-219.000000;-225.380081
71;5423.000000;-221.000000;-228.554459
72;5463.000000;-223.000000;-231.728821
73;5493.000000;-224.000000;-234.903183
74;5529.000000;-226.000000;-238.077545
75;5577.000000;-227.000000;-241.251907
76;5627.000000;-230.000000;-244.426270
77;5696.000000;-233.000000;-247.600616
78;5773.000000;-235.000000;-250.774979
79;5856.000000;-239.000000;-253.949326
80;5951.000000;-243.000000;-257.123688
81;6052.000000;-247.000000;-260.298035
82;6150.000000;-251.000000;-263.472412
83;6252.000000;-255.000000;-266.646759
84;6350.000000;-259.000000;-269.821106
85;6442.000000;-263.000000;-272.995483
86;6531.000000;-267.000000;-276.169830
87;6615.000000;-270.000000;-279.344177
88;6695.000000;-274.000000;-282.518524
89;6774.000000;-277.000000;-285.692902
90;6846.000000;-280.000000;-288.867249
91;6917.000000;-283.000000;-292.041595
92;6992.000000;-286.000000;-295.215973
93;7063.000000;-289.000000;-298.390320
94;7131.000000;-292.000000;-301.564667
95;7204.000000;-295.000000;-304.739044
96;7273.000000;-297.000000;-307.913391
97;7341.000000;-300.000000;-311.087738
98;7414.000000;-303.000000;-314.262115
99;7488.000000;-307.000000;-317.436462
100;7563.000000;-310.000000;-320.610809
101;7641.000000;-313.000000;-323.785156
102;7718.000000;-316.000000;-326.959534
103;7799.000000;-319.000000;-330.133911
104;7886.000000;-323.000000;-333.308258
105;7975.000000;-327.000000;-336.482605
106;8064.000000;-330.000000;-339.656982
107;8157.000000;-334.000000;-342.831329
108;8248.000000;-337.000000;-346.005676
109;8338.000000;-341.000000;-349.180054
110;8429.000000;-345.000000;-352.354401
111;8518.000000;-348.000000;-355.528748
112;8602.000000;-352.000000;-358.703094
113;8683.000000;-355.000000;-361.877472
114;8756.000000;-358.000000;-365.051819
115;8822.000000;-361.000000;-368.226166
116;8893.000000;-363.000000;-371.400543
117;8961.000000;-366.000000;-374.574890
118;9028.000000;-369.000000;-377.749237
119;9101.000000;-372.000000;-380.923615
120;9177.000000;-375.000000;-384.097961
121;9253.000000;-378.000000;-387.272308
122;9332.000000;-381.000000;-390.446655
123;9414.000000;-385.000000;-393.621033
124;9495.000000;-388.000000;-396.795380
125;9577.000000;-391.000000;-399.969727
126;9658.000000;-395.000000;-403.144104
127;9736.000000;-398.000000;-406.318451
128;9813.000000;-401.000000;-409.492798
129;9890.000000;-404.000000;-412.667175
130;9962.000000;-407.000000;-415.841522
131;10026.000000;-409.000000;-419.015869
132;10096.000000;-412.000000;-422.190247
133;10168.000000;-415.000000;-425.364594
134;10235.000000;-418.000000;-428.538940
135;10308.000000;-421.000000;-431.713287
136;10383.000000;-424.000000;-434.887665
137;10456.000000;-427.000000;-438.062012
138;10530.000000;-430.000000;-441.236359
139;10607.000000;-433.000000;-444.410736
140;10685.000000;-436.000000;-447.585083
141;10762.000000;-439.000000;-450.759430
142;10834.000000;-442.000000;-453.933807
143;10913.000000;-446.000000;-457.108154
144;10989.000000;-449.000000;-460.282501
145;11064.000000;-452.000000;-463.456909
146;11140.000000;-455.000000;-466.631256
147;11213.000000;-458.000000;-469.805664
148;11288.000000;-461.000000;-472.980042
149;11366.000000;-464.000000;-476.154449
150;11442.000000;-467.000000;-479.328796
151;11514.000000;-470.000000;-482.503204
152;11591.000000;-473.000000;-485.677582
153;11668.000000;-477.000000;-488.851959
154;11740.000000;-480.000000;-492.026337
155;11814.000000;-483.000000;-495.200745
156;11893.000000;-486.000000;-498.375122
157;11971.000000;-489.000000;-501.549500
158;12053.000000;-493.000000;-504.723877
159;12138.000000;-496.000000;-507.898285
160;12219.000000;-500.000000;-511.072632
161;12308.000000;-503.000000;-514.247009
162;12396.000000;-507.000000;-517.421448
163;12480.000000;-511.000000;-520.595825
164;12563.000000;-514.000000;-523.770203
165;12636.000000;-517.000000;-526.944580
166;12708.000000;-520.000000;-530.118958
167;12780.000000;-523.000000;-533.293335
168;12849.000000;-526.000000;-536.467712
169;12919.000000;-529.000000;-539.642090
