takt;q1;q2;q2p
0;393.000000;-16.000000;-3.174366
1;715.000000;-26.000000;-6.348731
2;917.000000;-35.000000;-9.523097
3;1018.000000;-39.000000;-12.697462
4;990.000000;-39.000000;-15.871827
5;837.000000;-33.000000;-19.046194
6;649.000000;-26.000000;-22.220558
7;428.000000;-18.000000;-25.394922
8;184.000000;-9.000000;-28.569288
9;2.000000;-1.000000;-31.743654
10;-79.000000;1.000000;-34.918022
11;-79.000000;1.000000;-38.092388
12;16.000000;-2.000000;-41.266758
13;211.000000;-10.000000;-44.441124
14;454.000000;-20.000000;-47.615490
15;731.000000;-30.000000;-50.789856
16;1039.000000;-43.000000;-53.964226
17;1342.000000;-54.000000;-57.138592
18;1609.000000;-65.000000;-60.312954
19;1828.000000;-73.000000;-63.487320
20;1995.000000;-80.000000;-66.661682
21;2086.000000;-84.000000;-69.836044
22;2116.000000;-85.000000;-73.010406
23;2100.000000;-85.000000;-76.184776
24;2039.000000;-84.000000;-79.359131
25;1957.000000;-81.000000;-82.533493
26;1877.000000;-78.000000;-85.707863
27;1807.000000;-75.000000;-88.882225
28;1758.000000;-74.000000;-92.056595
29;1753.000000;-73.000000;-95.230949
30;1802.000000;-75.000000;-98.405312
31;1889.000000;-78.000000;-101.579681
32;2013.000000;-83.000000;-104.754044
33;2169.000000;-89.000000;-107.928406
34;2346.000000;-96.000000;-111.102768
35;2535.000000;-104.000000;-114.277138
36;2731.000000;-111.000000;-117.451500
37;2922.000000;-119.000000;-120.625870
38;3089.000000;-126.000000;-123.800232
39;3230.000000;-131.000000;-126.974609
40;3344.000000;-136.000000;-130.148972
41;3430.000000;-140.000000;-133.323349
42;3475.000000;-141.000000;-136.497711
43;3503.000000;-143.000000;-139.672089
44;3509.000000;-143.000000;-142.846451
45;3501.000000;-143.000000;-146.020828
46;3498.000000;-143.000000;-149.195206
47;3499.000000;-143.000000;-152.369568
48;3505.000000;-144.000000;-155.543945
49;3517.000000;-144.000000;-158.718307
50;3547.000000;-146.000000;-161.892685
51;3595.000000;-148.000000;-165.067047
52;3658.000000;-151.000000;-168.241425
53;3751.000000;-154.000000;-171.415802
54;3861.000000;-159.000000;-174.590149
55;3995.000000;-164.000000;-177.764526
56;4147.000000;-170.000000;-180.938904
57;4312.000000;-177.000000;-184.113281
58;4473.000000;-183.000000;-187.287643
59;4630.000000;-190.000000;-190.462021
60;4765.000000;-195.000000;-193.636383
61;4877.000000;-200.000000;-196.810745
62;4958.000000;-203.000000;-199.985123
63;5009.000000;-205.000000;-203.159500
64;5033.000000;-206.000000;-206.333878
65;5037.000000;-207.000000;-209.508224
66;5022.000000;-207.000000;-212.682602
67;5004.000000;-206.000000;-215.856979
68;5003.000000;-206.000000;-219.031357
69;5011.000000;-206.000000;-222.205719
70;5043.000000;-207.000000;-225.380081
71;5114.000000;-210.000000;-228.554459
72;5206.000000;-214.000000;-231.728821
73;5321.000000;-219.000000;-234.903183
74;5458.000000;-224.000000;-238.077545
75;5618.000000;-230.000000;-241.251907
76;5778.000000;-237.000000;-244.426270
77;5940.000000;-243.000000;-247.600616
78;6097.000000;-249.000000;-250.774979
79;6232.000000;-255.000000;-253.949326
80;6344.000000;-259.000000;-257.123688
81;6437.000000;-263.000000;-260.298035
82;6507.000000;-266.000000;-263.472412
83;6545.000000;-267.000000;-266.646759
84;6564.000000;-268.000000;-269.821106
85;6571.000000;-269.000000;-272.995483
86;6557.000000;-269.000000;-276.169830
87;6551.000000;-269.000000;-279.344177
88;6557.000000;-269.000000;-282.518524
89;6583.000000;-270.000000;-285.692902
90;6632.000000;-272.000000;-288.867249
91;6711.000000;-275.000000;-292.041595
92;6813.000000;-279.000000;-295.215973
93;6935.000000;-284.000000;-298.390320
94;7084.000000;-289.000000;-301.564667
95;7238.000000;-296.000000;-304.739044
96;7394.000000;-302.000000;-307.913391
97;7544.000000;-308.000000;-311.087738
98;7683.000000;-314.000000;-314.262115
99;7801.000000;-318.000000;-317.436462
100;7895.000000;-322.000000;-320.610809
101;7967.000000;-325.000000;-323.785156
102;8023.000000;-328.000000;-326.959534
103;8059.000000;-329.000000;-330.133911
104;8083.000000;-330.000000;-333.308258
105;8102.000000;-331.000000;-336.482605
106;8122.000000;-332.000000;-339.656982
107;8140.000000;-333.000000;-342.831329
108;8167.000000;-334.000000;-346.005676
109;8214.000000;-336.000000;-349.180054
110;8273.000000;-339.000000;-352.354401
111;8349.000000;-342.000000;-355.528748
112;8443.000000;-346.000000;-358.703094
113;8551.000000;-350.000000;-361.877472
114;8667.000000;-355.000000;-365.051819
115;8795.000000;-360.000000;-368.226166
