takt;q1;q2;q2p
0;417.000000;-18.000000;-3.174366
1;784.000000;-30.000000;-6.348731
2;1065.000000;-41.000000;-9.523097
3;1284.000000;-51.000000;-12.697462
4;1412.000000;-56.000000;-15.871827
5;1443.000000;-57.000000;-19.046194
6;1442.000000;-58.000000;-22.220558
7;1384.000000;-57.000000;-25.394922
8;1265.000000;-52.000000;-28.569288
9;1148.000000;-47.000000;-31.743654
10;1041.000000;-43.000000;-34.918022
11;923.000000;-39.000000;-38.092388
12;813.000000;-34.000000;-41.266758
13;717.000000;-31.000000;-44.441124
14;629.000000;-27.000000;-47.615490
15;550.000000;-24.000000;-50.789856
16;503.000000;-22.000000;-53.964226
17;467.000000;-20.000000;-57.138592
18;446.000000;-20.000000;-60.312954
19;446.000000;-19.000000;-63.487320
20;474.000000;-20.000000;-66.661682
21;511.000000;-21.000000;-69.836044
22;562.000000;-23.000000;-73.010406
23;630.000000;-26.000000;-76.184776
24;699.000000;-29.000000;-79.359131
25;770.000000;-31.000000;-82.533493
26;846.000000;-35.000000;-85.707863
27;925.000000;-38.000000;-88.882225
28;996.000000;-40.000000;-92.056595
29;1057.000000;-43.000000;-95.230949
30;1118.000000;-45.000000;-98.405312
31;1167.000000;-47.000000;-101.579681
32;1211.000000;-49.000000;-104.754044
33;1257.000000;-51.000000;-107.928406
34;1298.000000;-53.000000;-111.102768
35;1335.000000;-55.000000;-114.277138
36;1384.000000;-56.000000;-117.451500
37;1429.000000;-58.000000;-120.625870
38;1478.000000;-60.000000;-123.800232
39;1531.000000;-63.000000;-126.974609
40;1592.000000;-65.000000;-130.148972
41;1649.000000;-67.000000;-133.323349
42;1712.000000;-70.000000;-136.497711
43;1782.000000;-73.000000;-139.672089
44;1851.000000;-76.000000;-142.846451
45;1918.000000;-78.000000;-146.020828
46;1991.000000;-81.000000;-149.195206
47;2063.000000;-84.000000;-152.369568
48;2135.000000;-87.000000;-155.543945
49;2210.000000;-90.000000;-158.718307
50;2284.000000;-94.000000;-161.892685
51;2355.000000;-97.000000;-165.067047
52;2425.000000;-100.000000;-168.241425
53;2501.000000;-102.000000;-171.415802
54;2573.000000;-106.000000;-174.590149
55;2643.000000;-108.000000;-177.764526
56;2722.000000;-112.000000;-180.938904
57;2803.000000;-115.000000;-184.113281
58;2881.000000;-118.000000;-187.287643
59;2968.000000;-122.000000;-190.462021
60;3056.000000;-125.000000;-193.636383
61;3140.000000;-129.000000;-196.810745
62;3237.000000;-133.000000;-199.985123
63;3328.000000;-136.000000;-203.159500
64;3419.000000;-140.000000;-206.333878
65;3514.000000;-144.000000;-209.508224
66;3605.000000;-148.000000;-212.682602
67;3688.000000;-151.000000;-215.856979
68;3775.000000;-155.000000;-219.031357
69;3860.000000;-158.000000;-222.205719
70;3943.000000;-162.000000;-225.380081
71;4033.000000;-165.000000;-228.554459
72;4120.000000;-169.000000;-231.728821
73;4208.000000;-172.000000;-234.903183
74;4302.000000;-176.000000;-238.077545
75;4395.000000;-180.000000;-241.251907
76;4487.000000;-183.000000;-244.426270
77;4584.000000;-187.000000;-247.600616
78;4679.000000;-191.000000;-250.774979
79;4770.000000;-195.000000;-253.949326
80;4858.000000;-199.000000;-257.123688
81;4943.000000;-202.000000;-260.298035
82;5026.000000;-206.000000;-263.472412
83;5106.000000;-209.000000;-266.646759
84;5184.000000;-212.000000;-269.821106
