takt;q1;q2;q2p
0;412.000000;-17.000000;-3.174366
1;775.000000;-30.000000;-6.348731
2;1053.000000;-41.000000;-9.523097
3;1275.000000;-51.000000;-12.697462
4;1396.000000;-56.000000;-15.871827
5;1422.000000;-57.000000;-19.046194
6;1413.000000;-57.000000;-22.220558
7;1343.000000;-56.000000;-25.394922
8;1203.000000;-50.000000;-28.569288
9;1067.000000;-44.000000;-31.743654
10;942.000000;-40.000000;-34.918022
11;804.000000;-34.000000;-38.092388
12;685.000000;-29.000000;-41.266758
13;590.000000;-26.000000;-44.441124
14;515.000000;-23.000000;-47.615490
15;453.000000;-20.000000;-50.789856
16;429.000000;-19.000000;-53.964226
17;432.000000;-19.000000;-57.138592
18;450.000000;-19.000000;-60.312954
19;486.000000;-20.000000;-63.487320
20;550.000000;-23.000000;-66.661682
21;622.000000;-26.000000;-69.836044
22;702.000000;-29.000000;-73.010406
23;807.000000;-33.000000;-76.184776
24;917.000000;-38.000000;-79.359131
25;1024.000000;-42.000000;-82.533493
26;1145.000000;-47.000000;-85.707863
27;1267.000000;-52.000000;-88.882225
28;1381.000000;-57.000000;-92.056595
29;1499.000000;-62.000000;-95.230949
30;1607.000000;-66.000000;-98.405312
31;1697.000000;-70.000000;-101.579681
32;1783.000000;-73.000000;-104.754044
33;1864.000000;-77.000000;-107.928406
34;1928.000000;-79.000000;-111.102768
35;1981.000000;-82.000000;-114.277138
36;2036.000000;-84.000000;-117.451500
37;2082.000000;-86.000000;-120.625870
38;2132.000000;-88.000000;-123.800232
39;2180.000000;-90.000000;-126.974609
40;2232.000000;-92.000000;-130.148972
41;2287.000000;-95.000000;-133.323349
42;2346.000000;-97.000000;-136.497711
43;2401.000000;-100.000000;-139.672089
44;2467.000000;-102.000000;-142.846451
45;2531.000000;-105.000000;-146.020828
46;2596.000000;-108.000000;-149.195206
47;2673.000000;-111.000000;-152.369568
48;2749.000000;-114.000000;-155.543945
49;2827.000000;-117.000000;-158.718307
50;2917.000000;-121.000000;-161.892685
51;3003.000000;-124.000000;-165.067047
52;3097.000000;-128.000000;-168.241425
53;3198.000000;-132.000000;-171.415802
54;3293.000000;-136.000000;-174.590149
55;3388.000000;-140.000000;-177.764526
56;3492.000000;-144.000000;-180.938904
57;3586.000000;-148.000000;-184.113281
58;3681.000000;-152.000000;-187.287643
59;3779.000000;-156.000000;-190.462021
60;3873.000000;-160.000000;-193.636383
61;3963.000000;-163.000000;-196.810745
62;4057.000000;-167.000000;-199.985123
63;4145.000000;-170.000000;-203.159500
64;4227.000000;-174.000000;-206.333878
65;4312.000000;-177.000000;-209.508224
66;4391.000000;-181.000000;-212.682602
67;4469.000000;-183.000000;-215.856979
68;4546.000000;-187.000000;-219.031357
69;4620.000000;-190.000000;-222.205719
70;4691.000000;-193.000000;-225.380081
71;4764.000000;-196.000000;-228.554459
72;4837.000000;-199.000000;-231.728821
73;4913.000000;-202.000000;-234.903183
74;4987.000000;-205.000000;-238.077545
75;5066.000000;-208.000000;-241.251907
76;5151.000000;-211.000000;-244.426270
77;5237.000000;-215.000000;-247.600616
78;5321.000000;-218.000000;-250.774979
79;5409.000000;-222.000000;-253.949326
80;5501.000000;-225.000000;-257.123688
81;5583.000000;-229.000000;-260.298035
82;5674.000000;-232.000000;-263.472412
83;5767.000000;-236.000000;-266.646759
84;5855.000000;-240.000000;-269.821106
85;5946.000000;-244.000000;-272.995483
86;6035.000000;-247.000000;-276.169830
87;6120.000000;-251.000000;-279.344177
88;6204.000000;-254.000000;-282.518524
89;6289.000000;-258.000000;-285.692902
90;6371.000000;-261.000000;-288.867249
91;6454.000000;-264.000000;-292.041595
92;6535.000000;-268.000000;-295.215973
93;6609.000000;-271.000000;-298.390320
94;6685.000000;-274.000000;-301.564667
95;6759.000000;-277.000000;-304.739044
96;6827.000000;-280.000000;-307.913391
97;6894.000000;-283.000000;-311.087738
98;6960.000000;-285.000000;-314.262115
99;7022.000000;-288.000000;-317.436462
100;7085.000000;-291.000000;-320.610809
101;7146.000000;-293.000000;-323.785156
102;7202.000000;-295.000000;-326.959534
103;7265.000000;-298.000000;-330.133911
104;7324.000000;-300.000000;-333.308258
105;7379.000000;-303.000000;-336.482605
106;7441.000000;-305.000000;-339.656982
107;7498.000000;-308.000000;-342.831329
108;7557.000000;-310.000000;-346.005676
109;7617.000000;-312.000000;-349.180054
110;7676.000000;-315.000000;-352.354401
111;7738.000000;-318.000000;-355.528748
112;7796.000000;-320.000000;-358.703094
113;7860.000000;-323.000000;-361.877472
114;7923.000000;-325.000000;-365.051819
115;7986.000000;-328.000000;-368.226166
116;8058.000000;-331.000000;-371.400543
117;8131.000000;-334.000000;-374.574890
118;8208.000000;-337.000000;-377.749237
119;8290.000000;-341.000000;-380.923615
120;8373.000000;-344.000000;-384.097961
121;8462.000000;-348.000000;-387.272308
122;8553.000000;-351.000000;-390.446655
123;8642.000000;-355.000000;-393.621033
124;8732.000000;-358.000000;-396.795380
125;8823.000000;-362.000000;-399.969727
126;8915.000000;-366.000000;-403.144104
127;9004.000000;-370.000000;-406.318451
128;9094.000000;-373.000000;-409.492798
129;9181.000000;-377.000000;-412.667175
130;9270.000000;-381.000000;-415.841522
131;9359.000000;-384.000000;-419.015869
132;9446.000000;-388.000000;-422.190247
133;9531.000000;-391.000000;-425.364594
134;9616.000000;-395.000000;-428.538940
135;9697.000000;-398.000000;-431.713287
136;9773.000000;-401.000000;-434.887665
137;9851.000000;-404.000000;-438.062012
138;9925.000000;-407.000000;-441.236359
139;9992.000000;-410.000000;-444.410736
140;10065.000000;-413.000000;-447.585083
141;10137.000000;-416.000000;-450.759430
142;10207.000000;-419.000000;-453.933807
143;10282.000000;-422.000000;-457.108154
144;10355.000000;-425.000000;-460.282501
145;10433.000000;-428.000000;-463.456909
146;10509.000000;-431.000000;-466.631256
147;10584.000000;-434.000000;-469.805664
148;10666.000000;-437.000000;-472.980042
149;10750.000000;-441.000000;-476.154449
150;10833.000000;-444.000000;-479.328796
151;10924.000000;-448.000000;-482.503204
152;11014.000000;-451.000000;-485.677582
153;11101.000000;-455.000000;-488.851959
154;11193.000000;-459.000000;-492.026337
155;11287.000000;-462.000000;-495.200745
156;11373.000000;-466.000000;-498.375122
157;11466.000000;-470.000000;-501.549500
158;11557.000000;-474.000000;-504.723877
159;11644.000000;-477.000000;-507.898285
160;11733.000000;-481.000000;-511.072632
161;11820.000000;-484.000000;-514.247009
162;11904.000000;-488.000000;-517.421448
