takt;q1;q2;q2p
0;393.000000;-16.000000;-3.174366
1;736.000000;-28.000000;-6.348731
2;1002.000000;-39.000000;-9.523097
3;1192.000000;-47.000000;-12.697462
4;1294.000000;-51.000000;-15.871827
5;1306.000000;-52.000000;-19.046194
6;1268.000000;-51.000000;-22.220558
7;1190.000000;-48.000000;-25.394922
8;1069.000000;-44.000000;-28.569288
9;941.000000;-39.000000;-31.743654
10;836.000000;-34.000000;-34.918022
11;731.000000;-30.000000;-38.092388
12;637.000000;-26.000000;-41.266758
13;572.000000;-24.000000;-44.441124
14;526.000000;-22.000000;-47.615490
15;495.000000;-21.000000;-50.789856
16;493.000000;-20.000000;-53.964226
17;511.000000;-20.000000;-57.138592
18;526.000000;-21.000000;-60.312954
19;562.000000;-22.000000;-63.487320
20;619.000000;-25.000000;-66.661682
21;681.000000;-28.000000;-69.836044
22;756.000000;-30.000000;-73.010406
23;851.000000;-34.000000;-76.184776
24;948.000000;-38.000000;-79.359131
25;1050.000000;-43.000000;-82.533493
26;1162.000000;-47.000000;-85.707863
27;1278.000000;-52.000000;-88.882225
28;1384.000000;-56.000000;-92.056595
29;1493.000000;-60.000000;-95.230949
30;1600.000000;-65.000000;-98.405312
31;1699.000000;-69.000000;-101.579681
32;1796.000000;-73.000000;-104.754044
33;1892.000000;-77.000000;-107.928406
34;1978.000000;-80.000000;-111.102768
35;2054.000000;-83.000000;-114.277138
36;2130.000000;-86.000000;-117.451500
37;2209.000000;-90.000000;-120.625870
38;2281.000000;-93.000000;-123.800232
39;2356.000000;-96.000000;-126.974609
40;2434.000000;-99.000000;-130.148972
41;2506.000000;-102.000000;-133.323349
42;2581.000000;-105.000000;-136.497711
43;2649.000000;-108.000000;-139.672089
44;2713.000000;-110.000000;-142.846451
45;2782.000000;-113.000000;-146.020828
46;2845.000000;-116.000000;-149.195206
47;2909.000000;-119.000000;-152.369568
48;2979.000000;-122.000000;-155.543945
49;3045.000000;-124.000000;-158.718307
50;3114.000000;-127.000000;-161.892685
51;3192.000000;-130.000000;-165.067047
52;3271.000000;-134.000000;-168.241425
53;3352.000000;-137.000000;-171.415802
54;3443.000000;-141.000000;-174.590149
55;3535.000000;-145.000000;-177.764526
56;3636.000000;-149.000000;-180.938904
57;3739.000000;-153.000000;-184.113281
58;3846.000000;-157.000000;-187.287643
59;3956.000000;-162.000000;-190.462021
60;4070.000000;-167.000000;-193.636383
61;4176.000000;-171.000000;-196.810745
62;4282.000000;-175.000000;-199.985123
63;4386.000000;-179.000000;-203.159500
64;4480.000000;-183.000000;-206.333878
65;4563.000000;-187.000000;-209.508224
66;4641.000000;-190.000000;-212.682602
67;4702.000000;-192.000000;-215.856979
68;4751.000000;-195.000000;-219.031357
69;4801.000000;-197.000000;-222.205719
70;4834.000000;-198.000000;-225.380081
71;4870.000000;-199.000000;-228.554459
72;4905.000000;-201.000000;-231.728821
73;4939.000000;-202.000000;-234.903183
74;4983.000000;-204.000000;-238.077545
75;5032.000000;-206.000000;-241.251907
76;5083.000000;-208.000000;-244.426270
77;5140.000000;-211.000000;-247.600616
78;5208.000000;-213.000000;-250.774979
79;5274.000000;-216.000000;-253.949326
80;5346.000000;-219.000000;-257.123688
81;5431.000000;-222.000000;-260.298035
82;5516.000000;-226.000000;-263.472412
83;5616.000000;-230.000000;-266.646759
84;5721.000000;-234.000000;-269.821106
85;5829.000000;-238.000000;-272.995483
86;5944.000000;-243.000000;-276.169830
87;6066.000000;-248.000000;-279.344177
88;6184.000000;-253.000000;-282.518524
89;6307.000000;-258.000000;-285.692902
90;6431.000000;-262.000000;-288.867249
91;6548.000000;-267.000000;-292.041595
92;6669.000000;-272.000000;-295.215973
93;6781.000000;-276.000000;-298.390320
94;6883.000000;-280.000000;-301.564667
95;6981.000000;-285.000000;-304.739044
96;7069.000000;-288.000000;-307.913391
97;7143.000000;-291.000000;-311.087738
98;7216.000000;-295.000000;-314.262115
99;7280.000000;-297.000000;-317.436462
100;7331.000000;-299.000000;-320.610809
101;7389.000000;-302.000000;-323.785156
102;7439.000000;-304.000000;-326.959534
103;7487.000000;-306.000000;-330.133911
104;7534.000000;-308.000000;-333.308258
105;7584.000000;-310.000000;-336.482605
106;7623.000000;-311.000000;-339.656982
107;7670.000000;-313.000000;-342.831329
108;7714.000000;-316.000000;-346.005676
109;7755.000000;-317.000000;-349.180054
110;7810.000000;-319.000000;-352.354401
111;7864.000000;-322.000000;-355.528748
112;7922.000000;-324.000000;-358.703094
113;7993.000000;-327.000000;-361.877472
114;8065.000000;-330.000000;-365.051819
115;8140.000000;-333.000000;-368.226166
116;8232.000000;-337.000000;-371.400543
117;8326.000000;-341.000000;-374.574890
118;8427.000000;-345.000000;-377.749237
119;8533.000000;-349.000000;-380.923615
120;8647.000000;-354.000000;-384.097961
121;8762.000000;-359.000000;-387.272308
122;8884.000000;-363.000000;-390.446655
123;9004.000000;-368.000000;-393.621033
124;9119.000000;-373.000000;-396.795380
125;9238.000000;-378.000000;-399.969727
126;9347.000000;-383.000000;-403.144104
127;9449.000000;-387.000000;-406.318451
128;9540.000000;-391.000000;-409.492798
129;9617.000000;-394.000000;-412.667175
130;9676.000000;-396.000000;-415.841522
131;9722.000000;-398.000000;-419.015869
132;9758.000000;-400.000000;-422.190247
133;9789.000000;-401.000000;-425.364594
134;9814.000000;-402.000000;-428.538940
135;9835.000000;-403.000000;-431.713287
136;9860.000000;-404.000000;-434.887665
137;9891.000000;-406.000000;-438.062012
138;9928.000000;-407.000000;-441.236359
139;9975.000000;-409.000000;-444.410736
140;10023.000000;-411.000000;-447.585083
141;10078.000000;-413.000000;-450.759430
142;10133.000000;-416.000000;-453.933807
143;10202.000000;-418.000000;-457.108154
144;10272.000000;-422.000000;-460.282501
145;10350.000000;-425.000000;-463.456909
146;10437.000000;-428.000000;-466.631256
147;10527.000000;-432.000000;-469.805664
148;10624.000000;-436.000000;-472.980042
149;10723.000000;-439.000000;-476.154449
150;10829.000000;-444.000000;-479.328796
151;10937.000000;-449.000000;-482.503204
152;11047.000000;-453.000000;-485.677582
153;11155.000000;-457.000000;-488.851959
154;11264.000000;-461.000000;-492.026337
155;11371.000000;-466.000000;-495.200745
156;11475.000000;-470.000000;-498.375122
157;11578.000000;-474.000000;-501.549500
158;11678.000000;-478.000000;-504.723877
159;11779.000000;-482.000000;-507.898285
160;11878.000000;-486.000000;-511.072632
161;11975.000000;-490.000000;-514.247009
162;12066.000000;-493.000000;-517.421448
163;12154.000000;-497.000000;-520.595825
164;12236.000000;-500.000000;-523.770203
165;12311.000000;-503.000000;-526.944580
166;12377.000000;-506.000000;-530.118958
167;12432.000000;-508.000000;-533.293335
168;12482.000000;-510.000000;-536.467712
169;12522.000000;-512.000000;-539.642090
170;12560.000000;-514.000000;-542.816528
171;12596.000000;-515.000000;-545.990845
172;12627.000000;-517.000000;-549.165283
173;12664.000000;-518.000000;-552.339661
174;12702.000000;-520.000000;-555.514038
175;12742.000000;-522.000000;-558.688416
176;12799.000000;-524.000000;-561.862793
177;12856.000000;-526.000000;-565.037170
178;12922.000000;-529.000000;-568.211548
179;13002.000000;-533.000000;-571.385925
180;13089.000000;-536.000000;-574.560364
181;13181.000000;-540.000000;-577.734680
182;13286.000000;-544.000000;-580.909119
183;13398.000000;-549.000000;-584.083496
184;13511.000000;-554.000000;-587.257874
185;13634.000000;-558.000000;-590.432251
186;13765.000000;-564.000000;-593.606628
187;13897.000000;-569.000000;-596.781006
188;14031.000000;-575.000000;-599.955444
189;14162.000000;-580.000000;-603.129761
190;14289.000000;-585.000000;-606.304199
191;14407.000000;-590.000000;-609.478577
192;14507.000000;-594.000000;-612.652954
193;14593.000000;-597.000000;-615.827332
194;14661.000000;-600.000000;-619.001709
195;14716.000000;-602.000000;-622.176086
196;14759.000000;-604.000000;-625.350464
197;14801.000000;-606.000000;-628.524841
198;14831.000000;-607.000000;-631.699280
199;14862.000000;-609.000000;-634.873596
200;14900.000000;-610.000000;-638.048035
201;14930.000000;-612.000000;-641.222412
