takt;q1;q2;q2p
0;408.000000;-16.000000;-3.174366
1;749.000000;-28.000000;-6.348731
2;1004.000000;-38.000000;-9.523097
3;1183.000000;-46.000000;-12.697462
4;1253.000000;-49.000000;-15.871827
5;1228.000000;-49.000000;-19.046194
6;1157.000000;-47.000000;-22.220558
7;1029.000000;-43.000000;-25.394922
8;843.000000;-35.000000;-28.569288
9;663.000000;-27.000000;-31.743654
10;516.000000;-22.000000;-34.918022
11;377.000000;-17.000000;-38.092388
12;261.000000;-12.000000;-41.266758
13;200.000000;-9.000000;-44.441124
14;173.000000;-9.000000;-47.615490
15;176.000000;-8.000000;-50.789856
16;233.000000;-10.000000;-53.964226
17;326.000000;-13.000000;-57.138592
18;436.000000;-18.000000;-60.312954
19;568.000000;-24.000000;-63.487320
20;729.000000;-30.000000;-66.661682
21;897.000000;-37.000000;-69.836044
22;1070.000000;-44.000000;-73.010406
23;1262.000000;-52.000000;-76.184776
24;1448.000000;-59.000000;-79.359131
25;1626.000000;-66.000000;-82.533493
26;1800.000000;-73.000000;-85.707863
27;1959.000000;-80.000000;-88.882225
28;2098.000000;-86.000000;-92.056595
29;2217.000000;-90.000000;-95.230949
30;2314.000000;-94.000000;-98.405312
31;2385.000000;-97.000000;-101.579681
32;2439.000000;-100.000000;-104.754044
33;2476.000000;-101.000000;-107.928406
34;2501.000000;-102.000000;-111.102768
35;2509.000000;-103.000000;-114.277138
36;2516.000000;-103.000000;-117.451500
37;2530.000000;-104.000000;-120.625870
38;2543.000000;-105.000000;-123.800232
39;2569.000000;-105.000000;-126.974609
40;2615.000000;-107.000000;-130.148972
41;2668.000000;-110.000000;-133.323349
42;2737.000000;-112.000000;-136.497711
43;2822.000000;-116.000000;-139.672089
44;2916.000000;-120.000000;-142.846451
45;3017.000000;-124.000000;-146.020828
46;3126.000000;-128.000000;-149.195206
47;3242.000000;-133.000000;-152.369568
48;3356.000000;-137.000000;-155.543945
49;3470.000000;-142.000000;-158.718307
50;3584.000000;-146.000000;-161.892685
51;3690.000000;-151.000000;-165.067047
52;3786.000000;-154.000000;-168.241425
53;3873.000000;-158.000000;-171.415802
54;3955.000000;-161.000000;-174.590149
55;4028.000000;-164.000000;-177.764526
56;4089.000000;-167.000000;-180.938904
57;4145.000000;-169.000000;-184.113281
58;4199.000000;-171.000000;-187.287643
59;4246.000000;-173.000000;-190.462021
60;4300.000000;-175.000000;-193.636383
61;4351.000000;-177.000000;-196.810745
62;4407.000000;-180.000000;-199.985123
63;4468.000000;-182.000000;-203.159500
64;4536.000000;-185.000000;-206.333878
65;4608.000000;-188.000000;-209.508224
66;4686.000000;-191.000000;-212.682602
67;4766.000000;-195.000000;-215.856979
68;4851.000000;-198.000000;-219.031357
69;4939.000000;-202.000000;-222.205719
70;5031.000000;-206.000000;-225.380081
