takt;q1;q2;q2p
0;395.000000;-16.000000;3.174366
1;749.000000;-28.000000;6.348731
2;1018.000000;-39.000000;9.523097
3;1226.000000;-48.000000;12.697462
4;1344.000000;-53.000000;15.871827
5;1372.000000;-54.000000;19.046194
6;1359.000000;-54.000000;22.220558
7;1282.000000;-52.000000;25.394922
8;1142.000000;-47.000000;28.569288
9;987.000000;-40.000000;31.743654
10;826.000000;-34.000000;34.918022
11;646.000000;-27.000000;38.092388
12;463.000000;-20.000000;41.266758
13;289.000000;-12.000000;44.441124
14;119.000000;-5.000000;47.615490
15;-48.000000;1.000000;50.789856
16;-191.000000;7.000000;53.964226
17;-323.000000;13.000000;57.138592
18;-443.000000;18.000000;60.312954
19;-556.000000;22.000000;63.487320
20;-646.000000;26.000000;66.661682
21;-725.000000;29.000000;69.836044
22;-792.000000;32.000000;73.010406
23;-844.000000;34.000000;76.184776
24;-882.000000;36.000000;79.359131
25;-921.000000;37.000000;82.533493
26;-945.000000;38.000000;85.707863
27;-957.000000;39.000000;88.882225
28;-980.000000;40.000000;92.056595
29;-1006.000000;41.000000;95.230949
30;-1028.000000;42.000000;98.405312
31;-1064.000000;43.000000;101.579681
32;-1108.000000;45.000000;104.754044
33;-1155.000000;47.000000;107.928406
34;-1210.000000;49.000000;111.102768
35;-1274.000000;52.000000;114.277138
36;-1348.000000;55.000000;117.451500
37;-1421.000000;58.000000;120.625870
38;-1497.000000;61.000000;123.800232
39;-1577.000000;64.000000;126.974609
40;-1657.000000;67.000000;130.148972
41;-1743.000000;71.000000;133.323349
42;-1829.000000;75.000000;136.497711
43;-1913.000000;78.000000;139.672089
44;-1996.000000;81.000000;142.846451
45;-2083.000000;85.000000;146.020828
46;-2168.000000;88.000000;149.195206
47;-2252.000000;92.000000;152.369568
48;-2338.000000;95.000000;155.543945
49;-2419.000000;99.000000;158.718307
50;-2492.000000;102.000000;161.892685
51;-2566.000000;105.000000;165.067047
52;-2637.000000;108.000000;168.241425
53;-2699.000000;110.000000;171.415802
54;-2766.000000;113.000000;174.590149
55;-2829.000000;115.000000;177.764526
56;-2886.000000;118.000000;180.938904
57;-2952.000000;120.000000;184.113281
58;-3016.000000;123.000000;187.287643
59;-3080.000000;126.000000;190.462021
60;-3152.000000;129.000000;193.636383
61;-3222.000000;132.000000;196.810745
62;-3291.000000;135.000000;199.985123
63;-3367.000000;138.000000;203.159500
64;-3444.000000;141.000000;206.333878
65;-3519.000000;144.000000;209.508224
66;-3599.000000;147.000000;212.682602
67;-3680.000000;151.000000;215.856979
68;-3764.000000;154.000000;219.031357
69;-3850.000000;157.000000;222.205719
70;-3938.000000;161.000000;225.380081
71;-4021.000000;165.000000;228.554459
72;-4105.000000;168.000000;231.728821
73;-4190.000000;172.000000;234.903183
74;-4272.000000;175.000000;238.077545
75;-4361.000000;179.000000;241.251907
76;-4447.000000;182.000000;244.426270
77;-4534.000000;186.000000;247.600616
78;-4621.000000;189.000000;250.774979
79;-4706.000000;193.000000;253.949326
80;-4792.000000;196.000000;257.123688
81;-4875.000000;200.000000;260.298035
82;-4958.000000;203.000000;263.472412
83;-5039.000000;206.000000;266.646759
84;-5118.000000;210.000000;269.821106
85;-5195.000000;213.000000;272.995483
86;-5271.000000;216.000000;276.169830
87;-5354.000000;219.000000;279.344177
88;-5434.000000;223.000000;282.518524
89;-5512.000000;226.000000;285.692902
90;-5594.000000;229.000000;288.867249
91;-5671.000000;233.000000;292.041595
92;-5751.000000;236.000000;295.215973
93;-5832.000000;239.000000;298.390320
94;-5911.000000;242.000000;301.564667
95;-5992.000000;246.000000;304.739044
96;-6074.000000;249.000000;307.913391
97;-6159.000000;252.000000;311.087738
98;-6243.000000;256.000000;314.262115
99;-6328.000000;259.000000;317.436462
100;-6409.000000;262.000000;320.610809
101;-6486.000000;266.000000;323.785156
102;-6566.000000;269.000000;326.959534
103;-6645.000000;272.000000;330.133911
104;-6722.000000;275.000000;333.308258
105;-6797.000000;278.000000;336.482605
106;-6868.000000;281.000000;339.656982
107;-6943.000000;284.000000;342.831329
108;-7010.000000;287.000000;346.005676
109;-7074.000000;290.000000;349.180054
110;-7146.000000;293.000000;352.354401
111;-7208.000000;295.000000;355.528748
112;-7269.000000;298.000000;358.703094
113;-7339.000000;301.000000;361.877472
114;-7399.000000;303.000000;365.051819
115;-7462.000000;306.000000;368.226166
116;-7530.000000;309.000000;371.400543
117;-7594.000000;311.000000;374.574890
118;-7658.000000;314.000000;377.749237
119;-7729.000000;317.000000;380.923615
120;-7798.000000;320.000000;384.097961
121;-7866.000000;323.000000;387.272308
122;-7940.000000;326.000000;390.446655
123;-8013.000000;329.000000;393.621033
124;-8085.000000;332.000000;396.795380
125;-8163.000000;335.000000;399.969727
126;-8245.000000;338.000000;403.144104
127;-8326.000000;341.000000;406.318451
128;-8403.000000;345.000000;409.492798
129;-8485.000000;348.000000;412.667175
130;-8570.000000;351.000000;415.841522
131;-8650.000000;355.000000;419.015869
132;-8735.000000;358.000000;422.190247
133;-8818.000000;362.000000;425.364594
134;-8897.000000;365.000000;428.538940
135;-8980.000000;368.000000;431.713287
136;-9062.000000;371.000000;434.887665
137;-9146.000000;375.000000;438.062012
138;-9230.000000;378.000000;441.236359
139;-9317.000000;382.000000;444.410736
140;-9402.000000;385.000000;447.585083
141;-9487.000000;389.000000;450.759430
142;-9572.000000;392.000000;453.933807
143;-9657.000000;396.000000;457.108154
144;-9743.000000;399.000000;460.282501
145;-9819.000000;402.000000;463.456909
146;-9890.000000;405.000000;466.631256
147;-9965.000000;408.000000;469.805664
148;-10032.000000;411.000000;472.980042
149;-10094.000000;414.000000;476.154449
150;-10162.000000;416.000000;479.328796
151;-10225.000000;419.000000;482.503204
152;-10287.000000;422.000000;485.677582
153;-10357.000000;424.000000;488.851959
154;-10422.000000;427.000000;492.026337
155;-10488.000000;430.000000;495.200745
156;-10561.000000;433.000000;498.375122
157;-10631.000000;436.000000;501.549500
158;-10700.000000;439.000000;504.723877
159;-10776.000000;442.000000;507.898285
160;-10851.000000;445.000000;511.072632
161;-10927.000000;448.000000;514.247009
162;-11006.000000;451.000000;517.421448
163;-11082.000000;454.000000;520.595825
164;-11164.000000;457.000000;523.770203
165;-11251.000000;461.000000;526.944580
166;-11335.000000;464.000000;530.118958
167;-11419.000000;468.000000;533.293335
168;-11507.000000;471.000000;536.467712
169;-11592.000000;475.000000;539.642090
170;-11676.000000;478.000000;542.816528
171;-11765.000000;482.000000;545.990845
172;-11849.000000;485.000000;549.165283
173;-11932.000000;489.000000;552.339661
174;-12014.000000;492.000000;555.514038
175;-12089.000000;495.000000;558.688416
176;-12164.000000;498.000000;561.862793
177;-12238.000000;501.000000;565.037170
178;-12302.000000;504.000000;568.211548
179;-12370.000000;507.000000;571.385925
180;-12440.000000;509.000000;574.560364
181;-12500.000000;512.000000;577.734680
182;-12568.000000;515.000000;580.909119
183;-12638.000000;518.000000;584.083496
184;-12699.000000;520.000000;587.257874
185;-12769.000000;523.000000;590.432251
186;-12842.000000;526.000000;593.606628
187;-12911.000000;529.000000;596.781006
188;-12989.000000;532.000000;599.955444
189;-13069.000000;535.000000;603.129761
190;-13150.000000;538.000000;606.304199
191;-13236.000000;542.000000;609.478577
192;-13326.000000;546.000000;612.652954
193;-13409.000000;549.000000;615.827332
194;-13493.000000;553.000000;619.001709
195;-13580.000000;556.000000;622.176086
196;-13660.000000;560.000000;625.350464
197;-13744.000000;563.000000;628.524841
198;-13825.000000;566.000000;631.699280
199;-13899.000000;569.000000;634.873596
200;-13980.000000;573.000000;638.048035
201;-14061.000000;576.000000;641.222412
202;-14142.000000;579.000000;644.396790
203;-14223.000000;582.000000;647.571167
204;-14299.000000;586.000000;650.745544
205;-14377.000000;589.000000;651.898621
206;-14458.000000;592.000000;651.898621
207;-14536.000000;595.000000;651.898621
208;-14611.000000;598.000000;651.898621
209;-14685.000000;601.000000;651.898621
210;-14753.000000;604.000000;651.898621
211;-14814.000000;606.000000;651.898621
212;-14871.000000;609.000000;651.898621
213;-14921.000000;611.000000;651.898621
214;-14962.000000;612.000000;651.898621
215;-15001.000000;614.000000;651.898621
216;-15034.000000;615.000000;651.898621
217;-15059.000000;616.000000;651.898621
218;-15084.000000;617.000000;651.898621
219;-15107.000000;619.000000;651.898621
220;-15128.000000;619.000000;651.898621
221;-15145.000000;620.000000;651.898621
222;-15161.000000;621.000000;651.898621
223;-15173.000000;621.000000;651.898621
224;-15188.000000;622.000000;651.898621
225;-15204.000000;622.000000;651.898621
226;-15220.000000;623.000000;651.898621
227;-15240.000000;624.000000;651.898621
228;-15255.000000;625.000000;651.898621
229;-15273.000000;625.000000;651.898621
230;-15293.000000;626.000000;651.898621
231;-15314.000000;627.000000;651.898621
232;-15338.000000;628.000000;651.898621
233;-15359.000000;629.000000;651.898621
234;-15380.000000;630.000000;651.898621
235;-15403.000000;631.000000;651.898621
236;-15427.000000;631.000000;651.898621
237;-15447.000000;632.000000;651.898621
238;-15464.000000;633.000000;651.898621
239;-15484.000000;634.000000;651.898621
240;-15502.000000;635.000000;651.898621
241;-15520.000000;635.000000;651.898621
242;-15536.000000;636.000000;651.898621
243;-15552.000000;637.000000;651.898621
244;-15564.000000;637.000000;651.898621
245;-15579.000000;638.000000;651.898621
246;-15596.000000;639.000000;651.898621
247;-15610.000000;639.000000;651.898621
248;-15628.000000;640.000000;651.898621
249;-15636.000000;640.000000;651.898621
250;-15644.000000;640.000000;651.898621
251;-15647.000000;641.000000;651.898621
252;-15649.000000;641.000000;651.898621
253;-15655.000000;641.000000;651.898621
254;-15656.000000;641.000000;651.898621
255;-15663.000000;641.000000;651.898621
256;-15670.000000;642.000000;651.898621
257;-15671.000000;642.000000;651.898621
258;-15677.000000;642.000000;651.898621
259;-15685.000000;642.000000;651.898621
260;-15694.000000;643.000000;651.898621
261;-15699.000000;643.000000;651.898621
262;-15712.000000;643.000000;651.898621
263;-15717.000000;644.000000;651.898621
264;-15722.000000;644.000000;651.898621
265;-15735.000000;644.000000;651.898621
266;-15744.000000;645.000000;651.898621
267;-15747.000000;645.000000;651.898621
268;-15755.000000;645.000000;651.898621
269;-15766.000000;645.000000;651.898621
270;-15766.000000;646.000000;651.898621
271;-15767.000000;646.000000;651.898621
272;-15774.000000;646.000000;651.898621
273;-15772.000000;646.000000;651.898621
274;-15768.000000;646.000000;651.898621
275;-15772.000000;646.000000;651.898621
276;-15771.000000;646.000000;651.898621
277;-15762.000000;646.000000;651.898621
278;-15763.000000;646.000000;651.898621
279;-15766.000000;646.000000;651.898621
280;-15759.000000;646.000000;651.898621
281;-15759.000000;646.000000;651.898621
282;-15762.000000;646.000000;651.898621
283;-15760.000000;646.000000;651.898621
284;-15759.000000;646.000000;651.898621
285;-15762.000000;646.000000;651.898621
286;-15761.000000;646.000000;651.898621
287;-15764.000000;646.000000;651.898621
288;-15765.000000;646.000000;651.898621
289;-15767.000000;646.000000;651.898621
290;-15769.000000;646.000000;651.898621
291;-15767.000000;646.000000;651.898621
292;-15768.000000;646.000000;651.898621
293;-15770.000000;646.000000;651.898621
294;-15769.000000;646.000000;651.898621
295;-15769.000000;646.000000;651.898621
296;-15772.000000;646.000000;651.898621
297;-15768.000000;646.000000;651.898621
298;-15766.000000;646.000000;651.898621
299;-15768.000000;646.000000;651.898621
300;-15763.000000;646.000000;651.898621
301;-15761.000000;646.000000;651.898621
302;-15763.000000;646.000000;651.898621
303;-15759.000000;646.000000;651.898621
304;-15758.000000;646.000000;651.898621
305;-15761.000000;646.000000;651.898621
306;-15760.000000;646.000000;651.898621
307;-15761.000000;646.000000;651.898621
308;-15766.000000;646.000000;651.898621
309;-15764.000000;646.000000;651.898621
310;-15764.000000;646.000000;651.898621
311;-15766.000000;646.000000;651.898621
312;-15763.000000;646.000000;651.898621
313;-15762.000000;646.000000;651.898621
314;-15763.000000;646.000000;651.898621
315;-15761.000000;646.000000;651.898621
316;-15760.000000;646.000000;651.898621
317;-15762.000000;646.000000;651.898621
318;-15758.000000;646.000000;651.898621
319;-15759.000000;646.000000;651.898621
320;-15760.000000;646.000000;651.898621
321;-15756.000000;646.000000;651.898621
322;-15754.000000;646.000000;651.898621
323;-15754.000000;646.000000;651.898621
324;-15749.000000;645.000000;651.898621
325;-15752.000000;645.000000;651.898621
326;-15755.000000;645.000000;651.898621
327;-15754.000000;645.000000;651.898621
328;-15757.000000;645.000000;651.898621
329;-15760.000000;645.000000;651.898621
330;-15758.000000;645.000000;651.898621
331;-15760.000000;645.000000;651.898621
332;-15761.000000;645.000000;651.898621
333;-15756.000000;645.000000;651.898621
334;-15754.000000;645.000000;651.898621
335;-15754.000000;645.000000;651.898621
336;-15750.000000;645.000000;651.898621
337;-15748.000000;645.000000;651.898621
338;-15748.000000;645.000000;651.898621
339;-15747.000000;645.000000;651.898621
340;-15746.000000;645.000000;651.898621
341;-15748.000000;645.000000;651.898621
342;-15748.000000;645.000000;651.898621
343;-15747.000000;645.000000;651.898621
344;-15745.000000;645.000000;651.898621
345;-15745.000000;645.000000;651.898621
346;-15743.000000;645.000000;651.898621
347;-15740.000000;645.000000;651.898621
348;-15739.000000;645.000000;651.898621
349;-15739.000000;645.000000;651.898621
350;-15737.000000;645.000000;651.898621
351;-15738.000000;645.000000;651.898621
352;-15738.000000;645.000000;651.898621
353;-15740.000000;645.000000;651.898621
354;-15740.000000;645.000000;651.898621
355;-15741.000000;645.000000;651.898621
356;-15742.000000;645.000000;651.898621
357;-15743.000000;645.000000;651.898621
358;-15742.000000;645.000000;651.898621
359;-15739.000000;645.000000;651.898621
360;-15737.000000;645.000000;651.898621
361;-15737.000000;645.000000;651.898621
362;-15734.000000;645.000000;651.898621
363;-15734.000000;645.000000;651.898621
364;-15736.000000;645.000000;651.898621
365;-15734.000000;645.000000;651.898621
366;-15734.000000;645.000000;651.898621
367;-15735.000000;645.000000;651.898621
368;-15733.000000;645.000000;651.898621
369;-15731.000000;645.000000;651.898621
370;-15730.000000;645.000000;651.898621
371;-15731.000000;645.000000;651.898621
372;-15732.000000;645.000000;651.898621
373;-15731.000000;645.000000;651.898621
374;-15733.000000;645.000000;651.898621
375;-15734.000000;645.000000;651.898621
376;-15734.000000;645.000000;651.898621
377;-15734.000000;645.000000;651.898621
378;-15734.000000;645.000000;651.898621
379;-15732.000000;645.000000;651.898621
380;-15729.000000;645.000000;651.898621
381;-15729.000000;645.000000;651.898621
382;-15727.000000;645.000000;651.898621
383;-15724.000000;645.000000;651.898621
384;-15723.000000;645.000000;651.898621
385;-15723.000000;644.000000;651.898621
386;-15731.000000;644.000000;651.898621
387;-15737.000000;644.000000;651.898621
388;-15744.000000;644.000000;651.898621
389;-15750.000000;645.000000;651.898621
390;-15753.000000;645.000000;651.898621
391;-15756.000000;645.000000;651.898621
392;-15758.000000;645.000000;651.898621
393;-15755.000000;645.000000;651.898621
394;-15751.000000;645.000000;651.898621
395;-15748.000000;645.000000;651.898621
396;-15743.000000;645.000000;651.898621
397;-15738.000000;645.000000;651.898621
398;-15736.000000;645.000000;651.898621
399;-15733.000000;645.000000;651.898621
400;-15730.000000;645.000000;651.898621
401;-15730.000000;645.000000;651.898621
402;-15729.000000;645.000000;651.898621
403;-15727.000000;645.000000;651.898621
404;-15728.000000;645.000000;651.898621
405;-15726.000000;645.000000;651.898621
406;-15727.000000;645.000000;651.898621
407;-15727.000000;645.000000;651.898621
408;-15724.000000;645.000000;651.898621
409;-15723.000000;645.000000;651.898621
410;-15722.000000;644.000000;651.898621
411;-15730.000000;644.000000;651.898621
412;-15737.000000;644.000000;651.898621
413;-15744.000000;644.000000;651.898621
414;-15750.000000;645.000000;651.898621
415;-15748.000000;645.000000;651.898621
416;-15748.000000;645.000000;651.898621
417;-15746.000000;645.000000;651.898621
418;-15743.000000;645.000000;651.898621
419;-15737.000000;645.000000;651.898621
420;-15731.000000;645.000000;651.898621
421;-15730.000000;645.000000;651.898621
422;-15727.000000;645.000000;651.898621
423;-15724.000000;645.000000;651.898621
424;-15723.000000;644.000000;651.898621
425;-15730.000000;644.000000;651.898621
426;-15733.000000;644.000000;651.898621
427;-15743.000000;644.000000;651.898621
428;-15748.000000;645.000000;651.898621
429;-15747.000000;645.000000;651.898621
430;-15748.000000;645.000000;651.898621
431;-15745.000000;645.000000;651.898621
432;-15741.000000;645.000000;651.898621
433;-15736.000000;645.000000;651.898621
434;-15732.000000;645.000000;651.898621
435;-15726.000000;645.000000;651.898621
436;-15724.000000;644.000000;651.898621
437;-15730.000000;644.000000;651.898621
438;-15733.000000;644.000000;651.898621
439;-15742.000000;644.000000;651.898621
440;-15749.000000;645.000000;651.898621
441;-15747.000000;645.000000;651.898621
442;-15749.000000;645.000000;651.898621
443;-15746.000000;645.000000;651.898621
444;-15739.000000;645.000000;651.898621
445;-15734.000000;645.000000;651.898621
446;-15728.000000;645.000000;651.898621
447;-15721.000000;645.000000;651.898621
448;-15719.000000;644.000000;651.898621
449;-15727.000000;644.000000;651.898621
450;-15730.000000;644.000000;651.898621
451;-15737.000000;644.000000;651.898621
452;-15746.000000;644.000000;651.898621
453;-15749.000000;645.000000;651.898621
454;-15751.000000;645.000000;651.898621
455;-15753.000000;645.000000;651.898621
456;-15752.000000;645.000000;651.898621
457;-15746.000000;645.000000;651.898621
458;-15744.000000;645.000000;651.898621
459;-15743.000000;645.000000;651.898621
460;-15737.000000;645.000000;651.898621
461;-15734.000000;645.000000;651.898621
462;-15733.000000;645.000000;651.898621
463;-15731.000000;645.000000;651.898621
464;-15730.000000;645.000000;651.898621
465;-15733.000000;645.000000;651.898621
466;-15732.000000;645.000000;651.898621
467;-15729.000000;645.000000;651.898621
468;-15731.000000;645.000000;651.898621
469;-15729.000000;645.000000;651.898621
470;-15727.000000;645.000000;651.898621
471;-15728.000000;645.000000;651.898621
472;-15727.000000;645.000000;651.898621
473;-15726.000000;645.000000;651.898621
474;-15727.000000;645.000000;651.898621
475;-15729.000000;645.000000;651.898621
476;-15729.000000;645.000000;651.898621
477;-15730.000000;645.000000;651.898621
478;-15731.000000;645.000000;651.898621
479;-15731.000000;645.000000;651.898621
480;-15733.000000;645.000000;651.898621
481;-15731.000000;645.000000;651.898621
482;-15729.000000;645.000000;651.898621
483;-15729.000000;645.000000;651.898621
484;-15726.000000;645.000000;651.898621
485;-15726.000000;645.000000;651.898621
486;-15724.000000;645.000000;651.898621
487;-15722.000000;644.000000;651.898621
488;-15732.000000;644.000000;651.898621
489;-15738.000000;644.000000;651.898621
490;-15743.000000;644.000000;651.898621
491;-15750.000000;645.000000;651.898621
492;-15749.000000;645.000000;651.898621
493;-15745.000000;645.000000;651.898621
494;-15745.000000;645.000000;651.898621
495;-15743.000000;645.000000;651.898621
496;-15733.000000;645.000000;651.898621
497;-15727.000000;645.000000;651.898621
498;-15725.000000;645.000000;651.898621
499;-15721.000000;644.000000;651.898621
500;-15728.000000;644.000000;651.898621
501;-15736.000000;644.000000;651.898621
502;-15743.000000;644.000000;651.898621
503;-15746.000000;645.000000;651.898621
504;-15751.000000;645.000000;651.898621
505;-15756.000000;645.000000;651.898621
506;-15755.000000;645.000000;651.898621
507;-15753.000000;645.000000;651.898621
508;-15752.000000;645.000000;651.898621
509;-15749.000000;645.000000;651.898621
510;-15747.000000;645.000000;651.898621
511;-15749.000000;645.000000;651.898621
512;-15747.000000;645.000000;651.898621
513;-15741.000000;645.000000;651.898621
514;-15740.000000;645.000000;651.898621
515;-15739.000000;645.000000;651.898621
516;-15736.000000;645.000000;651.898621
517;-15735.000000;645.000000;651.898621
518;-15735.000000;645.000000;651.898621
519;-15733.000000;645.000000;651.898621
520;-15733.000000;645.000000;651.898621
521;-15733.000000;645.000000;651.898621
522;-15731.000000;645.000000;651.898621
523;-15731.000000;645.000000;651.898621
524;-15731.000000;645.000000;651.898621
525;-15730.000000;645.000000;651.898621
526;-15729.000000;645.000000;651.898621
527;-15730.000000;645.000000;651.898621
528;-15731.000000;645.000000;651.898621
529;-15730.000000;645.000000;651.898621
530;-15729.000000;645.000000;651.898621
531;-15727.000000;645.000000;651.898621
532;-15727.000000;645.000000;651.898621
533;-15727.000000;644.000000;651.898621
534;-15733.000000;644.000000;651.898621
535;-15737.000000;644.000000;651.898621
536;-15742.000000;644.000000;651.898621
537;-15748.000000;645.000000;651.898621
538;-15747.000000;645.000000;651.898621
539;-15746.000000;645.000000;651.898621
540;-15748.000000;645.000000;651.898621
541;-15742.000000;645.000000;651.898621
542;-15735.000000;645.000000;651.898621
543;-15733.000000;645.000000;651.898621
544;-15729.000000;645.000000;651.898621
545;-15724.000000;645.000000;651.898621
546;-15732.000000;644.000000;651.898621
547;-15740.000000;644.000000;651.898621
548;-15741.000000;644.000000;651.898621
549;-15749.000000;645.000000;651.898621
550;-15752.000000;645.000000;651.898621
551;-15752.000000;645.000000;651.898621
552;-15750.000000;645.000000;651.898621
553;-15749.000000;645.000000;651.898621
554;-15745.000000;645.000000;651.898621
555;-15740.000000;645.000000;651.898621
556;-15737.000000;645.000000;651.898621
557;-15735.000000;645.000000;651.898621
558;-15735.000000;645.000000;651.898621
559;-15731.000000;645.000000;651.898621
560;-15731.000000;645.000000;651.898621
561;-15732.000000;645.000000;651.898621
562;-15729.000000;645.000000;651.898621
563;-15730.000000;645.000000;651.898621
564;-15731.000000;645.000000;651.898621
565;-15729.000000;645.000000;651.898621
566;-15727.000000;645.000000;651.898621
567;-15728.000000;645.000000;651.898621
568;-15728.000000;645.000000;651.898621
569;-15727.000000;645.000000;651.898621
570;-15728.000000;645.000000;651.898621
571;-15728.000000;645.000000;651.898621
572;-15727.000000;645.000000;651.898621
573;-15728.000000;645.000000;651.898621
574;-15728.000000;645.000000;651.898621
575;-15724.000000;645.000000;651.898621
576;-15724.000000;644.000000;651.898621
577;-15728.000000;644.000000;651.898621
578;-15730.000000;644.000000;651.898621
579;-15736.000000;644.000000;651.898621
580;-15745.000000;644.000000;651.898621
581;-15747.000000;645.000000;651.898621
582;-15745.000000;645.000000;651.898621
583;-15748.000000;645.000000;651.898621
584;-15746.000000;645.000000;651.898621
585;-15739.000000;645.000000;651.898621
586;-15738.000000;645.000000;651.898621
587;-15737.000000;645.000000;651.898621
588;-15731.000000;645.000000;651.898621
589;-15729.000000;645.000000;651.898621
590;-15730.000000;645.000000;651.898621
591;-15726.000000;645.000000;651.898621
592;-15723.000000;644.000000;651.898621
593;-15736.000000;644.000000;651.898621
594;-15743.000000;644.000000;651.898621
595;-15747.000000;645.000000;651.898621
596;-15751.000000;645.000000;651.898621
597;-15752.000000;645.000000;651.898621
598;-15751.000000;645.000000;651.898621
599;-15749.000000;645.000000;651.898621
600;-15750.000000;645.000000;651.898621
601;-15741.000000;645.000000;651.898621
602;-15736.000000;645.000000;651.898621
603;-15735.000000;645.000000;651.898621
604;-15735.000000;645.000000;651.898621
605;-15734.000000;645.000000;651.898621
606;-15734.000000;645.000000;651.898621
607;-15733.000000;645.000000;651.898621
608;-15731.000000;645.000000;651.898621
609;-15734.000000;645.000000;651.898621
610;-15735.000000;645.000000;651.898621
611;-15732.000000;645.000000;651.898621
612;-15730.000000;645.000000;651.898621
613;-15730.000000;645.000000;651.898621
614;-15728.000000;645.000000;651.898621
615;-15728.000000;645.000000;651.898621
616;-15729.000000;645.000000;651.898621
617;-15726.000000;645.000000;651.898621
618;-15724.000000;644.000000;651.898621
619;-15734.000000;644.000000;651.898621
620;-15739.000000;644.000000;651.898621
621;-15744.000000;644.000000;651.898621
622;-15749.000000;645.000000;651.898621
623;-15751.000000;645.000000;651.898621
624;-15750.000000;645.000000;651.898621
625;-15751.000000;645.000000;651.898621
626;-15749.000000;645.000000;651.898621
627;-15742.000000;645.000000;651.898621
628;-15736.000000;645.000000;651.898621
629;-15733.000000;645.000000;651.898621
630;-15731.000000;645.000000;651.898621
631;-15731.000000;645.000000;651.898621
632;-15731.000000;645.000000;651.898621
633;-15731.000000;645.000000;651.898621
634;-15732.000000;645.000000;651.898621
635;-15733.000000;645.000000;651.898621
636;-15731.000000;645.000000;651.898621
637;-15730.000000;645.000000;651.898621
