takt;q1;q2;q2p
0;397.000000;-16.000000;3.174366
1;742.000000;-28.000000;6.348731
2;997.000000;-39.000000;9.523097
3;1186.000000;-47.000000;12.697462
4;1270.000000;-50.000000;15.871827
5;1233.000000;-49.000000;19.046194
6;1142.000000;-46.000000;22.220558
7;977.000000;-40.000000;25.394922
8;723.000000;-30.000000;28.569288
9;450.000000;-18.000000;31.743654
10;185.000000;-8.000000;34.918022
11;-98.000000;3.000000;38.092388
12;-385.000000;15.000000;41.266758
13;-644.000000;25.000000;44.441124
14;-882.000000;35.000000;47.615490
15;-1101.000000;43.000000;50.789856
16;-1285.000000;51.000000;53.964226
17;-1430.000000;57.000000;57.138592
18;-1550.000000;62.000000;60.312954
19;-1646.000000;66.000000;63.487320
20;-1700.000000;68.000000;66.661682
21;-1733.000000;69.000000;69.836044
22;-1745.000000;70.000000;73.010406
23;-1733.000000;70.000000;76.184776
24;-1714.000000;70.000000;79.359131
25;-1698.000000;69.000000;82.533493
26;-1688.000000;69.000000;85.707863
27;-1680.000000;68.000000;88.882225
28;-1683.000000;68.000000;92.056595
29;-1697.000000;69.000000;95.230949
30;-1728.000000;70.000000;98.405312
31;-1772.000000;72.000000;101.579681
32;-1822.000000;74.000000;104.754044
33;-1886.000000;76.000000;107.928406
34;-1955.000000;79.000000;111.102768
35;-2030.000000;82.000000;114.277138
36;-2113.000000;86.000000;117.451500
37;-2198.000000;89.000000;120.625870
38;-2281.000000;93.000000;123.800232
39;-2368.000000;96.000000;126.974609
40;-2449.000000;99.000000;130.148972
41;-2529.000000;103.000000;133.323349
42;-2610.000000;106.000000;136.497711
43;-2691.000000;110.000000;139.672089
44;-2770.000000;113.000000;142.846451
45;-2852.000000;116.000000;146.020828
46;-2932.000000;119.000000;149.195206
47;-3014.000000;123.000000;152.369568
48;-3102.000000;127.000000;155.543945
49;-3194.000000;131.000000;158.718307
50;-3288.000000;134.000000;161.892685
51;-3385.000000;138.000000;165.067047
52;-3481.000000;142.000000;168.241425
53;-3580.000000;146.000000;171.415802
54;-3679.000000;150.000000;174.590149
55;-3777.000000;154.000000;177.764526
56;-3875.000000;158.000000;180.938904
57;-3970.000000;162.000000;184.113281
58;-4061.000000;166.000000;187.287643
59;-4149.000000;170.000000;190.462021
60;-4236.000000;173.000000;193.636383
61;-4315.000000;176.000000;196.810745
62;-4390.000000;179.000000;199.985123
63;-4469.000000;182.000000;203.159500
64;-4537.000000;186.000000;206.333878
65;-4607.000000;189.000000;209.508224
66;-4678.000000;191.000000;212.682602
67;-4744.000000;194.000000;215.856979
68;-4808.000000;197.000000;219.031357
69;-4876.000000;200.000000;222.205719
70;-4934.000000;202.000000;225.380081
71;-4994.000000;204.000000;228.554459
72;-5057.000000;207.000000;231.728821
73;-5114.000000;209.000000;234.903183
74;-5182.000000;212.000000;238.077545
75;-5252.000000;215.000000;241.251907
76;-5318.000000;218.000000;244.426270
77;-5397.000000;221.000000;247.600616
78;-5479.000000;224.000000;250.774979
79;-5555.000000;227.000000;253.949326
80;-5639.000000;231.000000;257.123688
81;-5725.000000;234.000000;260.298035
82;-5807.000000;238.000000;263.472412
83;-5894.000000;241.000000;266.646759
84;-5986.000000;245.000000;269.821106
85;-6073.000000;248.000000;272.995483
86;-6161.000000;252.000000;276.169830
87;-6251.000000;256.000000;279.344177
88;-6334.000000;259.000000;282.518524
89;-6419.000000;263.000000;285.692902
90;-6505.000000;266.000000;288.867249
91;-6586.000000;269.000000;292.041595
92;-6666.000000;272.000000;295.215973
93;-6748.000000;276.000000;298.390320
94;-6822.000000;279.000000;301.564667
95;-6893.000000;282.000000;304.739044
96;-6967.000000;285.000000;307.913391
97;-7031.000000;288.000000;311.087738
98;-7097.000000;290.000000;314.262115
99;-7167.000000;293.000000;317.436462
100;-7231.000000;296.000000;320.610809
101;-7295.000000;299.000000;323.785156
102;-7358.000000;301.000000;326.959534
103;-7416.000000;303.000000;330.133911
104;-7481.000000;306.000000;333.308258
105;-7542.000000;309.000000;336.482605
106;-7604.000000;311.000000;339.656982
107;-7673.000000;314.000000;342.831329
108;-7742.000000;317.000000;346.005676
109;-7816.000000;320.000000;349.180054
110;-7897.000000;323.000000;352.354401
111;-7985.000000;327.000000;355.528748
112;-8076.000000;331.000000;358.703094
113;-8169.000000;334.000000;361.877472
114;-8264.000000;338.000000;365.051819
115;-8360.000000;342.000000;368.226166
116;-8460.000000;346.000000;371.400543
117;-8558.000000;350.000000;374.574890
118;-8658.000000;354.000000;377.749237
119;-8757.000000;358.000000;380.923615
120;-8852.000000;362.000000;384.097961
121;-8942.000000;366.000000;387.272308
122;-9027.000000;369.000000;390.446655
123;-9109.000000;373.000000;393.621033
124;-9189.000000;376.000000;396.795380
125;-9265.000000;379.000000;399.969727
126;-9338.000000;382.000000;403.144104
127;-9410.000000;385.000000;406.318451
128;-9484.000000;388.000000;409.492798
129;-9560.000000;391.000000;412.667175
130;-9630.000000;394.000000;415.841522
131;-9699.000000;397.000000;419.015869
132;-9771.000000;400.000000;422.190247
133;-9837.000000;403.000000;425.364594
134;-9899.000000;405.000000;428.538940
135;-9966.000000;408.000000;431.713287
136;-10029.000000;411.000000;434.887665
137;-10095.000000;414.000000;438.062012
138;-10168.000000;417.000000;441.236359
139;-10241.000000;420.000000;444.410736
140;-10318.000000;423.000000;447.585083
