takt;q1;q2;q2p
0;395.000000;-16.000000;3.174366
1;729.000000;-27.000000;6.348731
2;971.000000;-38.000000;9.523097
3;1137.000000;-45.000000;12.697462
4;1191.000000;-47.000000;15.871827
5;1137.000000;-45.000000;19.046194
6;1029.000000;-42.000000;22.220558
7;848.000000;-35.000000;25.394922
8;597.000000;-24.000000;28.569288
9;328.000000;-13.000000;31.743654
10;69.000000;-3.000000;34.918022
11;-208.000000;8.000000;38.092388
12;-488.000000;19.000000;41.266758
13;-749.000000;30.000000;44.441124
14;-994.000000;39.000000;47.615490
15;-1227.000000;49.000000;50.789856
16;-1415.000000;56.000000;53.964226
17;-1567.000000;63.000000;57.138592
18;-1692.000000;68.000000;60.312954
19;-1781.000000;71.000000;63.487320
20;-1828.000000;73.000000;66.661682
21;-1849.000000;74.000000;69.836044
22;-1844.000000;75.000000;73.010406
23;-1806.000000;74.000000;76.184776
24;-1768.000000;72.000000;79.359131
25;-1726.000000;71.000000;82.533493
26;-1682.000000;69.000000;85.707863
27;-1650.000000;68.000000;88.882225
28;-1630.000000;67.000000;92.056595
29;-1629.000000;67.000000;95.230949
30;-1655.000000;67.000000;98.405312
31;-1700.000000;69.000000;101.579681
32;-1767.000000;72.000000;104.754044
33;-1850.000000;75.000000;107.928406
34;-1941.000000;79.000000;111.102768
35;-2045.000000;83.000000;114.277138
36;-2158.000000;88.000000;117.451500
37;-2272.000000;92.000000;120.625870
38;-2388.000000;97.000000;123.800232
39;-2507.000000;102.000000;126.974609
40;-2621.000000;107.000000;130.148972
41;-2731.000000;111.000000;133.323349
42;-2838.000000;115.000000;136.497711
43;-2931.000000;119.000000;139.672089
44;-3016.000000;123.000000;142.846451
45;-3097.000000;126.000000;146.020828
46;-3169.000000;129.000000;149.195206
47;-3241.000000;132.000000;152.369568
48;-3306.000000;135.000000;155.543945
49;-3366.000000;137.000000;158.718307
50;-3424.000000;139.000000;161.892685
51;-3483.000000;142.000000;165.067047
52;-3543.000000;144.000000;168.241425
53;-3604.000000;147.000000;171.415802
54;-3669.000000;149.000000;174.590149
55;-3733.000000;152.000000;177.764526
56;-3803.000000;155.000000;180.938904
57;-3876.000000;158.000000;184.113281
58;-3952.000000;161.000000;187.287643
59;-4032.000000;164.000000;190.462021
