takt;q1;q2;q2p
0;398.000000;-17.000000;3.174366
1;732.000000;-28.000000;6.348731
2;962.000000;-38.000000;9.523097
3;1088.000000;-43.000000;12.697462
4;1073.000000;-43.000000;15.871827
5;922.000000;-37.000000;19.046194
6;704.000000;-29.000000;22.220558
7;408.000000;-17.000000;25.394922
8;32.000000;-2.000000;28.569288
9;-346.000000;13.000000;31.743654
10;-703.000000;27.000000;34.918022
11;-1051.000000;41.000000;38.092388
12;-1342.000000;52.000000;41.266758
13;-1561.000000;61.000000;44.441124
14;-1708.000000;67.000000;47.615490
15;-1807.000000;71.000000;50.789856
16;-1833.000000;73.000000;53.964226
17;-1800.000000;72.000000;57.138592
18;-1754.000000;71.000000;60.312954
19;-1679.000000;68.000000;63.487320
20;-1583.000000;64.000000;66.661682
21;-1504.000000;61.000000;69.836044
22;-1439.000000;59.000000;73.010406
23;-1386.000000;57.000000;76.184776
24;-1372.000000;56.000000;79.359131
25;-1377.000000;56.000000;82.533493
26;-1396.000000;56.000000;85.707863
27;-1446.000000;58.000000;88.882225
28;-1516.000000;61.000000;92.056595
29;-1608.000000;65.000000;95.230949
30;-1723.000000;70.000000;98.405312
31;-1854.000000;75.000000;101.579681
32;-1994.000000;81.000000;104.754044
33;-2154.000000;87.000000;107.928406
34;-2319.000000;94.000000;111.102768
35;-2491.000000;101.000000;114.277138
36;-2666.000000;108.000000;117.451500
37;-2824.000000;114.000000;120.625870
38;-2972.000000;120.000000;123.800232
39;-3091.000000;125.000000;126.974609
40;-3185.000000;129.000000;130.148972
41;-3255.000000;131.000000;133.323349
42;-3299.000000;133.000000;136.497711
43;-3323.000000;134.000000;139.672089
44;-3337.000000;135.000000;142.846451
45;-3343.000000;136.000000;146.020828
46;-3341.000000;136.000000;149.195206
47;-3352.000000;136.000000;152.369568
48;-3378.000000;137.000000;155.543945
49;-3410.000000;139.000000;158.718307
50;-3465.000000;140.000000;161.892685
51;-3536.000000;143.000000;165.067047
52;-3623.000000;147.000000;168.241425
53;-3729.000000;152.000000;171.415802
54;-3849.000000;156.000000;174.590149
55;-3972.000000;162.000000;177.764526
56;-4094.000000;167.000000;180.938904
57;-4214.000000;171.000000;184.113281
58;-4323.000000;176.000000;187.287643
59;-4428.000000;180.000000;190.462021
60;-4517.000000;184.000000;193.636383
61;-4596.000000;187.000000;196.810745
62;-4673.000000;190.000000;199.985123
63;-4736.000000;193.000000;203.159500
64;-4796.000000;195.000000;206.333878
65;-4861.000000;198.000000;209.508224
66;-4919.000000;200.000000;212.682602
67;-4977.000000;203.000000;215.856979
68;-5038.000000;205.000000;219.031357
69;-5101.000000;208.000000;222.205719
70;-5175.000000;211.000000;225.380081
71;-5256.000000;214.000000;228.554459
72;-5337.000000;218.000000;231.728821
73;-5421.000000;221.000000;234.903183
74;-5509.000000;225.000000;238.077545
75;-5602.000000;229.000000;241.251907
76;-5692.000000;232.000000;244.426270
77;-5785.000000;236.000000;247.600616
78;-5872.000000;239.000000;250.774979
79;-5956.000000;243.000000;253.949326
80;-6038.000000;246.000000;257.123688
81;-6111.000000;249.000000;260.298035
82;-6185.000000;252.000000;263.472412
83;-6258.000000;255.000000;266.646759
84;-6319.000000;257.000000;269.821106
85;-6384.000000;260.000000;272.995483
86;-6454.000000;263.000000;276.169830
87;-6514.000000;266.000000;279.344177
88;-6582.000000;268.000000;282.518524
89;-6656.000000;271.000000;285.692902
90;-6723.000000;274.000000;288.867249
91;-6795.000000;277.000000;292.041595
92;-6875.000000;280.000000;295.215973
93;-6952.000000;284.000000;298.390320
94;-7024.000000;286.000000;301.564667
95;-7107.000000;290.000000;304.739044
96;-7193.000000;293.000000;307.913391
