takt;q1;q2;q2p
0;416.000000;-18.000000;3.174366
1;748.000000;-28.000000;6.348731
2;923.000000;-35.000000;9.523097
3;969.000000;-37.000000;12.697462
4;831.000000;-32.000000;15.871827
5;513.000000;-19.000000;19.046194
6;123.000000;-4.000000;22.220558
7;-333.000000;13.000000;25.394922
8;-849.000000;34.000000;28.569288
9;-1303.000000;52.000000;31.743654
10;-1634.000000;64.000000;34.918022
11;-1874.000000;74.000000;38.092388
12;-1980.000000;79.000000;41.266758
13;-1929.000000;77.000000;44.441124
14;-1797.000000;72.000000;47.615490
15;-1606.000000;65.000000;50.789856
16;-1356.000000;56.000000;53.964226
17;-1108.000000;46.000000;57.138592
18;-906.000000;39.000000;60.312954
19;-761.000000;33.000000;63.487320
20;-691.000000;30.000000;66.661682
21;-733.000000;31.000000;69.836044
22;-880.000000;37.000000;73.010406
23;-1094.000000;46.000000;76.184776
24;-1369.000000;56.000000;79.359131
25;-1670.000000;68.000000;82.533493
26;-1969.000000;80.000000;85.707863
27;-2240.000000;91.000000;88.882225
28;-2483.000000;101.000000;92.056595
29;-2677.000000;109.000000;95.230949
30;-2799.000000;114.000000;98.405312
31;-2864.000000;116.000000;101.579681
32;-2881.000000;117.000000;104.754044
33;-2845.000000;117.000000;107.928406
34;-2782.000000;114.000000;111.102768
35;-2724.000000;112.000000;114.277138
36;-2672.000000;110.000000;117.451500
37;-2624.000000;109.000000;120.625870
38;-2615.000000;108.000000;123.800232
39;-2632.000000;108.000000;126.974609
40;-2683.000000;110.000000;130.148972
41;-2766.000000;114.000000;133.323349
42;-2881.000000;118.000000;136.497711
43;-3006.000000;123.000000;139.672089
44;-3149.000000;129.000000;142.846451
45;-3301.000000;135.000000;146.020828
46;-3454.000000;142.000000;149.195206
47;-3609.000000;148.000000;152.369568
48;-3752.000000;153.000000;155.543945
49;-3882.000000;158.000000;158.718307
50;-3990.000000;163.000000;161.892685
51;-4070.000000;166.000000;165.067047
52;-4128.000000;168.000000;168.241425
53;-4178.000000;171.000000;171.415802
