takt;q1;q2;q2p
0;382.000000;-16.000000;3.174366
1;681.000000;-24.000000;6.348731
2;829.000000;-30.000000;9.523097
3;838.000000;-31.000000;12.697462
4;660.000000;-24.000000;15.871827
5;308.000000;-10.000000;19.046194
6;-129.000000;6.000000;22.220558
7;-627.000000;24.000000;25.394922
8;-1161.000000;45.000000;28.569288
9;-1601.000000;63.000000;31.743654
10;-1867.000000;72.000000;34.918022
11;-1982.000000;77.000000;38.092388
12;-1936.000000;77.000000;41.266758
13;-1714.000000;68.000000;44.441124
14;-1411.000000;57.000000;47.615490
15;-1105.000000;46.000000;50.789856
16;-814.000000;35.000000;53.964226
17;-599.000000;27.000000;57.138592
18;-527.000000;24.000000;60.312954
19;-582.000000;26.000000;63.487320
20;-740.000000;32.000000;66.661682
21;-1023.000000;43.000000;69.836044
22;-1392.000000;57.000000;73.010406
23;-1770.000000;72.000000;76.184776
24;-2120.000000;85.000000;79.359131
25;-2409.000000;96.000000;82.533493
26;-2594.000000;103.000000;85.707863
27;-2664.000000;106.000000;88.882225
28;-2665.000000;107.000000;92.056595
29;-2597.000000;105.000000;95.230949
30;-2476.000000;101.000000;98.405312
31;-2358.000000;97.000000;101.579681
32;-2274.000000;94.000000;104.754044
33;-2235.000000;93.000000;107.928406
34;-2241.000000;92.000000;111.102768
35;-2308.000000;95.000000;114.277138
36;-2422.000000;100.000000;117.451500
37;-2568.000000;105.000000;120.625870
38;-2748.000000;112.000000;123.800232
39;-2933.000000;119.000000;126.974609
40;-3093.000000;125.000000;130.148972
41;-3232.000000;131.000000;133.323349
42;-3342.000000;135.000000;136.497711
43;-3424.000000;139.000000;139.672089
44;-3485.000000;142.000000;142.846451
45;-3535.000000;144.000000;146.020828
46;-3569.000000;145.000000;149.195206
47;-3605.000000;147.000000;152.369568
48;-3650.000000;149.000000;155.543945
49;-3713.000000;151.000000;158.718307
50;-3791.000000;155.000000;161.892685
51;-3879.000000;158.000000;165.067047
52;-3982.000000;162.000000;168.241425
53;-4089.000000;167.000000;171.415802
54;-4186.000000;170.000000;174.590149
55;-4274.000000;174.000000;177.764526
56;-4359.000000;178.000000;180.938904
57;-4424.000000;180.000000;184.113281
58;-4477.000000;183.000000;187.287643
59;-4538.000000;185.000000;190.462021
60;-4588.000000;187.000000;193.636383
61;-4648.000000;190.000000;196.810745
62;-4724.000000;193.000000;199.985123
63;-4804.000000;196.000000;203.159500
64;-4895.000000;200.000000;206.333878
65;-5000.000000;204.000000;209.508224
66;-5105.000000;208.000000;212.682602
67;-5208.000000;212.000000;215.856979
68;-5309.000000;217.000000;219.031357
69;-5399.000000;220.000000;222.205719
70;-5479.000000;224.000000;225.380081
71;-5549.000000;226.000000;228.554459
72;-5598.000000;229.000000;231.728821
73;-5645.000000;231.000000;234.903183
74;-5681.000000;232.000000;238.077545
75;-5723.000000;234.000000;241.251907
76;-5775.000000;236.000000;244.426270
77;-5839.000000;239.000000;247.600616
78;-5912.000000;242.000000;250.774979
79;-6005.000000;245.000000;253.949326
80;-6109.000000;250.000000;257.123688
81;-6222.000000;254.000000;260.298035
82;-6345.000000;259.000000;263.472412
83;-6460.000000;264.000000;266.646759
84;-6567.000000;268.000000;269.821106
85;-6665.000000;272.000000;272.995483
86;-6748.000000;276.000000;276.169830
87;-6803.000000;278.000000;279.344177
88;-6849.000000;280.000000;282.518524
89;-6880.000000;282.000000;285.692902
90;-6901.000000;283.000000;288.867249
91;-6929.000000;284.000000;292.041595
92;-6965.000000;285.000000;295.215973
93;-7016.000000;288.000000;298.390320
94;-7087.000000;291.000000;301.564667
95;-7171.000000;294.000000;304.739044
96;-7271.000000;298.000000;307.913391
97;-7387.000000;303.000000;311.087738
98;-7509.000000;307.000000;314.262115
99;-7636.000000;312.000000;317.436462
100;-7762.000000;317.000000;320.610809
101;-7873.000000;322.000000;323.785156
102;-7970.000000;326.000000;326.959534
103;-8052.000000;329.000000;330.133911
104;-8111.000000;331.000000;333.308258
105;-8157.000000;333.000000;336.482605
106;-8199.000000;335.000000;339.656982
107;-8236.000000;337.000000;342.831329
108;-8275.000000;339.000000;346.005676
109;-8331.000000;341.000000;349.180054
110;-8395.000000;344.000000;352.354401
111;-8475.000000;347.000000;355.528748
112;-8571.000000;351.000000;358.703094
113;-8675.000000;355.000000;361.877472
114;-8787.000000;359.000000;365.051819
115;-8908.000000;364.000000;368.226166
116;-9029.000000;369.000000;371.400543
117;-9138.000000;373.000000;374.574890
118;-9234.000000;377.000000;377.749237
119;-9312.000000;380.000000;380.923615
120;-9370.000000;382.000000;384.097961
121;-9422.000000;385.000000;387.272308
122;-9464.000000;387.000000;390.446655
123;-9498.000000;388.000000;393.621033
124;-9541.000000;390.000000;396.795380
125;-9588.000000;392.000000;399.969727
126;-9647.000000;394.000000;403.144104
127;-9728.000000;398.000000;406.318451
128;-9825.000000;402.000000;409.492798
129;-9932.000000;406.000000;412.667175
130;-10048.000000;411.000000;415.841522
131;-10166.000000;416.000000;419.015869
132;-10279.000000;420.000000;422.190247
133;-10385.000000;424.000000;425.364594
134;-10478.000000;428.000000;428.538940
135;-10556.000000;431.000000;431.713287
136;-10615.000000;433.000000;434.887665
137;-10662.000000;436.000000;438.062012
138;-10705.000000;437.000000;441.236359
139;-10751.000000;440.000000;444.410736
140;-10797.000000;441.000000;447.585083
141;-10853.000000;444.000000;450.759430
142;-10919.000000;446.000000;453.933807
143;-10993.000000;449.000000;457.108154
144;-11083.000000;453.000000;460.282501
145;-11186.000000;457.000000;463.456909
146;-11290.000000;461.000000;466.631256
147;-11396.000000;466.000000;469.805664
148;-11497.000000;470.000000;472.980042
149;-11585.000000;473.000000;476.154449
150;-11665.000000;477.000000;479.328796
151;-11742.000000;480.000000;482.503204
152;-11794.000000;482.000000;485.677582
153;-11846.000000;484.000000;488.851959
154;-11894.000000;486.000000;492.026337
155;-11947.000000;488.000000;495.200745
156;-12001.000000;491.000000;498.375122
157;-12068.000000;493.000000;501.549500
158;-12143.000000;496.000000;504.723877
159;-12221.000000;499.000000;507.898285
160;-12310.000000;503.000000;511.072632
161;-12403.000000;507.000000;514.247009
162;-12502.000000;511.000000;517.421448
163;-12606.000000;515.000000;520.595825
164;-12704.000000;519.000000;523.770203
165;-12797.000000;523.000000;526.944580
166;-12876.000000;526.000000;530.118958
167;-12953.000000;529.000000;533.293335
168;-13024.000000;532.000000;536.467712
169;-13084.000000;535.000000;539.642090
170;-13148.000000;537.000000;542.816528
171;-13212.000000;540.000000;545.990845
172;-13278.000000;543.000000;549.165283
173;-13352.000000;546.000000;552.339661
174;-13437.000000;549.000000;555.514038
175;-13530.000000;553.000000;558.688416
176;-13619.000000;557.000000;561.862793
177;-13713.000000;560.000000;565.037170
178;-13812.000000;564.000000;568.211548
179;-13903.000000;568.000000;571.385925
180;-13992.000000;572.000000;574.560364
181;-14073.000000;575.000000;577.734680
182;-14143.000000;578.000000;580.909119
183;-14197.000000;580.000000;584.083496
184;-14255.000000;583.000000;587.257874
185;-14309.000000;585.000000;590.432251
186;-14362.000000;587.000000;593.606628
187;-14425.000000;590.000000;596.781006
188;-14491.000000;593.000000;599.955444
189;-14565.000000;596.000000;603.129761
190;-14651.000000;599.000000;606.304199
191;-14744.000000;603.000000;609.478577
192;-14839.000000;607.000000;612.652954
193;-14937.000000;611.000000;615.827332
194;-15034.000000;615.000000;619.001709
195;-15130.000000;619.000000;622.176086
196;-15219.000000;623.000000;625.350464
197;-15296.000000;626.000000;628.524841
198;-15369.000000;629.000000;631.699280
199;-15435.000000;632.000000;634.873596
200;-15483.000000;634.000000;638.048035
201;-15543.000000;636.000000;641.222412
202;-15606.000000;639.000000;644.396790
203;-15668.000000;642.000000;647.571167
204;-15744.000000;644.000000;650.745544
205;-15826.000000;648.000000;651.898621
206;-15900.000000;651.000000;651.898621
207;-15971.000000;654.000000;651.898621
208;-16030.000000;656.000000;651.898621
209;-16057.000000;657.000000;651.898621
210;-16060.000000;657.000000;651.898621
211;-16048.000000;657.000000;651.898621
212;-16013.000000;656.000000;651.898621
213;-15974.000000;655.000000;651.898621
214;-15941.000000;653.000000;651.898621
215;-15903.000000;652.000000;651.898621
216;-15881.000000;651.000000;651.898621
217;-15872.000000;650.000000;651.898621
218;-15872.000000;650.000000;651.898621
219;-15878.000000;650.000000;651.898621
220;-15884.000000;650.000000;651.898621
221;-15889.000000;650.000000;651.898621
222;-15894.000000;651.000000;651.898621
223;-15889.000000;651.000000;651.898621
224;-15885.000000;651.000000;651.898621
225;-15885.000000;651.000000;651.898621
226;-15880.000000;651.000000;651.898621
227;-15881.000000;651.000000;651.898621
228;-15884.000000;651.000000;651.898621
229;-15884.000000;651.000000;651.898621
230;-15885.000000;651.000000;651.898621
231;-15885.000000;651.000000;651.898621
232;-15883.000000;651.000000;651.898621
233;-15884.000000;651.000000;651.898621
234;-15885.000000;651.000000;651.898621
235;-15884.000000;651.000000;651.898621
236;-15885.000000;651.000000;651.898621
237;-15884.000000;651.000000;651.898621
238;-15881.000000;651.000000;651.898621
239;-15881.000000;651.000000;651.898621
240;-15880.000000;651.000000;651.898621
241;-15879.000000;651.000000;651.898621
242;-15879.000000;651.000000;651.898621
243;-15878.000000;651.000000;651.898621
244;-15878.000000;651.000000;651.898621
245;-15879.000000;651.000000;651.898621
246;-15877.000000;651.000000;651.898621
247;-15876.000000;651.000000;651.898621
248;-15877.000000;651.000000;651.898621
249;-15876.000000;651.000000;651.898621
250;-15876.000000;651.000000;651.898621
251;-15877.000000;651.000000;651.898621
252;-15875.000000;651.000000;651.898621
253;-15875.000000;651.000000;651.898621
254;-15876.000000;651.000000;651.898621
255;-15875.000000;650.000000;651.898621
256;-15878.000000;650.000000;651.898621
257;-15879.000000;650.000000;651.898621
258;-15878.000000;650.000000;651.898621
259;-15879.000000;650.000000;651.898621
260;-15879.000000;650.000000;651.898621
261;-15879.000000;650.000000;651.898621
262;-15880.000000;650.000000;651.898621
263;-15880.000000;650.000000;651.898621
264;-15882.000000;650.000000;651.898621
265;-15884.000000;650.000000;651.898621
266;-15886.000000;650.000000;651.898621
267;-15887.000000;650.000000;651.898621
268;-15886.000000;650.000000;651.898621
269;-15888.000000;650.000000;651.898621
270;-15888.000000;650.000000;651.898621
271;-15889.000000;650.000000;651.898621
272;-15889.000000;650.000000;651.898621
273;-15888.000000;650.000000;651.898621
274;-15891.000000;651.000000;651.898621
275;-15886.000000;651.000000;651.898621
276;-15886.000000;651.000000;651.898621
277;-15888.000000;651.000000;651.898621
278;-15885.000000;651.000000;651.898621
279;-15889.000000;651.000000;651.898621
280;-15889.000000;651.000000;651.898621
281;-15888.000000;651.000000;651.898621
282;-15890.000000;651.000000;651.898621
283;-15890.000000;651.000000;651.898621
284;-15890.000000;651.000000;651.898621
285;-15888.000000;651.000000;651.898621
286;-15888.000000;651.000000;651.898621
287;-15889.000000;651.000000;651.898621
288;-15889.000000;651.000000;651.898621
289;-15889.000000;651.000000;651.898621
290;-15886.000000;651.000000;651.898621
291;-15887.000000;651.000000;651.898621
292;-15886.000000;651.000000;651.898621
293;-15886.000000;651.000000;651.898621
294;-15888.000000;651.000000;651.898621
295;-15886.000000;651.000000;651.898621
296;-15887.000000;651.000000;651.898621
297;-15887.000000;651.000000;651.898621
298;-15884.000000;651.000000;651.898621
299;-15886.000000;651.000000;651.898621
300;-15885.000000;651.000000;651.898621
301;-15884.000000;651.000000;651.898621
302;-15885.000000;651.000000;651.898621
303;-15885.000000;651.000000;651.898621
304;-15885.000000;651.000000;651.898621
305;-15885.000000;651.000000;651.898621
306;-15885.000000;651.000000;651.898621
307;-15884.000000;651.000000;651.898621
308;-15883.000000;651.000000;651.898621
309;-15885.000000;651.000000;651.898621
310;-15883.000000;651.000000;651.898621
311;-15884.000000;651.000000;651.898621
312;-15885.000000;651.000000;651.898621
313;-15882.000000;651.000000;651.898621
314;-15883.000000;651.000000;651.898621
315;-15882.000000;651.000000;651.898621
316;-15880.000000;651.000000;651.898621
317;-15882.000000;651.000000;651.898621
318;-15880.000000;651.000000;651.898621
319;-15881.000000;651.000000;651.898621
320;-15881.000000;651.000000;651.898621
321;-15880.000000;651.000000;651.898621
322;-15878.000000;651.000000;651.898621
323;-15877.000000;651.000000;651.898621
324;-15877.000000;651.000000;651.898621
325;-15876.000000;651.000000;651.898621
326;-15878.000000;651.000000;651.898621
327;-15877.000000;651.000000;651.898621
328;-15875.000000;651.000000;651.898621
329;-15876.000000;651.000000;651.898621
330;-15875.000000;651.000000;651.898621
331;-15873.000000;650.000000;651.898621
332;-15881.000000;650.000000;651.898621
333;-15880.000000;650.000000;651.898621
334;-15880.000000;650.000000;651.898621
335;-15887.000000;650.000000;651.898621
336;-15883.000000;650.000000;651.898621
337;-15883.000000;650.000000;651.898621
338;-15887.000000;650.000000;651.898621
339;-15883.000000;650.000000;651.898621
340;-15884.000000;650.000000;651.898621
341;-15887.000000;650.000000;651.898621
342;-15887.000000;650.000000;651.898621
343;-15887.000000;650.000000;651.898621
344;-15890.000000;650.000000;651.898621
345;-15890.000000;650.000000;651.898621
346;-15890.000000;650.000000;651.898621
347;-15889.000000;651.000000;651.898621
348;-15889.000000;651.000000;651.898621
349;-15889.000000;651.000000;651.898621
350;-15890.000000;651.000000;651.898621
351;-15889.000000;651.000000;651.898621
352;-15888.000000;651.000000;651.898621
353;-15889.000000;651.000000;651.898621
354;-15888.000000;651.000000;651.898621
355;-15888.000000;651.000000;651.898621
356;-15889.000000;651.000000;651.898621
357;-15887.000000;651.000000;651.898621
358;-15888.000000;651.000000;651.898621
359;-15889.000000;651.000000;651.898621
360;-15888.000000;651.000000;651.898621
361;-15888.000000;651.000000;651.898621
362;-15887.000000;651.000000;651.898621
363;-15887.000000;651.000000;651.898621
364;-15888.000000;651.000000;651.898621
365;-15888.000000;651.000000;651.898621
366;-15887.000000;651.000000;651.898621
367;-15887.000000;651.000000;651.898621
368;-15887.000000;651.000000;651.898621
369;-15886.000000;651.000000;651.898621
370;-15886.000000;651.000000;651.898621
371;-15886.000000;651.000000;651.898621
372;-15886.000000;651.000000;651.898621
373;-15887.000000;651.000000;651.898621
374;-15885.000000;651.000000;651.898621
375;-15886.000000;651.000000;651.898621
376;-15886.000000;651.000000;651.898621
377;-15886.000000;651.000000;651.898621
378;-15886.000000;651.000000;651.898621
379;-15885.000000;651.000000;651.898621
380;-15885.000000;651.000000;651.898621
381;-15885.000000;651.000000;651.898621
382;-15884.000000;651.000000;651.898621
383;-15884.000000;651.000000;651.898621
384;-15883.000000;651.000000;651.898621
385;-15884.000000;651.000000;651.898621
386;-15883.000000;651.000000;651.898621
387;-15881.000000;651.000000;651.898621
388;-15882.000000;651.000000;651.898621
