takt;q1;q2;q2p
0;401.000000;-17.000000;3.174366
1;751.000000;-28.000000;6.348731
2;993.000000;-38.000000;9.523097
3;1165.000000;-46.000000;12.697462
4;1228.000000;-49.000000;15.871827
5;1180.000000;-47.000000;19.046194
6;1099.000000;-44.000000;22.220558
7;943.000000;-39.000000;25.394922
8;705.000000;-29.000000;28.569288
9;455.000000;-18.000000;31.743654
10;219.000000;-9.000000;34.918022
11;-41.000000;1.000000;38.092388
12;-296.000000;12.000000;41.266758
13;-531.000000;21.000000;44.441124
14;-763.000000;30.000000;47.615490
15;-981.000000;39.000000;50.789856
16;-1147.000000;46.000000;53.964226
17;-1283.000000;52.000000;57.138592
18;-1400.000000;56.000000;60.312954
19;-1477.000000;60.000000;63.487320
20;-1528.000000;61.000000;66.661682
21;-1563.000000;63.000000;69.836044
22;-1568.000000;64.000000;73.010406
23;-1551.000000;64.000000;76.184776
24;-1540.000000;64.000000;79.359131
25;-1531.000000;63.000000;82.533493
26;-1522.000000;63.000000;85.707863
27;-1519.000000;63.000000;88.882225
28;-1532.000000;63.000000;92.056595
29;-1554.000000;64.000000;95.230949
30;-1586.000000;65.000000;98.405312
31;-1641.000000;67.000000;101.579681
32;-1704.000000;70.000000;104.754044
33;-1771.000000;73.000000;107.928406
34;-1852.000000;76.000000;111.102768
35;-1948.000000;80.000000;114.277138
36;-2045.000000;84.000000;117.451500
37;-2146.000000;88.000000;120.625870
38;-2248.000000;92.000000;123.800232
39;-2350.000000;96.000000;126.974609
40;-2446.000000;100.000000;130.148972
41;-2543.000000;104.000000;133.323349
42;-2642.000000;108.000000;136.497711
43;-2735.000000;112.000000;139.672089
44;-2824.000000;116.000000;142.846451
45;-2916.000000;119.000000;146.020828
46;-3002.000000;123.000000;149.195206
47;-3080.000000;126.000000;152.369568
48;-3166.000000;129.000000;155.543945
49;-3248.000000;133.000000;158.718307
50;-3327.000000;136.000000;161.892685
51;-3411.000000;139.000000;165.067047
52;-3494.000000;143.000000;168.241425
53;-3579.000000;146.000000;171.415802
54;-3670.000000;150.000000;174.590149
55;-3764.000000;154.000000;177.764526
56;-3852.000000;158.000000;180.938904
57;-3944.000000;161.000000;184.113281
58;-4033.000000;165.000000;187.287643
59;-4117.000000;168.000000;190.462021
60;-4200.000000;171.000000;193.636383
61;-4281.000000;175.000000;196.810745
62;-4359.000000;178.000000;199.985123
63;-4438.000000;181.000000;203.159500
64;-4516.000000;184.000000;206.333878
65;-4590.000000;187.000000;209.508224
66;-4666.000000;191.000000;212.682602
67;-4741.000000;194.000000;215.856979
68;-4815.000000;197.000000;219.031357
69;-4887.000000;200.000000;222.205719
70;-4963.000000;203.000000;225.380081
71;-5037.000000;206.000000;228.554459
72;-5116.000000;209.000000;231.728821
73;-5189.000000;212.000000;234.903183
74;-5264.000000;215.000000;238.077545
75;-5344.000000;219.000000;241.251907
76;-5423.000000;222.000000;244.426270
77;-5497.000000;225.000000;247.600616
78;-5576.000000;228.000000;250.774979
79;-5655.000000;231.000000;253.949326
80;-5734.000000;234.000000;257.123688
81;-5819.000000;238.000000;260.298035
82;-5902.000000;241.000000;263.472412
83;-5984.000000;245.000000;266.646759
84;-6071.000000;248.000000;269.821106
85;-6156.000000;252.000000;272.995483
86;-6237.000000;255.000000;276.169830
87;-6318.000000;258.000000;279.344177
88;-6389.000000;261.000000;282.518524
89;-6458.000000;264.000000;285.692902
90;-6528.000000;267.000000;288.867249
91;-6590.000000;269.000000;292.041595
92;-6655.000000;272.000000;295.215973
93;-6729.000000;275.000000;298.390320
94;-6795.000000;278.000000;301.564667
95;-6864.000000;281.000000;304.739044
96;-6940.000000;284.000000;307.913391
97;-7011.000000;287.000000;311.087738
98;-7077.000000;290.000000;314.262115
99;-7150.000000;292.000000;317.436462
100;-7217.000000;295.000000;320.610809
101;-7280.000000;298.000000;323.785156
102;-7349.000000;301.000000;326.959534
103;-7416.000000;303.000000;330.133911
104;-7481.000000;306.000000;333.308258
105;-7553.000000;309.000000;336.482605
106;-7624.000000;312.000000;339.656982
107;-7696.000000;315.000000;342.831329
108;-7774.000000;318.000000;346.005676
109;-7853.000000;321.000000;349.180054
110;-7939.000000;325.000000;352.354401
111;-8024.000000;328.000000;355.528748
112;-8106.000000;331.000000;358.703094
113;-8188.000000;335.000000;361.877472
114;-8271.000000;338.000000;365.051819
115;-8352.000000;342.000000;368.226166
116;-8435.000000;345.000000;371.400543
117;-8522.000000;349.000000;374.574890
118;-8604.000000;352.000000;377.749237
119;-8692.000000;356.000000;380.923615
120;-8785.000000;359.000000;384.097961
121;-8874.000000;363.000000;387.272308
122;-8965.000000;367.000000;390.446655
123;-9054.000000;370.000000;393.621033
124;-9140.000000;374.000000;396.795380
125;-9222.000000;377.000000;399.969727
126;-9301.000000;380.000000;403.144104
127;-9377.000000;384.000000;406.318451
128;-9453.000000;387.000000;409.492798
129;-9526.000000;390.000000;412.667175
130;-9592.000000;393.000000;415.841522
