takt;q1;q2;q2p
0;395.000000;-16.000000;3.174366
1;739.000000;-27.000000;6.348731
2;988.000000;-37.000000;9.523097
3;1166.000000;-46.000000;12.697462
4;1241.000000;-49.000000;15.871827
5;1204.000000;-47.000000;19.046194
6;1115.000000;-45.000000;22.220558
7;952.000000;-39.000000;25.394922
8;704.000000;-28.000000;28.569288
9;435.000000;-17.000000;31.743654
10;168.000000;-7.000000;34.918022
11;-127.000000;5.000000;38.092388
12;-420.000000;17.000000;41.266758
13;-690.000000;27.000000;44.441124
14;-950.000000;37.000000;47.615490
15;-1184.000000;47.000000;50.789856
16;-1373.000000;55.000000;53.964226
17;-1523.000000;61.000000;57.138592
18;-1641.000000;66.000000;60.312954
19;-1718.000000;69.000000;63.487320
20;-1756.000000;71.000000;66.661682
21;-1766.000000;71.000000;69.836044
22;-1756.000000;71.000000;73.010406
23;-1715.000000;70.000000;76.184776
24;-1670.000000;69.000000;79.359131
25;-1637.000000;67.000000;82.533493
26;-1601.000000;66.000000;85.707863
27;-1576.000000;65.000000;88.882225
28;-1573.000000;65.000000;92.056595
29;-1586.000000;65.000000;95.230949
30;-1612.000000;66.000000;98.405312
31;-1665.000000;68.000000;101.579681
32;-1730.000000;70.000000;104.754044
33;-1795.000000;73.000000;107.928406
34;-1875.000000;76.000000;111.102768
35;-1967.000000;80.000000;114.277138
36;-2064.000000;84.000000;117.451500
37;-2168.000000;89.000000;120.625870
38;-2274.000000;93.000000;123.800232
39;-2374.000000;97.000000;126.974609
40;-2473.000000;101.000000;130.148972
41;-2571.000000;105.000000;133.323349
42;-2663.000000;109.000000;136.497711
43;-2751.000000;112.000000;139.672089
44;-2832.000000;116.000000;142.846451
45;-2904.000000;119.000000;146.020828
46;-2978.000000;122.000000;149.195206
47;-3050.000000;125.000000;152.369568
48;-3115.000000;127.000000;155.543945
49;-3184.000000;130.000000;158.718307
50;-3255.000000;133.000000;161.892685
51;-3324.000000;136.000000;165.067047
52;-3398.000000;139.000000;168.241425
53;-3479.000000;143.000000;171.415802
54;-3561.000000;146.000000;174.590149
55;-3646.000000;149.000000;177.764526
56;-3736.000000;153.000000;180.938904
57;-3819.000000;156.000000;184.113281
58;-3909.000000;160.000000;187.287643
59;-4003.000000;164.000000;190.462021
60;-4089.000000;167.000000;193.636383
61;-4178.000000;171.000000;196.810745
62;-4270.000000;175.000000;199.985123
63;-4357.000000;178.000000;203.159500
64;-4445.000000;182.000000;206.333878
65;-4542.000000;186.000000;209.508224
66;-4630.000000;190.000000;212.682602
67;-4721.000000;193.000000;215.856979
68;-4815.000000;197.000000;219.031357
69;-4904.000000;201.000000;222.205719
70;-4995.000000;205.000000;225.380081
71;-5085.000000;208.000000;228.554459
72;-5167.000000;211.000000;231.728821
73;-5247.000000;215.000000;234.903183
74;-5324.000000;218.000000;238.077545
75;-5393.000000;221.000000;241.251907
76;-5464.000000;224.000000;244.426270
77;-5536.000000;227.000000;247.600616
78;-5596.000000;229.000000;250.774979
79;-5665.000000;232.000000;253.949326
80;-5735.000000;235.000000;257.123688
81;-5798.000000;237.000000;260.298035
82;-5872.000000;240.000000;263.472412
83;-5946.000000;243.000000;266.646759
84;-6012.000000;246.000000;269.821106
85;-6088.000000;249.000000;272.995483
86;-6163.000000;252.000000;276.169830
87;-6234.000000;255.000000;279.344177
88;-6308.000000;258.000000;282.518524
89;-6383.000000;261.000000;285.692902
90;-6454.000000;264.000000;288.867249
91;-6532.000000;267.000000;292.041595
92;-6602.000000;270.000000;295.215973
93;-6678.000000;273.000000;298.390320
94;-6759.000000;277.000000;301.564667
95;-6837.000000;280.000000;304.739044
96;-6911.000000;283.000000;307.913391
97;-6987.000000;286.000000;311.087738
98;-7061.000000;289.000000;314.262115
99;-7135.000000;292.000000;317.436462
100;-7203.000000;295.000000;320.610809
101;-7273.000000;298.000000;323.785156
102;-7341.000000;300.000000;326.959534
103;-7404.000000;303.000000;330.133911
104;-7471.000000;306.000000;333.308258
105;-7539.000000;309.000000;336.482605
106;-7600.000000;311.000000;339.656982
107;-7664.000000;314.000000;342.831329
108;-7738.000000;317.000000;346.005676
109;-7807.000000;319.000000;349.180054
110;-7880.000000;322.000000;352.354401
111;-7962.000000;326.000000;355.528748
112;-8048.000000;330.000000;358.703094
113;-8132.000000;333.000000;361.877472
114;-8219.000000;336.000000;365.051819
115;-8312.000000;340.000000;368.226166
116;-8401.000000;344.000000;371.400543
117;-8489.000000;347.000000;374.574890
118;-8577.000000;351.000000;377.749237
119;-8662.000000;355.000000;380.923615
120;-8746.000000;358.000000;384.097961
121;-8824.000000;361.000000;387.272308
122;-8902.000000;365.000000;390.446655
123;-8979.000000;368.000000;393.621033
124;-9054.000000;371.000000;396.795380
125;-9132.000000;374.000000;399.969727
126;-9204.000000;377.000000;403.144104
127;-9279.000000;380.000000;406.318451
128;-9359.000000;384.000000;409.492798
129;-9437.000000;387.000000;412.667175
130;-9512.000000;390.000000;415.841522
131;-9596.000000;393.000000;419.015869
132;-9681.000000;397.000000;422.190247
133;-9768.000000;400.000000;425.364594
134;-9855.000000;404.000000;428.538940
135;-9943.000000;407.000000;431.713287
136;-10027.000000;411.000000;434.887665
137;-10112.000000;414.000000;438.062012
138;-10194.000000;418.000000;441.236359
139;-10273.000000;421.000000;444.410736
140;-10355.000000;424.000000;447.585083
141;-10433.000000;428.000000;450.759430
142;-10507.000000;431.000000;453.933807
143;-10584.000000;434.000000;457.108154
144;-10657.000000;437.000000;460.282501
145;-10730.000000;440.000000;463.456909
146;-10800.000000;443.000000;466.631256
147;-10871.000000;446.000000;469.805664
148;-10946.000000;449.000000;472.980042
149;-11017.000000;452.000000;476.154449
150;-11091.000000;455.000000;479.328796
151;-11170.000000;458.000000;482.503204
152;-11248.000000;461.000000;485.677582
153;-11324.000000;464.000000;488.851959
154;-11404.000000;468.000000;492.026337
155;-11487.000000;471.000000;495.200745
156;-11568.000000;474.000000;498.375122
157;-11652.000000;478.000000;501.549500
158;-11740.000000;481.000000;504.723877
159;-11822.000000;485.000000;507.898285
160;-11903.000000;488.000000;511.072632
161;-11985.000000;491.000000;514.247009
162;-12063.000000;494.000000;517.421448
163;-12144.000000;498.000000;520.595825
164;-12216.000000;501.000000;523.770203
165;-12282.000000;503.000000;526.944580
