takt;q1;q2;q2p
0;417.000000;-17.000000;0.000000
1;780.000000;-29.000000;0.000000
2;1031.000000;-40.000000;0.000000
3;1214.000000;-48.000000;0.000000
4;1289.000000;-51.000000;0.000000
5;1259.000000;-50.000000;0.000000
6;1185.000000;-48.000000;0.000000
7;1046.000000;-43.000000;0.000000
8;841.000000;-35.000000;0.000000
9;627.000000;-26.000000;0.000000
10;430.000000;-18.000000;0.000000
11;225.000000;-10.000000;0.000000
12;25.000000;-2.000000;0.000000
13;-144.000000;5.000000;0.000000
14;-294.000000;11.000000;0.000000
15;-431.000000;17.000000;0.000000
16;-527.000000;21.000000;0.000000
17;-590.000000;23.000000;0.000000
18;-627.000000;25.000000;0.000000
19;-631.000000;25.000000;0.000000
20;-598.000000;24.000000;0.000000
21;-547.000000;23.000000;0.000000
22;-475.000000;20.000000;0.000000
23;-380.000000;16.000000;0.000000
24;-275.000000;12.000000;0.000000
25;-177.000000;8.000000;0.000000
26;-77.000000;4.000000;0.000000
27;16.000000;0.000000;0.000000
28;94.000000;-3.000000;0.000000
29;151.000000;-5.000000;0.000000
30;200.000000;-7.000000;0.000000
31;222.000000;-8.000000;0.000000
32;224.000000;-9.000000;0.000000
33;210.000000;-9.000000;0.000000
34;186.000000;-8.000000;0.000000
35;143.000000;-6.000000;0.000000
36;101.000000;-5.000000;0.000000
37;60.000000;-3.000000;0.000000
38;16.000000;-1.000000;0.000000
39;-18.000000;0.000000;0.000000
40;-40.000000;1.000000;0.000000
41;-51.000000;1.000000;0.000000
42;-59.000000;2.000000;0.000000
43;-60.000000;2.000000;0.000000
44;-57.000000;2.000000;0.000000
45;-51.000000;2.000000;0.000000
46;-36.000000;2.000000;0.000000
47;-24.000000;1.000000;0.000000
48;-8.000000;1.000000;0.000000
49;5.000000;0.000000;0.000000
50;14.000000;0.000000;0.000000
51;27.000000;-1.000000;0.000000
52;33.000000;-1.000000;0.000000
53;34.000000;-1.000000;0.000000
54;37.000000;-1.000000;0.000000
55;38.000000;-1.000000;0.000000
56;34.000000;-1.000000;0.000000
57;33.000000;-1.000000;0.000000
58;33.000000;-1.000000;0.000000
59;29.000000;-1.000000;0.000000
60;30.000000;-1.000000;0.000000
61;31.000000;-1.000000;0.000000
62;31.000000;-1.000000;0.000000
63;33.000000;-1.000000;0.000000
64;39.000000;-1.000000;0.000000
65;42.000000;-1.000000;0.000000
66;46.000000;-1.000000;0.000000
67;44.000000;-2.000000;0.000000
68;41.000000;-2.000000;0.000000
69;39.000000;-2.000000;0.000000
70;34.000000;-2.000000;0.000000
71;31.000000;-2.000000;0.000000
72;31.000000;-2.000000;0.000000
73;29.000000;-2.000000;0.000000
74;27.000000;-2.000000;0.000000
75;34.000000;-2.000000;0.000000
76;38.000000;-2.000000;0.000000
77;42.000000;-2.000000;0.000000
78;52.000000;-2.000000;0.000000
79;60.000000;-2.000000;0.000000
80;64.000000;-2.000000;0.000000
81;70.000000;-2.000000;0.000000
82;75.000000;-3.000000;0.000000
83;66.000000;-3.000000;0.000000
84;57.000000;-3.000000;0.000000
85;48.000000;-3.000000;0.000000
86;39.000000;-2.000000;0.000000
87;34.000000;-2.000000;0.000000
88;30.000000;-2.000000;0.000000
89;31.000000;-2.000000;0.000000
90;33.000000;-2.000000;0.000000
91;38.000000;-2.000000;0.000000
92;49.000000;-2.000000;0.000000
93;61.000000;-2.000000;0.000000
94;66.000000;-2.000000;0.000000
95;72.000000;-2.000000;0.000000
96;79.000000;-3.000000;0.000000
97;71.000000;-3.000000;0.000000
98;65.000000;-3.000000;0.000000
99;54.000000;-3.000000;0.000000
100;37.000000;-2.000000;0.000000
101;32.000000;-2.000000;0.000000
102;29.000000;-2.000000;0.000000
103;26.000000;-2.000000;0.000000
104;28.000000;-2.000000;0.000000
105;34.000000;-2.000000;0.000000
106;39.000000;-2.000000;0.000000
107;48.000000;-2.000000;0.000000
108;57.000000;-2.000000;0.000000
109;63.000000;-2.000000;0.000000
110;69.000000;-2.000000;0.000000
111;72.000000;-2.000000;0.000000
112;75.000000;-3.000000;0.000000
113;67.000000;-3.000000;0.000000
114;57.000000;-3.000000;0.000000
115;47.000000;-3.000000;0.000000
116;39.000000;-2.000000;0.000000
117;30.000000;-2.000000;0.000000
118;25.000000;-2.000000;0.000000
119;23.000000;-2.000000;0.000000
120;22.000000;-1.000000;0.000000
121;29.000000;-1.000000;0.000000
122;40.000000;-1.000000;0.000000
123;50.000000;-2.000000;0.000000
124;51.000000;-2.000000;0.000000
125;58.000000;-2.000000;0.000000
126;63.000000;-2.000000;0.000000
127;63.000000;-2.000000;0.000000
128;66.000000;-2.000000;0.000000
129;66.000000;-2.000000;0.000000
130;62.000000;-2.000000;0.000000
131;62.000000;-2.000000;0.000000
132;64.000000;-2.000000;0.000000
133;64.000000;-2.000000;0.000000
134;64.000000;-2.000000;0.000000
135;65.000000;-2.000000;0.000000
136;64.000000;-2.000000;0.000000
137;63.000000;-2.000000;0.000000
138;63.000000;-2.000000;0.000000
139;62.000000;-2.000000;0.000000
140;58.000000;-2.000000;0.000000
141;55.000000;-2.000000;0.000000
142;53.000000;-2.000000;0.000000
143;52.000000;-2.000000;0.000000
144;50.000000;-2.000000;0.000000
