takt;q1;q2;q2p
0;420.000000;-17.000000;0.000000
1;790.000000;-29.000000;0.000000
2;1046.000000;-40.000000;0.000000
3;1226.000000;-48.000000;0.000000
4;1281.000000;-50.000000;0.000000
5;1197.000000;-47.000000;0.000000
6;1058.000000;-42.000000;0.000000
7;843.000000;-34.000000;0.000000
8;550.000000;-23.000000;0.000000
9;263.000000;-11.000000;0.000000
10;4.000000;-1.000000;0.000000
11;-248.000000;9.000000;0.000000
12;-461.000000;18.000000;0.000000
13;-610.000000;24.000000;0.000000
14;-717.000000;28.000000;0.000000
15;-783.000000;30.000000;0.000000
16;-789.000000;31.000000;0.000000
17;-745.000000;30.000000;0.000000
18;-667.000000;27.000000;0.000000
19;-568.000000;23.000000;0.000000
20;-433.000000;18.000000;0.000000
21;-287.000000;12.000000;0.000000
22;-145.000000;6.000000;0.000000
23;6.000000;0.000000;0.000000
24;142.000000;-5.000000;0.000000
25;252.000000;-9.000000;0.000000
26;343.000000;-13.000000;0.000000
27;419.000000;-16.000000;0.000000
28;451.000000;-17.000000;0.000000
29;456.000000;-18.000000;0.000000
30;438.000000;-18.000000;0.000000
31;397.000000;-16.000000;0.000000
32;331.000000;-13.000000;0.000000
33;264.000000;-11.000000;0.000000
34;190.000000;-8.000000;0.000000
35;106.000000;-5.000000;0.000000
36;27.000000;-1.000000;0.000000
37;-35.000000;1.000000;0.000000
38;-89.000000;3.000000;0.000000
39;-129.000000;5.000000;0.000000
40;-150.000000;6.000000;0.000000
41;-150.000000;6.000000;0.000000
42;-141.000000;6.000000;0.000000
43;-118.000000;5.000000;0.000000
44;-89.000000;4.000000;0.000000
45;-67.000000;3.000000;0.000000
46;-42.000000;2.000000;0.000000
47;-19.000000;1.000000;0.000000
48;-5.000000;1.000000;0.000000
49;3.000000;0.000000;0.000000
50;5.000000;0.000000;0.000000
51;6.000000;0.000000;0.000000
52;4.000000;0.000000;0.000000
53;4.000000;0.000000;0.000000
54;4.000000;0.000000;0.000000
55;0.000000;0.000000;0.000000
56;1.000000;0.000000;0.000000
57;3.000000;0.000000;0.000000
58;4.000000;0.000000;0.000000
59;9.000000;0.000000;0.000000
60;11.000000;0.000000;0.000000
61;12.000000;0.000000;0.000000
62;17.000000;0.000000;0.000000
63;19.000000;0.000000;0.000000
64;21.000000;-1.000000;0.000000
65;21.000000;-1.000000;0.000000
66;25.000000;-1.000000;0.000000
67;24.000000;-1.000000;0.000000
68;27.000000;-1.000000;0.000000
69;29.000000;-1.000000;0.000000
70;27.000000;-1.000000;0.000000
71;30.000000;-1.000000;0.000000
72;32.000000;-1.000000;0.000000
73;33.000000;-1.000000;0.000000
74;35.000000;-1.000000;0.000000
75;34.000000;-1.000000;0.000000
76;36.000000;-1.000000;0.000000
77;40.000000;-1.000000;0.000000
78;43.000000;-1.000000;0.000000
79;41.000000;-2.000000;0.000000
80;47.000000;-2.000000;0.000000
81;51.000000;-2.000000;0.000000
82;50.000000;-2.000000;0.000000
83;55.000000;-2.000000;0.000000
84;56.000000;-2.000000;0.000000
85;55.000000;-2.000000;0.000000
86;57.000000;-2.000000;0.000000
87;57.000000;-2.000000;0.000000
88;56.000000;-2.000000;0.000000
89;57.000000;-2.000000;0.000000
90;57.000000;-2.000000;0.000000
91;60.000000;-2.000000;0.000000
92;62.000000;-2.000000;0.000000
93;62.000000;-2.000000;0.000000
94;64.000000;-2.000000;0.000000
95;64.000000;-2.000000;0.000000
96;65.000000;-2.000000;0.000000
97;66.000000;-2.000000;0.000000
98;65.000000;-2.000000;0.000000
99;65.000000;-2.000000;0.000000
100;66.000000;-2.000000;0.000000
101;65.000000;-2.000000;0.000000
102;66.000000;-2.000000;0.000000
103;68.000000;-2.000000;0.000000
104;69.000000;-2.000000;0.000000
105;67.000000;-3.000000;0.000000
106;67.000000;-3.000000;0.000000
107;67.000000;-3.000000;0.000000
108;66.000000;-3.000000;0.000000
109;68.000000;-3.000000;0.000000
110;68.000000;-3.000000;0.000000
111;65.000000;-3.000000;0.000000
112;64.000000;-3.000000;0.000000
113;65.000000;-3.000000;0.000000
114;64.000000;-3.000000;0.000000
115;63.000000;-3.000000;0.000000
116;64.000000;-3.000000;0.000000
117;63.000000;-3.000000;0.000000
118;64.000000;-3.000000;0.000000
119;66.000000;-3.000000;0.000000
120;62.000000;-3.000000;0.000000
121;62.000000;-3.000000;0.000000
122;62.000000;-3.000000;0.000000
123;58.000000;-3.000000;0.000000
124;58.000000;-3.000000;0.000000
125;57.000000;-3.000000;0.000000
126;53.000000;-2.000000;0.000000
127;57.000000;-2.000000;0.000000
128;64.000000;-2.000000;0.000000
129;63.000000;-2.000000;0.000000
130;65.000000;-2.000000;0.000000
131;64.000000;-2.000000;0.000000
132;59.000000;-2.000000;0.000000
133;57.000000;-2.000000;0.000000
134;59.000000;-2.000000;0.000000
135;57.000000;-2.000000;0.000000
136;55.000000;-2.000000;0.000000
137;62.000000;-2.000000;0.000000
138;65.000000;-2.000000;0.000000
139;62.000000;-2.000000;0.000000
140;66.000000;-2.000000;0.000000
141;60.000000;-2.000000;0.000000
142;54.000000;-2.000000;0.000000
143;56.000000;-2.000000;0.000000
144;59.000000;-2.000000;0.000000
145;57.000000;-2.000000;0.000000
146;62.000000;-2.000000;0.000000
147;65.000000;-2.000000;0.000000
148;61.000000;-2.000000;0.000000
149;64.000000;-2.000000;0.000000
150;62.000000;-2.000000;0.000000
151;56.000000;-2.000000;0.000000
152;55.000000;-2.000000;0.000000
153;55.000000;-2.000000;0.000000
154;55.000000;-2.000000;0.000000
155;63.000000;-2.000000;0.000000
156;66.000000;-2.000000;0.000000
157;63.000000;-2.000000;0.000000
158;66.000000;-2.000000;0.000000
159;62.000000;-2.000000;0.000000
160;57.000000;-2.000000;0.000000
161;59.000000;-2.000000;0.000000
162;56.000000;-2.000000;0.000000
163;55.000000;-2.000000;0.000000
164;60.000000;-2.000000;0.000000
165;62.000000;-2.000000;0.000000
166;63.000000;-2.000000;0.000000
167;67.000000;-2.000000;0.000000
168;62.000000;-2.000000;0.000000
169;59.000000;-2.000000;0.000000
170;59.000000;-2.000000;0.000000
171;56.000000;-2.000000;0.000000
172;55.000000;-2.000000;0.000000
173;59.000000;-2.000000;0.000000
174;59.000000;-2.000000;0.000000
175;60.000000;-2.000000;0.000000
176;66.000000;-2.000000;0.000000
177;61.000000;-2.000000;0.000000
178;58.000000;-2.000000;0.000000
179;60.000000;-2.000000;0.000000
180;57.000000;-2.000000;0.000000
181;57.000000;-2.000000;0.000000
182;61.000000;-2.000000;0.000000
183;60.000000;-2.000000;0.000000
184;61.000000;-2.000000;0.000000
185;63.000000;-2.000000;0.000000
186;60.000000;-2.000000;0.000000
187;60.000000;-2.000000;0.000000
188;59.000000;-2.000000;0.000000
189;56.000000;-2.000000;0.000000
190;58.000000;-2.000000;0.000000
191;59.000000;-2.000000;0.000000
192;56.000000;-2.000000;0.000000
193;60.000000;-2.000000;0.000000
194;60.000000;-2.000000;0.000000
195;56.000000;-2.000000;0.000000
196;60.000000;-2.000000;0.000000
197;59.000000;-2.000000;0.000000
198;52.000000;-2.000000;0.000000
199;52.000000;-2.000000;0.000000
200;54.000000;-2.000000;0.000000
201;50.000000;-2.000000;0.000000
202;55.000000;-2.000000;0.000000
203;61.000000;-2.000000;0.000000
204;60.000000;-2.000000;0.000000
205;61.000000;-2.000000;0.000000
206;65.000000;-2.000000;0.000000
207;59.000000;-2.000000;0.000000
208;53.000000;-2.000000;0.000000
209;49.000000;-2.000000;0.000000
210;44.000000;-2.000000;0.000000
211;39.000000;-2.000000;0.000000
212;37.000000;-2.000000;0.000000
213;38.000000;-2.000000;0.000000
214;39.000000;-2.000000;0.000000
215;40.000000;-2.000000;0.000000
216;44.000000;-2.000000;0.000000
217;50.000000;-2.000000;0.000000
218;51.000000;-2.000000;0.000000
219;51.000000;-2.000000;0.000000
220;55.000000;-2.000000;0.000000
221;50.000000;-2.000000;0.000000
222;46.000000;-2.000000;0.000000
223;45.000000;-2.000000;0.000000
224;42.000000;-2.000000;0.000000
225;37.000000;-2.000000;0.000000
226;39.000000;-2.000000;0.000000
227;41.000000;-2.000000;0.000000
228;40.000000;-2.000000;0.000000
229;42.000000;-2.000000;0.000000
230;45.000000;-2.000000;0.000000
231;45.000000;-2.000000;0.000000
232;45.000000;-2.000000;0.000000
233;48.000000;-2.000000;0.000000
234;50.000000;-2.000000;0.000000
235;50.000000;-2.000000;0.000000
236;49.000000;-2.000000;0.000000
237;48.000000;-2.000000;0.000000
238;45.000000;-2.000000;0.000000
239;43.000000;-2.000000;0.000000
240;43.000000;-2.000000;0.000000
241;42.000000;-2.000000;0.000000
242;41.000000;-2.000000;0.000000
243;41.000000;-2.000000;0.000000
244;43.000000;-2.000000;0.000000
245;44.000000;-2.000000;0.000000
246;45.000000;-2.000000;0.000000
247;46.000000;-2.000000;0.000000
248;48.000000;-2.000000;0.000000
249;49.000000;-2.000000;0.000000
250;50.000000;-2.000000;0.000000
