takt;q1;q2;q2p
0;396.000000;-17.000000;0.000000
1;723.000000;-28.000000;0.000000
2;935.000000;-36.000000;0.000000
3;1062.000000;-42.000000;0.000000
4;1065.000000;-43.000000;0.000000
5;943.000000;-38.000000;0.000000
6;775.000000;-32.000000;0.000000
7;538.000000;-23.000000;0.000000
8;235.000000;-11.000000;0.000000
9;-58.000000;1.000000;0.000000
10;-310.000000;10.000000;0.000000
11;-539.000000;19.000000;0.000000
12;-714.000000;27.000000;0.000000
13;-817.000000;30.000000;0.000000
14;-865.000000;32.000000;0.000000
15;-864.000000;33.000000;0.000000
16;-781.000000;30.000000;0.000000
17;-655.000000;25.000000;0.000000
18;-508.000000;20.000000;0.000000
19;-346.000000;14.000000;0.000000
20;-171.000000;6.000000;0.000000
21;-18.000000;1.000000;0.000000
22;119.000000;-5.000000;0.000000
23;239.000000;-10.000000;0.000000
24;320.000000;-13.000000;0.000000
25;358.000000;-15.000000;0.000000
26;373.000000;-15.000000;0.000000
27;357.000000;-16.000000;0.000000
28;318.000000;-14.000000;0.000000
29;255.000000;-12.000000;0.000000
30;183.000000;-9.000000;0.000000
31;97.000000;-5.000000;0.000000
32;9.000000;-2.000000;0.000000
33;-69.000000;1.000000;0.000000
34;-138.000000;3.000000;0.000000
35;-194.000000;6.000000;0.000000
36;-239.000000;8.000000;0.000000
37;-260.000000;9.000000;0.000000
38;-266.000000;9.000000;0.000000
39;-256.000000;9.000000;0.000000
40;-218.000000;8.000000;0.000000
41;-173.000000;6.000000;0.000000
42;-125.000000;5.000000;0.000000
43;-66.000000;2.000000;0.000000
44;-8.000000;0.000000;0.000000
45;36.000000;-2.000000;0.000000
46;78.000000;-4.000000;0.000000
47;105.000000;-5.000000;0.000000
48;110.000000;-5.000000;0.000000
49;106.000000;-5.000000;0.000000
50;87.000000;-5.000000;0.000000
51;50.000000;-4.000000;0.000000
52;15.000000;-2.000000;0.000000
53;-26.000000;-1.000000;0.000000
54;-58.000000;0.000000;0.000000
55;-86.000000;2.000000;0.000000
56;-104.000000;3.000000;0.000000
57;-107.000000;3.000000;0.000000
58;-104.000000;3.000000;0.000000
59;-90.000000;3.000000;0.000000
60;-64.000000;2.000000;0.000000
61;-41.000000;1.000000;0.000000
62;-18.000000;0.000000;0.000000
63;7.000000;-1.000000;0.000000
64;23.000000;-2.000000;0.000000
65;27.000000;-2.000000;0.000000
66;33.000000;-2.000000;0.000000
67;32.000000;-2.000000;0.000000
68;19.000000;-2.000000;0.000000
