takt;q1;q2;q2p
0;397.000000;-16.000000;0.000000
1;722.000000;-26.000000;0.000000
2;907.000000;-33.000000;0.000000
3;980.000000;-37.000000;0.000000
4;900.000000;-35.000000;0.000000
5;668.000000;-25.000000;0.000000
6;382.000000;-15.000000;0.000000
7;42.000000;-3.000000;0.000000
8;-334.000000;12.000000;0.000000
9;-646.000000;25.000000;0.000000
10;-844.000000;32.000000;0.000000
11;-942.000000;35.000000;0.000000
12;-930.000000;36.000000;0.000000
13;-800.000000;31.000000;0.000000
14;-600.000000;23.000000;0.000000
15;-367.000000;14.000000;0.000000
16;-105.000000;4.000000;0.000000
17;150.000000;-6.000000;0.000000
18;343.000000;-13.000000;0.000000
19;470.000000;-18.000000;0.000000
20;536.000000;-20.000000;0.000000
21;526.000000;-21.000000;0.000000
22;448.000000;-18.000000;0.000000
23;325.000000;-14.000000;0.000000
24;170.000000;-7.000000;0.000000
25;2.000000;-1.000000;0.000000
26;-138.000000;4.000000;0.000000
27;-244.000000;8.000000;0.000000
28;-323.000000;12.000000;0.000000
29;-360.000000;13.000000;0.000000
30;-355.000000;13.000000;0.000000
31;-315.000000;12.000000;0.000000
32;-240.000000;10.000000;0.000000
33;-151.000000;6.000000;0.000000
34;-60.000000;3.000000;0.000000
35;12.000000;0.000000;0.000000
36;69.000000;-3.000000;0.000000
37;109.000000;-4.000000;0.000000
38;132.000000;-5.000000;0.000000
39;138.000000;-6.000000;0.000000
40;118.000000;-6.000000;0.000000
41;87.000000;-4.000000;0.000000
42;51.000000;-3.000000;0.000000
43;18.000000;-2.000000;0.000000
44;-6.000000;-1.000000;0.000000
45;-21.000000;0.000000;0.000000
46;-36.000000;1.000000;0.000000
47;-45.000000;1.000000;0.000000
48;-53.000000;1.000000;0.000000
49;-58.000000;1.000000;0.000000
50;-63.000000;2.000000;0.000000
51;-66.000000;2.000000;0.000000
52;-64.000000;2.000000;0.000000
53;-64.000000;2.000000;0.000000
54;-54.000000;2.000000;0.000000
55;-38.000000;2.000000;0.000000
56;-24.000000;1.000000;0.000000
57;-1.000000;0.000000;0.000000
58;20.000000;-1.000000;0.000000
59;28.000000;-1.000000;0.000000
60;41.000000;-1.000000;0.000000
61;46.000000;-2.000000;0.000000
62;37.000000;-2.000000;0.000000
63;22.000000;-2.000000;0.000000
64;0.000000;-1.000000;0.000000
65;-25.000000;0.000000;0.000000
66;-47.000000;1.000000;0.000000
67;-57.000000;1.000000;0.000000
68;-71.000000;2.000000;0.000000
69;-75.000000;2.000000;0.000000
70;-67.000000;2.000000;0.000000
71;-56.000000;2.000000;0.000000
72;-36.000000;2.000000;0.000000
73;-15.000000;1.000000;0.000000
74;0.000000;0.000000;0.000000
75;19.000000;-1.000000;0.000000
76;29.000000;-1.000000;0.000000
77;35.000000;-1.000000;0.000000
78;35.000000;-2.000000;0.000000
79;23.000000;-2.000000;0.000000
80;6.000000;-1.000000;0.000000
81;-7.000000;-1.000000;0.000000
82;-25.000000;0.000000;0.000000
83;-37.000000;0.000000;0.000000
84;-40.000000;1.000000;0.000000
85;-48.000000;1.000000;0.000000
86;-52.000000;1.000000;0.000000
87;-45.000000;1.000000;0.000000
88;-38.000000;1.000000;0.000000
89;-32.000000;1.000000;0.000000
90;-19.000000;1.000000;0.000000
91;-5.000000;0.000000;0.000000
92;-3.000000;0.000000;0.000000
93;10.000000;0.000000;0.000000
94;15.000000;-1.000000;0.000000
95;14.000000;-1.000000;0.000000
96;15.000000;-1.000000;0.000000
97;10.000000;-1.000000;0.000000
98;-1.000000;-1.000000;0.000000
99;-12.000000;-1.000000;0.000000
100;-16.000000;0.000000;0.000000
101;-27.000000;0.000000;0.000000
102;-37.000000;1.000000;0.000000
103;-32.000000;1.000000;0.000000
104;-31.000000;1.000000;0.000000
105;-27.000000;1.000000;0.000000
106;-14.000000;1.000000;0.000000
107;-4.000000;0.000000;0.000000
108;-1.000000;0.000000;0.000000
109;6.000000;0.000000;0.000000
110;12.000000;-1.000000;0.000000
111;4.000000;-1.000000;0.000000
112;-2.000000;-1.000000;0.000000
113;-8.000000;-1.000000;0.000000
114;-18.000000;0.000000;0.000000
115;-26.000000;0.000000;0.000000
116;-30.000000;0.000000;0.000000
117;-34.000000;0.000000;0.000000
118;-34.000000;1.000000;0.000000
119;-25.000000;1.000000;0.000000
120;-17.000000;1.000000;0.000000
121;-10.000000;0.000000;0.000000
122;-8.000000;0.000000;0.000000
123;-3.000000;0.000000;0.000000
124;-1.000000;0.000000;0.000000
125;0.000000;0.000000;0.000000
126;0.000000;0.000000;0.000000
127;-5.000000;0.000000;0.000000
128;-11.000000;0.000000;0.000000
129;-15.000000;0.000000;0.000000
130;-16.000000;0.000000;0.000000
131;-19.000000;0.000000;0.000000
132;-21.000000;0.000000;0.000000
133;-21.000000;0.000000;0.000000
134;-24.000000;0.000000;0.000000
135;-26.000000;0.000000;0.000000
136;-24.000000;0.000000;0.000000
137;-24.000000;0.000000;0.000000
138;-23.000000;0.000000;0.000000
139;-20.000000;0.000000;0.000000
140;-18.000000;0.000000;0.000000
141;-17.000000;0.000000;0.000000
142;-15.000000;0.000000;0.000000
143;-15.000000;0.000000;0.000000
144;-17.000000;0.000000;0.000000
145;-17.000000;0.000000;0.000000
146;-18.000000;0.000000;0.000000
147;-19.000000;0.000000;0.000000
148;-19.000000;0.000000;0.000000
149;-21.000000;0.000000;0.000000
150;-22.000000;0.000000;0.000000
151;-23.000000;0.000000;0.000000
152;-23.000000;0.000000;0.000000
153;-24.000000;0.000000;0.000000
154;-23.000000;0.000000;0.000000
155;-22.000000;0.000000;0.000000
156;-20.000000;0.000000;0.000000
157;-17.000000;0.000000;0.000000
158;-16.000000;0.000000;0.000000
159;-14.000000;0.000000;0.000000
160;-15.000000;0.000000;0.000000
161;-15.000000;0.000000;0.000000
162;-14.000000;0.000000;0.000000
163;-17.000000;0.000000;0.000000
164;-19.000000;0.000000;0.000000
165;-19.000000;0.000000;0.000000
166;-21.000000;0.000000;0.000000
167;-23.000000;0.000000;0.000000
168;-20.000000;0.000000;0.000000
169;-20.000000;0.000000;0.000000
170;-20.000000;0.000000;0.000000
171;-18.000000;0.000000;0.000000
172;-17.000000;0.000000;0.000000
173;-17.000000;0.000000;0.000000
174;-16.000000;0.000000;0.000000
175;-16.000000;0.000000;0.000000
176;-17.000000;0.000000;0.000000
177;-15.000000;0.000000;0.000000
178;-15.000000;0.000000;0.000000
179;-14.000000;0.000000;0.000000
180;-14.000000;0.000000;0.000000
181;-16.000000;0.000000;0.000000
182;-16.000000;0.000000;0.000000
183;-13.000000;0.000000;0.000000
184;-13.000000;0.000000;0.000000
185;-13.000000;0.000000;0.000000
186;-11.000000;0.000000;0.000000
187;-10.000000;0.000000;0.000000
188;-8.000000;0.000000;0.000000
189;-5.000000;0.000000;0.000000
190;-5.000000;0.000000;0.000000
191;-5.000000;0.000000;0.000000
192;-2.000000;0.000000;0.000000
193;-2.000000;0.000000;0.000000
194;-3.000000;0.000000;0.000000
195;-2.000000;0.000000;0.000000
196;-4.000000;0.000000;0.000000
197;-4.000000;0.000000;0.000000
198;-4.000000;0.000000;0.000000
199;-5.000000;0.000000;0.000000
200;-6.000000;0.000000;0.000000
201;-4.000000;0.000000;0.000000
202;-4.000000;0.000000;0.000000
203;-4.000000;0.000000;0.000000
204;-3.000000;0.000000;0.000000
205;-4.000000;0.000000;0.000000
206;-3.000000;0.000000;0.000000
207;-1.000000;0.000000;0.000000
208;-2.000000;0.000000;0.000000
209;-1.000000;0.000000;0.000000
210;-1.000000;0.000000;0.000000
211;-3.000000;0.000000;0.000000
212;-2.000000;0.000000;0.000000
213;-2.000000;0.000000;0.000000
214;-3.000000;0.000000;0.000000
215;-3.000000;0.000000;0.000000
216;-2.000000;0.000000;0.000000
217;-2.000000;0.000000;0.000000
218;-2.000000;0.000000;0.000000
219;-3.000000;0.000000;0.000000
220;-2.000000;0.000000;0.000000
221;-1.000000;0.000000;0.000000
222;-2.000000;0.000000;0.000000
223;-2.000000;0.000000;0.000000
224;-1.000000;0.000000;0.000000
225;-2.000000;0.000000;0.000000
226;-1.000000;0.000000;0.000000
227;-3.000000;0.000000;0.000000
228;-3.000000;0.000000;0.000000
229;-4.000000;0.000000;0.000000
230;-4.000000;0.000000;0.000000
231;-5.000000;0.000000;0.000000
232;-5.000000;0.000000;0.000000
233;-5.000000;0.000000;0.000000
234;-6.000000;0.000000;0.000000
235;-4.000000;0.000000;0.000000
236;-4.000000;0.000000;0.000000
237;-5.000000;0.000000;0.000000
238;-3.000000;0.000000;0.000000
239;-3.000000;0.000000;0.000000
240;-5.000000;0.000000;0.000000
241;-4.000000;0.000000;0.000000
242;-5.000000;0.000000;0.000000
243;-6.000000;0.000000;0.000000
244;-4.000000;0.000000;0.000000
245;-6.000000;0.000000;0.000000
246;-7.000000;0.000000;0.000000
247;-6.000000;0.000000;0.000000
248;-8.000000;0.000000;0.000000
249;-9.000000;0.000000;0.000000
250;-8.000000;0.000000;0.000000
251;-9.000000;0.000000;0.000000
252;-11.000000;0.000000;0.000000
253;-8.000000;0.000000;0.000000
254;-9.000000;0.000000;0.000000
255;-10.000000;0.000000;0.000000
256;-8.000000;0.000000;0.000000
257;-10.000000;0.000000;0.000000
258;-10.000000;0.000000;0.000000
259;-10.000000;0.000000;0.000000
260;-10.000000;0.000000;0.000000
261;-11.000000;0.000000;0.000000
262;-10.000000;0.000000;0.000000
263;-10.000000;0.000000;0.000000
264;-10.000000;0.000000;0.000000
265;-11.000000;0.000000;0.000000
266;-12.000000;0.000000;0.000000
267;-10.000000;0.000000;0.000000
268;-11.000000;0.000000;0.000000
269;-13.000000;0.000000;0.000000
270;-10.000000;0.000000;0.000000
271;-11.000000;0.000000;0.000000
272;-10.000000;0.000000;0.000000
273;-7.000000;0.000000;0.000000
274;-8.000000;0.000000;0.000000
275;-9.000000;0.000000;0.000000
276;-6.000000;0.000000;0.000000
277;-6.000000;0.000000;0.000000
278;-7.000000;0.000000;0.000000
279;-5.000000;0.000000;0.000000
280;-6.000000;0.000000;0.000000
281;-7.000000;0.000000;0.000000
282;-4.000000;0.000000;0.000000
283;-4.000000;0.000000;0.000000
284;-5.000000;0.000000;0.000000
285;-3.000000;0.000000;0.000000
286;-4.000000;0.000000;0.000000
287;-4.000000;0.000000;0.000000
288;-4.000000;0.000000;0.000000
289;-6.000000;0.000000;0.000000
290;-5.000000;0.000000;651.898621
291;-135.000000;26.000000;651.898621
292;-728.000000;82.000000;651.898621
293;-1562.000000;147.000000;651.898621
294;-3006.000000;254.000000;651.898621
295;-4762.000000;366.000000;651.898621
296;-6826.000000;486.000000;651.898621
297;-9264.000000;580.000000;651.898621
298;-11537.000000;647.000000;651.898621
299;-13817.000000;732.000000;651.898621
300;-15806.000000;816.000000;651.898621
301;-17529.000000;885.000000;651.898621
302;-19052.000000;945.000000;651.898621
303;-20467.000000;1004.000000;651.898621
304;-21785.000000;1060.000000;651.898621
305;-22864.000000;1104.000000;651.898621
306;-23717.000000;1138.000000;651.898621
307;-24391.000000;1164.000000;651.898621
308;-24809.000000;1185.000000;651.898621
309;-24895.000000;1188.000000;651.898621
310;-24790.000000;1182.000000;651.898621
311;-24523.000000;1171.000000;651.898621
312;-24019.000000;1152.000000;651.898621
313;-23321.000000;1122.000000;651.898621
314;-22520.000000;1089.000000;651.898621
315;-21554.000000;1050.000000;651.898621
316;-20358.000000;1000.000000;651.898621
317;-18998.000000;944.000000;651.898621
318;-17500.000000;884.000000;651.898621
319;-15854.000000;819.000000;651.898621
320;-14216.000000;755.000000;651.898621
321;-12740.000000;698.000000;651.898621
322;-11473.000000;646.000000;651.898621
323;-10430.000000;626.000000;651.898621
324;-9857.000000;601.000000;651.898621
325;-9606.000000;597.000000;651.898621
326;-9709.000000;606.000000;651.898621
327;-10198.000000;621.000000;651.898621
328;-10902.000000;647.000000;651.898621
329;-11840.000000;672.000000;651.898621
330;-12842.000000;709.000000;651.898621
331;-13680.000000;738.000000;651.898621
332;-14363.000000;766.000000;651.898621
333;-14909.000000;790.000000;651.898621
334;-15239.000000;803.000000;651.898621
335;-15404.000000;808.000000;651.898621
336;-15484.000000;813.000000;651.898621
337;-15381.000000;810.000000;651.898621
338;-15049.000000;796.000000;651.898621
339;-14602.000000;777.000000;651.898621
340;-14056.000000;757.000000;651.898621
341;-13337.000000;728.000000;651.898621
342;-12567.000000;697.000000;651.898621
343;-11890.000000;670.000000;651.898621
344;-11284.000000;647.000000;651.898621
345;-10807.000000;627.000000;651.898621
346;-10566.000000;618.000000;651.898621
347;-10551.000000;617.000000;651.898621
348;-10700.000000;623.000000;651.898621
349;-11025.000000;635.000000;651.898621
