takt;q1;q2;q2p
0;383.000000;-15.000000;0.000000
1;709.000000;-26.000000;0.000000
2;960.000000;-37.000000;0.000000
3;1155.000000;-45.000000;0.000000
4;1269.000000;-50.000000;0.000000
5;1303.000000;-51.000000;0.000000
6;1303.000000;-51.000000;0.000000
7;1256.000000;-51.000000;0.000000
8;1145.000000;-46.000000;0.000000
9;1026.000000;-41.000000;0.000000
10;913.000000;-37.000000;0.000000
11;784.000000;-32.000000;0.000000
12;657.000000;-27.000000;0.000000
13;534.000000;-22.000000;0.000000
14;412.000000;-17.000000;0.000000
15;298.000000;-13.000000;0.000000
16;205.000000;-9.000000;0.000000
17;125.000000;-5.000000;0.000000
18;53.000000;-2.000000;0.000000
19;-8.000000;0.000000;0.000000
20;-41.000000;1.000000;0.000000
21;-65.000000;2.000000;0.000000
22;-78.000000;3.000000;0.000000
23;-74.000000;3.000000;0.000000
24;-69.000000;3.000000;0.000000
25;-60.000000;3.000000;0.000000
26;-45.000000;3.000000;0.000000
27;-29.000000;2.000000;0.000000
28;-15.000000;1.000000;0.000000
29;-6.000000;1.000000;0.000000
30;1.000000;1.000000;0.000000
31;1.000000;1.000000;0.000000
32;-2.000000;1.000000;0.000000
33;-2.000000;1.000000;0.000000
34;-8.000000;1.000000;0.000000
35;-14.000000;1.000000;0.000000
36;-18.000000;1.000000;0.000000
37;-24.000000;1.000000;0.000000
38;-27.000000;1.000000;0.000000
39;-28.000000;1.000000;0.000000
40;-28.000000;1.000000;0.000000
41;-25.000000;1.000000;0.000000
42;-26.000000;1.000000;0.000000
43;-25.000000;1.000000;0.000000
44;-23.000000;1.000000;0.000000
45;-23.000000;1.000000;0.000000
46;-22.000000;1.000000;0.000000
47;-21.000000;1.000000;0.000000
48;-21.000000;1.000000;0.000000
49;-23.000000;1.000000;0.000000
50;-20.000000;1.000000;0.000000
51;-22.000000;1.000000;0.000000
52;-24.000000;1.000000;0.000000
53;-23.000000;1.000000;0.000000
54;-26.000000;1.000000;0.000000
55;-27.000000;1.000000;0.000000
56;-25.000000;1.000000;0.000000
57;-29.000000;1.000000;0.000000
58;-29.000000;1.000000;0.000000
59;-25.000000;1.000000;0.000000
60;-28.000000;1.000000;0.000000
61;-25.000000;1.000000;0.000000
62;-22.000000;1.000000;0.000000
63;-24.000000;1.000000;0.000000
64;-22.000000;1.000000;0.000000
65;-20.000000;1.000000;0.000000
66;-24.000000;1.000000;0.000000
67;-26.000000;1.000000;0.000000
68;-24.000000;1.000000;0.000000
69;-29.000000;1.000000;0.000000
70;-30.000000;1.000000;0.000000
71;-30.000000;1.000000;0.000000
72;-35.000000;1.000000;0.000000
73;-36.000000;1.000000;0.000000
74;-33.000000;1.000000;0.000000
75;-36.000000;1.000000;0.000000
76;-35.000000;1.000000;0.000000
77;-32.000000;1.000000;0.000000
78;-33.000000;1.000000;0.000000
79;-31.000000;1.000000;0.000000
80;-29.000000;1.000000;0.000000
81;-31.000000;1.000000;0.000000
82;-30.000000;1.000000;0.000000
83;-28.000000;1.000000;0.000000
84;-31.000000;1.000000;0.000000
85;-30.000000;1.000000;0.000000
86;-30.000000;1.000000;0.000000
87;-32.000000;1.000000;0.000000
88;-32.000000;1.000000;0.000000
89;-32.000000;1.000000;0.000000
90;-34.000000;1.000000;0.000000
91;-32.000000;1.000000;0.000000
92;-31.000000;1.000000;0.000000
93;-34.000000;1.000000;0.000000
94;-32.000000;1.000000;0.000000
95;-30.000000;1.000000;0.000000
96;-33.000000;1.000000;0.000000
97;-31.000000;1.000000;0.000000
98;-29.000000;1.000000;0.000000
99;-32.000000;1.000000;0.000000
100;-30.000000;1.000000;0.000000
101;-30.000000;1.000000;0.000000
102;-33.000000;1.000000;0.000000
103;-30.000000;1.000000;0.000000
104;-32.000000;1.000000;0.000000
105;-33.000000;1.000000;0.000000
106;-31.000000;1.000000;0.000000
107;-33.000000;1.000000;0.000000
108;-34.000000;1.000000;0.000000
109;-32.000000;1.000000;0.000000
110;-32.000000;1.000000;0.000000
111;-32.000000;1.000000;0.000000
112;-31.000000;1.000000;0.000000
113;-31.000000;1.000000;0.000000
114;-33.000000;1.000000;0.000000
115;-32.000000;1.000000;0.000000
116;-32.000000;1.000000;0.000000
117;-33.000000;1.000000;0.000000
118;-32.000000;1.000000;0.000000
119;-34.000000;1.000000;0.000000
120;-35.000000;1.000000;0.000000
121;-34.000000;1.000000;0.000000
122;-36.000000;1.000000;0.000000
123;-37.000000;2.000000;0.000000
124;-31.000000;2.000000;0.000000
125;-30.000000;2.000000;0.000000
126;-31.000000;2.000000;0.000000
127;-26.000000;2.000000;0.000000
128;-30.000000;2.000000;0.000000
129;-32.000000;2.000000;0.000000
130;-29.000000;2.000000;0.000000
131;-32.000000;2.000000;0.000000
132;-34.000000;2.000000;0.000000
133;-31.000000;2.000000;0.000000
134;-32.000000;2.000000;0.000000
135;-33.000000;2.000000;0.000000
136;-31.000000;2.000000;0.000000
137;-33.000000;2.000000;0.000000
138;-34.000000;2.000000;0.000000
139;-32.000000;2.000000;0.000000
140;-34.000000;2.000000;0.000000
141;-34.000000;2.000000;0.000000
142;-32.000000;2.000000;0.000000
143;-33.000000;2.000000;0.000000
144;-33.000000;2.000000;0.000000
145;-32.000000;2.000000;0.000000
146;-33.000000;2.000000;0.000000
147;-32.000000;2.000000;0.000000
148;-31.000000;2.000000;0.000000
149;-32.000000;2.000000;0.000000
150;-32.000000;2.000000;0.000000
151;-31.000000;2.000000;0.000000
152;-32.000000;2.000000;0.000000
153;-34.000000;2.000000;0.000000
154;-32.000000;2.000000;0.000000
155;-33.000000;2.000000;0.000000
156;-35.000000;2.000000;0.000000
157;-31.000000;2.000000;0.000000
158;-33.000000;2.000000;0.000000
159;-34.000000;2.000000;0.000000
160;-32.000000;2.000000;0.000000
161;-33.000000;2.000000;0.000000
162;-35.000000;2.000000;0.000000
163;-33.000000;2.000000;0.000000
164;-33.000000;2.000000;0.000000
165;-34.000000;2.000000;0.000000
166;-31.000000;2.000000;0.000000
167;-32.000000;2.000000;0.000000
168;-35.000000;2.000000;0.000000
169;-31.000000;2.000000;0.000000
170;-32.000000;2.000000;0.000000
171;-33.000000;2.000000;0.000000
172;-29.000000;2.000000;0.000000
173;-32.000000;2.000000;0.000000
174;-32.000000;2.000000;0.000000
175;-28.000000;2.000000;0.000000
176;-30.000000;2.000000;0.000000
177;-31.000000;2.000000;0.000000
178;-27.000000;2.000000;0.000000
179;-29.000000;2.000000;0.000000
180;-31.000000;2.000000;0.000000
181;-26.000000;2.000000;0.000000
182;-27.000000;2.000000;0.000000
183;-29.000000;2.000000;0.000000
184;-24.000000;2.000000;0.000000
185;-26.000000;2.000000;0.000000
186;-29.000000;2.000000;0.000000
187;-24.000000;2.000000;0.000000
188;-23.000000;2.000000;0.000000
189;-26.000000;2.000000;0.000000
190;-20.000000;2.000000;0.000000
191;-27.000000;1.000000;0.000000
192;-33.000000;1.000000;0.000000
193;-31.000000;1.000000;0.000000
194;-36.000000;1.000000;0.000000
195;-39.000000;2.000000;0.000000
196;-30.000000;2.000000;0.000000
197;-30.000000;2.000000;0.000000
198;-29.000000;2.000000;0.000000
199;-19.000000;1.000000;0.000000
200;-23.000000;1.000000;0.000000
201;-27.000000;1.000000;0.000000
202;-23.000000;1.000000;0.000000
203;-30.000000;1.000000;0.000000
204;-35.000000;1.000000;0.000000
205;-31.000000;1.000000;0.000000
206;-33.000000;1.000000;0.000000
207;-36.000000;1.000000;0.000000
208;-29.000000;1.000000;0.000000
209;-29.000000;1.000000;0.000000
210;-31.000000;1.000000;0.000000
211;-26.000000;1.000000;0.000000
212;-28.000000;1.000000;0.000000
213;-30.000000;1.000000;0.000000
214;-26.000000;1.000000;0.000000
215;-27.000000;1.000000;0.000000
216;-28.000000;1.000000;0.000000
217;-25.000000;1.000000;0.000000
218;-29.000000;1.000000;0.000000
219;-31.000000;1.000000;0.000000
220;-28.000000;1.000000;0.000000
221;-31.000000;1.000000;0.000000
222;-31.000000;1.000000;0.000000
223;-27.000000;1.000000;0.000000
224;-31.000000;1.000000;0.000000
225;-31.000000;1.000000;0.000000
226;-29.000000;1.000000;0.000000
227;-33.000000;1.000000;0.000000
228;-33.000000;1.000000;0.000000
229;-30.000000;1.000000;0.000000
230;-33.000000;1.000000;0.000000
231;-31.000000;1.000000;0.000000
232;-29.000000;1.000000;0.000000
233;-31.000000;1.000000;0.000000
234;-30.000000;1.000000;0.000000
235;-29.000000;1.000000;0.000000
236;-31.000000;1.000000;0.000000
237;-29.000000;1.000000;0.000000
238;-28.000000;1.000000;0.000000
239;-31.000000;1.000000;0.000000
240;-30.000000;1.000000;0.000000
241;-28.000000;1.000000;0.000000
242;-30.000000;1.000000;0.000000
243;-29.000000;1.000000;0.000000
244;-28.000000;1.000000;0.000000
245;-33.000000;1.000000;0.000000
246;-33.000000;1.000000;0.000000
247;-31.000000;1.000000;0.000000
248;-35.000000;1.000000;0.000000
249;-34.000000;1.000000;0.000000
250;-32.000000;1.000000;0.000000
251;-33.000000;1.000000;0.000000
252;-32.000000;1.000000;0.000000
253;-32.000000;1.000000;0.000000
254;-34.000000;1.000000;0.000000
255;-35.000000;1.000000;0.000000
256;-35.000000;1.000000;0.000000
257;-36.000000;1.000000;0.000000
258;-35.000000;1.000000;0.000000
259;-35.000000;1.000000;0.000000
260;-36.000000;1.000000;0.000000
261;-36.000000;1.000000;0.000000
262;-36.000000;1.000000;0.000000
263;-37.000000;1.000000;0.000000
264;-38.000000;1.000000;0.000000
265;-38.000000;1.000000;0.000000
266;-39.000000;1.000000;0.000000
267;-38.000000;1.000000;0.000000
268;-39.000000;1.000000;0.000000
269;-40.000000;1.000000;0.000000
270;-36.000000;2.000000;0.000000
271;-34.000000;2.000000;0.000000
272;-34.000000;2.000000;0.000000
273;-33.000000;2.000000;0.000000
274;-35.000000;2.000000;0.000000
275;-39.000000;2.000000;0.000000
276;-40.000000;2.000000;0.000000
277;-40.000000;2.000000;0.000000
278;-45.000000;2.000000;0.000000
279;-46.000000;2.000000;0.000000
280;-44.000000;2.000000;0.000000
281;-47.000000;2.000000;0.000000
282;-45.000000;2.000000;0.000000
283;-43.000000;2.000000;0.000000
284;-48.000000;2.000000;0.000000
285;-46.000000;2.000000;0.000000
286;-44.000000;2.000000;0.000000
287;-49.000000;2.000000;0.000000
288;-47.000000;2.000000;0.000000
289;-45.000000;2.000000;0.000000
290;-47.000000;2.000000;0.002202
291;-44.000000;2.000000;3.176586
292;-41.000000;2.000000;6.350970
293;-43.000000;2.000000;9.525354
294;-44.000000;2.000000;12.699739
295;-45.000000;2.000000;15.874124
296;-51.000000;2.000000;19.048508
297;-56.000000;2.000000;22.222891
298;-61.000000;2.000000;25.397276
299;-69.000000;3.000000;28.571659
300;-81.000000;3.000000;31.746044
301;-93.000000;4.000000;34.920425
302;-106.000000;4.000000;38.094814
303;-122.000000;5.000000;41.269196
304;-140.000000;6.000000;44.443581
305;-169.000000;7.000000;47.617966
306;-202.000000;8.000000;50.792347
307;-230.000000;9.000000;53.966732
308;-270.000000;11.000000;57.141117
309;-311.000000;13.000000;60.315502
310;-355.000000;15.000000;63.489883
311;-408.000000;17.000000;66.664268
312;-458.000000;19.000000;69.838654
313;-513.000000;21.000000;73.013039
314;-576.000000;24.000000;76.187416
315;-632.000000;26.000000;79.361809
316;-688.000000;28.000000;82.536186
317;-748.000000;31.000000;85.710571
318;-807.000000;33.000000;88.884956
319;-858.000000;36.000000;92.059341
320;-916.000000;38.000000;95.233727
321;-971.000000;40.000000;98.408112
322;-1023.000000;42.000000;101.582497
323;-1082.000000;45.000000;104.756874
324;-1133.000000;47.000000;107.931259
325;-1188.000000;49.000000;111.105644
326;-1247.000000;52.000000;114.280029
327;-1307.000000;54.000000;117.454414
328;-1368.000000;57.000000;120.628799
329;-1439.000000;59.000000;123.803185
330;-1508.000000;62.000000;126.977570
331;-1577.000000;65.000000;130.151947
332;-1655.000000;69.000000;133.326324
333;-1729.000000;72.000000;136.500717
334;-1807.000000;75.000000;139.675110
335;-1889.000000;78.000000;142.849487
336;-1964.000000;81.000000;146.023880
337;-2040.000000;84.000000;149.198257
338;-2124.000000;88.000000;152.372650
339;-2207.000000;91.000000;155.547012
340;-2287.000000;95.000000;158.721405
341;-2377.000000;98.000000;161.895798
342;-2465.000000;102.000000;165.070175
343;-2553.000000;105.000000;168.244553
344;-2647.000000;109.000000;171.418945
345;-2739.000000;113.000000;174.593323
346;-2831.000000;117.000000;177.767715
347;-2927.000000;121.000000;180.942093
348;-3016.000000;124.000000;184.116486
349;-3097.000000;128.000000;187.290863
350;-3176.000000;131.000000;190.465256
351;-3242.000000;134.000000;193.639633
352;-3307.000000;136.000000;196.814011
353;-3373.000000;139.000000;199.988403
354;-3432.000000;142.000000;203.162781
355;-3496.000000;144.000000;206.337173
356;-3562.000000;147.000000;209.511551
357;-3627.000000;150.000000;212.685944
358;-3698.000000;153.000000;215.860321
359;-3772.000000;156.000000;219.034698
360;-3843.000000;159.000000;222.209091
361;-3920.000000;162.000000;225.383469
362;-4003.000000;165.000000;228.557861
363;-4078.000000;168.000000;231.732239
