takt;q1;q2;q2p
0;415.000000;-17.000000;0.000000
1;772.000000;-29.000000;0.000000
2;1024.000000;-40.000000;0.000000
3;1201.000000;-48.000000;0.000000
4;1278.000000;-51.000000;0.000000
5;1260.000000;-51.000000;0.000000
6;1195.000000;-49.000000;0.000000
7;1078.000000;-45.000000;0.000000
8;901.000000;-37.000000;0.000000
9;720.000000;-30.000000;0.000000
10;564.000000;-24.000000;0.000000
11;396.000000;-17.000000;0.000000
12;233.000000;-10.000000;0.000000
13;100.000000;-5.000000;0.000000
14;-16.000000;0.000000;0.000000
15;-125.000000;4.000000;0.000000
16;-192.000000;7.000000;0.000000
17;-232.000000;8.000000;0.000000
18;-270.000000;10.000000;0.000000
19;-284.000000;11.000000;0.000000
20;-268.000000;11.000000;0.000000
21;-256.000000;10.000000;0.000000
22;-234.000000;10.000000;0.000000
23;-199.000000;8.000000;0.000000
24;-168.000000;7.000000;0.000000
25;-139.000000;6.000000;0.000000
26;-106.000000;4.000000;0.000000
27;-74.000000;3.000000;0.000000
28;-50.000000;2.000000;0.000000
29;-30.000000;1.000000;0.000000
30;-16.000000;1.000000;0.000000
31;-8.000000;1.000000;0.000000
32;-8.000000;1.000000;0.000000
33;-12.000000;0.000000;0.000000
34;-14.000000;0.000000;0.000000
35;-22.000000;0.000000;0.000000
36;-25.000000;0.000000;0.000000
37;-23.000000;0.000000;0.000000
38;-26.000000;0.000000;0.000000
39;-26.000000;0.000000;0.000000
40;-22.000000;0.000000;0.000000
41;-22.000000;0.000000;0.000000
42;-21.000000;0.000000;0.000000
43;-20.000000;0.000000;0.000000
44;-21.000000;0.000000;0.000000
45;-19.000000;0.000000;0.000000
46;-16.000000;0.000000;0.000000
47;-16.000000;0.000000;0.000000
48;-14.000000;0.000000;0.000000
49;-15.000000;0.000000;0.000000
50;-15.000000;0.000000;0.000000
51;-15.000000;0.000000;0.000000
52;-16.000000;0.000000;0.000000
53;-18.000000;0.000000;0.000000
54;-17.000000;0.000000;0.000000
55;-17.000000;0.000000;0.000000
56;-18.000000;0.000000;0.000000
57;-17.000000;0.000000;0.000000
58;-19.000000;0.000000;0.000000
59;-19.000000;0.000000;0.000000
60;-18.000000;0.000000;0.000000
61;-18.000000;0.000000;0.000000
62;-16.000000;0.000000;0.000000
63;-16.000000;0.000000;0.000000
64;-15.000000;0.000000;0.000000
65;-14.000000;0.000000;0.000000
66;-15.000000;0.000000;0.000000
67;-14.000000;0.000000;0.000000
68;-14.000000;0.000000;0.000000
69;-15.000000;0.000000;0.000000
70;-14.000000;0.000000;0.000000
71;-15.000000;0.000000;0.000000
72;-16.000000;0.000000;0.000000
73;-15.000000;0.000000;0.000000
74;-17.000000;0.000000;0.000000
75;-17.000000;0.000000;0.000000
76;-15.000000;0.000000;0.000000
77;-16.000000;0.000000;0.000000
78;-15.000000;0.000000;0.000000
79;-14.000000;0.000000;0.000000
80;-16.000000;0.000000;0.000000
81;-15.000000;0.000000;0.000000
82;-14.000000;0.000000;0.000000
83;-14.000000;0.000000;0.000000
84;-14.000000;0.000000;0.000000
85;-13.000000;0.000000;0.000000
86;-12.000000;0.000000;0.000000
87;-13.000000;0.000000;0.000000
88;-12.000000;0.000000;0.000000
89;-14.000000;0.000000;0.000000
90;-14.000000;0.000000;0.000000
91;-11.000000;0.000000;0.000000
92;-13.000000;0.000000;0.000000
93;-12.000000;0.000000;0.000000
94;-10.000000;0.000000;0.000000
95;-11.000000;0.000000;0.000000
96;-9.000000;0.000000;0.000000
97;-4.000000;0.000000;0.000000
98;-4.000000;0.000000;0.000000
99;-3.000000;0.000000;0.000000
100;1.000000;0.000000;0.000000
101;2.000000;0.000000;0.000000
102;4.000000;0.000000;0.000000
103;10.000000;0.000000;0.000000
104;11.000000;0.000000;0.000000
105;11.000000;0.000000;0.000000
106;11.000000;-1.000000;0.000000
107;8.000000;-1.000000;0.000000
108;10.000000;-1.000000;0.000000
109;13.000000;-1.000000;0.000000
110;13.000000;-1.000000;0.000000
111;19.000000;-1.000000;0.000000
112;24.000000;-1.000000;0.000000
113;25.000000;-1.000000;0.000000
114;32.000000;-1.000000;0.000000
115;40.000000;-2.000000;0.000000
116;38.000000;-2.000000;0.000000
117;47.000000;-2.000000;0.000000
118;56.000000;-2.000000;0.000000
119;59.000000;-2.000000;0.000000
120;67.000000;-3.000000;0.000000
121;72.000000;-3.000000;0.000000
122;71.000000;-3.000000;0.000000
123;73.000000;-3.000000;0.000000
124;75.000000;-3.000000;0.000000
125;72.000000;-3.000000;0.000000
126;74.000000;-3.000000;0.000000
127;74.000000;-3.000000;0.000000
128;71.000000;-3.000000;0.000000
129;76.000000;-3.000000;0.000000
130;73.000000;-3.000000;0.000000
131;72.000000;-3.000000;0.000000
132;75.000000;-3.000000;0.000000
133;72.000000;-3.000000;0.000000
134;71.000000;-3.000000;0.000000
135;74.000000;-3.000000;0.000000
136;71.000000;-3.000000;0.000000
137;72.000000;-3.000000;0.000000
138;75.000000;-3.000000;0.000000
139;71.000000;-3.000000;0.000000
140;70.000000;-3.000000;0.000000
141;72.000000;-3.000000;0.000000
142;68.000000;-3.000000;0.000000
143;70.000000;-3.000000;0.000000
144;73.000000;-3.000000;0.000000
145;69.000000;-3.000000;0.000000
146;72.000000;-3.000000;0.000000
147;72.000000;-3.000000;0.000000
148;69.000000;-3.000000;0.000000
149;70.000000;-3.000000;0.000000
150;70.000000;-3.000000;0.000000
151;67.000000;-3.000000;0.000000
152;69.000000;-3.000000;0.000000
153;70.000000;-3.000000;0.000000
154;67.000000;-3.000000;0.000000
155;66.000000;-3.000000;0.000000
156;66.000000;-3.000000;0.000000
157;64.000000;-3.000000;0.000000
158;63.000000;-3.000000;0.000000
159;64.000000;-3.000000;0.000000
160;60.000000;-3.000000;0.000000
161;60.000000;-3.000000;0.000000
162;61.000000;-3.000000;0.000000
163;57.000000;-3.000000;0.000000
164;57.000000;-3.000000;0.000000
165;59.000000;-3.000000;0.000000
166;55.000000;-3.000000;0.000000
167;56.000000;-3.000000;0.000000
168;56.000000;-3.000000;0.000000
169;52.000000;-3.000000;0.000000
170;53.000000;-3.000000;0.000000
171;52.000000;-3.000000;0.000000
172;50.000000;-3.000000;0.000000
173;50.000000;-3.000000;0.000000
174;49.000000;-3.000000;0.000000
175;47.000000;-3.000000;0.000000
176;47.000000;-3.000000;0.000000
177;47.000000;-3.000000;0.000000
178;45.000000;-3.000000;0.000000
179;45.000000;-3.000000;0.000000
180;45.000000;-3.000000;0.000000
181;43.000000;-3.000000;0.000000
182;47.000000;-2.000000;0.000000
183;47.000000;-2.000000;0.000000
184;46.000000;-2.000000;0.000000
185;47.000000;-2.000000;0.000000
186;45.000000;-2.000000;0.000000
187;45.000000;-2.000000;0.000000
188;46.000000;-2.000000;0.000000
189;44.000000;-2.000000;0.000000
190;46.000000;-2.000000;0.000000
191;47.000000;-2.000000;0.000000
192;47.000000;-2.000000;0.000000
193;48.000000;-2.000000;0.000000
194;48.000000;-2.000000;0.000000
195;48.000000;-2.000000;0.000000
196;51.000000;-2.000000;0.000000
197;51.000000;-2.000000;0.000000
198;53.000000;-2.000000;0.000000
199;55.000000;-2.000000;0.000000
200;54.000000;-2.000000;0.000000
201;56.000000;-2.000000;0.000000
202;57.000000;-2.000000;0.000000
203;57.000000;-2.000000;0.000000
204;59.000000;-2.000000;0.000000
205;60.000000;-2.000000;0.000000
206;62.000000;-2.000000;0.000000
207;64.000000;-2.000000;0.000000
208;62.000000;-3.000000;0.000000
209;62.000000;-3.000000;0.000000
210;64.000000;-3.000000;0.000000
211;63.000000;-3.000000;0.000000
212;64.000000;-3.000000;0.000000
213;66.000000;-3.000000;0.000000
214;64.000000;-3.000000;0.000000
215;64.000000;-3.000000;0.000000
216;67.000000;-3.000000;0.000000
217;65.000000;-3.000000;0.000000
218;65.000000;-3.000000;0.000000
219;67.000000;-3.000000;0.000000
220;65.000000;-3.000000;0.000000
221;65.000000;-3.000000;0.000000
222;67.000000;-3.000000;0.000000
223;64.000000;-3.000000;0.000000
224;64.000000;-3.000000;0.000000
225;66.000000;-3.000000;0.000000
226;62.000000;-3.000000;0.000000
227;63.000000;-3.000000;0.000000
228;66.000000;-3.000000;0.000000
229;63.000000;-3.000000;0.000000
230;65.000000;-3.000000;0.000000
231;67.000000;-3.000000;0.000000
232;64.000000;-3.000000;0.000000
233;65.000000;-3.000000;0.000000
234;67.000000;-3.000000;0.000000
235;63.000000;-3.000000;0.000000
236;65.000000;-3.000000;0.000000
237;66.000000;-3.000000;0.000000
238;62.000000;-3.000000;0.000000
239;64.000000;-3.000000;0.000000
240;64.000000;-3.000000;0.000000
241;59.000000;-3.000000;0.000000
242;61.000000;-3.000000;0.000000
243;61.000000;-3.000000;0.000000
244;56.000000;-3.000000;0.000000
245;58.000000;-3.000000;0.000000
246;58.000000;-3.000000;0.000000
247;53.000000;-3.000000;0.000000
248;54.000000;-3.000000;0.000000
249;55.000000;-3.000000;0.000000
250;49.000000;-3.000000;0.000000
251;50.000000;-3.000000;0.000000
252;51.000000;-3.000000;0.000000
253;46.000000;-3.000000;0.000000
254;48.000000;-3.000000;0.000000
255;49.000000;-3.000000;0.000000
256;44.000000;-3.000000;0.000000
257;47.000000;-3.000000;0.000000
258;46.000000;-3.000000;0.000000
259;43.000000;-2.000000;0.000000
260;49.000000;-2.000000;0.000000
261;50.000000;-2.000000;0.000000
262;49.000000;-2.000000;0.000000
263;53.000000;-2.000000;0.000000
264;53.000000;-2.000000;0.000000
265;52.000000;-2.000000;0.000000
266;56.000000;-2.000000;0.000000
