takt;q1;q2;q2p
0;420.000000;-17.000000;0.000000
1;778.000000;-29.000000;0.000000
2;1028.000000;-39.000000;0.000000
3;1184.000000;-45.000000;0.000000
4;1213.000000;-46.000000;0.000000
5;1106.000000;-42.000000;0.000000
6;929.000000;-36.000000;0.000000
7;687.000000;-28.000000;0.000000
8;364.000000;-15.000000;0.000000
9;39.000000;-2.000000;0.000000
10;-231.000000;8.000000;0.000000
11;-476.000000;18.000000;0.000000
12;-678.000000;26.000000;0.000000
13;-790.000000;31.000000;0.000000
14;-842.000000;33.000000;0.000000
15;-841.000000;33.000000;0.000000
16;-758.000000;30.000000;0.000000
17;-630.000000;25.000000;0.000000
18;-489.000000;20.000000;0.000000
19;-331.000000;13.000000;0.000000
20;-155.000000;6.000000;0.000000
21;3.000000;0.000000;0.000000
22;144.000000;-5.000000;0.000000
23;268.000000;-10.000000;0.000000
24;359.000000;-14.000000;0.000000
25;413.000000;-16.000000;0.000000
26;434.000000;-17.000000;0.000000
27;427.000000;-17.000000;0.000000
28;385.000000;-16.000000;0.000000
29;322.000000;-13.000000;0.000000
30;245.000000;-10.000000;0.000000
31;164.000000;-7.000000;0.000000
32;76.000000;-4.000000;0.000000
33;-2.000000;0.000000;0.000000
34;-68.000000;2.000000;0.000000
35;-131.000000;5.000000;0.000000
36;-175.000000;6.000000;0.000000
37;-199.000000;7.000000;0.000000
38;-213.000000;8.000000;0.000000
39;-217.000000;8.000000;0.000000
40;-195.000000;8.000000;0.000000
41;-162.000000;7.000000;0.000000
42;-127.000000;5.000000;0.000000
43;-72.000000;3.000000;0.000000
44;-23.000000;1.000000;0.000000
45;18.000000;0.000000;0.000000
46;55.000000;-2.000000;0.000000
47;92.000000;-3.000000;0.000000
48;113.000000;-4.000000;0.000000
49;124.000000;-5.000000;0.000000
50;125.000000;-5.000000;0.000000
51;118.000000;-5.000000;0.000000
52;99.000000;-4.000000;0.000000
53;71.000000;-4.000000;0.000000
