takt;q1;q2;q2p
0;402.000000;-16.000000;0.000000
1;749.000000;-27.000000;0.000000
2;978.000000;-37.000000;0.000000
3;1114.000000;-43.000000;0.000000
4;1119.000000;-43.000000;0.000000
5;978.000000;-37.000000;0.000000
6;776.000000;-30.000000;0.000000
7;503.000000;-20.000000;0.000000
8;160.000000;-6.000000;0.000000
9;-174.000000;7.000000;0.000000
10;-450.000000;18.000000;0.000000
11;-692.000000;27.000000;0.000000
12;-863.000000;34.000000;0.000000
13;-934.000000;37.000000;0.000000
14;-931.000000;37.000000;0.000000
15;-868.000000;35.000000;0.000000
16;-729.000000;29.000000;0.000000
17;-541.000000;22.000000;0.000000
18;-333.000000;14.000000;0.000000
19;-123.000000;6.000000;0.000000
20;92.000000;-3.000000;0.000000
21;276.000000;-10.000000;0.000000
22;411.000000;-15.000000;0.000000
23;515.000000;-20.000000;0.000000
24;576.000000;-22.000000;0.000000
25;572.000000;-22.000000;0.000000
26;519.000000;-21.000000;0.000000
27;450.000000;-18.000000;0.000000
28;340.000000;-14.000000;0.000000
29;211.000000;-9.000000;0.000000
30;93.000000;-4.000000;0.000000
31;-28.000000;1.000000;0.000000
32;-141.000000;5.000000;0.000000
33;-226.000000;9.000000;0.000000
34;-294.000000;12.000000;0.000000
35;-333.000000;13.000000;0.000000
36;-341.000000;13.000000;0.000000
37;-329.000000;13.000000;0.000000
38;-298.000000;12.000000;0.000000
39;-241.000000;10.000000;0.000000
40;-187.000000;8.000000;0.000000
41;-115.000000;5.000000;0.000000
42;-40.000000;2.000000;0.000000
43;22.000000;0.000000;0.000000
44;87.000000;-3.000000;0.000000
45;144.000000;-5.000000;0.000000
46;183.000000;-7.000000;0.000000
47;204.000000;-7.000000;0.000000
48;214.000000;-8.000000;0.000000
49;208.000000;-8.000000;0.000000
50;187.000000;-8.000000;0.000000
51;154.000000;-6.000000;0.000000
52;109.000000;-4.000000;0.000000
53;64.000000;-3.000000;0.000000
54;17.000000;-1.000000;0.000000
55;-26.000000;1.000000;0.000000
56;-70.000000;2.000000;0.000000
57;-103.000000;4.000000;0.000000
58;-125.000000;5.000000;0.000000
59;-131.000000;5.000000;0.000000
60;-129.000000;5.000000;0.000000
