takt;q1;q2;q2p
0;399.000000;-16.000000;0.000000
1;737.000000;-27.000000;0.000000
2;949.000000;-35.000000;0.000000
3;1044.000000;-39.000000;0.000000
4;997.000000;-38.000000;0.000000
5;787.000000;-29.000000;0.000000
6;511.000000;-19.000000;0.000000
7;173.000000;-7.000000;0.000000
8;-217.000000;8.000000;0.000000
9;-563.000000;22.000000;0.000000
10;-802.000000;31.000000;0.000000
11;-960.000000;37.000000;0.000000
12;-1004.000000;39.000000;0.000000
13;-917.000000;36.000000;0.000000
14;-748.000000;29.000000;0.000000
15;-528.000000;21.000000;0.000000
16;-243.000000;10.000000;0.000000
17;60.000000;-2.000000;0.000000
18;321.000000;-12.000000;0.000000
19;532.000000;-20.000000;0.000000
20;685.000000;-26.000000;0.000000
21;728.000000;-28.000000;0.000000
22;681.000000;-26.000000;0.000000
23;577.000000;-22.000000;0.000000
24;410.000000;-16.000000;0.000000
25;203.000000;-8.000000;0.000000
26;-2.000000;0.000000;0.000000
27;-182.000000;7.000000;0.000000
28;-330.000000;12.000000;0.000000
29;-424.000000;16.000000;0.000000
30;-459.000000;18.000000;0.000000
31;-431.000000;17.000000;0.000000
32;-364.000000;15.000000;0.000000
33;-258.000000;11.000000;0.000000
34;-120.000000;5.000000;0.000000
35;7.000000;0.000000;0.000000
36;113.000000;-4.000000;0.000000
37;208.000000;-7.000000;0.000000
38;263.000000;-10.000000;0.000000
39;276.000000;-10.000000;0.000000
40;261.000000;-10.000000;0.000000
41;212.000000;-9.000000;0.000000
42;137.000000;-6.000000;0.000000
43;70.000000;-3.000000;0.000000
44;9.000000;-1.000000;0.000000
45;-36.000000;1.000000;0.000000
46;-59.000000;2.000000;0.000000
47;-67.000000;2.000000;0.000000
48;-66.000000;2.000000;0.000000
49;-57.000000;2.000000;0.000000
50;-41.000000;2.000000;0.000000
51;-18.000000;1.000000;0.000000
52;3.000000;1.000000;0.000000
53;13.000000;0.000000;0.000000
54;22.000000;0.000000;0.000000
55;25.000000;0.000000;0.000000
56;21.000000;0.000000;0.000000
57;18.000000;0.000000;0.000000
58;17.000000;0.000000;0.000000
59;14.000000;0.000000;0.000000
60;13.000000;0.000000;0.000000
61;21.000000;0.000000;0.000000
62;24.000000;-1.000000;0.000000
63;20.000000;-1.000000;0.000000
64;23.000000;-1.000000;0.000000
65;24.000000;-1.000000;0.000000
66;15.000000;-1.000000;0.000000
67;6.000000;0.000000;0.000000
68;3.000000;0.000000;0.000000
69;-5.000000;0.000000;0.000000
70;-7.000000;0.000000;0.000000
71;6.000000;0.000000;0.000000
72;17.000000;0.000000;0.000000
73;24.000000;0.000000;0.000000
74;36.000000;-1.000000;0.000000
75;43.000000;-1.000000;0.000000
76;40.000000;-1.000000;0.000000
77;35.000000;-1.000000;0.000000
78;33.000000;-1.000000;0.000000
79;25.000000;-1.000000;0.000000
80;12.000000;-1.000000;0.000000
81;7.000000;-1.000000;0.000000
82;4.000000;-1.000000;0.000000
83;2.000000;0.000000;0.000000
84;8.000000;0.000000;0.000000
85;17.000000;0.000000;0.000000
86;28.000000;-1.000000;0.000000
87;34.000000;-1.000000;0.000000
88;44.000000;-1.000000;0.000000
89;51.000000;-2.000000;0.000000
90;35.000000;-2.000000;0.000000
91;23.000000;-1.000000;0.000000
92;15.000000;-1.000000;0.000000
93;-4.000000;0.000000;0.000000
94;-10.000000;1.000000;0.000000
95;0.000000;1.000000;0.000000
96;4.000000;0.000000;0.000000
97;5.000000;0.000000;0.000000
98;23.000000;0.000000;0.000000
99;36.000000;-1.000000;0.000000
100;35.000000;-1.000000;0.000000
101;38.000000;-1.000000;0.000000
102;40.000000;-1.000000;0.000000
103;27.000000;-1.000000;0.000000
104;18.000000;-1.000000;0.000000
105;18.000000;-1.000000;0.000000
106;14.000000;-1.000000;0.000000
107;7.000000;0.000000;0.000000
108;17.000000;0.000000;0.000000
109;29.000000;0.000000;0.000000
110;25.000000;-1.000000;0.000000
111;29.000000;-1.000000;0.000000
112;39.000000;-1.000000;0.000000
113;32.000000;-1.000000;0.000000
114;21.000000;-1.000000;0.000000
115;22.000000;-1.000000;0.000000
116;12.000000;-1.000000;0.000000
117;-4.000000;0.000000;0.000000
118;7.000000;0.000000;0.000000
119;19.000000;0.000000;0.000000
120;21.000000;0.000000;0.000000
121;34.000000;-1.000000;0.000000
122;47.000000;-1.000000;0.000000
123;44.000000;-2.000000;0.000000
124;38.000000;-2.000000;0.000000
125;33.000000;-2.000000;0.000000
126;20.000000;-1.000000;0.000000
127;4.000000;0.000000;0.000000
128;0.000000;0.000000;0.000000
129;1.000000;0.000000;0.000000
130;1.000000;0.000000;0.000000
131;5.000000;0.000000;0.000000
132;17.000000;0.000000;0.000000
133;28.000000;-1.000000;0.000000
134;25.000000;-1.000000;0.000000
135;31.000000;-1.000000;0.000000
136;37.000000;-1.000000;0.000000
137;27.000000;-1.000000;0.000000
138;22.000000;-1.000000;0.000000
139;26.000000;-1.000000;0.000000
140;17.000000;-1.000000;0.000000
141;9.000000;-1.000000;0.000000
142;16.000000;-1.000000;0.000000
143;16.000000;-1.000000;0.000000
144;11.000000;-1.000000;0.000000
145;16.000000;-1.000000;0.000000
146;20.000000;-1.000000;0.000000
147;17.000000;-1.000000;0.000000
148;16.000000;-1.000000;0.000000
149;18.000000;-1.000000;0.000000
150;16.000000;-1.000000;0.000000
151;12.000000;-1.000000;0.000000
152;11.000000;-1.000000;0.000000
153;15.000000;-1.000000;0.000000
154;14.000000;-1.000000;0.000000
155;13.000000;-1.000000;0.000000
156;19.000000;-1.000000;0.000000
157;20.000000;-1.000000;0.000000
158;16.000000;-1.000000;0.000000
159;21.000000;-1.000000;0.000000
160;26.000000;-1.000000;0.000000
161;21.000000;-1.000000;0.000000
162;22.000000;-1.000000;0.000000
163;23.000000;-1.000000;0.000000
164;16.000000;-1.000000;0.000000
165;13.000000;-1.000000;0.000000
166;14.000000;-1.000000;0.000000
167;9.000000;-1.000000;0.000000
168;6.000000;-1.000000;0.000000
169;8.000000;-1.000000;0.000000
170;9.000000;-1.000000;0.000000
171;12.000000;-1.000000;0.000000
172;14.000000;-1.000000;0.000000
173;16.000000;-1.000000;0.000000
174;19.000000;-1.000000;0.000000
175;19.000000;-1.000000;0.000000
176;18.000000;-1.000000;0.000000
177;20.000000;-1.000000;0.000000
178;17.000000;-1.000000;0.000000
179;12.000000;-1.000000;0.000000
180;13.000000;-1.000000;0.000000
181;11.000000;-1.000000;0.000000
182;6.000000;0.000000;0.000000
183;14.000000;0.000000;0.000000
184;21.000000;0.000000;0.000000
185;24.000000;0.000000;0.000000
186;32.000000;-1.000000;0.000000
187;32.000000;-1.000000;0.000000
188;26.000000;-1.000000;0.000000
189;22.000000;-1.000000;0.000000
190;16.000000;-1.000000;0.000000
191;7.000000;-1.000000;0.000000
192;2.000000;0.000000;0.000000
193;5.000000;0.000000;0.000000
194;10.000000;0.000000;0.000000
195;19.000000;0.000000;0.000000
196;29.000000;0.000000;0.000000
197;30.000000;-1.000000;0.000000
198;32.000000;-1.000000;0.000000
199;34.000000;-1.000000;0.000000
200;28.000000;-1.000000;0.000000
201;20.000000;-1.000000;0.000000
202;11.000000;-1.000000;0.000000
203;4.000000;0.000000;0.000000
204;5.000000;0.000000;0.000000
205;9.000000;0.000000;0.000000
206;16.000000;0.000000;0.000000
207;23.000000;0.000000;0.000000
208;30.000000;-1.000000;0.000000
209;29.000000;-1.000000;0.000000
210;30.000000;-1.000000;0.000000
211;26.000000;-1.000000;0.000000
212;17.000000;-1.000000;0.000000
213;9.000000;-1.000000;0.000000
214;5.000000;-1.000000;0.000000
215;3.000000;0.000000;0.000000
216;3.000000;0.000000;0.000000
217;10.000000;0.000000;0.000000
218;17.000000;0.000000;0.000000
219;21.000000;0.000000;0.000000
220;29.000000;-1.000000;0.000000
221;30.000000;-1.000000;0.000000
222;25.000000;-1.000000;0.000000
223;21.000000;-1.000000;0.000000
224;13.000000;-1.000000;0.000000
225;6.000000;0.000000;0.000000
226;5.000000;0.000000;0.000000
227;7.000000;0.000000;0.000000
228;12.000000;0.000000;0.000000
229;21.000000;0.000000;0.000000
230;30.000000;-1.000000;0.000000
231;33.000000;-1.000000;0.000000
232;33.000000;-1.000000;0.000000
233;28.000000;-1.000000;0.000000
234;20.000000;-1.000000;0.000000
235;13.000000;-1.000000;0.000000
236;4.000000;-1.000000;0.000000
237;3.000000;0.000000;0.000000
238;7.000000;0.000000;0.000000
239;12.000000;0.000000;0.000000
240;23.000000;0.000000;0.000000
241;33.000000;-1.000000;0.000000
242;32.000000;-1.000000;0.000000
243;35.000000;-1.000000;0.000000
244;35.000000;-1.000000;0.000000
245;25.000000;-1.000000;0.000000
246;19.000000;-1.000000;0.000000
247;15.000000;-1.000000;0.000000
248;5.000000;-1.000000;0.000000
249;6.000000;0.000000;0.000000
250;10.000000;0.000000;0.000000
251;12.000000;0.000000;0.000000
252;19.000000;0.000000;0.000000
253;27.000000;-1.000000;0.000000
254;28.000000;-1.000000;0.000000
255;30.000000;-1.000000;0.000000
256;30.000000;-1.000000;0.000000
257;25.000000;-1.000000;0.000000
258;21.000000;-1.000000;0.000000
259;15.000000;-1.000000;0.000000
260;10.000000;-1.000000;0.000000
261;10.000000;-1.000000;0.000000
262;9.000000;0.000000;0.000000
263;14.000000;0.000000;0.000000
264;21.000000;0.000000;0.000000
265;25.000000;0.000000;0.000000
266;26.000000;-1.000000;0.000000
267;30.000000;-1.000000;0.000000
268;29.000000;-1.000000;0.000000
