takt;q1;q2;q2p
0;413.000000;-17.000000;0.000000
1;748.000000;-26.000000;0.000000
2;929.000000;-34.000000;0.000000
3;985.000000;-36.000000;0.000000
4;850.000000;-32.000000;0.000000
5;533.000000;-19.000000;0.000000
6;177.000000;-7.000000;0.000000
7;-223.000000;7.000000;0.000000
8;-652.000000;24.000000;0.000000
9;-959.000000;36.000000;0.000000
10;-1098.000000;41.000000;0.000000
11;-1104.000000;42.000000;0.000000
12;-945.000000;36.000000;0.000000
13;-627.000000;24.000000;0.000000
14;-248.000000;9.000000;0.000000
15;146.000000;-6.000000;0.000000
16;524.000000;-19.000000;0.000000
17;807.000000;-30.000000;0.000000
18;938.000000;-35.000000;0.000000
19;916.000000;-35.000000;0.000000
20;757.000000;-29.000000;0.000000
21;499.000000;-19.000000;0.000000
22;172.000000;-7.000000;0.000000
23;-167.000000;6.000000;0.000000
24;-468.000000;17.000000;0.000000
25;-690.000000;25.000000;0.000000
26;-798.000000;29.000000;0.000000
27;-782.000000;29.000000;0.000000
28;-665.000000;25.000000;0.000000
29;-472.000000;18.000000;0.000000
30;-208.000000;8.000000;0.000000
31;81.000000;-3.000000;0.000000
32;345.000000;-13.000000;0.000000
33;552.000000;-20.000000;0.000000
34;670.000000;-25.000000;0.000000
35;677.000000;-25.000000;0.000000
36;585.000000;-22.000000;0.000000
37;417.000000;-16.000000;0.000000
38;198.000000;-8.000000;0.000000
39;-52.000000;1.000000;0.000000
40;-287.000000;10.000000;0.000000
41;-469.000000;17.000000;0.000000
42;-568.000000;20.000000;0.000000
43;-578.000000;22.000000;0.000000
44;-493.000000;19.000000;0.000000
45;-344.000000;13.000000;0.000000
46;-162.000000;6.000000;0.000000
47;42.000000;-2.000000;0.000000
48;233.000000;-9.000000;0.000000
49;377.000000;-14.000000;0.000000
50;456.000000;-17.000000;0.000000
51;468.000000;-17.000000;0.000000
52;400.000000;-15.000000;0.000000
53;279.000000;-11.000000;0.000000
54;132.000000;-6.000000;0.000000
55;-33.000000;1.000000;0.000000
56;-192.000000;7.000000;0.000000
57;-299.000000;11.000000;0.000000
58;-360.000000;13.000000;0.000000
59;-363.000000;13.000000;0.000000
60;-300.000000;12.000000;0.000000
61;-203.000000;8.000000;0.000000
62;-85.000000;3.000000;0.000000
63;45.000000;-2.000000;0.000000
64;166.000000;-6.000000;0.000000
65;244.000000;-9.000000;0.000000
66;276.000000;-10.000000;0.000000
67;266.000000;-10.000000;0.000000
68;208.000000;-8.000000;0.000000
69;122.000000;-5.000000;0.000000
70;28.000000;-2.000000;0.000000
71;-70.000000;2.000000;0.000000
72;-153.000000;5.000000;0.000000
73;-203.000000;7.000000;0.000000
74;-218.000000;8.000000;0.000000
75;-195.000000;7.000000;0.000000
76;-140.000000;5.000000;0.000000
77;-71.000000;3.000000;0.000000
78;11.000000;0.000000;0.000000
79;85.000000;-3.000000;0.000000
80;132.000000;-5.000000;0.000000
81;162.000000;-6.000000;0.000000
82;155.000000;-6.000000;0.000000
83;121.000000;-5.000000;0.000000
84;70.000000;-3.000000;0.000000
85;13.000000;-1.000000;0.000000
86;-52.000000;1.000000;0.000000
87;-97.000000;3.000000;0.000000
88;-128.000000;4.000000;0.000000
89;-139.000000;5.000000;0.000000
90;-114.000000;4.000000;0.000000
91;-78.000000;3.000000;0.000000
92;-30.000000;1.000000;0.000000
93;22.000000;0.000000;0.000000
94;66.000000;-2.000000;0.000000
95;96.000000;-3.000000;0.000000
96;113.000000;-4.000000;0.000000
97;115.000000;-4.000000;0.000000
98;93.000000;-4.000000;0.000000
99;55.000000;-3.000000;0.000000
100;13.000000;-1.000000;0.000000
101;-37.000000;0.000000;0.000000
102;-81.000000;2.000000;0.000000
103;-110.000000;4.000000;0.000000
104;-120.000000;4.000000;0.000000
105;-110.000000;4.000000;0.000000
106;-81.000000;3.000000;0.000000
107;-35.000000;1.000000;0.000000
108;10.000000;0.000000;0.000000
109;46.000000;-1.000000;0.000000
110;74.000000;-3.000000;0.000000
111;91.000000;-3.000000;0.000000
112;89.000000;-3.000000;0.000000
113;75.000000;-3.000000;0.000000
114;50.000000;-3.000000;0.000000
115;13.000000;-1.000000;0.000000
116;-20.000000;0.000000;0.000000
117;-45.000000;1.000000;0.000000
118;-69.000000;2.000000;0.000000
119;-72.000000;2.000000;0.000000
120;-63.000000;2.000000;0.000000
121;-50.000000;2.000000;0.000000
122;-23.000000;1.000000;0.000000
123;6.000000;0.000000;0.000000
124;24.000000;-1.000000;0.000000
125;33.000000;-1.000000;0.000000
126;44.000000;-2.000000;0.000000
127;36.000000;-2.000000;0.000000
128;29.000000;-2.000000;0.000000
129;20.000000;-1.000000;0.000000
130;4.000000;-1.000000;0.000000
131;-8.000000;0.000000;0.000000
132;-14.000000;0.000000;0.000000
133;-19.000000;0.000000;0.000000
134;-18.000000;0.000000;0.000000
135;-15.000000;0.000000;0.000000
136;-16.000000;0.000000;0.000000
137;-14.000000;0.000000;0.000000
138;-13.000000;0.000000;0.000000
139;-16.000000;0.000000;0.000000
140;-14.000000;0.000000;0.000000
141;-16.000000;0.000000;0.000000
142;-18.000000;0.000000;0.000000
143;-15.000000;0.000000;0.000000
144;-16.000000;0.000000;0.000000
145;-16.000000;0.000000;0.000000
146;-12.000000;0.000000;0.000000
