takt;q1;q2;q2p
0;395.000000;-16.000000;3.174366
1;742.000000;-28.000000;6.348731
2;1001.000000;-39.000000;9.523097
3;1195.000000;-48.000000;12.697462
4;1293.000000;-52.000000;15.871827
5;1293.000000;-53.000000;19.046194
6;1246.000000;-51.000000;22.220558
7;1142.000000;-48.000000;25.394922
8;961.000000;-40.000000;28.569288
9;764.000000;-32.000000;31.743654
10;568.000000;-24.000000;34.918022
11;338.000000;-15.000000;38.092388
12;95.000000;-5.000000;41.266758
13;-143.000000;5.000000;44.441124
14;-391.000000;14.000000;47.615490
15;-646.000000;25.000000;50.789856
16;-871.000000;34.000000;53.964226
17;-1084.000000;42.000000;57.138592
18;-1288.000000;51.000000;60.312954
19;-1469.000000;58.000000;63.487320
20;-1615.000000;64.000000;66.661682
21;-1742.000000;69.000000;69.836044
22;-1841.000000;73.000000;73.010406
23;-1910.000000;76.000000;76.184776
24;-1966.000000;78.000000;79.359131
25;-1998.000000;80.000000;82.533493
26;-2019.000000;81.000000;85.707863
27;-2026.000000;81.000000;88.882225
28;-2033.000000;81.000000;92.056595
29;-2040.000000;82.000000;95.230949
30;-2050.000000;82.000000;98.405312
31;-2062.000000;83.000000;101.579681
32;-2086.000000;84.000000;104.754044
33;-2117.000000;85.000000;107.928406
34;-2157.000000;87.000000;111.102768
35;-2209.000000;89.000000;114.277138
36;-2266.000000;91.000000;117.451500
37;-2323.000000;94.000000;120.625870
38;-2392.000000;97.000000;123.800232
39;-2464.000000;99.000000;126.974609
40;-2539.000000;103.000000;130.148972
41;-2619.000000;106.000000;133.323349
42;-2699.000000;109.000000;136.497711
43;-2781.000000;112.000000;139.672089
44;-2868.000000;116.000000;142.846451
45;-2953.000000;120.000000;146.020828
46;-3035.000000;123.000000;149.195206
47;-3119.000000;126.000000;152.369568
48;-3202.000000;130.000000;155.543945
49;-3283.000000;133.000000;158.718307
50;-3365.000000;136.000000;161.892685
51;-3439.000000;139.000000;165.067047
52;-3510.000000;142.000000;168.241425
53;-3587.000000;146.000000;171.415802
54;-3659.000000;148.000000;174.590149
55;-3728.000000;151.000000;177.764526
56;-3804.000000;154.000000;180.938904
57;-3877.000000;157.000000;184.113281
58;-3949.000000;160.000000;187.287643
59;-4023.000000;163.000000;190.462021
60;-4095.000000;166.000000;193.636383
61;-4171.000000;169.000000;196.810745
62;-4252.000000;173.000000;199.985123
63;-4328.000000;176.000000;203.159500
64;-4407.000000;179.000000;206.333878
65;-4495.000000;183.000000;209.508224
66;-4585.000000;186.000000;212.682602
67;-4678.000000;190.000000;215.856979
68;-4777.000000;194.000000;219.031357
69;-4876.000000;198.000000;222.205719
70;-4980.000000;203.000000;225.380081
71;-5087.000000;207.000000;228.554459
72;-5191.000000;211.000000;231.728821
73;-5300.000000;216.000000;234.903183
74;-5407.000000;220.000000;238.077545
75;-5505.000000;224.000000;241.251907
76;-5606.000000;228.000000;244.426270
77;-5704.000000;232.000000;247.600616
78;-5796.000000;236.000000;250.774979
79;-5886.000000;239.000000;253.949326
80;-5978.000000;243.000000;257.123688
81;-6065.000000;247.000000;260.298035
82;-6149.000000;250.000000;263.472412
83;-6229.000000;253.000000;266.646759
84;-6301.000000;256.000000;269.821106
85;-6373.000000;259.000000;272.995483
86;-6439.000000;262.000000;276.169830
87;-6500.000000;265.000000;279.344177
88;-6568.000000;267.000000;282.518524
89;-6627.000000;270.000000;285.692902
90;-6688.000000;272.000000;288.867249
91;-6755.000000;275.000000;292.041595
92;-6815.000000;278.000000;295.215973
93;-6879.000000;280.000000;298.390320
94;-6948.000000;283.000000;301.564667
95;-7013.000000;286.000000;304.739044
96;-7082.000000;288.000000;307.913391
97;-7159.000000;291.000000;311.087738
98;-7235.000000;295.000000;314.262115
99;-7307.000000;298.000000;317.436462
100;-7384.000000;301.000000;320.610809
101;-7464.000000;304.000000;323.785156
102;-7535.000000;307.000000;326.959534
