takt;q1;q2;q2p
0;378.000000;-15.000000;233.361786
1;657.000000;-21.000000;466.723572
2;701.000000;-7.000000;700.085449
3;367.000000;16.000000;933.447144
4;-420.000000;50.000000;1166.808960
5;-1677.000000;103.000000;1400.170776
6;-3422.000000;179.000000;1633.532593
7;-5608.000000;281.000000;1866.894287
8;-8293.000000;393.000000;2100.256104
9;-11405.000000;527.000000;2333.617920
10;-14797.000000;662.000000;2566.979736
11;-18496.000000;814.000000;2800.341797
12;-22349.000000;974.000000;3033.703613
13;-26346.000000;1137.000000;3267.065430
14;-30517.000000;1307.000000;3500.427246
15;-34897.000000;1489.000000;3733.789307
16;-39466.000000;1675.000000;3967.151123
17;-44193.000000;1871.000000;4200.513184
18;-49094.000000;2074.000000;4433.875000
19;-54165.000000;2281.000000;4667.236328
20;-59410.000000;2498.000000;4900.598145
21;-64810.000000;2718.000000;5133.959473
22;-70381.000000;2945.000000;5367.321289
23;-76122.000000;3180.000000;5600.683105
24;-82034.000000;3420.000000;5834.044434
25;-88084.000000;3665.000000;6067.406250
26;-94268.000000;3920.000000;6300.767578
27;-100648.000000;4182.000000;6534.129395
28;-107162.000000;4450.000000;6767.491211
29;-113828.000000;4723.000000;7000.853027
30;-120597.000000;5000.000000;7234.214844
31;-127579.000000;5286.000000;7467.576172
32;-134667.000000;5574.000000;7700.937500
33;-141920.000000;5875.000000;7934.298828
34;-149385.000000;6179.000000;8167.660645
35;-156894.000000;6487.000000;8401.022461
36;-164494.000000;6796.000000;8634.383789
37;-172027.000000;7098.000000;8867.747070
38;-179372.000000;7394.000000;9101.108398
39;-186501.000000;7680.000000;9334.470703
40;-193401.000000;7954.000000;9567.833008
41;-199985.000000;8224.000000;9801.195312
42;-206317.000000;8481.000000;10034.556641
43;-212483.000000;8732.000000;10267.918945
44;-218326.000000;8975.000000;10501.281250
45;-223912.000000;9212.000000;10734.643555
46;-229351.000000;9439.000000;10968.005859
47;-234686.000000;9662.000000;11201.367188
48;-239892.000000;9877.000000;11434.730469
49;-245102.000000;10091.000000;11668.091797
50;-250338.000000;10310.000000;11901.454102
51;-255525.000000;10525.000000;12134.816406
