takt;q1;q2;q2p
0;389.000000;-16.000000;-31.743656
1;739.000000;-29.000000;-63.487312
2;1038.000000;-41.000000;-95.230972
3;1314.000000;-53.000000;-126.974625
4;1536.000000;-62.000000;-158.718277
5;1707.000000;-69.000000;-190.461929
6;1865.000000;-76.000000;-222.205597
7;1982.000000;-81.000000;-253.949219
8;2060.000000;-84.000000;-285.692871
9;2133.000000;-87.000000;-317.436554
10;2196.000000;-89.000000;-349.180237
11;2233.000000;-91.000000;-380.923889
12;2246.000000;-91.000000;-412.667572
13;2256.000000;-92.000000;-444.411224
14;2253.000000;-92.000000;-476.154877
15;2231.000000;-92.000000;-507.898560
16;2212.000000;-91.000000;-539.642273
17;2193.000000;-90.000000;-571.385925
18;2164.000000;-89.000000;-603.129517
19;2135.000000;-88.000000;-634.873169
20;2121.000000;-87.000000;-666.616821
21;2103.000000;-87.000000;-698.360474
22;2085.000000;-86.000000;-730.104065
23;2080.000000;-86.000000;-761.847717
24;2074.000000;-85.000000;-793.591309
25;2068.000000;-85.000000;-825.334961
26;2067.000000;-85.000000;-857.078613
27;2072.000000;-85.000000;-888.822266
28;2073.000000;-85.000000;-920.565918
29;2069.000000;-85.000000;-952.309509
30;2071.000000;-85.000000;-984.053162
31;2071.000000;-85.000000;-1015.796814
32;2069.000000;-85.000000;-1047.540527
33;2068.000000;-85.000000;-1079.284058
34;2070.000000;-85.000000;-1111.027710
35;2068.000000;-85.000000;-1142.771362
36;2066.000000;-85.000000;-1174.515015
37;2071.000000;-85.000000;-1206.258667
38;2072.000000;-85.000000;-1238.002319
39;2073.000000;-85.000000;-1269.746094
40;2076.000000;-85.000000;-1301.489746
41;2076.000000;-85.000000;-1333.233521
42;2073.000000;-85.000000;-1364.977173
43;2073.000000;-85.000000;-1396.720947
44;2071.000000;-85.000000;-1428.464600
45;2065.000000;-85.000000;-1460.208374
46;2062.000000;-85.000000;-1491.952026
47;2060.000000;-85.000000;-1523.695801
48;2057.000000;-85.000000;-1555.439453
49;2056.000000;-85.000000;-1587.183105
50;2056.000000;-84.000000;-1618.926880
51;2057.000000;-84.000000;-1650.670532
52;2059.000000;-84.000000;-1682.414185
53;2060.000000;-84.000000;-1714.157959
54;2061.000000;-84.000000;-1745.901611
55;2061.000000;-84.000000;-1777.645264
56;2060.000000;-84.000000;-1809.389038
57;2060.000000;-84.000000;-1841.132812
58;2060.000000;-84.000000;-1872.876343
59;2060.000000;-84.000000;-1904.620117
60;2058.000000;-84.000000;-1936.363892
61;2057.000000;-84.000000;-1968.107422
62;2056.000000;-84.000000;-1999.851196
63;2052.000000;-84.000000;-2031.594971
64;2052.000000;-84.000000;-2063.338623
65;2050.000000;-84.000000;-2095.082275
66;2048.000000;-84.000000;-2126.826172
67;2046.000000;-84.000000;-2158.569824
68;2045.000000;-84.000000;-2190.313477
69;2043.000000;-84.000000;-2222.057129
70;2042.000000;-84.000000;-2253.800781
71;2042.000000;-84.000000;-2285.544678
72;2041.000000;-84.000000;-2317.288086
73;2041.000000;-84.000000;-2349.031738
74;2040.000000;-84.000000;-2380.775635
75;2039.000000;-84.000000;-2412.519043
76;2037.000000;-84.000000;-2444.262695
77;2036.000000;-84.000000;-2476.006104
78;2034.000000;-84.000000;-2507.749756
79;2031.000000;-84.000000;-2539.493408
80;2032.000000;-83.000000;-2571.236816
81;2031.000000;-83.000000;-2602.980469
82;2030.000000;-83.000000;-2634.724121
83;2029.000000;-83.000000;-2666.467529
84;2027.000000;-83.000000;-2698.211182
85;2025.000000;-83.000000;-2729.954590
86;2022.000000;-83.000000;-2761.698242
87;2021.000000;-83.000000;-2793.441895
88;2019.000000;-83.000000;-2825.185303
89;2015.000000;-83.000000;-2856.928955
90;2013.000000;-83.000000;-2888.672607
91;2011.000000;-83.000000;-2920.416016
92;2004.000000;-83.000000;-2952.159668
93;2003.000000;-82.000000;-2983.903320
94;2001.000000;-82.000000;-3015.646729
95;1995.000000;-82.000000;-3047.390381
96;1994.000000;-82.000000;-3079.133789
97;1992.000000;-82.000000;-3110.877441
98;1988.000000;-82.000000;-3142.621094
