takt;q1;q2;q2p
0;397.000000;-16.000000;-31.743656
1;744.000000;-27.000000;-63.487312
2;1014.000000;-38.000000;-95.230972
3;1243.000000;-49.000000;-126.974625
4;1407.000000;-56.000000;-158.718277
5;1497.000000;-59.000000;-190.461929
6;1576.000000;-62.000000;-222.205597
7;1609.000000;-65.000000;-253.949219
8;1585.000000;-65.000000;-285.692871
9;1574.000000;-64.000000;-317.436554
10;1561.000000;-63.000000;-349.180237
11;1534.000000;-62.000000;-380.923889
12;1504.000000;-61.000000;-412.667572
13;1479.000000;-60.000000;-444.411224
14;1446.000000;-59.000000;-476.154877
15;1416.000000;-58.000000;-507.898560
16;1399.000000;-57.000000;-539.642273
17;1375.000000;-56.000000;-571.385925
18;1353.000000;-55.000000;-603.129517
19;1338.000000;-54.000000;-634.873169
20;1330.000000;-54.000000;-666.616821
21;1322.000000;-54.000000;-698.360474
22;1316.000000;-53.000000;-730.104065
23;1320.000000;-53.000000;-761.847717
24;1319.000000;-53.000000;-793.591309
25;1318.000000;-53.000000;-825.334961
26;1322.000000;-53.000000;-857.078613
27;1320.000000;-53.000000;-888.822266
28;1312.000000;-53.000000;-920.565918
29;1308.000000;-53.000000;-952.309509
30;1305.000000;-53.000000;-984.053162
31;1297.000000;-53.000000;-1015.796814
32;1297.000000;-52.000000;-1047.540527
33;1296.000000;-52.000000;-1079.284058
34;1288.000000;-52.000000;-1111.027710
35;1283.000000;-52.000000;-1142.771362
36;1278.000000;-52.000000;-1174.515015
37;1272.000000;-52.000000;-1206.258667
38;1270.000000;-52.000000;-1238.002319
39;1270.000000;-52.000000;-1269.746094
40;1267.000000;-51.000000;-1301.489746
41;1270.000000;-51.000000;-1333.233521
42;1269.000000;-51.000000;-1364.977173
43;1265.000000;-51.000000;-1396.720947
44;1268.000000;-51.000000;-1428.464600
45;1261.000000;-51.000000;-1460.208374
46;1254.000000;-51.000000;-1491.952026
47;1251.000000;-51.000000;-1523.695801
48;1244.000000;-51.000000;-1555.439453
49;1239.000000;-50.000000;-1587.183105
