takt;q1;q2;q2p
0;369.000000;-15.000000;-31.743656
1;713.000000;-27.000000;-63.487312
2;1015.000000;-40.000000;-95.230972
3;1289.000000;-51.000000;-126.974625
4;1511.000000;-60.000000;-158.718277
5;1683.000000;-67.000000;-190.461929
6;1829.000000;-74.000000;-222.205597
7;1925.000000;-77.000000;-253.949219
8;1971.000000;-79.000000;-285.692871
9;1992.000000;-80.000000;-317.436554
10;1995.000000;-81.000000;-349.180237
11;1964.000000;-80.000000;-380.923889
12;1903.000000;-78.000000;-412.667572
13;1838.000000;-75.000000;-444.411224
14;1756.000000;-72.000000;-476.154877
15;1661.000000;-68.000000;-507.898560
16;1573.000000;-65.000000;-539.642273
17;1487.000000;-61.000000;-571.385925
18;1389.000000;-57.000000;-603.129517
19;1297.000000;-53.000000;-634.873169
20;1219.000000;-50.000000;-666.616821
21;1142.000000;-47.000000;-698.360474
22;1069.000000;-44.000000;-730.104065
23;1015.000000;-42.000000;-761.847717
24;969.000000;-40.000000;-793.591309
25;925.000000;-38.000000;-825.334961
26;899.000000;-37.000000;-857.078613
27;888.000000;-37.000000;-888.822266
28;877.000000;-36.000000;-920.565918
29;874.000000;-36.000000;-952.309509
30;878.000000;-36.000000;-984.053162
31;879.000000;-36.000000;-1015.796814
32;882.000000;-36.000000;-1047.540527
33;888.000000;-36.000000;-1079.284058
34;891.000000;-36.000000;-1111.027710
35;889.000000;-36.000000;-1142.771362
36;888.000000;-36.000000;-1174.515015
37;889.000000;-36.000000;-1206.258667
38;889.000000;-36.000000;-1238.002319
39;888.000000;-36.000000;-1269.746094
40;889.000000;-36.000000;-1301.489746
41;888.000000;-36.000000;-1333.233521
42;886.000000;-36.000000;-1364.977173
43;886.000000;-36.000000;-1396.720947
44;886.000000;-36.000000;-1428.464600
45;884.000000;-36.000000;-1460.208374
46;885.000000;-36.000000;-1491.952026
47;885.000000;-36.000000;-1523.695801
48;883.000000;-36.000000;-1555.439453
49;884.000000;-36.000000;-1587.183105
50;884.000000;-36.000000;-1618.926880
51;881.000000;-36.000000;-1650.670532
52;882.000000;-36.000000;-1682.414185
53;882.000000;-36.000000;-1714.157959
54;880.000000;-36.000000;-1745.901611
55;882.000000;-36.000000;-1777.645264
56;881.000000;-36.000000;-1809.389038
57;879.000000;-36.000000;-1841.132812
58;880.000000;-36.000000;-1872.876343
59;879.000000;-36.000000;-1904.620117
60;877.000000;-36.000000;-1936.363892
61;877.000000;-36.000000;-1968.107422
62;876.000000;-36.000000;-1999.851196
63;873.000000;-36.000000;-2031.594971
64;874.000000;-36.000000;-2063.338623
65;873.000000;-36.000000;-2095.082275
66;871.000000;-36.000000;-2126.826172
67;871.000000;-36.000000;-2158.569824
68;870.000000;-36.000000;-2190.313477
69;867.000000;-36.000000;-2222.057129
70;867.000000;-35.000000;-2253.800781
71;868.000000;-35.000000;-2285.544678
72;864.000000;-35.000000;-2317.288086
73;865.000000;-35.000000;-2349.031738
74;864.000000;-35.000000;-2380.775635
75;860.000000;-35.000000;-2412.519043
76;860.000000;-35.000000;-2444.262695
77;857.000000;-35.000000;-2476.006104
78;853.000000;-35.000000;-2507.749756
79;851.000000;-35.000000;-2539.493408
80;847.000000;-35.000000;-2571.236816
81;844.000000;-35.000000;-2602.980469
82;840.000000;-34.000000;-2634.724121
83;839.000000;-34.000000;-2666.467529
84;833.000000;-34.000000;-2698.211182
85;829.000000;-34.000000;-2729.954590
86;823.000000;-34.000000;-2761.698242
87;816.000000;-33.000000;-2793.441895
88;814.000000;-33.000000;-2825.185303
89;810.000000;-33.000000;-2856.928955
90;803.000000;-33.000000;-2888.672607
91;799.000000;-33.000000;-2920.416016
92;794.000000;-33.000000;-2952.159668
93;787.000000;-32.000000;-2983.903320
94;783.000000;-32.000000;-3015.646729
95;779.000000;-32.000000;-3047.390381
96;772.000000;-32.000000;-3079.133789
97;766.000000;-31.000000;-3110.877441
98;762.000000;-31.000000;-3142.621094
99;754.000000;-31.000000;-3174.364502
100;744.000000;-31.000000;-3206.108154
101;738.000000;-30.000000;-3237.851807
102;728.000000;-30.000000;-3269.595459
103;716.000000;-29.000000;-3301.339111
104;712.000000;-29.000000;-3333.082520
105;700.000000;-29.000000;-3364.826172
106;686.000000;-28.000000;-3396.569824
107;680.000000;-28.000000;-3428.313232
108;669.000000;-28.000000;-3460.056885
109;656.000000;-27.000000;-3491.800293
110;643.000000;-26.000000;-3523.543945
111;631.000000;-26.000000;-3555.287598
112;611.000000;-25.000000;-3587.031006
113;597.000000;-25.000000;-3618.774658
114;585.000000;-24.000000;-3650.518311
115;571.000000;-23.000000;-3682.261719
116;559.000000;-23.000000;-3714.005371
117;546.000000;-22.000000;-3745.748779
118;532.000000;-22.000000;-3777.492432
119;513.000000;-21.000000;-3809.236084
120;499.000000;-21.000000;-3840.979492
121;486.000000;-20.000000;-3872.723145
122;473.000000;-20.000000;-3904.466797
123;461.000000;-19.000000;-3936.210205
124;448.000000;-18.000000;-3967.953857
125;438.000000;-18.000000;-3999.697266
126;420.000000;-17.000000;-4031.440918
127;408.000000;-17.000000;-4063.184570
128;395.000000;-16.000000;-4094.927979
129;383.000000;-16.000000;-4126.671875
130;374.000000;-15.000000;-4158.415039
131;367.000000;-15.000000;-4190.158691
132;359.000000;-15.000000;-4221.902344
133;347.000000;-14.000000;-4253.645996
134;344.000000;-14.000000;-4285.389648
135;336.000000;-14.000000;-4317.132812
136;326.000000;-13.000000;-4348.876465
137;322.000000;-13.000000;-4380.620117
