takt;q1;q2;q2p
0;401.000000;-17.000000;0.000000
1;801.000000;-32.000000;0.000000
2;1200.000000;-35.000000;0.000000
3;1446.000000;-42.000000;0.000000
4;1624.000000;-49.000000;0.000000
5;1760.000000;-54.000000;0.000000
6;1736.000000;-54.000000;0.000000
7;1663.000000;-51.000000;0.000000
8;1539.000000;-48.000000;0.000000
9;1326.000000;-39.000000;0.000000
10;1090.000000;-31.000000;0.000000
11;851.000000;-22.000000;0.000000
12;600.000000;-12.000000;0.000000
13;308.000000;-2.000000;0.000000
14;55.000000;9.000000;0.000000
15;-195.000000;19.000000;0.000000
16;-455.000000;22.000000;0.000000
17;-647.000000;23.000000;0.000000
18;-806.000000;30.000000;0.000000
19;-923.000000;34.000000;0.000000
20;-975.000000;38.000000;0.000000
21;-983.000000;38.000000;0.000000
22;-958.000000;37.000000;0.000000
23;-874.000000;34.000000;0.000000
24;-738.000000;29.000000;0.000000
25;-590.000000;24.000000;0.000000
26;-433.000000;17.000000;0.000000
27;-266.000000;11.000000;0.000000
28;-103.000000;4.000000;0.000000
29;70.000000;-1.000000;0.000000
30;242.000000;-6.000000;0.000000
31;412.000000;-7.000000;0.000000
32;557.000000;-7.000000;0.000000
33;690.000000;-14.000000;0.000000
34;811.000000;-18.000000;0.000000
35;882.000000;-21.000000;0.000000
36;920.000000;-22.000000;0.000000
37;930.000000;-23.000000;0.000000
38;885.000000;-23.000000;0.000000
39;811.000000;-19.000000;0.000000
40;738.000000;-17.000000;0.000000
41;633.000000;-13.000000;0.000000
42;514.000000;-8.000000;0.000000
43;401.000000;-3.000000;0.000000
44;286.000000;0.000000;0.000000
45;171.000000;4.000000;0.000000
46;60.000000;6.000000;0.000000
47;-28.000000;7.000000;0.000000
48;-123.000000;7.000000;0.000000
49;-182.000000;6.000000;0.000000
50;-246.000000;10.000000;0.000000
51;-292.000000;11.000000;0.000000
52;-302.000000;11.000000;0.000000
53;-319.000000;11.000000;0.000000
54;-301.000000;11.000000;0.000000
55;-260.000000;10.000000;0.000000
56;-216.000000;9.000000;0.000000
57;-159.000000;6.000000;0.000000
58;-89.000000;3.000000;0.000000
59;-24.000000;1.000000;0.000000
60;42.000000;-2.000000;0.000000
61;124.000000;-4.000000;0.000000
62;199.000000;-5.000000;0.000000
63;269.000000;-5.000000;0.000000
64;354.000000;-3.000000;0.000000
65;409.000000;-2.000000;0.000000
66;468.000000;-6.000000;0.000000
67;527.000000;-7.000000;0.000000
68;556.000000;-9.000000;0.000000
69;587.000000;-10.000000;0.000000
70;597.000000;-10.000000;0.000000
71;576.000000;-10.000000;0.000000
72;540.000000;-9.000000;0.000000
73;498.000000;-7.000000;0.000000
74;438.000000;-5.000000;0.000000
75;362.000000;-2.000000;0.000000
76;307.000000;0.000000;0.000000
77;240.000000;1.000000;0.000000
78;172.000000;3.000000;0.000000
79;123.000000;4.000000;0.000000
80;70.000000;4.000000;0.000000
81;24.000000;4.000000;0.000000
82;-16.000000;4.000000;0.000000
83;-42.000000;3.000000;0.000000
84;-70.000000;2.000000;0.000000
85;-88.000000;3.000000;0.000000
86;-97.000000;4.000000;0.000000
87;-104.000000;5.000000;0.000000
88;-104.000000;4.000000;0.000000
89;-86.000000;3.000000;0.000000
90;-69.000000;3.000000;0.000000
91;-48.000000;2.000000;0.000000
92;-21.000000;1.000000;0.000000
93;14.000000;1.000000;0.000000
94;43.000000;1.000000;0.000000
95;79.000000;2.000000;0.000000
96;120.000000;2.000000;0.000000
97;152.000000;2.000000;0.000000
98;187.000000;2.000000;0.000000
99;226.000000;2.000000;0.000000
100;257.000000;2.000000;0.000000
101;287.000000;1.000000;0.000000
102;323.000000;1.000000;0.000000
103;343.000000;0.000000;0.000000
104;362.000000;-1.000000;0.000000
105;378.000000;-2.000000;0.000000
106;386.000000;-2.000000;0.000000
107;388.000000;-2.000000;0.000000
108;387.000000;-2.000000;0.000000
109;382.000000;-2.000000;0.000000
110;370.000000;-2.000000;0.000000
111;359.000000;-2.000000;0.000000
112;344.000000;-2.000000;0.000000
113;324.000000;-1.000000;0.000000
114;310.000000;0.000000;0.000000
115;297.000000;0.000000;0.000000
116;280.000000;0.000000;0.000000
117;269.000000;-1.000000;0.000000
118;261.000000;-1.000000;0.000000
119;252.000000;-1.000000;0.000000
120;247.000000;-1.000000;0.000000
121;246.000000;0.000000;0.000000
122;243.000000;1.000000;0.000000
123;243.000000;1.000000;0.000000
124;249.000000;1.000000;0.000000
125;254.000000;0.000000;0.000000
126;260.000000;-1.000000;0.000000
127;270.000000;-1.000000;0.000000
128;283.000000;0.000000;0.000000
129;294.000000;0.000000;0.000000
130;306.000000;1.000000;0.000000
131;318.000000;0.000000;0.000000
132;327.000000;-1.000000;0.000000
133;333.000000;-1.000000;0.000000
134;342.000000;-1.000000;0.000000
135;341.000000;-1.000000;0.000000
136;341.000000;-1.000000;0.000000
137;340.000000;-1.000000;0.000000
138;332.000000;-1.000000;0.000000
139;329.000000;-1.000000;0.000000
140;320.000000;-1.000000;0.000000
141;310.000000;0.000000;0.000000
142;308.000000;0.000000;0.000000
143;300.000000;0.000000;0.000000
144;292.000000;-1.000000;0.000000
145;290.000000;-1.000000;0.000000
146;286.000000;-1.000000;0.000000
147;283.000000;0.000000;0.000000
148;284.000000;0.000000;0.000000
149;286.000000;0.000000;0.000000
150;286.000000;0.000000;0.000000
151;289.000000;0.000000;0.000000
152;295.000000;0.000000;0.000000
153;298.000000;-1.000000;0.000000
154;303.000000;-1.000000;0.000000
155;309.000000;0.000000;0.000000
156;310.000000;0.000000;0.000000
157;311.000000;0.000000;0.000000
158;316.000000;0.000000;0.000000
159;318.000000;-1.000000;0.000000
160;319.000000;-1.000000;0.000000
161;321.000000;0.000000;0.000000
162;319.000000;0.000000;0.000000
163;316.000000;0.000000;0.000000
164;315.000000;-1.000000;0.000000
165;312.000000;-1.000000;0.000000
166;310.000000;0.000000;0.000000
167;303.000000;0.000000;0.000000
168;298.000000;0.000000;0.000000
169;295.000000;0.000000;0.000000
