takt;q1;q2;q2p
0;414.000000;-16.000000;0.000000
1;823.000000;-32.000000;0.000000
2;1206.000000;-32.000000;0.000000
3;1448.000000;-42.000000;0.000000
4;1587.000000;-45.000000;0.000000
5;1624.000000;-47.000000;0.000000
6;1524.000000;-46.000000;0.000000
7;1370.000000;-38.000000;0.000000
8;1150.000000;-30.000000;0.000000
9;861.000000;-21.000000;0.000000
10;550.000000;-8.000000;0.000000
11;258.000000;4.000000;0.000000
12;-39.000000;16.000000;0.000000
13;-338.000000;25.000000;0.000000
14;-615.000000;28.000000;0.000000
15;-818.000000;31.000000;0.000000
16;-974.000000;37.000000;0.000000
17;-1061.000000;41.000000;0.000000
18;-1046.000000;41.000000;0.000000
19;-985.000000;38.000000;0.000000
20;-883.000000;36.000000;0.000000
21;-715.000000;29.000000;0.000000
22;-506.000000;20.000000;0.000000
23;-302.000000;12.000000;0.000000
24;-87.000000;4.000000;0.000000
25;146.000000;-4.000000;0.000000
26;355.000000;-13.000000;0.000000
27;566.000000;-18.000000;0.000000
28;793.000000;-19.000000;0.000000
29;956.000000;-22.000000;0.000000
30;1061.000000;-26.000000;0.000000
31;1128.000000;-29.000000;0.000000
32;1117.000000;-29.000000;0.000000
33;1061.000000;-26.000000;0.000000
34;971.000000;-25.000000;0.000000
35;832.000000;-19.000000;0.000000
36;658.000000;-12.000000;0.000000
37;478.000000;-5.000000;0.000000
38;304.000000;2.000000;0.000000
39;110.000000;8.000000;0.000000
40;-71.000000;14.000000;0.000000
41;-243.000000;16.000000;0.000000
42;-420.000000;16.000000;0.000000
43;-532.000000;20.000000;0.000000
44;-598.000000;22.000000;0.000000
45;-615.000000;23.000000;0.000000
46;-585.000000;23.000000;0.000000
47;-514.000000;20.000000;0.000000
48;-410.000000;16.000000;0.000000
49;-278.000000;11.000000;0.000000
50;-128.000000;6.000000;0.000000
51;11.000000;0.000000;0.000000
52;159.000000;-5.000000;0.000000
53;302.000000;-9.000000;0.000000
54;438.000000;-11.000000;0.000000
55;574.000000;-11.000000;0.000000
56;674.000000;-10.000000;0.000000
57;759.000000;-16.000000;0.000000
58;822.000000;-17.000000;0.000000
59;834.000000;-18.000000;0.000000
60;811.000000;-17.000000;0.000000
61;768.000000;-16.000000;0.000000
62;680.000000;-12.000000;0.000000
63;576.000000;-8.000000;0.000000
64;481.000000;-5.000000;0.000000
65;376.000000;-1.000000;0.000000
66;258.000000;4.000000;0.000000
67;157.000000;9.000000;0.000000
68;64.000000;11.000000;0.000000
69;-40.000000;11.000000;0.000000
70;-132.000000;9.000000;0.000000
71;-192.000000;7.000000;0.000000
72;-250.000000;10.000000;0.000000
73;-309.000000;12.000000;0.000000
74;-321.000000;12.000000;0.000000
75;-310.000000;12.000000;0.000000
76;-293.000000;12.000000;0.000000
77;-233.000000;9.000000;0.000000
78;-148.000000;6.000000;0.000000
79;-86.000000;4.000000;0.000000
