takt;q1;q2;q2p
0;382.000000;-15.000000;0.000000
1;762.000000;-29.000000;0.000000
2;1125.000000;-29.000000;0.000000
3;1337.000000;-36.000000;0.000000
4;1491.000000;-42.000000;0.000000
5;1524.000000;-43.000000;0.000000
6;1418.000000;-40.000000;0.000000
7;1275.000000;-35.000000;0.000000
8;1032.000000;-27.000000;0.000000
9;745.000000;-15.000000;0.000000
10;449.000000;-4.000000;0.000000
11;123.000000;8.000000;0.000000
12;-183.000000;21.000000;0.000000
13;-505.000000;29.000000;0.000000
14;-799.000000;29.000000;0.000000
15;-979.000000;36.000000;0.000000
16;-1122.000000;42.000000;0.000000
17;-1147.000000;45.000000;0.000000
18;-1062.000000;41.000000;0.000000
19;-983.000000;39.000000;0.000000
20;-783.000000;32.000000;0.000000
21;-551.000000;23.000000;0.000000
22;-332.000000;15.000000;0.000000
23;-78.000000;3.000000;0.000000
24;165.000000;-7.000000;0.000000
25;410.000000;-14.000000;0.000000
26;658.000000;-18.000000;0.000000
27;894.000000;-19.000000;0.000000
28;1065.000000;-26.000000;0.000000
29;1177.000000;-31.000000;0.000000
30;1222.000000;-33.000000;0.000000
31;1181.000000;-31.000000;0.000000
32;1115.000000;-29.000000;0.000000
33;991.000000;-25.000000;0.000000
34;807.000000;-18.000000;0.000000
35;624.000000;-11.000000;0.000000
36;418.000000;-3.000000;0.000000
37;196.000000;5.000000;0.000000
38;-15.000000;14.000000;0.000000
39;-236.000000;19.000000;0.000000
40;-468.000000;18.000000;0.000000
41;-601.000000;23.000000;0.000000
42;-706.000000;27.000000;0.000000
43;-750.000000;29.000000;0.000000
44;-695.000000;28.000000;0.000000
45;-623.000000;25.000000;0.000000
46;-506.000000;21.000000;0.000000
47;-333.000000;14.000000;0.000000
48;-165.000000;7.000000;0.000000
49;12.000000;1.000000;0.000000
50;205.000000;-5.000000;0.000000
51;401.000000;-12.000000;0.000000
52;567.000000;-15.000000;0.000000
53;758.000000;-16.000000;0.000000
54;883.000000;-20.000000;0.000000
55;954.000000;-23.000000;0.000000
56;994.000000;-24.000000;0.000000
57;955.000000;-24.000000;0.000000
58;891.000000;-21.000000;0.000000
59;785.000000;-17.000000;0.000000
60;642.000000;-11.000000;0.000000
61;483.000000;-6.000000;0.000000
62;323.000000;1.000000;0.000000
63;161.000000;7.000000;0.000000
64;-14.000000;13.000000;0.000000
65;-169.000000;15.000000;0.000000
66;-341.000000;15.000000;0.000000
67;-434.000000;17.000000;0.000000
68;-506.000000;19.000000;0.000000
69;-558.000000;22.000000;0.000000
70;-510.000000;21.000000;0.000000
71;-464.000000;18.000000;0.000000
72;-375.000000;15.000000;0.000000
73;-244.000000;10.000000;0.000000
74;-127.000000;5.000000;0.000000
75;1.000000;1.000000;0.000000
76;140.000000;-3.000000;0.000000
77;287.000000;-8.000000;0.000000
78;412.000000;-11.000000;0.000000
79;542.000000;-12.000000;0.000000
80;653.000000;-11.000000;0.000000
81;730.000000;-15.000000;0.000000
82;803.000000;-17.000000;0.000000
83;814.000000;-17.000000;0.000000
84;792.000000;-17.000000;0.000000
85;739.000000;-15.000000;0.000000
86;646.000000;-12.000000;0.000000
87;543.000000;-8.000000;0.000000
88;433.000000;-4.000000;0.000000
89;299.000000;2.000000;0.000000
90;160.000000;7.000000;0.000000
91;29.000000;12.000000;0.000000
92;-106.000000;14.000000;0.000000
93;-236.000000;13.000000;0.000000
94;-310.000000;11.000000;0.000000
95;-387.000000;14.000000;0.000000
96;-424.000000;16.000000;0.000000
97;-403.000000;16.000000;0.000000
98;-361.000000;14.000000;0.000000
