takt;q1;q2;q2p
0;422.000000;-18.000000;0.000000
1;825.000000;-31.000000;0.000000
2;1137.000000;-25.000000;0.000000
3;1317.000000;-35.000000;0.000000
4;1380.000000;-36.000000;0.000000
5;1277.000000;-32.000000;0.000000
6;1035.000000;-24.000000;0.000000
7;754.000000;-15.000000;0.000000
8;388.000000;0.000000;0.000000
9;-43.000000;13.000000;0.000000
10;-423.000000;28.000000;0.000000
11;-806.000000;35.000000;0.000000
12;-1065.000000;40.000000;0.000000
13;-1199.000000;45.000000;0.000000
14;-1212.000000;46.000000;0.000000
15;-1050.000000;41.000000;0.000000
16;-780.000000;29.000000;0.000000
17;-444.000000;16.000000;0.000000
18;-51.000000;2.000000;0.000000
19;353.000000;-15.000000;0.000000
20;734.000000;-27.000000;0.000000
21;1086.000000;-27.000000;0.000000
22;1311.000000;-36.000000;0.000000
23;1418.000000;-38.000000;0.000000
24;1410.000000;-38.000000;0.000000
25;1246.000000;-34.000000;0.000000
26;1009.000000;-23.000000;0.000000
27;699.000000;-12.000000;0.000000
28;348.000000;-2.000000;0.000000
29;3.000000;14.000000;0.000000
30;-338.000000;24.000000;0.000000
31;-663.000000;28.000000;0.000000
32;-882.000000;34.000000;0.000000
33;-997.000000;37.000000;0.000000
34;-1027.000000;39.000000;0.000000
35;-899.000000;35.000000;0.000000
36;-674.000000;24.000000;0.000000
37;-384.000000;13.000000;0.000000
38;-57.000000;2.000000;0.000000
39;282.000000;-12.000000;0.000000
40;595.000000;-22.000000;0.000000
41;899.000000;-27.000000;0.000000
42;1125.000000;-27.000000;0.000000
43;1252.000000;-32.000000;0.000000
44;1295.000000;-34.000000;0.000000
45;1194.000000;-32.000000;0.000000
46;988.000000;-22.000000;0.000000
47;747.000000;-16.000000;0.000000
48;455.000000;-5.000000;0.000000
49;140.000000;8.000000;0.000000
50;-157.000000;18.000000;0.000000
51;-447.000000;25.000000;0.000000
52;-699.000000;24.000000;0.000000
53;-854.000000;32.000000;0.000000
54;-914.000000;34.000000;0.000000
55;-865.000000;32.000000;0.000000
56;-691.000000;26.000000;0.000000
57;-470.000000;18.000000;0.000000
58;-193.000000;7.000000;0.000000
59;110.000000;-5.000000;0.000000
60;395.000000;-16.000000;0.000000
61;665.000000;-25.000000;0.000000
62;941.000000;-22.000000;0.000000
63;1103.000000;-29.000000;0.000000
64;1171.000000;-29.000000;0.000000
65;1165.000000;-30.000000;0.000000
66;1031.000000;-26.000000;0.000000
67;831.000000;-17.000000;0.000000
68;604.000000;-9.000000;0.000000
69;339.000000;-2.000000;0.000000
70;61.000000;12.000000;0.000000
71;-207.000000;19.000000;0.000000
72;-469.000000;23.000000;0.000000
73;-679.000000;24.000000;0.000000
74;-794.000000;28.000000;0.000000
75;-821.000000;31.000000;0.000000
76;-739.000000;28.000000;0.000000
77;-571.000000;21.000000;0.000000
78;-366.000000;14.000000;0.000000
79;-116.000000;5.000000;0.000000
80;156.000000;-7.000000;0.000000
81;422.000000;-16.000000;0.000000
82;677.000000;-23.000000;0.000000
83;934.000000;-21.000000;0.000000
84;1080.000000;-28.000000;0.000000
85;1126.000000;-28.000000;0.000000
86;1101.000000;-28.000000;0.000000
87;955.000000;-24.000000;0.000000
88;765.000000;-15.000000;0.000000
89;552.000000;-8.000000;0.000000
90;301.000000;0.000000;0.000000
91;39.000000;12.000000;0.000000
92;-215.000000;21.000000;0.000000
93;-459.000000;23.000000;0.000000
94;-640.000000;23.000000;0.000000
95;-736.000000;26.000000;0.000000
96;-749.000000;28.000000;0.000000
97;-661.000000;25.000000;0.000000
98;-498.000000;18.000000;0.000000
99;-309.000000;12.000000;0.000000
100;-79.000000;4.000000;0.000000
101;175.000000;-8.000000;0.000000
102;418.000000;-15.000000;0.000000
103;650.000000;-22.000000;0.000000
104;891.000000;-19.000000;0.000000
105;1016.000000;-26.000000;0.000000
106;1054.000000;-25.000000;0.000000
107;1035.000000;-25.000000;0.000000
108;908.000000;-22.000000;0.000000
109;734.000000;-14.000000;0.000000
110;536.000000;-7.000000;0.000000
111;308.000000;-1.000000;0.000000
112;70.000000;11.000000;0.000000
113;-166.000000;19.000000;0.000000
114;-388.000000;22.000000;0.000000
115;-563.000000;19.000000;0.000000
116;-670.000000;24.000000;0.000000
117;-699.000000;26.000000;0.000000
118;-633.000000;24.000000;0.000000
119;-484.000000;18.000000;0.000000
120;-319.000000;13.000000;0.000000
121;-104.000000;4.000000;0.000000
122;137.000000;-7.000000;0.000000
123;367.000000;-14.000000;0.000000
124;593.000000;-20.000000;0.000000
125;824.000000;-19.000000;0.000000
126;952.000000;-23.000000;0.000000
127;1002.000000;-24.000000;0.000000
128;1000.000000;-24.000000;0.000000
129;892.000000;-21.000000;0.000000
130;733.000000;-13.000000;0.000000
131;553.000000;-8.000000;0.000000
132;344.000000;-1.000000;0.000000
133;117.000000;9.000000;0.000000
134;-108.000000;17.000000;0.000000
135;-313.000000;21.000000;0.000000
136;-515.000000;17.000000;0.000000
137;-617.000000;23.000000;0.000000
138;-647.000000;24.000000;0.000000
139;-604.000000;22.000000;0.000000
140;-485.000000;19.000000;0.000000
141;-341.000000;13.000000;0.000000
142;-145.000000;5.000000;0.000000
143;73.000000;-4.000000;0.000000
144;298.000000;-11.000000;0.000000
145;510.000000;-18.000000;0.000000
146;717.000000;-20.000000;0.000000
147;864.000000;-18.000000;0.000000
148;935.000000;-22.000000;0.000000
149;955.000000;-22.000000;0.000000
150;885.000000;-20.000000;0.000000
151;751.000000;-14.000000;0.000000
152;606.000000;-11.000000;0.000000
153;419.000000;-4.000000;0.000000
154;202.000000;6.000000;0.000000
155;-20.000000;13.000000;0.000000
156;-216.000000;18.000000;0.000000
157;-441.000000;18.000000;0.000000
158;-563.000000;21.000000;0.000000
