takt;q1;q2;q2p
0;398.000000;-17.000000;0.000000
1;803.000000;-29.000000;0.000000
2;1128.000000;-22.000000;0.000000
3;1289.000000;-32.000000;0.000000
4;1321.000000;-32.000000;0.000000
5;1187.000000;-26.000000;0.000000
6;894.000000;-16.000000;0.000000
7;562.000000;-5.000000;0.000000
8;153.000000;8.000000;0.000000
9;-296.000000;22.000000;0.000000
10;-724.000000;32.000000;0.000000
11;-1017.000000;38.000000;0.000000
12;-1154.000000;41.000000;0.000000
13;-1167.000000;44.000000;0.000000
14;-955.000000;35.000000;0.000000
15;-599.000000;21.000000;0.000000
16;-219.000000;7.000000;0.000000
17;215.000000;-7.000000;0.000000
18;703.000000;-22.000000;0.000000
19;1140.000000;-30.000000;0.000000
20;1400.000000;-35.000000;0.000000
21;1545.000000;-39.000000;0.000000
22;1555.000000;-41.000000;0.000000
23;1335.000000;-34.000000;0.000000
24;1003.000000;-20.000000;0.000000
25;632.000000;-9.000000;0.000000
26;181.000000;5.000000;0.000000
27;-305.000000;24.000000;0.000000
28;-707.000000;34.000000;0.000000
29;-971.000000;35.000000;0.000000
30;-1125.000000;40.000000;0.000000
31;-1136.000000;42.000000;0.000000
32;-933.000000;34.000000;0.000000
33;-610.000000;21.000000;0.000000
34;-263.000000;10.000000;0.000000
35;179.000000;-6.000000;0.000000
36;628.000000;-24.000000;0.000000
37;1031.000000;-32.000000;0.000000
38;1312.000000;-30.000000;0.000000
39;1497.000000;-38.000000;0.000000
40;1543.000000;-40.000000;0.000000
41;1366.000000;-34.000000;0.000000
42;1063.000000;-23.000000;0.000000
43;721.000000;-13.000000;0.000000
44;285.000000;2.000000;0.000000
45;-194.000000;20.000000;0.000000
46;-606.000000;33.000000;0.000000
47;-932.000000;31.000000;0.000000
48;-1131.000000;41.000000;0.000000
49;-1186.000000;44.000000;0.000000
50;-1030.000000;38.000000;0.000000
51;-726.000000;27.000000;0.000000
52;-378.000000;15.000000;0.000000
53;77.000000;-3.000000;0.000000
54;563.000000;-23.000000;0.000000
55;992.000000;-33.000000;0.000000
56;1305.000000;-29.000000;0.000000
57;1503.000000;-39.000000;0.000000
58;1584.000000;-41.000000;0.000000
59;1446.000000;-36.000000;0.000000
60;1158.000000;-26.000000;0.000000
61;818.000000;-16.000000;0.000000
62;382.000000;0.000000;0.000000
63;-107.000000;16.000000;0.000000
64;-521.000000;31.000000;0.000000
65;-894.000000;30.000000;0.000000
66;-1126.000000;41.000000;0.000000
67;-1202.000000;45.000000;0.000000
68;-1087.000000;40.000000;0.000000
69;-810.000000;31.000000;0.000000
70;-468.000000;18.000000;0.000000
71;-14.000000;0.000000;0.000000
72;468.000000;-18.000000;0.000000
73;896.000000;-33.000000;0.000000
74;1287.000000;-29.000000;0.000000
75;1508.000000;-40.000000;0.000000
76;1592.000000;-41.000000;0.000000
77;1505.000000;-37.000000;0.000000
78;1234.000000;-31.000000;0.000000
79;891.000000;-17.000000;0.000000
80;466.000000;-2.000000;0.000000
81;-14.000000;11.000000;0.000000
82;-470.000000;27.000000;0.000000
83;-891.000000;33.000000;0.000000
84;-1149.000000;42.000000;0.000000
