takt;q1;q2;q2p
0;403.000000;-17.000000;0.000000
1;802.000000;-27.000000;0.000000
2;1011.000000;-19.000000;0.000000
3;1112.000000;-25.000000;0.000000
4;1056.000000;-20.000000;0.000000
5;772.000000;-13.000000;0.000000
6;439.000000;2.000000;0.000000
7;58.000000;12.000000;0.000000
8;-374.000000;24.000000;0.000000
9;-770.000000;28.000000;0.000000
10;-976.000000;34.000000;0.000000
11;-1003.000000;36.000000;0.000000
12;-860.000000;30.000000;0.000000
13;-511.000000;18.000000;0.000000
14;-72.000000;2.000000;0.000000
15;444.000000;-13.000000;0.000000
16;929.000000;-25.000000;0.000000
17;1300.000000;-32.000000;0.000000
18;1531.000000;-39.000000;0.000000
19;1509.000000;-37.000000;0.000000
20;1267.000000;-29.000000;0.000000
21;867.000000;-14.000000;0.000000
22;360.000000;3.000000;0.000000
23;-176.000000;19.000000;0.000000
24;-692.000000;33.000000;0.000000
25;-1025.000000;36.000000;0.000000
26;-1179.000000;42.000000;0.000000
27;-1120.000000;39.000000;0.000000
28;-795.000000;27.000000;0.000000
29;-349.000000;10.000000;0.000000
30;150.000000;-7.000000;0.000000
31;657.000000;-26.000000;0.000000
32;1172.000000;-33.000000;0.000000
33;1479.000000;-37.000000;0.000000
34;1573.000000;-40.000000;0.000000
35;1489.000000;-36.000000;0.000000
36;1174.000000;-25.000000;0.000000
37;713.000000;-8.000000;0.000000
38;191.000000;7.000000;0.000000
39;-337.000000;24.000000;0.000000
40;-874.000000;33.000000;0.000000
41;-1159.000000;42.000000;0.000000
42;-1267.000000;46.000000;0.000000
43;-1132.000000;40.000000;0.000000
44;-751.000000;27.000000;0.000000
45;-241.000000;8.000000;0.000000
46;335.000000;-12.000000;0.000000
47;899.000000;-34.000000;0.000000
48;1442.000000;-35.000000;0.000000
49;1728.000000;-45.000000;0.000000
50;1770.000000;-45.000000;0.000000
51;1606.000000;-39.000000;0.000000
52;1177.000000;-24.000000;0.000000
53;639.000000;-4.000000;0.000000
54;49.000000;12.000000;0.000000
55;-568.000000;32.000000;0.000000
56;-1110.000000;38.000000;0.000000
57;-1356.000000;46.000000;0.000000
58;-1439.000000;50.000000;0.000000
59;-1213.000000;41.000000;0.000000
60;-736.000000;24.000000;0.000000
61;-200.000000;4.000000;0.000000
62;506.000000;-13.000000;0.000000
63;1103.000000;-37.000000;0.000000
64;1596.000000;-41.000000;0.000000
65;1943.000000;-53.000000;0.000000
66;1933.000000;-49.000000;0.000000
67;1708.000000;-41.000000;0.000000
68;1230.000000;-24.000000;0.000000
69;613.000000;-1.000000;0.000000
70;-42.000000;17.000000;0.000000
71;-679.000000;36.000000;0.000000
72;-1189.000000;43.000000;0.000000
73;-1476.000000;55.000000;0.000000
74;-1511.000000;51.000000;0.000000
75;-1286.000000;43.000000;0.000000
76;-772.000000;22.000000;0.000000
77;-186.000000;2.000000;0.000000
78;439.000000;-18.000000;0.000000
79;1131.000000;-40.000000;0.000000
80;1594.000000;-40.000000;0.000000
81;1845.000000;-51.000000;0.000000
82;1922.000000;-49.000000;0.000000
83;1664.000000;-41.000000;0.000000
84;1186.000000;-23.000000;0.000000
85;610.000000;-3.000000;0.000000
86;-53.000000;17.000000;0.000000
87;-728.000000;37.000000;0.000000
88;-1228.000000;44.000000;0.000000
89;-1509.000000;55.000000;0.000000
90;-1569.000000;55.000000;0.000000
91;-1328.000000;45.000000;0.000000
92;-865.000000;28.000000;0.000000
93;-275.000000;6.000000;0.000000
94;350.000000;-16.000000;0.000000
95;1016.000000;-36.000000;0.000000
96;1530.000000;-36.000000;0.000000
97;1849.000000;-51.000000;0.000000
98;1898.000000;-48.000000;0.000000
99;1699.000000;-41.000000;0.000000
100;1271.000000;-26.000000;0.000000
101;660.000000;-4.000000;0.000000
102;23.000000;13.000000;0.000000
103;-610.000000;36.000000;0.000000
