takt;q1;q2;q2p
0;412.000000;-16.000000;0.000000
1;785.000000;-29.000000;0.000000
2;1079.000000;-41.000000;0.000000
3;1321.000000;-51.000000;0.000000
4;1486.000000;-58.000000;0.000000
5;1565.000000;-61.000000;0.000000
6;1614.000000;-63.000000;0.000000
7;1607.000000;-64.000000;0.000000
8;1527.000000;-61.000000;0.000000
9;1442.000000;-58.000000;0.000000
10;1363.000000;-55.000000;0.000000
11;1264.000000;-51.000000;0.000000
12;1160.000000;-47.000000;0.000000
13;1062.000000;-43.000000;0.000000
14;961.000000;-39.000000;0.000000
15;863.000000;-35.000000;0.000000
16;790.000000;-32.000000;0.000000
17;721.000000;-29.000000;0.000000
18;664.000000;-27.000000;0.000000
19;615.000000;-25.000000;0.000000
20;586.000000;-24.000000;0.000000
21;563.000000;-23.000000;0.000000
22;555.000000;-23.000000;0.000000
23;565.000000;-22.000000;0.000000
24;573.000000;-22.000000;0.000000
25;581.000000;-23.000000;0.000000
26;593.000000;-23.000000;0.000000
27;612.000000;-24.000000;0.000000
28;620.000000;-24.000000;0.000000
29;631.000000;-25.000000;0.000000
30;636.000000;-25.000000;0.000000
31;632.000000;-25.000000;0.000000
32;629.000000;-25.000000;0.000000
33;631.000000;-25.000000;0.000000
34;629.000000;-25.000000;0.000000
35;622.000000;-25.000000;0.000000
36;618.000000;-25.000000;0.000000
37;617.000000;-25.000000;0.000000
38;613.000000;-25.000000;0.000000
39;614.000000;-25.000000;0.000000
40;612.000000;-25.000000;0.000000
41;608.000000;-25.000000;0.000000
42;609.000000;-24.000000;0.000000
43;615.000000;-24.000000;0.000000
44;616.000000;-24.000000;0.000000
45;621.000000;-24.000000;0.000000
46;623.000000;-24.000000;0.000000
47;618.000000;-24.000000;0.000000
48;621.000000;-24.000000;0.000000
49;618.000000;-24.000000;0.000000
50;610.000000;-24.000000;0.000000
51;609.000000;-24.000000;0.000000
52;602.000000;-24.000000;0.000000
53;599.000000;-24.000000;0.000000
54;599.000000;-24.000000;0.000000
55;593.000000;-24.000000;0.000000
56;588.000000;-24.000000;0.000000
57;589.000000;-24.000000;0.000000
58;586.000000;-24.000000;0.000000
59;584.000000;-24.000000;0.000000
60;589.000000;-24.000000;0.000000
61;585.000000;-24.000000;0.000000
62;582.000000;-24.000000;0.000000
63;585.000000;-24.000000;0.000000
64;580.000000;-23.000000;0.000000
65;583.000000;-23.000000;0.000000
66;584.000000;-23.000000;0.000000
67;578.000000;-23.000000;0.000000
68;578.000000;-23.000000;0.000000
69;578.000000;-23.000000;0.000000
70;574.000000;-23.000000;0.000000
71;577.000000;-23.000000;0.000000
72;581.000000;-23.000000;0.000000
73;574.000000;-23.000000;0.000000
74;578.000000;-23.000000;0.000000
75;586.000000;-23.000000;0.000000
76;579.000000;-23.000000;0.000000
77;583.000000;-23.000000;0.000000
78;588.000000;-23.000000;0.000000
79;580.000000;-23.000000;0.000000
80;582.000000;-23.000000;0.000000
81;585.000000;-23.000000;0.000000
82;578.000000;-23.000000;0.000000
83;579.000000;-23.000000;0.000000
84;581.000000;-23.000000;0.000000
85;576.000000;-23.000000;0.000000
86;579.000000;-23.000000;0.000000
87;583.000000;-23.000000;0.000000
88;577.000000;-23.000000;0.000000
89;583.000000;-23.000000;0.000000
90;586.000000;-23.000000;0.000000
91;581.000000;-23.000000;0.000000
92;586.000000;-23.000000;0.000000
93;589.000000;-23.000000;0.000000
94;584.000000;-23.000000;0.000000
95;589.000000;-23.000000;0.000000
96;592.000000;-23.000000;0.000000
97;585.000000;-23.000000;0.000000
98;589.000000;-23.000000;0.000000
99;590.000000;-23.000000;0.000000
100;586.000000;-23.000000;0.000000
101;590.000000;-23.000000;0.000000
102;591.000000;-23.000000;0.000000
103;588.000000;-23.000000;0.000000
104;594.000000;-23.000000;0.000000
105;596.000000;-23.000000;0.000000
106;595.000000;-23.000000;0.000000
107;601.000000;-23.000000;0.000000
108;595.000000;-24.000000;0.000000
109;591.000000;-24.000000;0.000000
110;594.000000;-24.000000;0.000000
111;589.000000;-24.000000;0.000000
112;584.000000;-23.000000;0.000000
113;594.000000;-23.000000;0.000000
114;593.000000;-23.000000;0.000000
115;593.000000;-23.000000;0.000000
116;606.000000;-24.000000;0.000000
117;602.000000;-24.000000;0.000000
118;599.000000;-24.000000;0.000000
119;602.000000;-24.000000;0.000000
120;595.000000;-24.000000;0.000000
121;590.000000;-24.000000;0.000000
122;591.000000;-24.000000;0.000000
123;588.000000;-24.000000;0.000000
124;588.000000;-24.000000;0.000000
125;591.000000;-24.000000;0.000000
126;589.000000;-24.000000;0.000000
127;586.000000;-24.000000;0.000000
128;588.000000;-24.000000;0.000000
129;584.000000;-24.000000;0.000000
130;584.000000;-24.000000;0.000000
131;585.000000;-24.000000;0.000000
132;580.000000;-24.000000;0.000000
133;586.000000;-23.000000;0.000000
134;588.000000;-23.000000;0.000000
135;583.000000;-23.000000;0.000000
136;586.000000;-23.000000;0.000000
137;584.000000;-23.000000;0.000000
138;581.000000;-23.000000;0.000000
139;584.000000;-23.000000;0.000000
140;584.000000;-23.000000;0.000000
141;582.000000;-23.000000;0.000000
142;583.000000;-23.000000;0.000000
143;583.000000;-23.000000;0.000000
144;582.000000;-23.000000;0.000000
145;582.000000;-23.000000;0.000000
146;582.000000;-23.000000;0.000000
147;582.000000;-23.000000;0.000000
148;585.000000;-23.000000;0.000000
149;583.000000;-23.000000;0.000000
150;583.000000;-23.000000;0.000000
151;583.000000;-23.000000;0.000000
152;580.000000;-23.000000;0.000000
153;582.000000;-23.000000;0.000000
154;582.000000;-23.000000;0.000000
155;582.000000;-23.000000;0.000000
156;584.000000;-23.000000;0.000000
157;584.000000;-23.000000;0.000000
158;584.000000;-23.000000;0.000000
159;584.000000;-23.000000;0.000000
160;581.000000;-23.000000;0.000000
161;583.000000;-23.000000;0.000000
162;583.000000;-23.000000;0.000000
163;581.000000;-23.000000;0.000000
164;585.000000;-23.000000;0.000000
165;585.000000;-23.000000;0.000000
166;582.000000;-23.000000;0.000000
167;586.000000;-23.000000;0.000000
168;586.000000;-23.000000;0.000000
169;583.000000;-23.000000;0.000000
170;587.000000;-23.000000;0.000000
171;588.000000;-23.000000;0.000000
172;585.000000;-23.000000;0.000000
173;591.000000;-23.000000;0.000000
174;592.000000;-23.000000;0.000000
175;586.000000;-23.000000;0.000000
176;592.000000;-23.000000;0.000000
177;593.000000;-23.000000;0.000000
178;587.000000;-23.000000;0.000000
179;593.000000;-23.000000;0.000000
180;592.000000;-23.000000;0.000000
181;587.000000;-23.000000;0.000000
182;592.000000;-23.000000;0.000000
183;590.000000;-23.000000;0.000000
184;587.000000;-23.000000;0.000000
185;593.000000;-23.000000;0.000000
186;593.000000;-23.000000;0.000000
187;590.000000;-23.000000;0.000000
188;598.000000;-23.000000;0.000000
189;595.000000;-23.000000;0.000000
190;594.000000;-23.000000;0.000000
191;603.000000;-24.000000;0.000000
192;594.000000;-24.000000;0.000000
193;589.000000;-24.000000;0.000000
194;595.000000;-24.000000;0.000000
195;587.000000;-24.000000;0.000000
196;585.000000;-23.000000;0.000000
197;599.000000;-24.000000;0.000000
198;593.000000;-24.000000;0.000000
199;592.000000;-24.000000;0.000000
200;605.000000;-24.000000;0.000000
201;598.000000;-24.000000;0.000000
202;594.000000;-24.000000;0.000000
203;601.000000;-24.000000;0.000000
204;594.000000;-24.000000;0.000000
205;585.000000;-24.000000;0.000000
206;589.000000;-24.000000;0.000000
207;585.000000;-24.000000;0.000000
208;579.000000;-23.000000;0.000000
209;588.000000;-23.000000;0.000000
210;587.000000;-23.000000;0.000000
211;586.000000;-23.000000;0.000000
212;594.000000;-23.000000;0.000000
213;592.000000;-23.000000;0.000000
214;591.000000;-23.000000;0.000000
215;598.000000;-23.000000;0.000000
216;592.000000;-23.000000;0.000000
217;591.000000;-23.000000;0.000000
218;598.000000;-23.000000;0.000000
219;593.000000;-23.000000;0.000000
220;594.000000;-23.000000;0.000000
221;599.000000;-23.000000;0.000000
222;594.000000;-23.000000;0.000000
223;596.000000;-23.000000;0.000000
224;602.000000;-23.000000;0.000000
225;596.000000;-23.000000;0.000000
226;599.000000;-23.000000;0.000000
227;602.000000;-24.000000;0.000000
228;591.000000;-24.000000;0.000000
229;592.000000;-24.000000;0.000000
230;595.000000;-24.000000;0.000000
231;587.000000;-24.000000;0.000000
232;588.000000;-24.000000;0.000000
233;592.000000;-24.000000;0.000000
234;584.000000;-24.000000;0.000000
235;587.000000;-24.000000;0.000000
236;591.000000;-24.000000;0.000000
237;584.000000;-24.000000;0.000000
238;586.000000;-24.000000;0.000000
239;587.000000;-24.000000;0.000000
240;582.000000;-24.000000;0.000000
241;590.000000;-23.000000;0.000000
242;595.000000;-23.000000;0.000000
243;592.000000;-23.000000;0.000000
244;599.000000;-23.000000;0.000000
245;602.000000;-24.000000;0.000000
246;593.000000;-24.000000;0.000000
247;595.000000;-24.000000;0.000000
248;594.000000;-24.000000;0.000000
249;584.000000;-24.000000;0.000000
250;583.000000;-24.000000;0.000000
251;588.000000;-23.000000;0.000000
252;585.000000;-23.000000;0.000000
253;588.000000;-23.000000;0.000000
254;592.000000;-23.000000;0.000000
255;587.000000;-23.000000;0.000000
256;590.000000;-23.000000;0.000000
257;589.000000;-23.000000;0.000000
258;588.000000;-23.000000;0.000000
259;590.000000;-23.000000;0.000000
260;587.000000;-23.000000;0.000000
261;589.000000;-23.000000;0.000000
262;592.000000;-23.000000;0.000000
263;589.000000;-23.000000;0.000000
264;592.000000;-23.000000;0.000000
265;592.000000;-23.000000;0.000000
266;589.000000;-23.000000;0.000000
267;592.000000;-23.000000;0.000000
268;593.000000;-23.000000;0.000000
269;589.000000;-23.000000;0.000000
270;593.000000;-23.000000;0.000000
271;593.000000;-23.000000;0.000000
272;591.000000;-23.000000;0.000000
273;594.000000;-23.000000;0.000000
274;594.000000;-23.000000;0.000000
275;591.000000;-23.000000;0.000000
276;593.000000;-23.000000;0.000000
277;593.000000;-23.000000;0.000000
278;591.000000;-23.000000;0.000000
279;594.000000;-23.000000;0.000000
280;592.000000;-23.000000;0.000000
281;594.000000;-23.000000;0.000000
282;595.000000;-23.000000;0.000000
283;592.000000;-23.000000;0.000000
284;594.000000;-23.000000;0.000000
285;592.000000;-23.000000;0.000000
286;591.000000;-23.000000;0.000000
287;596.000000;-23.000000;0.000000
288;595.000000;-23.000000;0.000000
289;595.000000;-23.000000;0.000000
290;599.000000;-23.000000;0.016320
291;596.000000;-23.000000;23.538572
292;595.000000;-23.000000;47.060825
293;594.000000;-23.000000;70.583076
294;586.000000;-23.000000;94.105331
295;576.000000;-23.000000;117.627586
296;563.000000;-22.000000;141.149841
297;541.000000;-22.000000;164.672104
298;510.000000;-21.000000;188.194351
299;472.000000;-19.000000;211.716614
300;418.000000;-17.000000;235.238861
301;353.000000;-14.000000;258.761108
302;280.000000;-11.000000;282.283356
303;191.000000;-8.000000;305.805634
304;92.000000;-3.000000;329.327881
305;-17.000000;1.000000;352.850128
306;-141.000000;6.000000;376.372375
307;-278.000000;12.000000;399.894623
308;-418.000000;17.000000;423.416901
309;-577.000000;24.000000;446.939117
310;-739.000000;30.000000;470.461395
311;-911.000000;37.000000;493.983673
312;-1092.000000;45.000000;517.505859
313;-1275.000000;52.000000;541.028137
314;-1466.000000;60.000000;564.550415
315;-1667.000000;69.000000;588.072632
316;-1868.000000;77.000000;611.594910
317;-2074.000000;85.000000;635.117126
318;-2289.000000;94.000000;651.898682
319;-2506.000000;103.000000;651.898682
320;-2726.000000;112.000000;651.898682
321;-2957.000000;121.000000;651.898682
322;-3180.000000;130.000000;651.898682
323;-3397.000000;139.000000;651.898682
324;-3625.000000;148.000000;651.898682
325;-3844.000000;157.000000;651.898682
326;-4060.000000;166.000000;651.898682
327;-4272.000000;174.000000;651.898682
328;-4468.000000;182.000000;651.898682
329;-4659.000000;190.000000;651.898682
330;-4848.000000;198.000000;651.898682
331;-5025.000000;205.000000;651.898682
332;-5196.000000;212.000000;651.898682
333;-5366.000000;219.000000;651.898682
334;-5523.000000;226.000000;651.898682
335;-5679.000000;232.000000;651.898682
336;-5833.000000;238.000000;651.898682
337;-5976.000000;244.000000;651.898682
338;-6110.000000;250.000000;651.898682
339;-6248.000000;255.000000;651.898682
340;-6375.000000;261.000000;651.898682
341;-6496.000000;266.000000;651.898682
342;-6620.000000;271.000000;651.898682
343;-6743.000000;276.000000;651.898682
344;-6867.000000;281.000000;651.898682
345;-6994.000000;286.000000;651.898682
346;-7123.000000;292.000000;651.898682
347;-7257.000000;297.000000;651.898682
348;-7394.000000;303.000000;651.898682
349;-7533.000000;308.000000;651.898682
350;-7678.000000;314.000000;651.898682
351;-7819.000000;320.000000;651.898682
352;-7964.000000;326.000000;651.898682
353;-8106.000000;332.000000;651.898682
354;-8248.000000;338.000000;651.898682
355;-8386.000000;343.000000;651.898682
356;-8520.000000;349.000000;651.898682
357;-8657.000000;354.000000;651.898682
358;-8781.000000;359.000000;651.898682
359;-8904.000000;364.000000;651.898682
360;-9025.000000;369.000000;651.898682
361;-9133.000000;374.000000;651.898682
362;-9240.000000;378.000000;651.898682
363;-9342.000000;382.000000;651.898682
364;-9432.000000;386.000000;651.898682
365;-9524.000000;389.000000;651.898682
366;-9615.000000;393.000000;651.898682
367;-9702.000000;397.000000;651.898682
368;-9791.000000;400.000000;651.898682
369;-9885.000000;404.000000;651.898682
370;-9973.000000;408.000000;651.898682
371;-10065.000000;411.000000;651.898682
372;-10156.000000;415.000000;651.898682
373;-10248.000000;419.000000;651.898682
374;-10339.000000;423.000000;651.898682
375;-10435.000000;426.000000;651.898682
376;-10529.000000;430.000000;651.898682
377;-10625.000000;434.000000;651.898682
378;-10720.000000;438.000000;651.898682
379;-10806.000000;441.000000;651.898682
380;-10894.000000;445.000000;651.898682
381;-10978.000000;448.000000;651.898682
382;-11059.000000;452.000000;651.898682
383;-11135.000000;455.000000;651.898682
384;-11208.000000;458.000000;651.898682
385;-11278.000000;461.000000;651.898682
