takt;q1;q2;q2p
0;424.000000;-17.000000;0.000000
1;789.000000;-30.000000;0.000000
2;1053.000000;-41.000000;0.000000
3;1252.000000;-50.000000;0.000000
4;1357.000000;-54.000000;0.000000
5;1354.000000;-55.000000;0.000000
6;1312.000000;-54.000000;0.000000
7;1219.000000;-51.000000;0.000000
8;1053.000000;-44.000000;0.000000
9;882.000000;-36.000000;0.000000
10;745.000000;-31.000000;0.000000
11;591.000000;-25.000000;0.000000
12;439.000000;-19.000000;0.000000
13;320.000000;-14.000000;0.000000
14;207.000000;-10.000000;0.000000
15;101.000000;-5.000000;0.000000
16;45.000000;-3.000000;0.000000
17;9.000000;-1.000000;0.000000
18;-18.000000;0.000000;0.000000
19;-26.000000;0.000000;0.000000
20;-18.000000;0.000000;0.000000
21;-8.000000;0.000000;0.000000
22;5.000000;0.000000;0.000000
23;29.000000;-1.000000;0.000000
24;51.000000;-2.000000;0.000000
25;62.000000;-2.000000;0.000000
26;71.000000;-3.000000;0.000000
27;92.000000;-4.000000;0.000000
28;100.000000;-4.000000;0.000000
29;107.000000;-4.000000;0.000000
30;116.000000;-4.000000;0.000000
31;109.000000;-4.000000;0.000000
32;100.000000;-4.000000;0.000000
33;98.000000;-4.000000;0.000000
34;95.000000;-4.000000;0.000000
35;86.000000;-4.000000;0.000000
36;84.000000;-4.000000;0.000000
37;81.000000;-4.000000;0.000000
38;78.000000;-4.000000;0.000000
39;85.000000;-4.000000;0.000000
40;87.000000;-4.000000;0.000000
41;87.000000;-4.000000;0.000000
42;88.000000;-4.000000;0.000000
43;89.000000;-4.000000;0.000000
44;86.000000;-4.000000;0.000000
45;88.000000;-4.000000;0.000000
46;87.000000;-4.000000;0.000000
47;83.000000;-4.000000;0.000000
48;83.000000;-4.000000;0.000000
49;82.000000;-4.000000;0.000000
50;79.000000;-4.000000;0.000000
51;80.000000;-4.000000;0.000000
52;79.000000;-4.000000;0.000000
53;77.000000;-4.000000;0.000000
54;79.000000;-4.000000;0.000000
55;80.000000;-4.000000;0.000000
56;78.000000;-4.000000;0.000000
57;79.000000;-4.000000;0.000000
58;81.000000;-4.000000;0.000000
59;80.000000;-4.000000;0.000000
60;82.000000;-4.000000;0.000000
61;84.000000;-4.000000;0.000000
62;82.000000;-4.000000;0.000000
63;83.000000;-4.000000;0.000000
64;84.000000;-4.000000;0.000000
65;80.000000;-4.000000;0.000000
66;80.000000;-4.000000;0.000000
67;80.000000;-4.000000;0.000000
68;77.000000;-4.000000;0.000000
69;78.000000;-4.000000;0.000000
70;77.000000;-4.000000;0.000000
71;74.000000;-4.000000;0.000000
72;76.000000;-4.000000;0.000000
73;75.000000;-4.000000;0.000000
74;73.000000;-4.000000;0.000000
75;75.000000;-4.000000;0.000000
76;75.000000;-4.000000;0.000000
77;72.000000;-4.000000;0.000000
78;75.000000;-4.000000;0.000000
79;74.000000;-4.000000;0.000000
80;69.000000;-3.000000;0.000000
81;78.000000;-3.000000;0.000000
82;77.000000;-3.000000;0.000000
83;72.000000;-3.000000;0.000000
84;77.000000;-3.000000;0.000000
85;72.000000;-3.000000;0.000000
86;70.000000;-3.000000;0.000000
87;77.000000;-3.000000;0.000000
88;75.000000;-3.000000;0.000000
89;73.000000;-3.000000;0.000000
90;79.000000;-3.000000;0.000000
91;78.000000;-3.000000;0.000000
92;75.000000;-3.000000;0.000000
93;79.000000;-3.000000;0.000000
94;75.000000;-3.000000;0.000000
95;72.000000;-3.000000;0.000000
96;78.000000;-3.000000;0.000000
97;75.000000;-3.000000;0.000000
98;73.000000;-3.000000;0.000000
99;77.000000;-3.000000;0.000000
100;75.000000;-3.000000;0.000000
101;72.000000;-3.000000;0.000000
102;79.000000;-3.000000;0.000000
103;76.000000;-3.000000;0.000000
104;76.000000;-3.000000;0.000000
105;81.000000;-3.000000;0.000000
106;77.000000;-3.000000;0.000000
107;76.000000;-3.000000;0.000000
108;80.000000;-3.000000;0.000000
109;78.000000;-3.000000;0.000000
110;77.000000;-3.000000;0.000000
111;81.000000;-3.000000;0.000000
112;78.000000;-3.000000;0.000000
113;77.000000;-3.000000;0.000000
114;81.000000;-3.000000;0.000000
115;76.000000;-3.000000;0.000000
116;76.000000;-3.000000;0.000000
117;82.000000;-3.000000;0.000000
118;79.000000;-3.000000;0.000000
119;80.000000;-3.000000;0.000000
120;88.000000;-3.000000;0.000000
121;86.000000;-3.000000;0.000000
122;86.000000;-3.000000;0.000000
123;91.000000;-3.000000;0.000000
124;82.000000;-4.000000;0.000000
125;81.000000;-4.000000;0.000000
126;85.000000;-4.000000;0.000000
127;80.000000;-4.000000;0.000000
128;81.000000;-4.000000;0.000000
129;87.000000;-4.000000;0.000000
130;82.000000;-4.000000;0.000000
131;82.000000;-4.000000;0.000000
132;88.000000;-4.000000;0.000000
133;81.000000;-4.000000;0.000000
134;79.000000;-4.000000;0.000000
135;85.000000;-4.000000;0.000000
136;79.000000;-4.000000;0.000000
137;81.000000;-4.000000;0.000000
138;88.000000;-4.000000;0.000000
139;83.000000;-4.000000;0.000000
140;84.000000;-4.000000;0.000000
141;85.000000;-4.000000;0.000000
142;78.000000;-4.000000;0.000000
143;80.000000;-4.000000;0.000000
144;82.000000;-4.000000;0.000000
145;78.000000;-4.000000;0.000000
146;81.000000;-4.000000;0.000000
147;82.000000;-4.000000;0.000000
148;78.000000;-4.000000;0.000000
149;81.000000;-4.000000;0.000000
150;81.000000;-4.000000;0.000000
151;75.000000;-4.000000;0.000000
152;78.000000;-4.000000;0.000000
153;80.000000;-4.000000;0.000000
154;77.000000;-4.000000;0.000000
155;79.000000;-4.000000;0.000000
156;79.000000;-4.000000;0.000000
157;74.000000;-4.000000;0.000000
158;77.000000;-4.000000;0.000000
159;77.000000;-4.000000;0.000000
160;73.000000;-4.000000;0.000000
161;76.000000;-4.000000;0.000000
162;75.000000;-4.000000;0.000000
163;74.000000;-4.000000;0.000000
164;75.000000;-4.000000;0.000000
165;74.000000;-4.000000;0.000000
166;72.000000;-4.000000;0.000000
167;73.000000;-4.000000;0.000000
168;73.000000;-4.000000;0.000000
169;73.000000;-3.000000;0.000000
170;78.000000;-3.000000;0.000000
171;77.000000;-3.000000;0.000000
172;77.000000;-3.000000;0.000000
173;77.000000;-3.000000;0.000000
174;74.000000;-3.000000;0.000000
175;75.000000;-3.000000;0.000000
176;76.000000;-3.000000;0.000000
177;74.000000;-3.000000;0.000000
178;76.000000;-3.000000;0.000000
179;78.000000;-3.000000;0.000000
180;78.000000;-3.000000;0.000000
181;77.000000;-3.000000;0.000000
182;76.000000;-3.000000;0.000000
183;76.000000;-3.000000;0.000000
184;75.000000;-3.000000;0.000000
185;76.000000;-3.000000;0.000000
186;78.000000;-3.000000;0.000000
187;76.000000;-3.000000;0.000000
188;77.000000;-3.000000;0.000000
189;79.000000;-3.000000;0.000000
190;74.000000;-3.000000;0.000000
191;75.000000;-3.000000;0.000000
192;77.000000;-3.000000;0.000000
193;74.000000;-3.000000;0.000000
194;77.000000;-3.000000;0.000000
195;80.000000;-3.000000;0.000000
196;76.000000;-3.000000;0.000000
197;78.000000;-3.000000;0.000000
198;81.000000;-3.000000;0.000000
199;76.000000;-3.000000;0.000000
200;78.000000;-3.000000;0.000000
201;81.000000;-3.000000;0.000000
202;77.000000;-3.000000;0.000000
203;80.000000;-3.000000;0.000000
204;83.000000;-3.000000;0.000000
205;78.000000;-3.000000;0.000000
206;80.000000;-3.000000;0.000000
207;82.000000;-3.000000;0.000000
208;76.000000;-3.000000;0.000000
209;79.000000;-3.000000;0.000000
210;82.000000;-3.000000;0.000000
211;78.000000;-3.000000;0.000000
212;81.000000;-3.000000;0.000000
213;84.000000;-3.000000;0.000000
214;79.000000;-3.000000;0.000000
215;81.000000;-3.000000;0.000000
216;85.000000;-3.000000;0.000000
217;80.000000;-3.000000;0.000000
218;83.000000;-3.000000;0.000000
219;86.000000;-3.000000;0.000000
220;82.000000;-3.000000;0.000000
221;86.000000;-3.000000;0.000000
222;88.000000;-3.000000;0.000000
223;84.000000;-3.000000;0.000000
224;88.000000;-3.000000;0.000000
225;88.000000;-4.000000;0.000000
226;77.000000;-4.000000;0.000000
227;80.000000;-4.000000;0.000000
228;79.000000;-4.000000;0.000000
229;71.000000;-4.000000;0.000000
230;80.000000;-4.000000;0.000000
231;79.000000;-4.000000;0.000000
232;73.000000;-4.000000;0.000000
233;81.000000;-4.000000;0.000000
234;82.000000;-4.000000;0.000000
235;75.000000;-4.000000;0.000000
236;81.000000;-4.000000;0.000000
237;81.000000;-4.000000;0.000000
238;76.000000;-4.000000;0.000000
239;84.000000;-4.000000;0.000000
240;83.000000;-4.000000;0.000000
241;76.000000;-4.000000;0.000000
242;80.000000;-4.000000;0.000000
243;78.000000;-4.000000;0.000000
244;73.000000;-4.000000;0.000000
245;80.000000;-4.000000;0.000000
246;77.000000;-4.000000;0.000000
247;73.000000;-4.000000;0.000000
248;81.000000;-4.000000;0.000000
249;78.000000;-4.000000;0.000000
250;73.000000;-4.000000;0.000000
251;79.000000;-4.000000;0.000000
252;74.000000;-4.000000;0.000000
253;71.000000;-4.000000;0.000000
254;78.000000;-4.000000;0.000000
255;73.000000;-4.000000;0.000000
256;70.000000;-3.000000;0.000000
257;83.000000;-3.000000;0.000000
258;80.000000;-3.000000;0.000000
259;81.000000;-3.000000;0.000000
260;87.000000;-3.000000;0.000000
261;80.000000;-3.000000;0.000000
262;78.000000;-3.000000;0.000000
263;84.000000;-3.000000;0.000000
264;77.000000;-3.000000;0.000000
265;77.000000;-3.000000;0.000000
266;85.000000;-3.000000;0.000000
267;82.000000;-3.000000;0.000000
268;81.000000;-3.000000;0.000000
269;86.000000;-3.000000;0.000000
270;80.000000;-3.000000;0.000000
271;78.000000;-3.000000;0.000000
272;84.000000;-3.000000;0.000000
273;81.000000;-3.000000;0.000000
274;81.000000;-3.000000;0.000000
275;87.000000;-3.000000;0.000000
276;84.000000;-3.000000;0.000000
277;82.000000;-3.000000;0.000000
278;86.000000;-3.000000;0.000000
279;82.000000;-3.000000;0.000000
280;81.000000;-3.000000;0.000000
281;85.000000;-3.000000;0.000000
282;84.000000;-3.000000;0.000000
283;84.000000;-3.000000;0.000000
284;88.000000;-3.000000;0.000000
285;85.000000;-3.000000;0.000000
286;85.000000;-3.000000;0.000000
287;86.000000;-3.000000;0.000000
288;82.000000;-3.000000;0.000000
289;83.000000;-3.000000;0.000000
290;86.000000;-3.000000;0.016320
291;84.000000;-3.000000;23.538572
292;81.000000;-3.000000;47.060825
293;65.000000;-3.000000;70.583076
294;31.000000;-1.000000;94.105331
295;-22.000000;1.000000;117.627586
296;-105.000000;5.000000;141.149841
297;-219.000000;9.000000;164.672104
298;-378.000000;16.000000;188.194351
299;-584.000000;24.000000;211.716614
300;-842.000000;35.000000;235.238861
301;-1151.000000;47.000000;258.761108
302;-1506.000000;62.000000;282.283356
303;-1913.000000;78.000000;305.805634
304;-2366.000000;97.000000;329.327881
305;-2848.000000;117.000000;352.850128
306;-3379.000000;138.000000;376.372375
307;-3931.000000;161.000000;399.894623
308;-4497.000000;184.000000;423.416901
309;-5075.000000;208.000000;446.939117
310;-5649.000000;231.000000;470.461395
311;-6217.000000;254.000000;493.983673
312;-6775.000000;277.000000;517.505859
313;-7331.000000;300.000000;541.028137
314;-7866.000000;321.000000;564.550415
315;-8410.000000;344.000000;588.072632
316;-8957.000000;366.000000;611.594910
317;-9489.000000;388.000000;635.117126
318;-10013.000000;409.000000;651.898682
319;-10529.000000;431.000000;651.898682
320;-11006.000000;450.000000;651.898682
321;-11453.000000;468.000000;651.898682
322;-11879.000000;486.000000;651.898682
323;-12252.000000;501.000000;651.898682
324;-12591.000000;515.000000;651.898682
325;-12910.000000;528.000000;651.898682
326;-13187.000000;539.000000;651.898682
327;-13427.000000;549.000000;651.898682
328;-13658.000000;559.000000;651.898682
329;-13858.000000;567.000000;651.898682
330;-14028.000000;574.000000;651.898682
331;-14188.000000;581.000000;651.898682
332;-14318.000000;586.000000;651.898682
333;-14420.000000;590.000000;651.898682
334;-14513.000000;594.000000;651.898682
335;-14587.000000;597.000000;651.898682
336;-14643.000000;600.000000;651.898682
337;-14698.000000;602.000000;651.898682
338;-14736.000000;604.000000;651.898682
339;-14775.000000;605.000000;651.898682
340;-14813.000000;607.000000;651.898682
341;-14849.000000;608.000000;651.898682
342;-14894.000000;610.000000;651.898682
343;-14939.000000;612.000000;651.898682
344;-14981.000000;614.000000;651.898682
345;-15027.000000;616.000000;651.898682
346;-15079.000000;618.000000;651.898682
