takt;q1;q2;q2p
0;415.000000;-17.000000;0.000000
1;777.000000;-29.000000;0.000000
2;1037.000000;-40.000000;0.000000
3;1210.000000;-48.000000;0.000000
4;1274.000000;-51.000000;0.000000
5;1222.000000;-49.000000;0.000000
6;1127.000000;-46.000000;0.000000
7;966.000000;-40.000000;0.000000
8;731.000000;-31.000000;0.000000
9;490.000000;-20.000000;0.000000
10;270.000000;-12.000000;0.000000
11;54.000000;-4.000000;0.000000
12;-147.000000;4.000000;0.000000
13;-310.000000;11.000000;0.000000
14;-447.000000;16.000000;0.000000
15;-559.000000;21.000000;0.000000
16;-618.000000;23.000000;0.000000
17;-639.000000;24.000000;0.000000
18;-637.000000;24.000000;0.000000
19;-611.000000;24.000000;0.000000
20;-558.000000;22.000000;0.000000
21;-501.000000;19.000000;0.000000
22;-429.000000;17.000000;0.000000
23;-341.000000;13.000000;0.000000
24;-254.000000;10.000000;0.000000
25;-170.000000;7.000000;0.000000
26;-92.000000;4.000000;0.000000
27;-11.000000;1.000000;0.000000
28;55.000000;-2.000000;0.000000
29;104.000000;-4.000000;0.000000
30;145.000000;-5.000000;0.000000
31;160.000000;-6.000000;0.000000
32;161.000000;-7.000000;0.000000
33;141.000000;-7.000000;0.000000
34;118.000000;-6.000000;0.000000
35;85.000000;-4.000000;0.000000
36;47.000000;-3.000000;0.000000
37;19.000000;-2.000000;0.000000
38;-6.000000;-1.000000;0.000000
39;-26.000000;0.000000;0.000000
40;-31.000000;0.000000;0.000000
41;-33.000000;0.000000;0.000000
42;-34.000000;0.000000;0.000000
43;-29.000000;0.000000;0.000000
44;-23.000000;0.000000;0.000000
45;-18.000000;0.000000;0.000000
46;-15.000000;0.000000;0.000000
47;-14.000000;0.000000;0.000000
48;-14.000000;0.000000;0.000000
49;-17.000000;0.000000;0.000000
50;-21.000000;0.000000;0.000000
51;-23.000000;0.000000;0.000000
52;-24.000000;0.000000;0.000000
53;-26.000000;0.000000;0.000000
54;-26.000000;0.000000;0.000000
55;-27.000000;0.000000;0.000000
56;-29.000000;0.000000;0.000000
57;-27.000000;0.000000;0.000000
58;-26.000000;0.000000;0.000000
59;-26.000000;0.000000;0.000000
60;-25.000000;0.000000;0.000000
61;-25.000000;0.000000;0.000000
62;-24.000000;0.000000;0.000000
63;-22.000000;0.000000;0.000000
64;-23.000000;0.000000;0.000000
65;-22.000000;0.000000;0.000000
66;-24.000000;0.000000;0.000000
67;-26.000000;0.000000;0.000000
68;-25.000000;0.000000;0.000000
69;-25.000000;0.000000;0.000000
70;-26.000000;0.000000;0.000000
71;-26.000000;0.000000;0.000000
72;-26.000000;0.000000;0.000000
73;-28.000000;0.000000;0.000000
74;-28.000000;0.000000;0.000000
75;-28.000000;0.000000;0.000000
76;-29.000000;0.000000;0.000000
77;-28.000000;0.000000;0.000000
78;-25.000000;0.000000;0.000000
79;-26.000000;0.000000;0.000000
80;-26.000000;0.000000;0.000000
81;-28.000000;0.000000;0.000000
82;-30.000000;0.000000;0.000000
83;-29.000000;0.000000;0.000000
84;-29.000000;0.000000;0.000000
85;-30.000000;0.000000;0.000000
86;-28.000000;0.000000;0.000000
87;-28.000000;0.000000;0.000000
88;-28.000000;0.000000;0.000000
89;-26.000000;0.000000;0.000000
90;-26.000000;0.000000;0.000000
91;-26.000000;0.000000;0.000000
92;-26.000000;0.000000;0.000000
93;-26.000000;0.000000;0.000000
94;-25.000000;0.000000;0.000000
95;-27.000000;0.000000;0.000000
96;-28.000000;0.000000;0.000000
97;-29.000000;0.000000;0.000000
98;-30.000000;0.000000;0.000000
99;-29.000000;0.000000;0.000000
100;-28.000000;0.000000;0.000000
101;-28.000000;0.000000;0.000000
102;-27.000000;0.000000;0.000000
103;-27.000000;0.000000;0.000000
104;-27.000000;0.000000;0.000000
105;-27.000000;0.000000;0.000000
106;-28.000000;0.000000;0.000000
107;-28.000000;0.000000;0.000000
108;-27.000000;0.000000;0.000000
109;-24.000000;0.000000;0.000000
110;-25.000000;0.000000;0.000000
111;-25.000000;0.000000;0.000000
112;-24.000000;0.000000;0.000000
113;-27.000000;0.000000;0.000000
114;-28.000000;0.000000;0.000000
115;-27.000000;0.000000;0.000000
116;-29.000000;0.000000;0.000000
117;-27.000000;0.000000;0.000000
118;-26.000000;0.000000;0.000000
119;-26.000000;0.000000;0.000000
120;-25.000000;0.000000;0.000000
121;-24.000000;0.000000;0.000000
122;-25.000000;0.000000;0.000000
123;-25.000000;0.000000;0.000000
124;-25.000000;0.000000;0.000000
125;-27.000000;0.000000;0.000000
126;-25.000000;0.000000;0.000000
127;-24.000000;0.000000;0.000000
128;-26.000000;0.000000;0.000000
129;-26.000000;0.000000;0.000000
130;-28.000000;0.000000;0.000000
131;-28.000000;0.000000;0.000000
132;-27.000000;0.000000;0.000000
133;-27.000000;0.000000;0.000000
134;-28.000000;0.000000;0.000000
135;-27.000000;0.000000;0.000000
136;-27.000000;0.000000;0.000000
137;-29.000000;0.000000;0.000000
138;-29.000000;0.000000;0.000000
139;-29.000000;0.000000;0.000000
140;-31.000000;0.000000;0.000000
141;-29.000000;0.000000;0.000000
142;-28.000000;0.000000;0.000000
143;-29.000000;0.000000;0.000000
144;-28.000000;0.000000;0.000000
145;-29.000000;0.000000;0.000000
146;-30.000000;0.000000;0.000000
147;-30.000000;0.000000;0.000000
148;-31.000000;0.000000;0.000000
149;-31.000000;0.000000;0.000000
150;-30.000000;0.000000;0.000000
151;-31.000000;0.000000;0.000000
152;-30.000000;0.000000;0.000000
153;-30.000000;0.000000;0.000000
154;-31.000000;0.000000;0.000000
155;-31.000000;0.000000;0.000000
156;-31.000000;0.000000;0.000000
157;-33.000000;0.000000;0.000000
158;-34.000000;0.000000;0.000000
159;-33.000000;0.000000;0.000000
160;-35.000000;0.000000;0.000000
161;-34.000000;0.000000;0.000000
162;-34.000000;0.000000;0.000000
163;-34.000000;0.000000;0.000000
164;-34.000000;0.000000;0.000000
165;-34.000000;0.000000;0.000000
166;-33.000000;0.000000;0.000000
167;-33.000000;1.000000;0.000000
168;-31.000000;1.000000;0.000000
169;-32.000000;1.000000;0.000000
170;-31.000000;1.000000;0.000000
171;-31.000000;1.000000;0.000000
172;-33.000000;1.000000;0.000000
173;-33.000000;1.000000;0.000000
174;-31.000000;1.000000;0.000000
175;-35.000000;1.000000;0.000000
176;-35.000000;1.000000;0.000000
177;-32.000000;1.000000;0.000000
178;-34.000000;1.000000;0.000000
179;-33.000000;1.000000;0.000000
180;-32.000000;1.000000;0.000000
181;-35.000000;1.000000;0.000000
182;-35.000000;1.000000;0.000000
183;-33.000000;1.000000;0.000000
184;-35.000000;1.000000;0.000000
185;-34.000000;1.000000;0.000000
186;-34.000000;1.000000;0.000000
187;-36.000000;1.000000;0.000000
188;-34.000000;1.000000;0.000000
189;-33.000000;1.000000;0.000000
190;-36.000000;1.000000;0.000000
191;-34.000000;1.000000;0.000000
192;-34.000000;1.000000;0.000000
193;-37.000000;1.000000;0.000000
194;-36.000000;1.000000;0.000000
195;-36.000000;1.000000;0.000000
196;-36.000000;1.000000;0.000000
197;-34.000000;1.000000;0.000000
198;-33.000000;1.000000;0.000000
199;-34.000000;1.000000;0.000000
200;-32.000000;1.000000;0.000000
201;-31.000000;1.000000;0.000000
202;-33.000000;1.000000;0.000000
203;-30.000000;1.000000;0.000000
204;-32.000000;1.000000;0.000000
205;-34.000000;1.000000;0.000000
206;-32.000000;1.000000;0.000000
207;-33.000000;1.000000;0.000000
208;-35.000000;1.000000;0.000000
209;-33.000000;1.000000;0.000000
210;-34.000000;1.000000;0.000000
211;-35.000000;1.000000;0.000000
212;-32.000000;1.000000;0.000000
213;-31.000000;1.000000;0.000000
214;-33.000000;1.000000;0.000000
215;-31.000000;1.000000;0.000000
216;-32.000000;1.000000;0.000000
217;-32.000000;1.000000;0.000000
218;-31.000000;1.000000;0.000000
219;-31.000000;1.000000;0.000000
220;-33.000000;1.000000;0.000000
221;-33.000000;1.000000;0.000000
222;-33.000000;1.000000;0.000000
223;-33.000000;1.000000;0.000000
224;-32.000000;1.000000;0.000000
225;-32.000000;1.000000;0.000000
226;-35.000000;1.000000;0.000000
227;-32.000000;1.000000;0.000000
228;-31.000000;1.000000;0.000000
229;-33.000000;1.000000;0.000000
230;-32.000000;1.000000;0.000000
231;-32.000000;1.000000;0.000000
232;-33.000000;1.000000;0.000000
233;-32.000000;1.000000;0.000000
234;-32.000000;1.000000;0.000000
235;-34.000000;1.000000;0.000000
236;-32.000000;1.000000;0.000000
237;-33.000000;1.000000;0.000000
238;-33.000000;1.000000;0.000000
239;-32.000000;1.000000;0.000000
240;-33.000000;1.000000;0.000000
241;-33.000000;1.000000;0.000000
242;-33.000000;1.000000;0.000000
243;-32.000000;1.000000;0.000000
244;-34.000000;1.000000;0.000000
245;-33.000000;1.000000;0.000000
246;-33.000000;1.000000;0.000000
247;-33.000000;1.000000;0.000000
248;-31.000000;1.000000;0.000000
249;-30.000000;1.000000;0.000000
250;-31.000000;1.000000;0.000000
251;-29.000000;1.000000;0.000000
252;-30.000000;1.000000;0.000000
253;-32.000000;1.000000;0.000000
254;-30.000000;1.000000;0.000000
255;-30.000000;1.000000;0.000000
256;-31.000000;1.000000;0.000000
257;-30.000000;1.000000;0.000000
258;-30.000000;1.000000;0.000000
259;-32.000000;1.000000;0.000000
260;-30.000000;1.000000;0.000000
261;-30.000000;1.000000;0.000000
262;-31.000000;1.000000;0.000000
263;-29.000000;1.000000;0.000000
264;-29.000000;1.000000;0.000000
265;-30.000000;1.000000;0.000000
266;-27.000000;1.000000;0.000000
267;-28.000000;1.000000;0.000000
268;-29.000000;1.000000;0.000000
269;-26.000000;1.000000;0.000000
270;-26.000000;1.000000;0.000000
271;-28.000000;1.000000;0.000000
272;-25.000000;1.000000;0.000000
273;-26.000000;1.000000;0.000000
274;-29.000000;1.000000;0.000000
275;-26.000000;1.000000;0.000000
276;-28.000000;1.000000;0.000000
277;-31.000000;1.000000;0.000000
278;-28.000000;1.000000;0.000000
279;-28.000000;1.000000;0.000000
280;-30.000000;1.000000;0.000000
281;-26.000000;1.000000;0.000000
282;-26.000000;1.000000;0.000000
283;-28.000000;1.000000;0.000000
284;-26.000000;1.000000;0.000000
285;-27.000000;1.000000;0.000000
286;-29.000000;1.000000;0.000000
287;-26.000000;1.000000;0.000000
288;-27.000000;1.000000;0.000000
289;-27.000000;1.000000;0.000000
290;-26.000000;1.000000;0.016320
291;-28.000000;1.000000;23.538572
292;-41.000000;1.000000;47.060825
293;-84.000000;3.000000;70.583076
294;-154.000000;6.000000;94.105331
295;-284.000000;12.000000;117.627586
296;-475.000000;20.000000;141.149841
297;-730.000000;30.000000;164.672104
298;-1074.000000;44.000000;188.194351
299;-1499.000000;61.000000;211.716614
300;-1995.000000;82.000000;235.238861
301;-2559.000000;105.000000;258.761108
302;-3191.000000;131.000000;282.283356
303;-3853.000000;158.000000;305.805634
304;-4546.000000;186.000000;329.327881
305;-5254.000000;215.000000;352.850128
306;-5959.000000;243.000000;376.372375
307;-6658.000000;272.000000;399.894623
308;-7344.000000;299.000000;423.416901
309;-8012.000000;326.000000;446.939117
310;-8660.000000;353.000000;470.461395
311;-9279.000000;378.000000;493.983673
312;-9855.000000;401.000000;517.505859
313;-10396.000000;423.000000;541.028137
314;-10903.000000;444.000000;564.550415
315;-11384.000000;464.000000;588.072632
316;-11845.000000;483.000000;611.594910
317;-12298.000000;502.000000;635.117126
318;-12736.000000;520.000000;651.898682
319;-13191.000000;539.000000;651.898682
320;-13634.000000;557.000000;651.898682
321;-14057.000000;574.000000;651.898682
322;-14464.000000;591.000000;651.898682
323;-14823.000000;606.000000;651.898682
324;-15119.000000;618.000000;651.898682
325;-15364.000000;628.000000;651.898682
326;-15541.000000;635.000000;651.898682
327;-15648.000000;640.000000;651.898682
328;-15713.000000;642.000000;651.898682
329;-15726.000000;643.000000;651.898682
330;-15706.000000;643.000000;651.898682
331;-15685.000000;642.000000;651.898682
332;-15655.000000;641.000000;651.898682
333;-15630.000000;640.000000;651.898682
334;-15618.000000;640.000000;651.898682
335;-15605.000000;639.000000;651.898682
336;-15592.000000;638.000000;651.898682
337;-15596.000000;638.000000;651.898682
338;-15588.000000;638.000000;651.898682
339;-15583.000000;638.000000;651.898682
340;-15589.000000;638.000000;651.898682
341;-15587.000000;638.000000;651.898682
342;-15595.000000;638.000000;651.898682
343;-15599.000000;638.000000;651.898682
344;-15599.000000;638.000000;651.898682
345;-15606.000000;639.000000;651.898682
346;-15608.000000;639.000000;651.898682
347;-15617.000000;639.000000;651.898682
348;-15628.000000;640.000000;651.898682
349;-15632.000000;640.000000;651.898682
350;-15639.000000;640.000000;651.898682
351;-15646.000000;640.000000;651.898682
352;-15647.000000;641.000000;651.898682
353;-15654.000000;641.000000;651.898682
354;-15661.000000;641.000000;651.898682
355;-15662.000000;641.000000;651.898682
356;-15668.000000;641.000000;651.898682
357;-15674.000000;642.000000;651.898682
358;-15683.000000;642.000000;651.898682
359;-15690.000000;642.000000;651.898682
360;-15702.000000;643.000000;651.898682
361;-15711.000000;643.000000;651.898682
362;-15721.000000;644.000000;651.898682
363;-15733.000000;644.000000;651.898682
364;-15751.000000;645.000000;651.898682
365;-15769.000000;646.000000;651.898682
366;-15781.000000;646.000000;651.898682
367;-15798.000000;647.000000;651.898682
368;-15803.000000;647.000000;651.898682
369;-15812.000000;647.000000;651.898682
370;-15822.000000;648.000000;651.898682
371;-15821.000000;648.000000;651.898682
372;-15828.000000;648.000000;651.898682
373;-15828.000000;648.000000;651.898682
374;-15830.000000;648.000000;651.898682
375;-15832.000000;648.000000;651.898682
376;-15833.000000;648.000000;651.898682
377;-15833.000000;648.000000;651.898682
378;-15833.000000;648.000000;651.898682
379;-15841.000000;648.000000;651.898682
380;-15840.000000;649.000000;651.898682
381;-15843.000000;649.000000;651.898682
382;-15849.000000;649.000000;651.898682
383;-15851.000000;649.000000;651.898682
384;-15854.000000;649.000000;651.898682
385;-15856.000000;649.000000;651.898682
386;-15860.000000;649.000000;651.898682
387;-15860.000000;649.000000;651.898682
388;-15863.000000;649.000000;651.898682
389;-15866.000000;649.000000;651.898682
390;-15860.000000;650.000000;651.898682
391;-15864.000000;650.000000;651.898682
392;-15867.000000;650.000000;651.898682
393;-15865.000000;650.000000;651.898682
394;-15868.000000;650.000000;651.898682
395;-15866.000000;650.000000;651.898682
396;-15868.000000;650.000000;651.898682
397;-15868.000000;650.000000;651.898682
398;-15867.000000;650.000000;651.898682
399;-15867.000000;650.000000;651.898682
400;-15864.000000;650.000000;651.898682
401;-15868.000000;650.000000;651.898682
402;-15868.000000;650.000000;651.898682
