takt;q1;q2;q2p
0;400.000000;-17.000000;0.000000
1;743.000000;-28.000000;0.000000
2;976.000000;-38.000000;0.000000
3;1128.000000;-44.000000;0.000000
4;1168.000000;-46.000000;0.000000
5;1085.000000;-44.000000;0.000000
6;955.000000;-39.000000;0.000000
7;755.000000;-32.000000;0.000000
8;478.000000;-20.000000;0.000000
9;192.000000;-9.000000;0.000000
10;-69.000000;1.000000;0.000000
11;-323.000000;11.000000;0.000000
12;-544.000000;20.000000;0.000000
13;-708.000000;27.000000;0.000000
14;-816.000000;31.000000;0.000000
15;-888.000000;34.000000;0.000000
16;-892.000000;34.000000;0.000000
17;-833.000000;33.000000;0.000000
18;-743.000000;29.000000;0.000000
19;-627.000000;25.000000;0.000000
20;-476.000000;19.000000;0.000000
21;-318.000000;12.000000;0.000000
22;-163.000000;7.000000;0.000000
23;-4.000000;0.000000;0.000000
24;145.000000;-6.000000;0.000000
25;261.000000;-10.000000;0.000000
26;356.000000;-14.000000;0.000000
27;430.000000;-17.000000;0.000000
28;461.000000;-18.000000;0.000000
29;459.000000;-19.000000;0.000000
30;431.000000;-18.000000;0.000000
31;371.000000;-16.000000;0.000000
32;285.000000;-13.000000;0.000000
33;188.000000;-9.000000;0.000000
34;87.000000;-5.000000;0.000000
35;-16.000000;-1.000000;0.000000
36;-118.000000;3.000000;0.000000
37;-198.000000;6.000000;0.000000
38;-261.000000;9.000000;0.000000
39;-309.000000;11.000000;0.000000
40;-320.000000;11.000000;0.000000
41;-310.000000;11.000000;0.000000
42;-280.000000;11.000000;0.000000
43;-227.000000;9.000000;0.000000
44;-160.000000;6.000000;0.000000
45;-98.000000;4.000000;0.000000
46;-29.000000;1.000000;0.000000
47;37.000000;-2.000000;0.000000
48;85.000000;-4.000000;0.000000
49;126.000000;-5.000000;0.000000
50;152.000000;-6.000000;0.000000
51;158.000000;-7.000000;0.000000
52;153.000000;-7.000000;0.000000
53;139.000000;-7.000000;0.000000
54;106.000000;-6.000000;0.000000
55;77.000000;-5.000000;0.000000
56;47.000000;-3.000000;0.000000
57;8.000000;-2.000000;0.000000
58;-18.000000;-1.000000;0.000000
59;-36.000000;0.000000;0.000000
60;-53.000000;1.000000;0.000000
61;-57.000000;1.000000;0.000000
62;-55.000000;1.000000;0.000000
63;-52.000000;1.000000;0.000000
64;-38.000000;1.000000;0.000000
65;-21.000000;0.000000;0.000000
66;-10.000000;0.000000;0.000000
67;5.000000;-1.000000;0.000000
68;19.000000;-1.000000;0.000000
69;25.000000;-2.000000;0.000000
70;33.000000;-2.000000;0.000000
71;40.000000;-2.000000;0.000000
72;40.000000;-2.000000;0.000000
73;40.000000;-2.000000;0.000000
74;42.000000;-2.000000;0.000000
75;36.000000;-2.000000;0.000000
76;31.000000;-2.000000;0.000000
77;26.000000;-2.000000;0.000000
78;16.000000;-2.000000;0.000000
79;8.000000;-2.000000;0.000000
80;-1.000000;-1.000000;0.000000
81;-2.000000;-1.000000;0.000000
82;-1.000000;-1.000000;0.000000
83;1.000000;-1.000000;0.000000
84;6.000000;-1.000000;0.000000
85;15.000000;-1.000000;0.000000
86;23.000000;-1.000000;0.000000
87;28.000000;-2.000000;0.000000
88;36.000000;-2.000000;0.000000
89;40.000000;-2.000000;0.000000
90;41.000000;-2.000000;0.000000
91;48.000000;-2.000000;0.000000
92;52.000000;-3.000000;0.000000
93;43.000000;-3.000000;0.000000
94;36.000000;-3.000000;0.000000
95;33.000000;-2.000000;0.000000
96;19.000000;-2.000000;0.000000
97;9.000000;-2.000000;0.000000
98;3.000000;-1.000000;0.000000
99;1.000000;-1.000000;0.000000
100;-3.000000;-1.000000;0.000000
101;1.000000;-1.000000;0.000000
102;13.000000;-1.000000;0.000000
103;18.000000;-1.000000;0.000000
104;24.000000;-1.000000;0.000000
105;36.000000;-2.000000;0.000000
106;45.000000;-2.000000;0.000000
107;47.000000;-2.000000;0.000000
108;53.000000;-2.000000;0.000000
109;56.000000;-3.000000;0.000000
110;50.000000;-3.000000;0.000000
111;42.000000;-3.000000;0.000000
112;34.000000;-3.000000;0.000000
113;17.000000;-2.000000;0.000000
114;1.000000;-1.000000;0.000000
115;-5.000000;-1.000000;0.000000
116;-12.000000;-1.000000;0.000000
117;-20.000000;-1.000000;0.000000
118;-16.000000;0.000000;0.000000
119;-8.000000;0.000000;0.000000
120;-2.000000;0.000000;0.000000
121;8.000000;-1.000000;0.000000
122;20.000000;-1.000000;0.000000
123;28.000000;-1.000000;0.000000
124;33.000000;-2.000000;0.000000
125;41.000000;-2.000000;0.000000
126;49.000000;-2.000000;0.000000
127;48.000000;-2.000000;0.000000
128;48.000000;-2.000000;0.000000
129;52.000000;-3.000000;0.000000
130;42.000000;-3.000000;0.000000
131;29.000000;-2.000000;0.000000
132;25.000000;-2.000000;0.000000
133;14.000000;-2.000000;0.000000
134;2.000000;-1.000000;0.000000
135;4.000000;-1.000000;0.000000
136;4.000000;-1.000000;0.000000
137;3.000000;-1.000000;0.000000
138;10.000000;-1.000000;0.000000
139;21.000000;-1.000000;0.000000
140;27.000000;-2.000000;0.000000
141;28.000000;-2.000000;0.000000
142;38.000000;-2.000000;0.000000
143;42.000000;-2.000000;0.000000
144;40.000000;-2.000000;0.000000
145;47.000000;-2.000000;0.000000
146;53.000000;-3.000000;0.000000
147;41.000000;-3.000000;0.000000
148;37.000000;-3.000000;0.000000
149;36.000000;-3.000000;0.000000
150;18.000000;-2.000000;0.000000
151;10.000000;-2.000000;0.000000
152;7.000000;-2.000000;0.000000
153;-2.000000;-1.000000;0.000000
154;-5.000000;-1.000000;0.000000
155;-1.000000;-1.000000;0.000000
156;4.000000;-1.000000;0.000000
157;9.000000;-1.000000;0.000000
158;15.000000;-1.000000;0.000000
159;24.000000;-1.000000;0.000000
160;32.000000;-2.000000;0.000000
161;35.000000;-2.000000;0.000000
162;40.000000;-2.000000;0.000000
163;46.000000;-2.000000;0.000000
164;44.000000;-2.000000;0.000000
165;44.000000;-2.000000;0.000000
166;50.000000;-2.000000;0.000000
167;45.000000;-3.000000;0.000000
168;37.000000;-3.000000;0.000000
169;36.000000;-3.000000;0.000000
170;25.000000;-2.000000;0.000000
171;15.000000;-2.000000;0.000000
172;15.000000;-2.000000;0.000000
173;13.000000;-2.000000;0.000000
174;5.000000;-2.000000;0.000000
175;5.000000;-2.000000;0.000000
176;7.000000;-2.000000;0.000000
177;4.000000;-2.000000;0.000000
178;6.000000;-1.000000;0.000000
179;13.000000;-1.000000;0.000000
180;18.000000;-1.000000;0.000000
181;28.000000;-2.000000;0.000000
182;33.000000;-2.000000;0.000000
183;39.000000;-2.000000;0.000000
184;46.000000;-2.000000;0.000000
185;48.000000;-2.000000;0.000000
186;51.000000;-2.000000;0.000000
187;51.000000;-3.000000;0.000000
188;42.000000;-3.000000;0.000000
189;33.000000;-3.000000;0.000000
190;26.000000;-2.000000;0.000000
191;16.000000;-2.000000;0.000000
192;3.000000;-2.000000;0.000000
193;-1.000000;-1.000000;0.000000
194;-5.000000;-1.000000;0.000000
195;-12.000000;-1.000000;0.000000
196;-8.000000;-1.000000;0.000000
197;-1.000000;-1.000000;0.000000
198;1.000000;-1.000000;0.000000
199;11.000000;-1.000000;0.000000
200;29.000000;-1.000000;0.000000
201;35.000000;-2.000000;0.000000
202;45.000000;-2.000000;0.000000
203;56.000000;-3.000000;0.000000
204;55.000000;-3.000000;0.000000
205;52.000000;-3.000000;0.000000
206;45.000000;-3.000000;0.000000
207;34.000000;-3.000000;0.000000
208;20.000000;-2.000000;0.000000
209;8.000000;-2.000000;0.000000
210;-1.000000;-1.000000;0.000000
211;-6.000000;-1.000000;0.000000
212;-11.000000;-1.000000;0.000000
213;-10.000000;-1.000000;0.000000
214;-8.000000;-1.000000;0.000000
215;-6.000000;-1.000000;0.000000
216;1.000000;-1.000000;0.000000
217;9.000000;-1.000000;0.000000
218;17.000000;-1.000000;0.000000
219;31.000000;-2.000000;0.000000
220;34.000000;-2.000000;0.000000
221;37.000000;-2.000000;0.000000
222;41.000000;-2.000000;0.000000
223;37.000000;-2.000000;0.000000
224;35.000000;-2.000000;0.000000
225;32.000000;-2.000000;0.000000
226;23.000000;-2.000000;0.000000
227;13.000000;-2.000000;0.000000
228;8.000000;-2.000000;0.000000
229;-1.000000;-1.000000;0.000000
230;-7.000000;-1.000000;0.000000
231;-9.000000;-1.000000;0.000000
232;-10.000000;-1.000000;0.000000
233;-9.000000;-1.000000;0.000000
234;-4.000000;-1.000000;0.000000
235;3.000000;-1.000000;0.000000
236;12.000000;-1.000000;0.000000
237;27.000000;-1.000000;0.000000
238;35.000000;-2.000000;0.000000
239;41.000000;-2.000000;0.000000
240;50.000000;-2.000000;0.000000
241;54.000000;-3.000000;0.000000
242;46.000000;-3.000000;0.000000
243;42.000000;-3.000000;0.000000
244;30.000000;-2.000000;0.000000
245;13.000000;-2.000000;0.000000
246;4.000000;-1.000000;0.000000
247;0.000000;-1.000000;0.000000
248;-8.000000;-1.000000;0.000000
249;-15.000000;-1.000000;0.000000
250;-10.000000;-1.000000;0.000000
251;-10.000000;-1.000000;0.000000
252;-11.000000;-1.000000;0.000000
253;-1.000000;-1.000000;0.000000
254;5.000000;-1.000000;0.000000
255;7.000000;-1.000000;0.000000
256;21.000000;-1.000000;0.000000
257;37.000000;-2.000000;0.000000
258;37.000000;-2.000000;0.000000
259;42.000000;-2.000000;0.000000
260;48.000000;-2.000000;0.000000
261;46.000000;-2.000000;0.000000
262;43.000000;-2.000000;0.000000
263;47.000000;-2.000000;0.000000
264;45.000000;-2.000000;0.000000
265;37.000000;-2.000000;0.000000
266;34.000000;-2.000000;0.000000
267;33.000000;-2.000000;0.000000
268;24.000000;-2.000000;0.000000
269;15.000000;-2.000000;0.000000
270;14.000000;-2.000000;0.000000
271;9.000000;-2.000000;0.000000
272;2.000000;-2.000000;0.000000
273;6.000000;-2.000000;0.000000
274;11.000000;-2.000000;0.000000
275;7.000000;-2.000000;0.000000
276;10.000000;-2.000000;0.000000
277;20.000000;-2.000000;0.000000
278;21.000000;-2.000000;0.000000
279;24.000000;-2.000000;0.000000
280;35.000000;-2.000000;0.000000
281;38.000000;-2.000000;0.000000
282;39.000000;-2.000000;0.000000
283;45.000000;-2.000000;0.000000
284;48.000000;-2.000000;0.000000
285;47.000000;-2.000000;0.000000
286;46.000000;-2.000000;0.000000
287;47.000000;-2.000000;0.000000
288;47.000000;-2.000000;0.000000
