takt;q1;q2;q2p
0;389.000000;-16.000000;0.000000
1;714.000000;-26.000000;0.000000
2;945.000000;-36.000000;0.000000
3;1097.000000;-42.000000;0.000000
4;1132.000000;-44.000000;0.000000
5;1043.000000;-41.000000;0.000000
6;908.000000;-36.000000;0.000000
7;708.000000;-29.000000;0.000000
8;433.000000;-17.000000;0.000000
9;161.000000;-6.000000;0.000000
10;-83.000000;3.000000;0.000000
11;-319.000000;12.000000;0.000000
12;-522.000000;21.000000;0.000000
13;-665.000000;26.000000;0.000000
14;-769.000000;30.000000;0.000000
15;-827.000000;32.000000;0.000000
16;-820.000000;33.000000;0.000000
17;-761.000000;31.000000;0.000000
18;-680.000000;28.000000;0.000000
19;-572.000000;23.000000;0.000000
20;-436.000000;18.000000;0.000000
21;-307.000000;13.000000;0.000000
22;-172.000000;7.000000;0.000000
23;-32.000000;2.000000;0.000000
24;90.000000;-3.000000;0.000000
25;193.000000;-7.000000;0.000000
26;282.000000;-11.000000;0.000000
27;355.000000;-14.000000;0.000000
28;385.000000;-15.000000;0.000000
29;390.000000;-15.000000;0.000000
30;370.000000;-15.000000;0.000000
31;316.000000;-13.000000;0.000000
32;252.000000;-10.000000;0.000000
33;179.000000;-7.000000;0.000000
34;99.000000;-4.000000;0.000000
35;23.000000;-1.000000;0.000000
36;-40.000000;1.000000;0.000000
37;-100.000000;4.000000;0.000000
38;-138.000000;5.000000;0.000000
39;-160.000000;6.000000;0.000000
40;-173.000000;7.000000;0.000000
41;-167.000000;7.000000;0.000000
42;-148.000000;7.000000;0.000000
43;-124.000000;6.000000;0.000000
44;-95.000000;5.000000;0.000000
45;-59.000000;3.000000;0.000000
46;-31.000000;2.000000;0.000000
47;-9.000000;1.000000;0.000000
48;8.000000;0.000000;0.000000
49;13.000000;0.000000;0.000000
50;17.000000;0.000000;0.000000
51;12.000000;-1.000000;0.000000
52;-3.000000;-1.000000;0.000000
53;-7.000000;0.000000;0.000000
54;-16.000000;0.000000;0.000000
55;-30.000000;1.000000;0.000000
56;-27.000000;1.000000;0.000000
57;-26.000000;1.000000;0.000000
58;-30.000000;1.000000;0.000000
59;-20.000000;1.000000;0.000000
60;-8.000000;1.000000;0.000000
