takt;q1;q2;q2p
0;410.000000;-17.000000;0.000000
1;769.000000;-28.000000;0.000000
2;1007.000000;-38.000000;0.000000
3;1145.000000;-44.000000;0.000000
4;1147.000000;-44.000000;0.000000
5;1001.000000;-39.000000;0.000000
6;790.000000;-31.000000;0.000000
7;505.000000;-21.000000;0.000000
8;151.000000;-7.000000;0.000000
9;-194.000000;7.000000;0.000000
10;-480.000000;18.000000;0.000000
11;-719.000000;27.000000;0.000000
12;-888.000000;34.000000;0.000000
13;-949.000000;36.000000;0.000000
14;-945.000000;36.000000;0.000000
15;-876.000000;34.000000;0.000000
16;-729.000000;29.000000;0.000000
17;-543.000000;21.000000;0.000000
18;-335.000000;13.000000;0.000000
19;-125.000000;5.000000;0.000000
20;79.000000;-3.000000;0.000000
21;249.000000;-10.000000;0.000000
22;380.000000;-15.000000;0.000000
23;469.000000;-18.000000;0.000000
24;512.000000;-20.000000;0.000000
25;512.000000;-21.000000;0.000000
26;467.000000;-19.000000;0.000000
27;399.000000;-17.000000;0.000000
28;302.000000;-13.000000;0.000000
29;186.000000;-8.000000;0.000000
30;72.000000;-4.000000;0.000000
31;-42.000000;1.000000;0.000000
32;-156.000000;5.000000;0.000000
33;-248.000000;9.000000;0.000000
34;-314.000000;11.000000;0.000000
35;-360.000000;13.000000;0.000000
36;-379.000000;14.000000;0.000000
37;-357.000000;14.000000;0.000000
38;-317.000000;12.000000;0.000000
39;-252.000000;10.000000;0.000000
40;-169.000000;7.000000;0.000000
41;-85.000000;3.000000;0.000000
42;0.000000;0.000000;0.000000
43;80.000000;-3.000000;0.000000
44;148.000000;-6.000000;0.000000
45;195.000000;-8.000000;0.000000
46;223.000000;-9.000000;0.000000
47;228.000000;-9.000000;0.000000
48;215.000000;-9.000000;0.000000
49;179.000000;-8.000000;0.000000
50;125.000000;-6.000000;0.000000
51;72.000000;-4.000000;0.000000
52;5.000000;-1.000000;0.000000
53;-57.000000;1.000000;0.000000
54;-108.000000;3.000000;0.000000
55;-148.000000;5.000000;0.000000
56;-185.000000;6.000000;0.000000
57;-195.000000;7.000000;0.000000
58;-187.000000;7.000000;0.000000
59;-162.000000;6.000000;0.000000
60;-124.000000;5.000000;0.000000
61;-78.000000;3.000000;0.000000
62;-31.000000;1.000000;0.000000
63;13.000000;-1.000000;0.000000
64;59.000000;-2.000000;0.000000
65;87.000000;-3.000000;0.000000
66;104.000000;-4.000000;0.000000
67;106.000000;-5.000000;0.000000
68;95.000000;-5.000000;0.000000
69;75.000000;-4.000000;0.000000
70;44.000000;-3.000000;0.000000
71;9.000000;-2.000000;0.000000
72;-21.000000;0.000000;0.000000
73;-52.000000;1.000000;0.000000
74;-79.000000;2.000000;0.000000
75;-88.000000;2.000000;0.000000
76;-87.000000;3.000000;0.000000
77;-73.000000;3.000000;0.000000
78;-54.000000;2.000000;0.000000
79;-34.000000;1.000000;0.000000
80;-14.000000;0.000000;0.000000
81;-1.000000;0.000000;0.000000
82;13.000000;-1.000000;0.000000
83;21.000000;-1.000000;0.000000
84;30.000000;-1.000000;0.000000
85;24.000000;-2.000000;0.000000
86;19.000000;-2.000000;0.000000
87;16.000000;-2.000000;0.000000
88;0.000000;-1.000000;0.000000
89;-7.000000;-1.000000;0.000000
90;-15.000000;-1.000000;0.000000
91;-21.000000;0.000000;0.000000
92;-23.000000;0.000000;0.000000
93;-22.000000;0.000000;0.000000
94;-19.000000;0.000000;0.000000
95;-19.000000;0.000000;0.000000
96;-18.000000;0.000000;0.000000
97;-17.000000;0.000000;0.000000
98;-15.000000;0.000000;0.000000
99;-15.000000;0.000000;0.000000
100;-14.000000;0.000000;0.000000
101;-12.000000;0.000000;0.000000
102;-10.000000;0.000000;0.000000
103;-6.000000;0.000000;0.000000
104;-4.000000;0.000000;0.000000
105;2.000000;0.000000;0.000000
106;4.000000;-1.000000;0.000000
107;5.000000;-1.000000;0.000000
108;8.000000;-1.000000;0.000000
109;5.000000;-1.000000;0.000000
110;3.000000;-1.000000;0.000000
111;2.000000;-1.000000;0.000000
112;0.000000;-1.000000;0.000000
113;-8.000000;-1.000000;0.000000
114;-7.000000;-1.000000;0.000000
115;-11.000000;-1.000000;0.000000
116;-16.000000;-1.000000;0.000000
117;-9.000000;0.000000;0.000000
118;-4.000000;0.000000;0.000000
119;-2.000000;0.000000;0.000000
120;7.000000;-1.000000;0.000000
121;10.000000;-1.000000;0.000000
122;8.000000;-1.000000;0.000000
123;12.000000;-1.000000;0.000000
124;11.000000;-1.000000;0.000000
125;6.000000;-1.000000;0.000000
126;6.000000;-1.000000;0.000000
127;5.000000;-1.000000;0.000000
128;5.000000;-1.000000;0.000000
129;6.000000;-1.000000;0.000000
130;6.000000;-1.000000;0.000000
131;3.000000;-1.000000;0.000000
132;5.000000;-1.000000;0.000000
133;3.000000;-1.000000;0.000000
134;0.000000;-1.000000;0.000000
135;4.000000;-1.000000;0.000000
