takt;q1;q2;q2p
0;398.000000;-17.000000;0.000000
1;733.000000;-27.000000;0.000000
2;927.000000;-35.000000;0.000000
3;1010.000000;-39.000000;0.000000
4;941.000000;-37.000000;0.000000
5;712.000000;-28.000000;0.000000
6;423.000000;-17.000000;0.000000
7;73.000000;-4.000000;0.000000
8;-319.000000;12.000000;0.000000
9;-658.000000;25.000000;0.000000
10;-888.000000;33.000000;0.000000
11;-1017.000000;38.000000;0.000000
12;-1034.000000;40.000000;0.000000
13;-914.000000;35.000000;0.000000
14;-707.000000;27.000000;0.000000
15;-458.000000;18.000000;0.000000
16;-161.000000;7.000000;0.000000
17;141.000000;-5.000000;0.000000
18;389.000000;-15.000000;0.000000
19;577.000000;-22.000000;0.000000
20;698.000000;-27.000000;0.000000
21;720.000000;-29.000000;0.000000
22;652.000000;-27.000000;0.000000
23;527.000000;-21.000000;0.000000
24;344.000000;-15.000000;0.000000
25;135.000000;-6.000000;0.000000
26;-64.000000;2.000000;0.000000
27;-237.000000;8.000000;0.000000
28;-371.000000;13.000000;0.000000
29;-459.000000;17.000000;0.000000
30;-494.000000;18.000000;0.000000
31;-475.000000;18.000000;0.000000
32;-406.000000;16.000000;0.000000
33;-299.000000;12.000000;0.000000
34;-164.000000;7.000000;0.000000
35;-37.000000;2.000000;0.000000
36;74.000000;-3.000000;0.000000
37;177.000000;-7.000000;0.000000
38;253.000000;-10.000000;0.000000
39;292.000000;-11.000000;0.000000
40;306.000000;-12.000000;0.000000
41;287.000000;-12.000000;0.000000
42;232.000000;-10.000000;0.000000
43;167.000000;-8.000000;0.000000
44;98.000000;-5.000000;0.000000
45;23.000000;-2.000000;0.000000
46;-39.000000;1.000000;0.000000
47;-93.000000;2.000000;0.000000
48;-138.000000;4.000000;0.000000
49;-161.000000;5.000000;0.000000
50;-170.000000;6.000000;0.000000
51;-164.000000;6.000000;0.000000
52;-147.000000;6.000000;0.000000
53;-125.000000;5.000000;0.000000
54;-99.000000;4.000000;0.000000
55;-63.000000;3.000000;0.000000
56;-32.000000;1.000000;0.000000
57;4.000000;0.000000;0.000000
58;43.000000;-2.000000;0.000000
59;68.000000;-3.000000;0.000000
60;83.000000;-3.000000;0.000000
61;98.000000;-4.000000;0.000000
62;101.000000;-4.000000;0.000000
63;95.000000;-4.000000;0.000000
64;88.000000;-4.000000;0.000000
65;66.000000;-4.000000;0.000000
66;35.000000;-3.000000;0.000000
67;2.000000;-1.000000;0.000000
68;-34.000000;0.000000;0.000000
69;-67.000000;1.000000;0.000000
70;-94.000000;3.000000;0.000000
71;-115.000000;3.000000;0.000000
72;-125.000000;4.000000;0.000000
73;-121.000000;4.000000;0.000000
74;-104.000000;4.000000;0.000000
75;-68.000000;3.000000;0.000000
76;-32.000000;1.000000;0.000000
77;5.000000;0.000000;0.000000
78;44.000000;-2.000000;0.000000
79;75.000000;-3.000000;0.000000
80;92.000000;-4.000000;0.000000
81;99.000000;-4.000000;0.000000
82;93.000000;-4.000000;0.000000
83;71.000000;-4.000000;0.000000
84;39.000000;-3.000000;0.000000
85;8.000000;-2.000000;0.000000
86;-29.000000;0.000000;0.000000
87;-62.000000;1.000000;0.000000
88;-87.000000;2.000000;0.000000
89;-107.000000;3.000000;0.000000
90;-116.000000;3.000000;0.000000
91;-107.000000;4.000000;0.000000
92;-82.000000;3.000000;0.000000
93;-56.000000;2.000000;0.000000
94;-27.000000;1.000000;0.000000
95;5.000000;0.000000;0.000000
96;29.000000;-1.000000;0.000000
97;47.000000;-2.000000;0.000000
98;56.000000;-2.000000;0.000000
99;57.000000;-2.000000;0.000000
100;50.000000;-2.000000;0.000000
101;41.000000;-2.000000;0.000000
102;25.000000;-2.000000;0.000000
103;4.000000;-1.000000;0.000000
104;-13.000000;-1.000000;0.000000
105;-25.000000;0.000000;0.000000
106;-37.000000;0.000000;0.000000
107;-42.000000;1.000000;0.000000
108;-39.000000;1.000000;0.000000
109;-37.000000;1.000000;0.000000
110;-30.000000;1.000000;0.000000
111;-20.000000;1.000000;0.000000
112;-17.000000;0.000000;0.000000
113;-20.000000;0.000000;0.000000
114;-19.000000;0.000000;0.000000
115;-20.000000;0.000000;0.000000
116;-23.000000;0.000000;0.000000
117;-18.000000;0.000000;0.000000
118;-15.000000;0.000000;0.000000
119;-17.000000;0.000000;0.000000
120;-15.000000;0.000000;0.000000
121;-10.000000;0.000000;0.000000
122;-9.000000;0.000000;0.000000
123;-9.000000;0.000000;0.000000
124;-6.000000;0.000000;0.000000
125;-6.000000;0.000000;0.000000
126;-7.000000;0.000000;0.000000
127;-4.000000;0.000000;0.000000
128;-4.000000;0.000000;0.000000
129;-4.000000;0.000000;0.000000
130;-2.000000;0.000000;0.000000
131;-3.000000;0.000000;0.000000
132;-2.000000;0.000000;0.000000
133;-1.000000;0.000000;0.000000
134;-1.000000;0.000000;0.000000
135;0.000000;0.000000;0.000000
136;1.000000;0.000000;0.000000
137;1.000000;0.000000;0.000000
138;4.000000;0.000000;0.000000
139;11.000000;-1.000000;0.000000
140;8.000000;-1.000000;0.000000
141;11.000000;-1.000000;0.000000
142;17.000000;-1.000000;0.000000
143;12.000000;-1.000000;0.000000
144;16.000000;-1.000000;0.000000
145;22.000000;-1.000000;0.000000
146;17.000000;-1.000000;0.000000
147;21.000000;-1.000000;0.000000
148;28.000000;-1.000000;0.000000
149;25.000000;-1.000000;0.000000
150;29.000000;-1.000000;0.000000
151;33.000000;-1.000000;0.000000
152;28.000000;-1.000000;0.000000
153;30.000000;-1.000000;0.000000
154;33.000000;-1.000000;0.000000
155;29.000000;-1.000000;0.000000
156;32.000000;-1.000000;0.000000
157;35.000000;-2.000000;0.000000
158;24.000000;-2.000000;0.000000
159;20.000000;-2.000000;0.000000
160;16.000000;-2.000000;0.000000
161;0.000000;-1.000000;0.000000
162;-2.000000;-1.000000;0.000000
163;-4.000000;-1.000000;0.000000
164;-13.000000;-1.000000;0.000000
165;-12.000000;-1.000000;0.000000
166;-9.000000;-1.000000;0.000000
167;-15.000000;-1.000000;0.000000
168;-11.000000;-1.000000;0.000000
169;-7.000000;-1.000000;0.000000
170;-12.000000;-1.000000;0.000000
171;-7.000000;-1.000000;0.000000
172;-4.000000;-1.000000;0.000000
173;-7.000000;-1.000000;0.000000
174;-2.000000;-1.000000;0.000000
175;0.000000;-1.000000;0.000000
176;-2.000000;-1.000000;0.000000
177;5.000000;-1.000000;0.000000
178;8.000000;-1.000000;0.000000
179;7.000000;-1.000000;0.000000
180;11.000000;-1.000000;0.000000
181;10.000000;-1.000000;0.000000
182;5.000000;-1.000000;0.000000
183;10.000000;-1.000000;0.000000
184;9.000000;-1.000000;0.000000
185;6.000000;-1.000000;0.000000
186;10.000000;-1.000000;0.000000
187;9.000000;-1.000000;0.000000
188;8.000000;-1.000000;0.000000
189;14.000000;-1.000000;0.000000
190;13.000000;-1.000000;0.000000
191;14.000000;-1.000000;0.000000
192;19.000000;-1.000000;0.000000
193;18.000000;-1.000000;0.000000
194;19.000000;-1.000000;0.000000
195;24.000000;-1.000000;0.000000
196;22.000000;-1.000000;0.000000
197;21.000000;-1.000000;0.000000
198;25.000000;-1.000000;0.000000
199;22.000000;-1.000000;0.000000
200;22.000000;-1.000000;0.000000
201;25.000000;-1.000000;0.000000
202;23.000000;-1.000000;0.000000
203;25.000000;-1.000000;0.000000
204;27.000000;-1.000000;0.000000
205;25.000000;-1.000000;0.000000
206;27.000000;-1.000000;0.000000
207;29.000000;-1.000000;0.000000
208;26.000000;-1.000000;0.000000
209;28.000000;-1.000000;0.000000
210;31.000000;-1.000000;0.000000
211;29.000000;-1.000000;0.000000
212;31.000000;-1.000000;0.000000
213;32.000000;-1.000000;0.000000
214;30.000000;-1.000000;0.000000
215;31.000000;-1.000000;0.000000
216;31.000000;-1.000000;0.000000
217;28.000000;-1.000000;0.000000
218;29.000000;-1.000000;0.000000
219;30.000000;-1.000000;0.000000
220;29.000000;-1.000000;0.000000
221;30.000000;-1.000000;0.000000
222;29.000000;-1.000000;0.000000
223;29.000000;-1.000000;0.000000
224;31.000000;-1.000000;0.000000
225;30.000000;-1.000000;0.000000
226;30.000000;-1.000000;0.000000
227;31.000000;-1.000000;0.000000
228;30.000000;-1.000000;0.000000
229;30.000000;-1.000000;0.000000
230;30.000000;-1.000000;0.000000
231;29.000000;-1.000000;0.000000
232;30.000000;-1.000000;0.000000
233;30.000000;-1.000000;0.000000
234;31.000000;-1.000000;0.000000
235;31.000000;-1.000000;0.000000
236;31.000000;-1.000000;0.000000
237;31.000000;-1.000000;0.000000
238;32.000000;-1.000000;0.000000
239;31.000000;-1.000000;0.000000
240;31.000000;-1.000000;0.000000
241;31.000000;-1.000000;0.000000
242;31.000000;-1.000000;0.000000
243;33.000000;-1.000000;0.000000
244;33.000000;-1.000000;0.000000
245;31.000000;-1.000000;0.000000
246;34.000000;-2.000000;0.000000
247;28.000000;-2.000000;0.000000
248;19.000000;-2.000000;0.000000
249;14.000000;-2.000000;0.000000
250;4.000000;-1.000000;0.000000
251;-7.000000;-1.000000;0.000000
252;-11.000000;-1.000000;0.000000
253;-15.000000;-1.000000;0.000000
254;-18.000000;0.000000;0.000000
255;-12.000000;0.000000;0.000000
256;-8.000000;0.000000;0.000000
257;-8.000000;0.000000;0.000000
258;0.000000;0.000000;0.000000
259;3.000000;0.000000;0.000000
260;2.000000;0.000000;0.000000
261;8.000000;0.000000;0.000000
262;7.000000;-1.000000;0.000000
263;3.000000;-1.000000;0.000000
264;6.000000;-1.000000;0.000000
265;6.000000;-1.000000;0.000000
266;5.000000;-1.000000;0.000000
267;10.000000;-1.000000;0.000000
268;8.000000;-1.000000;0.000000
269;7.000000;-1.000000;0.000000
270;11.000000;-1.000000;0.000000
271;6.000000;-1.000000;0.000000
272;5.000000;-1.000000;0.000000
273;7.000000;-1.000000;0.000000
274;3.000000;-1.000000;0.000000
275;5.000000;-1.000000;0.000000
276;12.000000;-1.000000;0.000000
277;10.000000;-1.000000;0.000000
278;12.000000;-1.000000;0.000000
279;18.000000;-1.000000;0.000000
280;16.000000;-1.000000;0.000000
281;18.000000;-1.000000;0.000000
282;22.000000;-1.000000;0.000000
283;17.000000;-1.000000;0.000000
284;17.000000;-1.000000;0.000000
285;21.000000;-1.000000;0.000000
286;17.000000;-1.000000;0.000000
287;19.000000;-1.000000;0.000000
288;22.000000;-1.000000;0.000000
289;18.000000;-1.000000;0.000000
290;21.000000;-1.000000;0.016320
291;25.000000;-1.000000;23.538572
292;-14.000000;1.000000;47.060825
293;-131.000000;7.000000;70.583076
294;-353.000000;17.000000;94.105331
295;-731.000000;33.000000;117.627586
296;-1276.000000;55.000000;141.149841
297;-1963.000000;83.000000;164.672104
298;-2791.000000;116.000000;188.194351
299;-3723.000000;153.000000;211.716614
300;-4678.000000;192.000000;235.238861
301;-5636.000000;229.000000;258.761108
