takt;q1;q2;q2p
0;397.000000;-16.000000;0.000000
1;708.000000;-25.000000;0.000000
2;870.000000;-31.000000;0.000000
3;903.000000;-33.000000;0.000000
4;781.000000;-29.000000;0.000000
5;504.000000;-19.000000;0.000000
6;180.000000;-7.000000;0.000000
7;-183.000000;7.000000;0.000000
8;-559.000000;21.000000;0.000000
9;-832.000000;32.000000;0.000000
10;-944.000000;36.000000;0.000000
11;-928.000000;36.000000;0.000000
12;-790.000000;31.000000;0.000000
13;-532.000000;21.000000;0.000000
14;-223.000000;9.000000;0.000000
15;80.000000;-3.000000;0.000000
16;368.000000;-14.000000;0.000000
17;579.000000;-22.000000;0.000000
18;672.000000;-25.000000;0.000000
19;661.000000;-25.000000;0.000000
20;570.000000;-22.000000;0.000000
21;391.000000;-16.000000;0.000000
22;158.000000;-6.000000;0.000000
23;-89.000000;3.000000;0.000000
24;-312.000000;11.000000;0.000000
25;-478.000000;18.000000;0.000000
26;-555.000000;21.000000;0.000000
27;-539.000000;21.000000;0.000000
28;-450.000000;18.000000;0.000000
29;-315.000000;13.000000;0.000000
30;-135.000000;6.000000;0.000000
31;60.000000;-2.000000;0.000000
32;224.000000;-8.000000;0.000000
33;343.000000;-12.000000;0.000000
34;402.000000;-15.000000;0.000000
35;389.000000;-15.000000;0.000000
36;311.000000;-12.000000;0.000000
37;211.000000;-9.000000;0.000000
38;81.000000;-4.000000;0.000000
39;-69.000000;2.000000;0.000000
40;-190.000000;7.000000;0.000000
41;-265.000000;10.000000;0.000000
42;-301.000000;11.000000;0.000000
43;-273.000000;11.000000;0.000000
44;-204.000000;8.000000;0.000000
45;-120.000000;5.000000;0.000000
46;-31.000000;2.000000;0.000000
47;60.000000;-2.000000;0.000000
48;129.000000;-5.000000;0.000000
49;162.000000;-6.000000;0.000000
50;155.000000;-6.000000;0.000000
51;115.000000;-5.000000;0.000000
52;57.000000;-3.000000;0.000000
53;-8.000000;0.000000;0.000000
54;-54.000000;2.000000;0.000000
55;-89.000000;3.000000;0.000000
56;-104.000000;4.000000;0.000000
57;-85.000000;4.000000;0.000000
58;-43.000000;2.000000;0.000000
59;-4.000000;1.000000;0.000000
60;47.000000;-1.000000;0.000000
61;85.000000;-3.000000;0.000000
62;93.000000;-3.000000;0.000000
63;84.000000;-3.000000;0.000000
64;62.000000;-3.000000;0.000000
65;12.000000;-1.000000;0.000000
66;-34.000000;1.000000;0.000000
67;-70.000000;2.000000;0.000000
68;-99.000000;3.000000;0.000000
69;-105.000000;4.000000;0.000000
70;-81.000000;4.000000;0.000000
71;-42.000000;2.000000;0.000000
72;2.000000;0.000000;0.000000
73;52.000000;-1.000000;0.000000
74;84.000000;-3.000000;0.000000
75;99.000000;-4.000000;0.000000
76;94.000000;-4.000000;0.000000
77;67.000000;-3.000000;0.000000
