takt;q1;q2;q2p
0;396.000000;-16.000000;0.000000
1;750.000000;-28.000000;0.000000
2;1017.000000;-39.000000;0.000000
3;1230.000000;-49.000000;0.000000
4;1369.000000;-55.000000;0.000000
5;1438.000000;-57.000000;0.000000
6;1466.000000;-59.000000;0.000000
7;1446.000000;-59.000000;0.000000
8;1383.000000;-57.000000;0.000000
9;1323.000000;-54.000000;0.000000
10;1278.000000;-53.000000;0.000000
11;1239.000000;-51.000000;0.000000
12;1184.000000;-49.000000;0.000000
13;1142.000000;-47.000000;0.000000
14;1094.000000;-45.000000;0.000000
15;1053.000000;-44.000000;0.000000
16;1034.000000;-42.000000;0.000000
17;1023.000000;-42.000000;0.000000
18;1008.000000;-42.000000;0.000000
19;1006.000000;-41.000000;0.000000
20;1009.000000;-41.000000;0.000000
21;1012.000000;-41.000000;0.000000
22;1024.000000;-41.000000;0.000000
23;1035.000000;-42.000000;0.000000
24;1038.000000;-42.000000;0.000000
25;1047.000000;-42.000000;0.000000
26;1051.000000;-42.000000;0.000000
27;1052.000000;-43.000000;0.000000
28;1055.000000;-43.000000;0.000000
29;1054.000000;-43.000000;0.000000
30;1050.000000;-43.000000;0.000000
31;1052.000000;-43.000000;0.000000
32;1052.000000;-43.000000;0.000000
33;1051.000000;-43.000000;0.000000
34;1051.000000;-43.000000;0.000000
35;1052.000000;-43.000000;0.000000
36;1052.000000;-43.000000;0.000000
37;1051.000000;-43.000000;0.000000
38;1052.000000;-43.000000;0.000000
39;1054.000000;-43.000000;0.000000
40;1056.000000;-43.000000;0.000000
41;1056.000000;-43.000000;0.000000
42;1057.000000;-43.000000;0.000000
43;1057.000000;-43.000000;0.000000
44;1060.000000;-43.000000;0.000000
45;1060.000000;-43.000000;0.000000
46;1060.000000;-43.000000;0.000000
47;1060.000000;-43.000000;0.000000
48;1058.000000;-43.000000;0.000000
49;1058.000000;-43.000000;0.000000
50;1057.000000;-43.000000;0.000000
51;1055.000000;-43.000000;0.000000
52;1056.000000;-43.000000;0.000000
53;1058.000000;-43.000000;0.000000
54;1058.000000;-43.000000;0.000000
55;1059.000000;-43.000000;0.000000
56;1060.000000;-43.000000;0.000000
57;1060.000000;-43.000000;0.000000
58;1062.000000;-43.000000;0.000000
59;1064.000000;-43.000000;0.000000
60;1065.000000;-43.000000;0.000000
61;1067.000000;-43.000000;0.000000
62;1069.000000;-43.000000;0.000000
63;1068.000000;-43.000000;0.000000
64;1068.000000;-43.000000;0.000000
65;1069.000000;-43.000000;0.000000
66;1069.000000;-43.000000;0.000000
67;1070.000000;-43.000000;0.000000
68;1071.000000;-43.000000;0.000000
69;1072.000000;-43.000000;0.000000
70;1073.000000;-43.000000;0.000000
71;1074.000000;-44.000000;0.000000
72;1071.000000;-44.000000;0.000000
73;1076.000000;-44.000000;0.000000
74;1076.000000;-44.000000;0.000000
75;1076.000000;-44.000000;0.000000
76;1084.000000;-44.000000;0.000000
77;1085.000000;-44.000000;0.000000
78;1087.000000;-44.000000;0.000000
79;1094.000000;-44.000000;0.000000
80;1096.000000;-45.000000;0.000000
81;1091.000000;-45.000000;0.000000
82;1096.000000;-45.000000;0.000000
83;1096.000000;-45.000000;0.000000
84;1094.000000;-45.000000;0.000000
85;1103.000000;-45.000000;0.000000
