takt;q1;q2;q2p
0;394.000000;-16.000000;0.000000
1;748.000000;-28.000000;0.000000
2;1017.000000;-39.000000;0.000000
3;1227.000000;-48.000000;0.000000
4;1370.000000;-54.000000;0.000000
5;1427.000000;-56.000000;0.000000
6;1467.000000;-58.000000;0.000000
7;1476.000000;-59.000000;0.000000
8;1436.000000;-58.000000;0.000000
9;1398.000000;-57.000000;0.000000
10;1373.000000;-56.000000;0.000000
11;1332.000000;-54.000000;0.000000
12;1285.000000;-52.000000;0.000000
13;1252.000000;-51.000000;0.000000
14;1219.000000;-50.000000;0.000000
15;1180.000000;-48.000000;0.000000
16;1154.000000;-47.000000;0.000000
17;1125.000000;-46.000000;0.000000
18;1091.000000;-44.000000;0.000000
19;1062.000000;-43.000000;0.000000
20;1045.000000;-43.000000;0.000000
21;1026.000000;-42.000000;0.000000
22;1017.000000;-42.000000;0.000000
23;1014.000000;-41.000000;0.000000
24;1005.000000;-41.000000;0.000000
25;999.000000;-41.000000;0.000000
26;997.000000;-41.000000;0.000000
27;993.000000;-41.000000;0.000000
28;993.000000;-40.000000;0.000000
29;985.000000;-40.000000;0.000000
30;976.000000;-40.000000;0.000000
31;972.000000;-39.000000;0.000000
32;958.000000;-39.000000;0.000000
33;944.000000;-39.000000;0.000000
34;939.000000;-38.000000;0.000000
35;932.000000;-38.000000;0.000000
36;920.000000;-38.000000;0.000000
37;920.000000;-37.000000;0.000000
38;920.000000;-37.000000;0.000000
39;911.000000;-37.000000;0.000000
40;915.000000;-37.000000;0.000000
41;910.000000;-37.000000;0.000000
42;906.000000;-37.000000;0.000000
43;907.000000;-37.000000;0.000000
44;905.000000;-37.000000;0.000000
45;908.000000;-37.000000;0.000000
46;908.000000;-37.000000;0.000000
47;905.000000;-37.000000;0.000000
48;905.000000;-37.000000;0.000000
49;903.000000;-37.000000;0.000000
50;898.000000;-37.000000;0.000000
51;897.000000;-37.000000;0.000000
52;894.000000;-37.000000;0.000000
53;896.000000;-36.000000;0.000000
54;894.000000;-36.000000;0.000000
55;892.000000;-36.000000;0.000000
56;893.000000;-36.000000;0.000000
57;889.000000;-36.000000;0.000000
58;891.000000;-36.000000;0.000000
59;890.000000;-36.000000;0.000000
60;891.000000;-36.000000;0.000000
61;892.000000;-36.000000;0.000000
62;891.000000;-36.000000;0.000000
63;893.000000;-36.000000;0.000000
64;889.000000;-36.000000;0.000000
65;889.000000;-36.000000;0.000000
66;890.000000;-36.000000;0.000000
67;889.000000;-36.000000;0.000000
68;891.000000;-36.000000;0.000000
69;891.000000;-36.000000;0.000000
70;889.000000;-36.000000;0.000000
71;891.000000;-36.000000;0.000000
72;890.000000;-36.000000;0.000000
73;891.000000;-36.000000;0.000000
74;889.000000;-36.000000;0.000000
75;889.000000;-36.000000;0.000000
76;891.000000;-36.000000;0.000000
77;889.000000;-36.000000;0.000000
78;888.000000;-36.000000;0.000000
79;890.000000;-36.000000;0.000000
80;886.000000;-36.000000;0.000000
81;888.000000;-36.000000;0.000000
82;891.000000;-36.000000;0.000000
83;885.000000;-36.000000;0.000000
84;888.000000;-36.000000;0.000000
85;889.000000;-36.000000;0.000000
86;884.000000;-36.000000;0.000000
87;889.000000;-36.000000;0.000000
88;887.000000;-36.000000;0.000000
89;885.000000;-36.000000;0.000000
90;887.000000;-36.000000;0.000000
91;886.000000;-36.000000;0.000000
92;887.000000;-36.000000;0.000000
93;886.000000;-36.000000;0.000000
94;888.000000;-36.000000;0.000000
95;887.000000;-36.000000;0.000000
96;887.000000;-36.000000;0.000000
97;888.000000;-36.000000;0.000000
98;885.000000;-36.000000;0.000000
99;885.000000;-36.000000;0.000000
100;885.000000;-36.000000;0.000000
101;885.000000;-36.000000;0.000000
102;886.000000;-36.000000;0.000000
103;885.000000;-36.000000;0.000000
104;885.000000;-36.000000;0.000000
105;888.000000;-36.000000;0.000000
106;886.000000;-36.000000;0.000000
107;885.000000;-36.000000;0.000000
108;888.000000;-36.000000;0.000000
109;885.000000;-36.000000;0.000000
110;885.000000;-36.000000;0.000000
111;888.000000;-36.000000;0.000000
112;884.000000;-36.000000;0.000000
113;885.000000;-36.000000;0.000000
114;888.000000;-36.000000;0.000000
115;886.000000;-36.000000;0.000000
116;885.000000;-36.000000;0.000000
117;888.000000;-36.000000;0.000000
118;886.000000;-36.000000;0.000000
119;886.000000;-36.000000;0.000000
120;892.000000;-36.000000;0.000000
121;888.000000;-36.000000;0.000000
122;889.000000;-36.000000;0.000000
123;890.000000;-36.000000;0.000000
124;886.000000;-36.000000;0.000000
125;888.000000;-36.000000;0.000000
126;887.000000;-36.000000;0.000000
127;888.000000;-36.000000;0.000000
128;888.000000;-36.000000;0.000000
129;889.000000;-36.000000;0.000000
130;890.000000;-36.000000;0.000000
131;887.000000;-36.000000;0.000000
132;890.000000;-36.000000;0.000000
133;887.000000;-36.000000;0.000000
134;887.000000;-36.000000;0.000000
135;890.000000;-36.000000;0.000000
136;888.000000;-36.000000;0.000000
137;888.000000;-36.000000;0.000000
138;889.000000;-36.000000;0.000000
139;886.000000;-36.000000;0.000000
140;887.000000;-36.000000;0.000000
141;890.000000;-36.000000;0.000000
142;888.000000;-36.000000;0.000000
143;890.000000;-36.000000;0.000000
144;891.000000;-36.000000;0.000000
145;886.000000;-36.000000;0.000000
146;888.000000;-36.000000;0.000000
147;889.000000;-36.000000;0.000000
148;886.000000;-36.000000;0.000000
149;890.000000;-36.000000;0.000000
150;890.000000;-36.000000;0.000000
151;888.000000;-36.000000;0.000000
152;891.000000;-36.000000;0.000000
153;890.000000;-36.000000;0.000000
154;888.000000;-36.000000;0.000000
155;890.000000;-36.000000;0.000000
156;891.000000;-36.000000;0.000000
157;888.000000;-36.000000;0.000000
158;890.000000;-36.000000;0.000000
159;890.000000;-36.000000;0.000000
160;887.000000;-36.000000;0.000000
161;890.000000;-36.000000;0.000000
162;890.000000;-36.000000;0.000000
163;887.000000;-36.000000;0.000000
164;891.000000;-36.000000;0.000000
165;891.000000;-36.000000;0.000000
166;888.000000;-36.000000;0.000000
167;891.000000;-36.000000;0.000000
168;889.000000;-36.000000;0.000000
169;889.000000;-36.000000;0.000000
170;891.000000;-36.000000;0.000000
171;889.000000;-36.000000;0.000000
172;890.000000;-36.000000;0.000000
173;889.000000;-36.000000;0.000000
174;890.000000;-36.000000;0.000000
175;890.000000;-36.000000;0.000000
176;889.000000;-36.000000;0.000000
177;892.000000;-36.000000;0.000000
178;889.000000;-36.000000;0.000000
179;890.000000;-36.000000;0.000000
180;891.000000;-36.000000;0.000000
181;888.000000;-36.000000;0.000000
182;893.000000;-36.000000;0.000000
183;891.000000;-36.000000;0.000000
184;891.000000;-36.000000;0.000000
185;892.000000;-36.000000;0.000000
186;889.000000;-36.000000;0.000000
187;892.000000;-36.000000;0.000000
188;890.000000;-36.000000;0.000000
189;891.000000;-36.000000;0.000000
190;892.000000;-36.000000;0.000000
191;890.000000;-36.000000;0.000000
192;892.000000;-36.000000;0.000000
193;890.000000;-36.000000;0.000000
194;890.000000;-36.000000;0.000000
195;891.000000;-36.000000;0.000000
196;891.000000;-36.000000;0.000000
197;892.000000;-36.000000;0.000000
198;892.000000;-36.000000;0.000000
199;890.000000;-36.000000;0.000000
200;891.000000;-36.000000;0.000000
201;891.000000;-36.000000;0.000000
202;891.000000;-36.000000;0.000000
203;893.000000;-36.000000;0.000000
204;892.000000;-36.000000;0.000000
205;892.000000;-36.000000;0.000000
206;892.000000;-36.000000;0.000000
207;893.000000;-36.000000;0.000000
208;891.000000;-36.000000;0.000000
209;890.000000;-36.000000;0.000000
210;893.000000;-36.000000;0.000000
211;892.000000;-36.000000;0.000000
212;891.000000;-36.000000;0.000000
213;894.000000;-36.000000;0.000000
214;891.000000;-36.000000;0.000000
215;893.000000;-36.000000;0.000000
216;896.000000;-36.000000;0.000000
217;892.000000;-36.000000;0.000000
218;895.000000;-36.000000;0.000000
219;895.000000;-36.000000;0.000000
220;893.000000;-36.000000;0.000000
221;895.000000;-36.000000;0.000000
222;895.000000;-36.000000;0.000000
223;893.000000;-36.000000;0.000000
224;894.000000;-36.000000;0.000000
225;895.000000;-36.000000;0.000000
226;894.000000;-36.000000;0.000000
227;894.000000;-36.000000;0.000000
228;895.000000;-36.000000;0.000000
229;895.000000;-36.000000;0.000000
230;894.000000;-36.000000;0.000000
231;895.000000;-36.000000;0.000000
232;893.000000;-36.000000;0.000000
233;893.000000;-36.000000;0.000000
234;896.000000;-36.000000;0.000000
235;893.000000;-36.000000;0.000000
236;895.000000;-36.000000;0.000000
237;894.000000;-36.000000;0.000000
238;893.000000;-36.000000;0.000000
239;896.000000;-36.000000;0.000000
240;893.000000;-36.000000;0.000000
241;895.000000;-36.000000;0.000000
242;895.000000;-36.000000;0.000000
243;894.000000;-36.000000;0.000000
244;895.000000;-36.000000;0.000000
245;894.000000;-36.000000;0.000000
246;894.000000;-36.000000;0.000000
247;893.000000;-36.000000;0.000000
