takt;q1;q2;q2p
0;395.000000;-16.000000;0.000000
1;743.000000;-28.000000;0.000000
2;1009.000000;-39.000000;0.000000
3;1221.000000;-47.000000;0.000000
4;1353.000000;-53.000000;0.000000
5;1400.000000;-54.000000;0.000000
6;1416.000000;-55.000000;0.000000
7;1381.000000;-55.000000;0.000000
8;1273.000000;-51.000000;0.000000
9;1164.000000;-47.000000;0.000000
10;1066.000000;-43.000000;0.000000
11;946.000000;-38.000000;0.000000
12;827.000000;-33.000000;0.000000
13;719.000000;-29.000000;0.000000
14;604.000000;-25.000000;0.000000
15;496.000000;-20.000000;0.000000
16;414.000000;-17.000000;0.000000
17;342.000000;-14.000000;0.000000
18;282.000000;-12.000000;0.000000
19;229.000000;-9.000000;0.000000
20;202.000000;-8.000000;0.000000
21;191.000000;-8.000000;0.000000
22;186.000000;-7.000000;0.000000
23;202.000000;-7.000000;0.000000
24;221.000000;-8.000000;0.000000
25;236.000000;-9.000000;0.000000
26;253.000000;-9.000000;0.000000
27;276.000000;-10.000000;0.000000
28;286.000000;-11.000000;0.000000
29;292.000000;-11.000000;0.000000
30;299.000000;-11.000000;0.000000
31;293.000000;-11.000000;0.000000
32;284.000000;-11.000000;0.000000
33;280.000000;-11.000000;0.000000
34;272.000000;-11.000000;0.000000
35;253.000000;-10.000000;0.000000
36;250.000000;-10.000000;0.000000
37;245.000000;-10.000000;0.000000
38;240.000000;-10.000000;0.000000
39;243.000000;-10.000000;0.000000
40;246.000000;-10.000000;0.000000
41;241.000000;-10.000000;0.000000
42;241.000000;-10.000000;0.000000
43;241.000000;-10.000000;0.000000
44;238.000000;-10.000000;0.000000
45;243.000000;-10.000000;0.000000
46;239.000000;-10.000000;0.000000
47;237.000000;-10.000000;0.000000
48;242.000000;-10.000000;0.000000
49;236.000000;-10.000000;0.000000
50;237.000000;-9.000000;0.000000
51;246.000000;-9.000000;0.000000
52;241.000000;-9.000000;0.000000
53;244.000000;-9.000000;0.000000
54;253.000000;-9.000000;0.000000
55;248.000000;-9.000000;0.000000
56;248.000000;-9.000000;0.000000
57;259.000000;-10.000000;0.000000
58;247.000000;-10.000000;0.000000
59;243.000000;-10.000000;0.000000
60;249.000000;-10.000000;0.000000
61;242.000000;-10.000000;0.000000
62;241.000000;-10.000000;0.000000
63;246.000000;-10.000000;0.000000
64;240.000000;-10.000000;0.000000
65;236.000000;-10.000000;0.000000
66;241.000000;-10.000000;0.000000
67;232.000000;-10.000000;0.000000
68;232.000000;-9.000000;0.000000
69;233.000000;-9.000000;0.000000
70;229.000000;-9.000000;0.000000
71;233.000000;-9.000000;0.000000
72;239.000000;-9.000000;0.000000
73;239.000000;-9.000000;0.000000
74;242.000000;-9.000000;0.000000
75;251.000000;-9.000000;0.000000
76;249.000000;-9.000000;0.000000
77;253.000000;-9.000000;0.000000
78;260.000000;-10.000000;0.000000
79;251.000000;-10.000000;0.000000
80;249.000000;-10.000000;0.000000
81;249.000000;-10.000000;0.000000
82;241.000000;-10.000000;0.000000
83;240.000000;-10.000000;0.000000
84;241.000000;-10.000000;0.000000
85;236.000000;-10.000000;0.000000
86;236.000000;-10.000000;0.000000
87;236.000000;-10.000000;0.000000
88;234.000000;-9.000000;0.000000
89;236.000000;-9.000000;0.000000
90;239.000000;-9.000000;0.000000
91;240.000000;-9.000000;0.000000
92;244.000000;-9.000000;0.000000
93;248.000000;-9.000000;0.000000
94;249.000000;-9.000000;0.000000
95;255.000000;-9.000000;0.000000
96;255.000000;-10.000000;0.000000
97;245.000000;-10.000000;0.000000
98;243.000000;-10.000000;0.000000
99;242.000000;-10.000000;0.000000
100;234.000000;-9.000000;0.000000
101;242.000000;-9.000000;0.000000
102;247.000000;-9.000000;0.000000
103;248.000000;-9.000000;0.000000
104;258.000000;-10.000000;0.000000
105;257.000000;-10.000000;0.000000
106;256.000000;-10.000000;0.000000
107;256.000000;-10.000000;0.000000
108;251.000000;-10.000000;0.000000
109;247.000000;-10.000000;0.000000
110;247.000000;-10.000000;0.000000
111;246.000000;-10.000000;0.000000
112;243.000000;-10.000000;0.000000
113;243.000000;-10.000000;0.000000
114;243.000000;-10.000000;0.000000
115;239.000000;-10.000000;0.000000
116;240.000000;-10.000000;0.000000
117;241.000000;-10.000000;0.000000
118;236.000000;-10.000000;0.000000
119;236.000000;-10.000000;0.000000
120;236.000000;-10.000000;0.000000
121;232.000000;-9.000000;0.000000
122;239.000000;-9.000000;0.000000
123;241.000000;-9.000000;0.000000
124;241.000000;-9.000000;0.000000
125;244.000000;-9.000000;0.000000
126;243.000000;-9.000000;0.000000
127;243.000000;-9.000000;0.000000
128;243.000000;-9.000000;0.000000
129;245.000000;-9.000000;0.000000
130;246.000000;-9.000000;0.000000
131;247.000000;-9.000000;0.000000
