takt;q1;q2;q2p
0;411.000000;-17.000000;0.000000
1;767.000000;-29.000000;0.000000
2;1024.000000;-40.000000;0.000000
3;1210.000000;-48.000000;0.000000
4;1292.000000;-51.000000;0.000000
5;1278.000000;-52.000000;0.000000
6;1213.000000;-50.000000;0.000000
7;1095.000000;-45.000000;0.000000
8;923.000000;-38.000000;0.000000
9;742.000000;-30.000000;0.000000
10;585.000000;-24.000000;0.000000
11;417.000000;-17.000000;0.000000
12;245.000000;-10.000000;0.000000
13;108.000000;-5.000000;0.000000
14;-3.000000;-1.000000;0.000000
15;-104.000000;3.000000;0.000000
16;-168.000000;6.000000;0.000000
17;-200.000000;8.000000;0.000000
18;-225.000000;9.000000;0.000000
19;-233.000000;9.000000;0.000000
20;-221.000000;9.000000;0.000000
21;-205.000000;9.000000;0.000000
22;-187.000000;8.000000;0.000000
23;-168.000000;7.000000;0.000000
24;-145.000000;6.000000;0.000000
25;-127.000000;6.000000;0.000000
26;-112.000000;5.000000;0.000000
27;-97.000000;5.000000;0.000000
28;-89.000000;4.000000;0.000000
29;-81.000000;4.000000;0.000000
30;-77.000000;4.000000;0.000000
31;-77.000000;4.000000;0.000000
32;-79.000000;4.000000;0.000000
33;-80.000000;4.000000;0.000000
34;-79.000000;4.000000;0.000000
35;-79.000000;4.000000;0.000000
36;-81.000000;4.000000;0.000000
37;-80.000000;4.000000;0.000000
38;-79.000000;4.000000;0.000000
39;-78.000000;4.000000;0.000000
40;-75.000000;4.000000;0.000000
41;-76.000000;3.000000;0.000000
42;-77.000000;3.000000;0.000000
43;-74.000000;3.000000;0.000000
44;-74.000000;3.000000;0.000000
45;-74.000000;3.000000;0.000000
46;-71.000000;3.000000;0.000000
47;-72.000000;3.000000;0.000000
48;-72.000000;3.000000;0.000000
49;-72.000000;3.000000;0.000000
50;-73.000000;3.000000;0.000000
51;-73.000000;3.000000;0.000000
52;-72.000000;3.000000;0.000000
53;-73.000000;3.000000;0.000000
54;-72.000000;3.000000;0.000000
55;-72.000000;3.000000;0.000000
56;-72.000000;3.000000;0.000000
57;-71.000000;3.000000;0.000000
58;-69.000000;3.000000;0.000000
59;-68.000000;3.000000;0.000000
60;-66.000000;3.000000;0.000000
61;-64.000000;3.000000;0.000000
62;-62.000000;3.000000;0.000000
63;-61.000000;3.000000;0.000000
64;-62.000000;3.000000;0.000000
65;-61.000000;3.000000;0.000000
66;-63.000000;3.000000;0.000000
67;-60.000000;3.000000;0.000000
68;-61.000000;3.000000;0.000000
69;-62.000000;3.000000;0.000000
70;-59.000000;3.000000;0.000000
71;-60.000000;3.000000;0.000000
72;-58.000000;3.000000;0.000000
73;-56.000000;3.000000;0.000000
74;-56.000000;3.000000;0.000000
75;-55.000000;3.000000;0.000000
76;-53.000000;3.000000;0.000000
77;-55.000000;2.000000;0.000000
78;-53.000000;2.000000;0.000000
79;-52.000000;2.000000;0.000000
80;-53.000000;2.000000;0.000000
81;-50.000000;2.000000;0.000000
82;-50.000000;2.000000;0.000000
83;-52.000000;2.000000;0.000000
84;-50.000000;2.000000;0.000000
85;-48.000000;2.000000;0.000000
86;-49.000000;2.000000;0.000000
87;-49.000000;2.000000;0.000000
88;-46.000000;2.000000;0.000000
89;-47.000000;2.000000;0.000000
90;-45.000000;2.000000;0.000000
91;-45.000000;2.000000;0.000000
92;-47.000000;2.000000;0.000000
93;-45.000000;2.000000;0.000000
94;-44.000000;2.000000;0.000000
95;-46.000000;2.000000;0.000000
96;-44.000000;2.000000;0.000000
97;-45.000000;2.000000;0.000000
98;-45.000000;2.000000;0.000000
99;-45.000000;2.000000;0.000000
100;-44.000000;2.000000;0.000000
101;-43.000000;2.000000;0.000000
102;-43.000000;2.000000;0.000000
103;-41.000000;2.000000;0.000000
104;-40.000000;2.000000;0.000000
105;-41.000000;2.000000;0.000000
106;-38.000000;2.000000;0.000000
107;-39.000000;2.000000;0.000000
108;-39.000000;2.000000;0.000000
109;-37.000000;2.000000;0.000000
110;-38.000000;2.000000;0.000000
111;-37.000000;2.000000;0.000000
112;-36.000000;2.000000;0.000000
113;-37.000000;2.000000;0.000000
114;-36.000000;2.000000;0.000000
115;-34.000000;2.000000;0.000000
116;-35.000000;2.000000;0.000000
117;-34.000000;2.000000;0.000000
118;-34.000000;2.000000;0.000000
119;-34.000000;2.000000;0.000000
120;-33.000000;2.000000;0.000000
121;-32.000000;2.000000;0.000000
122;-32.000000;2.000000;0.000000
123;-32.000000;2.000000;0.000000
124;-29.000000;2.000000;0.000000
125;-29.000000;2.000000;0.000000
126;-30.000000;2.000000;0.000000
127;-27.000000;1.000000;0.000000
128;-31.000000;1.000000;0.000000
129;-30.000000;1.000000;0.000000
130;-28.000000;1.000000;0.000000
131;-29.000000;1.000000;0.000000
132;-26.000000;1.000000;0.000000
133;-27.000000;1.000000;0.000000
134;-26.000000;1.000000;0.000000
135;-25.000000;1.000000;0.000000
136;-27.000000;1.000000;0.000000
137;-26.000000;1.000000;0.000000
138;-26.000000;1.000000;0.000000
139;-25.000000;1.000000;0.000000
140;-24.000000;1.000000;0.000000
141;-25.000000;1.000000;0.000000
142;-24.000000;1.000000;0.000000
143;-25.000000;1.000000;0.000000
144;-24.000000;1.000000;0.000000
145;-24.000000;1.000000;0.000000
146;-23.000000;1.000000;0.000000
147;-24.000000;1.000000;0.000000
148;-24.000000;1.000000;0.000000
149;-24.000000;1.000000;0.000000
150;-24.000000;1.000000;0.000000
151;-23.000000;1.000000;0.000000
152;-23.000000;1.000000;0.000000
153;-23.000000;1.000000;0.000000
154;-23.000000;1.000000;0.000000
155;-24.000000;1.000000;0.000000
156;-23.000000;1.000000;0.000000
157;-24.000000;1.000000;0.000000
158;-23.000000;1.000000;0.000000
159;-24.000000;1.000000;0.000000
160;-24.000000;1.000000;0.000000
161;-24.000000;1.000000;0.000000
162;-24.000000;1.000000;0.000000
163;-23.000000;1.000000;0.000000
164;-25.000000;1.000000;0.000000
165;-24.000000;1.000000;0.000000
166;-23.000000;1.000000;0.000000
167;-24.000000;1.000000;0.000000
168;-23.000000;1.000000;0.000000
169;-24.000000;1.000000;0.000000
170;-24.000000;1.000000;0.000000
171;-22.000000;1.000000;0.000000
172;-24.000000;1.000000;0.000000
173;-23.000000;1.000000;0.000000
174;-24.000000;1.000000;0.000000
175;-23.000000;1.000000;0.000000
176;-23.000000;1.000000;0.000000
177;-24.000000;1.000000;0.000000
178;-21.000000;1.000000;0.000000
179;-23.000000;1.000000;0.000000
180;-23.000000;1.000000;0.000000
181;-21.000000;1.000000;0.000000
182;-23.000000;1.000000;0.000000
183;-21.000000;1.000000;0.000000
184;-21.000000;1.000000;0.000000
185;-22.000000;1.000000;0.000000
186;-20.000000;1.000000;0.000000
187;-22.000000;1.000000;0.000000
188;-22.000000;1.000000;0.000000
