takt;q1;q2;q2p
0;393.000000;-16.000000;0.000000
1;745.000000;-27.000000;0.000000
2;1006.000000;-38.000000;0.000000
3;1203.000000;-47.000000;0.000000
4;1304.000000;-51.000000;0.000000
5;1309.000000;-52.000000;0.000000
6;1262.000000;-50.000000;0.000000
7;1147.000000;-46.000000;0.000000
8;963.000000;-39.000000;0.000000
9;767.000000;-31.000000;0.000000
10;579.000000;-23.000000;0.000000
11;383.000000;-16.000000;0.000000
12;188.000000;-8.000000;0.000000
13;18.000000;-1.000000;0.000000
14;-128.000000;5.000000;0.000000
15;-259.000000;11.000000;0.000000
16;-350.000000;14.000000;0.000000
17;-406.000000;17.000000;0.000000
18;-439.000000;18.000000;0.000000
19;-451.000000;19.000000;0.000000
20;-424.000000;18.000000;0.000000
21;-391.000000;17.000000;0.000000
22;-351.000000;15.000000;0.000000
23;-301.000000;13.000000;0.000000
24;-246.000000;11.000000;0.000000
25;-204.000000;9.000000;0.000000
26;-159.000000;8.000000;0.000000
27;-113.000000;6.000000;0.000000
28;-79.000000;4.000000;0.000000
29;-48.000000;3.000000;0.000000
30;-20.000000;2.000000;0.000000
31;-7.000000;1.000000;0.000000
32;-9.000000;1.000000;0.000000
33;-10.000000;1.000000;0.000000
34;-16.000000;1.000000;0.000000
35;-36.000000;1.000000;0.000000
36;-48.000000;2.000000;0.000000
37;-59.000000;2.000000;0.000000
38;-70.000000;3.000000;0.000000
39;-69.000000;3.000000;0.000000
40;-60.000000;3.000000;0.000000
41;-49.000000;3.000000;0.000000
42;-36.000000;2.000000;0.000000
43;-24.000000;2.000000;0.000000
44;-13.000000;1.000000;0.000000
45;-9.000000;1.000000;0.000000
46;-8.000000;1.000000;0.000000
47;-6.000000;1.000000;0.000000
48;-10.000000;1.000000;0.000000
49;-14.000000;1.000000;0.000000
50;-18.000000;1.000000;0.000000
51;-21.000000;1.000000;0.000000
52;-26.000000;1.000000;0.000000
53;-29.000000;1.000000;0.000000
54;-29.000000;1.000000;0.000000
55;-33.000000;1.000000;0.000000
56;-30.000000;2.000000;0.000000
57;-23.000000;2.000000;0.000000
58;-21.000000;2.000000;0.000000
59;-15.000000;2.000000;0.000000
60;-8.000000;1.000000;0.000000
61;-10.000000;1.000000;0.000000
62;-10.000000;1.000000;0.000000
63;-8.000000;1.000000;0.000000
64;-10.000000;1.000000;0.000000
65;-11.000000;1.000000;0.000000
66;-11.000000;1.000000;0.000000
67;-13.000000;1.000000;0.000000
68;-14.000000;1.000000;0.000000
69;-15.000000;1.000000;0.000000
70;-17.000000;1.000000;0.000000
71;-17.000000;1.000000;0.000000
72;-16.000000;1.000000;0.000000
73;-16.000000;1.000000;0.000000
74;-15.000000;1.000000;0.000000
75;-12.000000;1.000000;0.000000
76;-12.000000;1.000000;0.000000
77;-8.000000;1.000000;0.000000
78;-5.000000;1.000000;0.000000
79;-4.000000;1.000000;0.000000
80;-2.000000;1.000000;0.000000
81;-1.000000;1.000000;0.000000
82;0.000000;1.000000;0.000000
83;0.000000;1.000000;0.000000
84;0.000000;1.000000;0.000000
85;0.000000;1.000000;0.000000
86;2.000000;1.000000;0.000000
87;2.000000;1.000000;0.000000
88;3.000000;1.000000;0.000000
89;1.000000;0.000000;0.000000
90;-4.000000;0.000000;0.000000
91;-5.000000;0.000000;0.000000
92;-5.000000;0.000000;0.000000
93;-5.000000;0.000000;0.000000
94;-3.000000;0.000000;0.000000
95;0.000000;0.000000;0.000000
96;-1.000000;0.000000;0.000000
97;2.000000;0.000000;0.000000
98;6.000000;0.000000;0.000000
99;5.000000;0.000000;0.000000
100;5.000000;0.000000;0.000000
101;11.000000;0.000000;0.000000
102;14.000000;0.000000;0.000000
103;16.000000;0.000000;0.000000
104;26.000000;0.000000;0.000000
105;27.000000;-1.000000;0.000000
106;24.000000;-1.000000;0.000000
107;30.000000;-1.000000;0.000000
108;33.000000;-1.000000;0.000000
109;31.000000;-1.000000;0.000000
110;36.000000;-1.000000;0.000000
111;39.000000;-1.000000;0.000000
112;37.000000;-1.000000;0.000000
113;40.000000;-1.000000;0.000000
114;41.000000;-1.000000;0.000000
115;39.000000;-1.000000;0.000000
116;40.000000;-1.000000;0.000000
117;40.000000;-1.000000;0.000000
118;42.000000;-1.000000;0.000000
119;46.000000;-1.000000;0.000000
120;49.000000;-1.000000;0.000000
121;53.000000;-1.000000;0.000000
122;56.000000;-2.000000;0.000000
123;57.000000;-2.000000;0.000000
124;62.000000;-2.000000;0.000000
125;63.000000;-2.000000;0.000000
126;64.000000;-2.000000;0.000000
127;68.000000;-2.000000;0.000000
128;70.000000;-2.000000;0.000000
129;70.000000;-2.000000;0.000000
130;73.000000;-2.000000;0.000000
131;76.000000;-2.000000;0.000000
