takt;q1;q2;q2p
0;404.000000;-17.000000;0.000000
1;742.000000;-28.000000;0.000000
2;981.000000;-38.000000;0.000000
3;1148.000000;-46.000000;0.000000
4;1205.000000;-48.000000;0.000000
5;1144.000000;-46.000000;0.000000
6;1043.000000;-43.000000;0.000000
7;880.000000;-36.000000;0.000000
8;638.000000;-27.000000;0.000000
9;399.000000;-17.000000;0.000000
10;187.000000;-9.000000;0.000000
11;-29.000000;0.000000;0.000000
12;-228.000000;8.000000;0.000000
13;-371.000000;13.000000;0.000000
14;-486.000000;18.000000;0.000000
15;-579.000000;22.000000;0.000000
16;-612.000000;24.000000;0.000000
17;-605.000000;24.000000;0.000000
18;-582.000000;23.000000;0.000000
19;-535.000000;21.000000;0.000000
20;-464.000000;18.000000;0.000000
21;-390.000000;15.000000;0.000000
22;-310.000000;12.000000;0.000000
23;-221.000000;9.000000;0.000000
24;-139.000000;5.000000;0.000000
25;-60.000000;2.000000;0.000000
26;13.000000;-1.000000;0.000000
27;81.000000;-4.000000;0.000000
28;132.000000;-6.000000;0.000000
29;164.000000;-7.000000;0.000000
30;190.000000;-8.000000;0.000000
31;193.000000;-8.000000;0.000000
32;178.000000;-8.000000;0.000000
33;158.000000;-8.000000;0.000000
34;138.000000;-7.000000;0.000000
35;102.000000;-5.000000;0.000000
36;66.000000;-4.000000;0.000000
37;41.000000;-3.000000;0.000000
38;19.000000;-2.000000;0.000000
39;10.000000;-2.000000;0.000000
40;7.000000;-1.000000;0.000000
41;16.000000;-1.000000;0.000000
42;24.000000;-1.000000;0.000000
43;32.000000;-2.000000;0.000000
44;42.000000;-2.000000;0.000000
45;52.000000;-3.000000;0.000000
46;50.000000;-3.000000;0.000000
47;51.000000;-3.000000;0.000000
48;56.000000;-3.000000;0.000000
49;45.000000;-3.000000;0.000000
50;40.000000;-3.000000;0.000000
51;43.000000;-3.000000;0.000000
52;35.000000;-3.000000;0.000000
53;30.000000;-2.000000;0.000000
54;33.000000;-2.000000;0.000000
55;29.000000;-2.000000;0.000000
56;26.000000;-2.000000;0.000000
57;29.000000;-2.000000;0.000000
58;27.000000;-2.000000;0.000000
59;27.000000;-2.000000;0.000000
60;32.000000;-2.000000;0.000000
61;32.000000;-2.000000;0.000000
62;33.000000;-2.000000;0.000000
63;33.000000;-2.000000;0.000000
64;30.000000;-2.000000;0.000000
65;28.000000;-2.000000;0.000000
66;29.000000;-2.000000;0.000000
67;27.000000;-2.000000;0.000000
68;25.000000;-2.000000;0.000000
69;27.000000;-2.000000;0.000000
70;23.000000;-2.000000;0.000000
71;24.000000;-2.000000;0.000000
72;25.000000;-2.000000;0.000000
73;22.000000;-2.000000;0.000000
74;21.000000;-2.000000;0.000000
75;22.000000;-2.000000;0.000000
76;22.000000;-2.000000;0.000000
77;23.000000;-2.000000;0.000000
78;23.000000;-2.000000;0.000000
79;19.000000;-2.000000;0.000000
80;18.000000;-2.000000;0.000000
81;17.000000;-2.000000;0.000000
82;15.000000;-2.000000;0.000000
83;14.000000;-2.000000;0.000000
84;14.000000;-2.000000;0.000000
85;13.000000;-2.000000;0.000000
86;15.000000;-2.000000;0.000000
87;13.000000;-2.000000;0.000000
88;13.000000;-2.000000;0.000000
89;11.000000;-2.000000;0.000000
90;11.000000;-1.000000;0.000000
91;15.000000;-1.000000;0.000000
92;15.000000;-1.000000;0.000000
93;17.000000;-1.000000;0.000000
94;16.000000;-1.000000;0.000000
95;13.000000;-1.000000;0.000000
96;14.000000;-1.000000;0.000000
97;14.000000;-1.000000;0.000000
98;14.000000;-1.000000;0.000000
99;15.000000;-1.000000;0.000000
100;15.000000;-1.000000;0.000000
101;16.000000;-1.000000;0.000000
102;17.000000;-1.000000;0.000000
103;15.000000;-1.000000;0.000000
104;16.000000;-1.000000;0.000000
105;17.000000;-1.000000;0.000000
106;17.000000;-1.000000;0.000000
107;21.000000;-1.000000;0.000000
108;23.000000;-1.000000;0.000000
109;23.000000;-1.000000;0.000000
110;25.000000;-1.000000;0.000000
111;25.000000;-2.000000;0.000000
112;19.000000;-2.000000;0.000000
113;20.000000;-2.000000;0.000000
114;18.000000;-2.000000;0.000000
