takt;q1;q2;q2p
0;389.000000;-16.000000;0.000000
1;721.000000;-27.000000;0.000000
2;948.000000;-37.000000;0.000000
3;1102.000000;-43.000000;0.000000
4;1138.000000;-45.000000;0.000000
5;1069.000000;-43.000000;0.000000
6;950.000000;-38.000000;0.000000
7;770.000000;-31.000000;0.000000
8;528.000000;-21.000000;0.000000
9;285.000000;-11.000000;0.000000
10;58.000000;-3.000000;0.000000
11;-154.000000;5.000000;0.000000
12;-345.000000;13.000000;0.000000
13;-492.000000;19.000000;0.000000
14;-602.000000;23.000000;0.000000
15;-681.000000;27.000000;0.000000
16;-712.000000;28.000000;0.000000
17;-697.000000;28.000000;0.000000
18;-651.000000;27.000000;0.000000
19;-581.000000;24.000000;0.000000
20;-481.000000;20.000000;0.000000
21;-370.000000;16.000000;0.000000
22;-262.000000;11.000000;0.000000
23;-145.000000;6.000000;0.000000
24;-35.000000;2.000000;0.000000
25;57.000000;-2.000000;0.000000
26;135.000000;-5.000000;0.000000
27;202.000000;-8.000000;0.000000
28;241.000000;-9.000000;0.000000
29;260.000000;-10.000000;0.000000
30;263.000000;-10.000000;0.000000
31;244.000000;-10.000000;0.000000
32;210.000000;-9.000000;0.000000
33;165.000000;-7.000000;0.000000
34;125.000000;-6.000000;0.000000
35;83.000000;-4.000000;0.000000
36;41.000000;-2.000000;0.000000
37;9.000000;-1.000000;0.000000
38;-14.000000;0.000000;0.000000
39;-29.000000;1.000000;0.000000
40;-30.000000;1.000000;0.000000
41;-24.000000;1.000000;0.000000
42;-23.000000;1.000000;0.000000
43;-16.000000;1.000000;0.000000
44;-6.000000;1.000000;0.000000
45;-1.000000;1.000000;0.000000
46;4.000000;0.000000;0.000000
47;7.000000;0.000000;0.000000
48;5.000000;0.000000;0.000000
49;4.000000;0.000000;0.000000
50;7.000000;0.000000;0.000000
51;4.000000;0.000000;0.000000
52;4.000000;0.000000;0.000000
53;5.000000;0.000000;0.000000
54;3.000000;0.000000;0.000000
55;5.000000;0.000000;0.000000
56;5.000000;0.000000;0.000000
57;4.000000;0.000000;0.000000
58;7.000000;0.000000;0.000000
59;8.000000;0.000000;0.000000
60;8.000000;0.000000;0.000000
61;11.000000;0.000000;0.000000
62;13.000000;0.000000;0.000000
63;13.000000;0.000000;0.000000
64;17.000000;0.000000;0.000000
65;19.000000;-1.000000;0.000000
66;14.000000;-1.000000;0.000000
67;16.000000;-1.000000;0.000000
68;15.000000;-1.000000;0.000000
69;12.000000;-1.000000;0.000000
70;17.000000;-1.000000;0.000000
71;17.000000;-1.000000;0.000000
72;15.000000;-1.000000;0.000000
73;19.000000;-1.000000;0.000000
74;20.000000;-1.000000;0.000000
75;18.000000;-1.000000;0.000000
76;20.000000;-1.000000;0.000000
77;19.000000;-1.000000;0.000000
78;20.000000;-1.000000;0.000000
79;23.000000;-1.000000;0.000000
80;22.000000;-1.000000;0.000000
81;23.000000;-1.000000;0.000000
82;23.000000;-1.000000;0.000000
83;21.000000;-1.000000;0.000000
84;21.000000;-1.000000;0.000000
85;21.000000;-1.000000;0.000000
86;20.000000;-1.000000;0.000000
87;20.000000;-1.000000;0.000000
88;22.000000;-1.000000;0.000000
89;21.000000;-1.000000;0.000000
90;22.000000;-1.000000;0.000000
91;23.000000;-1.000000;0.000000
92;22.000000;-1.000000;0.000000
93;23.000000;-1.000000;0.000000
94;24.000000;-1.000000;0.000000
95;23.000000;-1.000000;0.000000
96;24.000000;-1.000000;0.000000
97;23.000000;-1.000000;0.000000
98;23.000000;-1.000000;0.000000
99;24.000000;-1.000000;0.000000
100;23.000000;-1.000000;0.000000
101;24.000000;-1.000000;0.000000
102;24.000000;-1.000000;0.000000
103;24.000000;-1.000000;0.000000
104;24.000000;-1.000000;0.000000
105;24.000000;-1.000000;0.000000
106;24.000000;-1.000000;0.000000
107;26.000000;-1.000000;0.000000
108;25.000000;-1.000000;0.000000
109;26.000000;-1.000000;0.000000
110;28.000000;-1.000000;0.000000
111;27.000000;-1.000000;0.000000
112;28.000000;-1.000000;0.000000
113;28.000000;-1.000000;0.000000
114;27.000000;-1.000000;0.000000
115;30.000000;-1.000000;0.000000
116;30.000000;-1.000000;0.000000
117;31.000000;-1.000000;0.000000
118;32.000000;-1.000000;0.000000
