takt;q1;q2;q2p
0;400.000000;-16.000000;0.000000
1;743.000000;-28.000000;0.000000
2;978.000000;-37.000000;0.000000
3;1128.000000;-44.000000;0.000000
4;1158.000000;-45.000000;0.000000
5;1071.000000;-42.000000;0.000000
6;929.000000;-37.000000;0.000000
7;710.000000;-29.000000;0.000000
8;424.000000;-17.000000;0.000000
9;140.000000;-6.000000;0.000000
10;-119.000000;4.000000;0.000000
11;-355.000000;13.000000;0.000000
12;-552.000000;21.000000;0.000000
13;-686.000000;26.000000;0.000000
14;-770.000000;30.000000;0.000000
15;-802.000000;31.000000;0.000000
16;-774.000000;31.000000;0.000000
17;-698.000000;28.000000;0.000000
18;-593.000000;24.000000;0.000000
19;-473.000000;19.000000;0.000000
20;-335.000000;13.000000;0.000000
21;-197.000000;8.000000;0.000000
22;-73.000000;3.000000;0.000000
23;44.000000;-2.000000;0.000000
24;144.000000;-5.000000;0.000000
25;217.000000;-8.000000;0.000000
26;265.000000;-11.000000;0.000000
27;301.000000;-12.000000;0.000000
28;299.000000;-12.000000;0.000000
29;274.000000;-12.000000;0.000000
30;233.000000;-10.000000;0.000000
31;170.000000;-7.000000;0.000000
32;102.000000;-5.000000;0.000000
33;30.000000;-2.000000;0.000000
34;-36.000000;0.000000;0.000000
35;-93.000000;3.000000;0.000000
36;-144.000000;5.000000;0.000000
37;-173.000000;6.000000;0.000000
38;-188.000000;7.000000;0.000000
39;-190.000000;7.000000;0.000000
40;-177.000000;7.000000;0.000000
41;-150.000000;6.000000;0.000000
42;-121.000000;5.000000;0.000000
43;-87.000000;4.000000;0.000000
44;-55.000000;3.000000;0.000000
45;-30.000000;1.000000;0.000000
46;-10.000000;0.000000;0.000000
47;0.000000;0.000000;0.000000
48;9.000000;0.000000;0.000000
49;7.000000;0.000000;0.000000
50;2.000000;0.000000;0.000000
51;-4.000000;0.000000;0.000000
52;-16.000000;0.000000;0.000000
53;-32.000000;0.000000;0.000000
54;-40.000000;1.000000;0.000000
55;-48.000000;1.000000;0.000000
56;-59.000000;2.000000;0.000000
57;-55.000000;2.000000;0.000000
58;-54.000000;2.000000;0.000000
