takt;q1;q2;q2p
0;416.000000;-16.000000;0.000000
1;780.000000;-28.000000;0.000000
2;1015.000000;-38.000000;0.000000
3;1162.000000;-44.000000;0.000000
4;1177.000000;-45.000000;0.000000
5;1054.000000;-40.000000;0.000000
6;875.000000;-34.000000;0.000000
7;626.000000;-25.000000;0.000000
8;297.000000;-12.000000;0.000000
9;-25.000000;1.000000;0.000000
10;-305.000000;12.000000;0.000000
11;-549.000000;21.000000;0.000000
12;-727.000000;28.000000;0.000000
13;-815.000000;32.000000;0.000000
14;-844.000000;33.000000;0.000000
15;-815.000000;33.000000;0.000000
16;-716.000000;29.000000;0.000000
17;-577.000000;24.000000;0.000000
18;-419.000000;17.000000;0.000000
19;-248.000000;11.000000;0.000000
20;-80.000000;4.000000;0.000000
21;70.000000;-2.000000;0.000000
22;196.000000;-7.000000;0.000000
23;301.000000;-11.000000;0.000000
24;379.000000;-14.000000;0.000000
25;420.000000;-15.000000;0.000000
26;430.000000;-16.000000;0.000000
27;415.000000;-16.000000;0.000000
28;371.000000;-14.000000;0.000000
29;303.000000;-12.000000;0.000000
30;232.000000;-9.000000;0.000000
31;150.000000;-6.000000;0.000000
32;61.000000;-2.000000;0.000000
33;-20.000000;1.000000;0.000000
34;-94.000000;4.000000;0.000000
35;-159.000000;6.000000;0.000000
36;-207.000000;8.000000;0.000000
37;-232.000000;9.000000;0.000000
38;-242.000000;10.000000;0.000000
39;-222.000000;9.000000;0.000000
40;-202.000000;9.000000;0.000000
41;-171.000000;8.000000;0.000000
42;-128.000000;6.000000;0.000000
43;-92.000000;4.000000;0.000000
44;-45.000000;3.000000;0.000000
45;0.000000;1.000000;0.000000
46;35.000000;-1.000000;0.000000
47;63.000000;-2.000000;0.000000
48;86.000000;-3.000000;0.000000
49;94.000000;-3.000000;0.000000
50;92.000000;-3.000000;0.000000
51;89.000000;-3.000000;0.000000
52;78.000000;-3.000000;0.000000
53;61.000000;-2.000000;0.000000
54;47.000000;-2.000000;0.000000
55;35.000000;-1.000000;0.000000
56;19.000000;-1.000000;0.000000
57;10.000000;0.000000;0.000000
58;12.000000;0.000000;0.000000
59;10.000000;0.000000;0.000000
60;16.000000;0.000000;0.000000
61;22.000000;0.000000;0.000000
62;26.000000;0.000000;0.000000
63;27.000000;0.000000;0.000000
64;26.000000;0.000000;0.000000
65;27.000000;0.000000;0.000000
66;24.000000;0.000000;0.000000
67;25.000000;0.000000;0.000000
68;24.000000;0.000000;0.000000
69;22.000000;0.000000;0.000000
70;21.000000;0.000000;0.000000
71;18.000000;0.000000;0.000000
72;16.000000;0.000000;0.000000
73;15.000000;0.000000;0.000000
74;15.000000;0.000000;0.000000
75;16.000000;0.000000;0.000000
76;15.000000;0.000000;0.000000
77;18.000000;0.000000;0.000000
78;17.000000;0.000000;0.000000
79;16.000000;0.000000;0.000000
80;18.000000;0.000000;0.000000
81;18.000000;0.000000;0.000000
82;17.000000;0.000000;0.000000
83;18.000000;0.000000;0.000000
84;18.000000;0.000000;0.000000
85;17.000000;0.000000;0.000000
86;18.000000;0.000000;0.000000
87;17.000000;0.000000;0.000000
88;18.000000;0.000000;0.000000
89;19.000000;0.000000;0.000000
90;19.000000;0.000000;0.000000
