takt;q1;q2;q2p
0;427.000000;-17.000000;0.000000
1;771.000000;-29.000000;0.000000
2;985.000000;-37.000000;0.000000
3;1096.000000;-43.000000;0.000000
4;1055.000000;-42.000000;0.000000
5;866.000000;-34.000000;0.000000
6;632.000000;-26.000000;0.000000
7;319.000000;-14.000000;0.000000
8;-50.000000;1.000000;0.000000
9;-382.000000;14.000000;0.000000
10;-650.000000;24.000000;0.000000
11;-855.000000;32.000000;0.000000
12;-971.000000;37.000000;0.000000
13;-980.000000;37.000000;0.000000
14;-907.000000;34.000000;0.000000
15;-768.000000;30.000000;0.000000
16;-561.000000;22.000000;0.000000
17;-317.000000;13.000000;0.000000
18;-69.000000;3.000000;0.000000
19;156.000000;-6.000000;0.000000
20;358.000000;-14.000000;0.000000
21;493.000000;-19.000000;0.000000
22;568.000000;-22.000000;0.000000
23;591.000000;-23.000000;0.000000
24;560.000000;-23.000000;0.000000
25;473.000000;-20.000000;0.000000
26;365.000000;-16.000000;0.000000
27;240.000000;-10.000000;0.000000
28;97.000000;-5.000000;0.000000
29;-36.000000;0.000000;0.000000
30;-153.000000;5.000000;0.000000
31;-255.000000;9.000000;0.000000
32;-329.000000;12.000000;0.000000
33;-369.000000;13.000000;0.000000
34;-383.000000;14.000000;0.000000
35;-367.000000;14.000000;0.000000
36;-322.000000;12.000000;0.000000
37;-252.000000;10.000000;0.000000
38;-166.000000;7.000000;0.000000
39;-72.000000;3.000000;0.000000
40;22.000000;-1.000000;0.000000
41;114.000000;-4.000000;0.000000
42;187.000000;-7.000000;0.000000
43;241.000000;-9.000000;0.000000
44;268.000000;-10.000000;0.000000
45;269.000000;-11.000000;0.000000
46;251.000000;-11.000000;0.000000
47;213.000000;-9.000000;0.000000
48;158.000000;-8.000000;0.000000
49;87.000000;-5.000000;0.000000
50;19.000000;-2.000000;0.000000
51;-53.000000;1.000000;0.000000
52;-119.000000;3.000000;0.000000
53;-166.000000;5.000000;0.000000
54;-206.000000;7.000000;0.000000
55;-223.000000;8.000000;0.000000
56;-218.000000;8.000000;0.000000
57;-190.000000;7.000000;0.000000
58;-145.000000;6.000000;0.000000
59;-88.000000;4.000000;0.000000
60;-27.000000;1.000000;0.000000
61;38.000000;-1.000000;0.000000
62;92.000000;-4.000000;0.000000
63;138.000000;-5.000000;0.000000
64;167.000000;-7.000000;0.000000
65;173.000000;-7.000000;0.000000
66;163.000000;-7.000000;0.000000
67;132.000000;-6.000000;0.000000
68;85.000000;-5.000000;0.000000
69;40.000000;-3.000000;0.000000
70;-17.000000;-1.000000;0.000000
71;-64.000000;1.000000;0.000000
72;-108.000000;3.000000;0.000000
73;-136.000000;4.000000;0.000000
74;-155.000000;5.000000;0.000000
75;-158.000000;5.000000;0.000000
76;-143.000000;5.000000;0.000000
77;-114.000000;4.000000;0.000000
