takt;q1;q2;q2p
0;398.000000;-16.000000;0.000000
1;714.000000;-25.000000;0.000000
2;869.000000;-31.000000;0.000000
3;878.000000;-32.000000;0.000000
4;700.000000;-26.000000;0.000000
5;342.000000;-11.000000;0.000000
6;-49.000000;2.000000;0.000000
7;-443.000000;17.000000;0.000000
8;-821.000000;31.000000;0.000000
9;-1033.000000;40.000000;0.000000
10;-1034.000000;40.000000;0.000000
11;-892.000000;34.000000;0.000000
12;-631.000000;25.000000;0.000000
13;-259.000000;11.000000;0.000000
14;129.000000;-5.000000;0.000000
15;453.000000;-17.000000;0.000000
16;697.000000;-25.000000;0.000000
17;809.000000;-30.000000;0.000000
18;739.000000;-27.000000;0.000000
19;539.000000;-20.000000;0.000000
20;271.000000;-10.000000;0.000000
21;-58.000000;2.000000;0.000000
22;-386.000000;15.000000;0.000000
23;-622.000000;23.000000;0.000000
24;-748.000000;28.000000;0.000000
25;-756.000000;29.000000;0.000000
26;-625.000000;24.000000;0.000000
27;-398.000000;15.000000;0.000000
28;-132.000000;5.000000;0.000000
29;155.000000;-5.000000;0.000000
30;424.000000;-16.000000;0.000000
31;604.000000;-22.000000;0.000000
32;660.000000;-24.000000;0.000000
33;603.000000;-22.000000;0.000000
34;449.000000;-17.000000;0.000000
35;211.000000;-8.000000;0.000000
36;-46.000000;2.000000;0.000000
37;-289.000000;11.000000;0.000000
38;-482.000000;18.000000;0.000000
39;-581.000000;22.000000;0.000000
40;-553.000000;22.000000;0.000000
41;-432.000000;17.000000;0.000000
42;-252.000000;10.000000;0.000000
43;-29.000000;2.000000;0.000000
44;197.000000;-7.000000;0.000000
45;380.000000;-14.000000;0.000000
46;486.000000;-17.000000;0.000000
47;502.000000;-18.000000;0.000000
48;421.000000;-16.000000;0.000000
49;267.000000;-10.000000;0.000000
50;82.000000;-3.000000;0.000000
51;-113.000000;4.000000;0.000000
52;-287.000000;11.000000;0.000000
53;-391.000000;14.000000;0.000000
54;-410.000000;16.000000;0.000000
