takt;q1;q2;q2p
0;219.000000;-9.000000;0.000000
1;395.000000;-14.000000;0.000000
2;481.000000;-17.000000;0.000000
3;493.000000;-19.000000;0.000000
4;407.000000;-16.000000;0.000000
5;262.000000;-10.000000;0.000000
6;67.000000;-2.000000;0.000000
7;-190.000000;8.000000;0.000000
8;-453.000000;18.000000;0.000000
9;-712.000000;28.000000;0.000000
10;-964.000000;38.000000;0.000000
11;-1172.000000;47.000000;0.000000
12;-1345.000000;54.000000;0.000000
13;-1475.000000;59.000000;0.000000
14;-1537.000000;61.000000;0.000000
15;-1550.000000;62.000000;0.000000
16;-1500.000000;61.000000;0.000000
17;-1395.000000;57.000000;0.000000
18;-1258.000000;51.000000;0.000000
19;-1085.000000;45.000000;0.000000
20;-889.000000;37.000000;0.000000
21;-686.000000;28.000000;0.000000
22;-475.000000;19.000000;0.000000
23;-267.000000;11.000000;0.000000
24;-70.000000;3.000000;0.000000
25;115.000000;-4.000000;0.000000
26;277.000000;-11.000000;0.000000
27;409.000000;-16.000000;0.000000
28;512.000000;-20.000000;0.000000
29;582.000000;-23.000000;0.000000
30;611.000000;-25.000000;0.000000
31;601.000000;-25.000000;0.000000
32;552.000000;-23.000000;0.000000
33;480.000000;-20.000000;0.000000
34;391.000000;-16.000000;0.000000
35;288.000000;-12.000000;0.000000
36;177.000000;-8.000000;0.000000
37;70.000000;-4.000000;0.000000
38;-29.000000;0.000000;0.000000
39;-113.000000;4.000000;0.000000
40;-181.000000;6.000000;0.000000
41;-229.000000;8.000000;0.000000
42;-263.000000;10.000000;0.000000
43;-270.000000;10.000000;0.000000
44;-264.000000;10.000000;0.000000
45;-240.000000;10.000000;0.000000
46;-208.000000;8.000000;0.000000
47;-180.000000;7.000000;0.000000
48;-146.000000;6.000000;0.000000
49;-118.000000;5.000000;0.000000
50;-99.000000;4.000000;0.000000
51;-79.000000;3.000000;0.000000
52;-62.000000;2.000000;0.000000
53;-49.000000;2.000000;0.000000
54;-31.000000;1.000000;0.000000
55;-21.000000;1.000000;0.000000
56;-10.000000;0.000000;0.000000
57;1.000000;0.000000;0.000000
58;11.000000;-1.000000;0.000000
59;18.000000;-1.000000;0.000000
60;29.000000;-1.000000;0.000000
61;33.000000;-2.000000;0.000000
62;43.000000;-2.000000;0.000000
63;50.000000;-2.000000;0.000000
64;51.000000;-2.000000;0.000000
65;54.000000;-2.000000;0.000000
66;49.000000;-3.000000;0.000000
67;46.000000;-3.000000;0.000000
68;46.000000;-3.000000;0.000000
69;45.000000;-3.000000;0.000000
70;47.000000;-3.000000;0.000000
71;47.000000;-3.000000;0.000000
72;47.000000;-3.000000;0.000000
73;50.000000;-3.000000;0.000000
74;49.000000;-3.000000;0.000000
75;51.000000;-3.000000;0.000000
76;51.000000;-3.000000;0.000000
77;51.000000;-3.000000;0.000000
78;51.000000;-3.000000;0.000000
79;50.000000;-3.000000;0.000000
80;49.000000;-3.000000;0.000000
81;49.000000;-3.000000;0.000000
82;49.000000;-3.000000;0.000000
83;49.000000;-3.000000;0.000000
84;48.000000;-3.000000;0.000000
85;48.000000;-3.000000;0.000000
86;48.000000;-3.000000;0.000000
87;47.000000;-3.000000;0.000000
88;45.000000;-3.000000;0.000000
89;43.000000;-3.000000;0.000000
90;39.000000;-3.000000;0.000000
91;34.000000;-2.000000;0.000000
92;32.000000;-2.000000;0.000000
93;28.000000;-2.000000;0.000000
