takt;q1;q2;q2p
0;256.000000;-11.000000;0.000000
1;478.000000;-17.000000;0.000000
2;602.000000;-22.000000;0.000000
3;641.000000;-25.000000;0.000000
4;578.000000;-23.000000;0.000000
5;441.000000;-17.000000;0.000000
6;244.000000;-10.000000;0.000000
7;-24.000000;1.000000;0.000000
8;-319.000000;13.000000;0.000000
9;-633.000000;25.000000;0.000000
10;-949.000000;37.000000;0.000000
11;-1229.000000;49.000000;0.000000
12;-1480.000000;58.000000;0.000000
13;-1690.000000;67.000000;0.000000
14;-1830.000000;72.000000;0.000000
15;-1901.000000;75.000000;0.000000
16;-1895.000000;76.000000;0.000000
17;-1811.000000;73.000000;0.000000
18;-1678.000000;67.000000;0.000000
19;-1489.000000;60.000000;0.000000
20;-1258.000000;50.000000;0.000000
21;-991.000000;40.000000;0.000000
22;-690.000000;28.000000;0.000000
23;-381.000000;16.000000;0.000000
24;-72.000000;3.000000;0.000000
25;231.000000;-9.000000;0.000000
26;515.000000;-20.000000;0.000000
27;762.000000;-30.000000;0.000000
28;963.000000;-38.000000;0.000000
29;1104.000000;-44.000000;0.000000
30;1172.000000;-47.000000;0.000000
31;1172.000000;-47.000000;0.000000
32;1110.000000;-45.000000;0.000000
33;993.000000;-40.000000;0.000000
34;837.000000;-34.000000;0.000000
35;648.000000;-27.000000;0.000000
36;435.000000;-18.000000;0.000000
37;214.000000;-9.000000;0.000000
38;-14.000000;0.000000;0.000000
39;-235.000000;8.000000;0.000000
40;-439.000000;17.000000;0.000000
41;-620.000000;24.000000;0.000000
42;-771.000000;30.000000;0.000000
43;-873.000000;34.000000;0.000000
44;-930.000000;36.000000;0.000000
45;-938.000000;36.000000;0.000000
46;-893.000000;36.000000;0.000000
47;-806.000000;32.000000;0.000000
48;-683.000000;28.000000;0.000000
49;-529.000000;21.000000;0.000000
50;-363.000000;15.000000;0.000000
51;-180.000000;7.000000;0.000000
52;7.000000;0.000000;0.000000
53;180.000000;-7.000000;0.000000
54;341.000000;-14.000000;0.000000
55;483.000000;-19.000000;0.000000
56;593.000000;-23.000000;0.000000
57;674.000000;-27.000000;0.000000
58;717.000000;-28.000000;0.000000
59;721.000000;-29.000000;0.000000
60;699.000000;-29.000000;0.000000
61;639.000000;-27.000000;0.000000
62;559.000000;-23.000000;0.000000
63;459.000000;-19.000000;0.000000
64;339.000000;-15.000000;0.000000
65;214.000000;-10.000000;0.000000
66;84.000000;-4.000000;0.000000
67;-54.000000;1.000000;0.000000
68;-179.000000;6.000000;0.000000
69;-292.000000;11.000000;0.000000
70;-393.000000;15.000000;0.000000
71;-470.000000;18.000000;0.000000
72;-522.000000;20.000000;0.000000
73;-550.000000;21.000000;0.000000
74;-548.000000;21.000000;0.000000
75;-519.000000;21.000000;0.000000
76;-466.000000;19.000000;0.000000
77;-392.000000;16.000000;0.000000
78;-301.000000;12.000000;0.000000
79;-207.000000;8.000000;0.000000
80;-107.000000;5.000000;0.000000
81;-8.000000;1.000000;0.000000
82;87.000000;-3.000000;0.000000
83;173.000000;-7.000000;0.000000
84;244.000000;-9.000000;0.000000
85;305.000000;-12.000000;0.000000
86;345.000000;-14.000000;0.000000
87;370.000000;-15.000000;0.000000
88;376.000000;-15.000000;0.000000
89;361.000000;-15.000000;0.000000
90;329.000000;-14.000000;0.000000
91;286.000000;-12.000000;0.000000
92;231.000000;-10.000000;0.000000
93;177.000000;-8.000000;0.000000
94;117.000000;-6.000000;0.000000
95;54.000000;-3.000000;0.000000
96;-1.000000;-1.000000;0.000000
97;-54.000000;1.000000;0.000000
98;-96.000000;3.000000;0.000000
99;-135.000000;4.000000;0.000000
100;-166.000000;6.000000;0.000000
101;-186.000000;6.000000;0.000000
102;-197.000000;7.000000;0.000000
103;-200.000000;7.000000;0.000000
104;-195.000000;7.000000;0.000000
105;-184.000000;7.000000;0.000000
106;-166.000000;7.000000;0.000000
107;-142.000000;6.000000;0.000000
108;-114.000000;5.000000;0.000000
109;-86.000000;4.000000;0.000000
110;-62.000000;3.000000;0.000000
111;-36.000000;2.000000;0.000000
112;-12.000000;1.000000;0.000000
113;7.000000;0.000000;0.000000
114;24.000000;-1.000000;0.000000
115;36.000000;-2.000000;0.000000
116;43.000000;-2.000000;0.000000
117;47.000000;-2.000000;0.000000
118;48.000000;-2.000000;0.000000
119;46.000000;-2.000000;0.000000
120;44.000000;-2.000000;0.000000
121;40.000000;-2.000000;0.000000
122;32.000000;-2.000000;0.000000
123;26.000000;-2.000000;0.000000
124;18.000000;-2.000000;0.000000
125;12.000000;-1.000000;0.000000
126;8.000000;-1.000000;0.000000
127;2.000000;-1.000000;0.000000
128;-3.000000;-1.000000;0.000000
129;-8.000000;-1.000000;0.000000
130;-10.000000;0.000000;0.000000
131;-7.000000;0.000000;0.000000
132;-5.000000;0.000000;0.000000
133;-1.000000;0.000000;0.000000
134;4.000000;0.000000;0.000000
135;9.000000;0.000000;0.000000
136;17.000000;-1.000000;0.000000
137;17.000000;-1.000000;0.000000
138;15.000000;-1.000000;0.000000
139;11.000000;-1.000000;0.000000
140;8.000000;-1.000000;0.000000
141;6.000000;-1.000000;0.000000
142;1.000000;-1.000000;0.000000
143;-5.000000;0.000000;0.000000
144;-6.000000;0.000000;0.000000
145;-8.000000;0.000000;0.000000
146;-9.000000;0.000000;0.000000
147;-8.000000;0.000000;0.000000
148;-11.000000;0.000000;0.000000
149;-11.000000;0.000000;0.000000
150;-11.000000;0.000000;0.000000
151;-11.000000;0.000000;0.000000
152;-8.000000;0.000000;0.000000
153;-7.000000;0.000000;0.000000
154;-7.000000;0.000000;0.000000
155;-5.000000;0.000000;0.000000
156;-5.000000;0.000000;0.000000
157;-3.000000;0.000000;0.000000
158;-2.000000;0.000000;0.000000
159;-1.000000;0.000000;0.000000
160;1.000000;0.000000;0.000000
161;4.000000;0.000000;0.000000
162;7.000000;0.000000;0.000000
163;10.000000;0.000000;0.000000
164;13.000000;0.000000;0.000000
165;16.000000;-1.000000;0.000000
166;15.000000;-1.000000;0.000000
167;14.000000;-1.000000;0.000000
168;13.000000;-1.000000;0.000000
169;12.000000;-1.000000;0.000000
170;12.000000;-1.000000;0.000000
171;11.000000;-1.000000;0.000000
172;9.000000;-1.000000;0.000000
173;8.000000;-1.000000;0.000000
174;7.000000;-1.000000;0.000000
175;5.000000;-1.000000;0.000000
176;3.000000;-1.000000;0.000000
177;0.000000;-1.000000;0.000000
178;-2.000000;-1.000000;0.000000
179;-5.000000;-1.000000;0.000000
180;-7.000000;-1.000000;0.000000
181;-6.000000;0.000000;0.000000
182;-7.000000;0.000000;0.000000
183;-10.000000;0.000000;0.000000
184;-12.000000;0.000000;0.000000
185;-15.000000;0.000000;0.000000
186;-18.000000;0.000000;0.000000
187;-21.000000;0.000000;0.000000
188;-26.000000;0.000000;0.000000
189;-26.000000;0.000000;0.000000
190;-23.000000;0.000000;0.000000
191;-23.000000;0.000000;0.000000
192;-21.000000;0.000000;0.000000
193;-21.000000;0.000000;0.000000
194;-20.000000;0.000000;0.000000
195;-18.000000;0.000000;0.000000
196;-15.000000;0.000000;0.000000
197;-12.000000;0.000000;0.000000
198;-8.000000;0.000000;0.000000
199;-4.000000;0.000000;0.000000
200;0.000000;0.000000;0.000000
201;3.000000;0.000000;0.000000
202;6.000000;0.000000;0.000000
203;8.000000;0.000000;0.000000
204;12.000000;0.000000;0.000000
205;14.000000;0.000000;0.000000
206;12.000000;-1.000000;0.000000
207;11.000000;-1.000000;0.000000
208;9.000000;-1.000000;0.000000
209;6.000000;-1.000000;0.000000
210;6.000000;-1.000000;0.000000
211;4.000000;-1.000000;0.000000
212;4.000000;-1.000000;0.000000
213;5.000000;-1.000000;0.000000
214;2.000000;-1.000000;0.000000
215;1.000000;-1.000000;0.000000
216;0.000000;-1.000000;0.000000
217;-3.000000;-1.000000;0.000000
218;-6.000000;-1.000000;0.000000
219;-8.000000;-1.000000;0.000000
220;-6.000000;0.000000;0.000000
221;-6.000000;0.000000;0.000000
222;-5.000000;0.000000;0.000000
223;-5.000000;0.000000;0.000000
224;-4.000000;0.000000;0.000000
225;-2.000000;0.000000;0.000000
226;-1.000000;0.000000;0.000000
227;0.000000;0.000000;0.000000
228;2.000000;0.000000;0.000000
229;4.000000;0.000000;0.000000
230;6.000000;0.000000;0.000000
231;9.000000;0.000000;0.000000
232;12.000000;0.000000;0.000000
233;16.000000;0.000000;0.000000
234;18.000000;-1.000000;0.000000
235;17.000000;-1.000000;0.000000
236;17.000000;-1.000000;0.000000
237;17.000000;-1.000000;0.000000
238;16.000000;-1.000000;0.000000
239;14.000000;-1.000000;0.000000
240;11.000000;-1.000000;0.000000
241;10.000000;-1.000000;0.000000
242;9.000000;-1.000000;0.000000
243;7.000000;-1.000000;0.000000
244;5.000000;-1.000000;0.000000
245;3.000000;-1.000000;0.000000
246;1.000000;-1.000000;0.000000
247;0.000000;-1.000000;0.000000
248;-1.000000;-1.000000;0.000000
249;-3.000000;-1.000000;0.000000
250;-5.000000;-1.000000;0.000000
251;-7.000000;0.000000;0.000000
252;-5.000000;0.000000;0.000000
253;-5.000000;0.000000;0.000000
254;-5.000000;0.000000;0.000000
255;-5.000000;0.000000;0.000000
256;-6.000000;0.000000;0.000000
257;-4.000000;0.000000;0.000000
258;-4.000000;0.000000;0.000000
259;-3.000000;0.000000;0.000000
260;-1.000000;0.000000;0.000000
261;0.000000;0.000000;0.000000
262;2.000000;0.000000;0.000000
263;4.000000;0.000000;0.000000
264;5.000000;0.000000;0.000000
265;8.000000;0.000000;0.000000
266;10.000000;0.000000;0.000000
267;12.000000;0.000000;0.000000
268;12.000000;0.000000;0.000000
269;11.000000;0.000000;0.000000
270;9.000000;0.000000;0.000000
271;9.000000;0.000000;0.000000
272;7.000000;0.000000;0.000000
273;7.000000;0.000000;0.000000
274;7.000000;0.000000;0.000000
275;6.000000;0.000000;0.000000
276;6.000000;0.000000;0.000000
277;6.000000;0.000000;0.000000
278;4.000000;0.000000;0.000000
279;3.000000;0.000000;0.000000
280;2.000000;0.000000;0.000000
281;0.000000;0.000000;0.000000
282;-1.000000;0.000000;0.000000
283;-3.000000;0.000000;0.000000
284;-5.000000;0.000000;0.000000
285;-6.000000;0.000000;0.000000
286;-10.000000;0.000000;0.000000
287;-14.000000;0.000000;0.000000
288;-16.000000;0.000000;0.000000
289;-20.000000;0.000000;0.000000
290;-23.000000;0.000000;0.398428
291;-28.000000;0.000000;574.672180
292;-33.000000;0.000000;1148.945923
293;-36.000000;1.000000;1723.219727
294;-46.000000;1.000000;2297.493408
295;-68.000000;2.000000;2871.767334
296;-102.000000;4.000000;3446.041016
297;-168.000000;7.000000;4020.314941
298;-261.000000;11.000000;4594.588379
299;-392.000000;16.000000;5168.862305
300;-576.000000;24.000000;5743.136230
301;-809.000000;33.000000;6317.409668
302;-1099.000000;45.000000;6891.683594
303;-1453.000000;60.000000;7465.957520
304;-1859.000000;76.000000;8040.231445
305;-2315.000000;95.000000;8614.504883
306;-2819.000000;116.000000;9188.778320
307;-3357.000000;137.000000;9763.051758
308;-3919.000000;161.000000;10337.326172
309;-4503.000000;184.000000;10911.599609
310;-5109.000000;209.000000;11485.874023
311;-5734.000000;235.000000;12060.148438
312;-6375.000000;261.000000;12634.420898
313;-7024.000000;287.000000;13208.695312
314;-7677.000000;314.000000;13782.968750
315;-8313.000000;340.000000;14357.242188
316;-8923.000000;365.000000;14931.516602
317;-9508.000000;389.000000;15505.790039
318;-10065.000000;411.000000;15915.494141
319;-10592.000000;433.000000;15915.494141
320;-11102.000000;454.000000;15915.494141
321;-11595.000000;475.000000;15915.494141
322;-12080.000000;495.000000;15915.494141
323;-12551.000000;514.000000;15915.494141
324;-12995.000000;532.000000;15915.494141
325;-13414.000000;549.000000;15915.494141
326;-13792.000000;565.000000;15915.494141
327;-14136.000000;579.000000;15915.494141
328;-14436.000000;591.000000;15915.494141
329;-14692.000000;602.000000;15915.494141
330;-14913.000000;611.000000;15915.494141
331;-15094.000000;619.000000;15915.494141
332;-15246.000000;625.000000;15915.494141
333;-15368.000000;630.000000;15915.494141
334;-15464.000000;634.000000;15915.494141
335;-15545.000000;638.000000;15915.494141
336;-15608.000000;640.000000;15915.494141
337;-15664.000000;643.000000;15915.494141
338;-15710.000000;645.000000;15915.494141
339;-15756.000000;647.000000;15915.494141
340;-15795.000000;648.000000;15915.494141
341;-15836.000000;650.000000;15915.494141
342;-15877.000000;652.000000;15915.494141
343;-15920.000000;654.000000;15915.494141
344;-15969.000000;655.000000;15915.494141
345;-16013.000000;657.000000;15915.494141
346;-16061.000000;659.000000;15915.494141
347;-16105.000000;661.000000;15915.494141
348;-16153.000000;663.000000;15915.494141
349;-16193.000000;664.000000;15915.494141
350;-16231.000000;666.000000;15915.494141
351;-16263.000000;667.000000;15915.494141
352;-16286.000000;668.000000;15915.494141
353;-16301.000000;669.000000;15915.494141
354;-16307.000000;669.000000;15915.494141
355;-16304.000000;669.000000;15915.494141
356;-16295.000000;669.000000;15915.494141
357;-16280.000000;669.000000;15915.494141
358;-16259.000000;668.000000;15915.494141
359;-16231.000000;667.000000;15915.494141
360;-16198.000000;666.000000;15915.494141
361;-16168.000000;664.000000;15915.494141
362;-16131.000000;663.000000;15915.494141
363;-16093.000000;661.000000;15915.494141
364;-16061.000000;660.000000;15915.494141
365;-16023.000000;659.000000;15915.494141
366;-15989.000000;657.000000;15915.494141
367;-15964.000000;656.000000;15915.494141
368;-15935.000000;655.000000;15915.494141
369;-15913.000000;654.000000;15915.494141
370;-15900.000000;654.000000;15915.494141
371;-15888.000000;653.000000;15915.494141
372;-15887.000000;653.000000;15915.494141
373;-15885.000000;653.000000;15915.494141
374;-15885.000000;653.000000;15915.494141
375;-15887.000000;653.000000;15915.494141
376;-15889.000000;653.000000;15915.494141
377;-15893.000000;653.000000;15915.494141
378;-15897.000000;653.000000;15915.494141
379;-15900.000000;653.000000;15915.494141
380;-15902.000000;653.000000;15915.494141
381;-15906.000000;653.000000;15915.494141
382;-15908.000000;653.000000;15915.494141
383;-15909.000000;653.000000;15915.494141
384;-15907.000000;653.000000;15915.494141
385;-15905.000000;653.000000;15915.494141
386;-15901.000000;653.000000;15915.494141
387;-15897.000000;653.000000;15915.494141
388;-15890.000000;653.000000;15915.494141
389;-15882.000000;653.000000;15915.494141
390;-15874.000000;653.000000;15915.494141
391;-15869.000000;652.000000;15915.494141
392;-15865.000000;652.000000;15915.494141
393;-15863.000000;652.000000;15915.494141
394;-15863.000000;652.000000;15915.494141
395;-15865.000000;652.000000;15915.494141
396;-15871.000000;652.000000;15915.494141
397;-15879.000000;652.000000;15915.494141
398;-15887.000000;652.000000;15915.494141
399;-15898.000000;653.000000;15915.494141
400;-15906.000000;653.000000;15915.494141
401;-15914.000000;653.000000;15915.494141
402;-15923.000000;653.000000;15915.494141
403;-15926.000000;654.000000;15915.494141
404;-15929.000000;654.000000;15915.494141
405;-15928.000000;654.000000;15915.494141
406;-15924.000000;654.000000;15915.494141
407;-15921.000000;654.000000;15915.494141
408;-15914.000000;654.000000;15915.494141
409;-15907.000000;654.000000;15915.494141
410;-15900.000000;654.000000;15915.494141
411;-15891.000000;653.000000;15915.494141
412;-15890.000000;653.000000;15915.494141
413;-15888.000000;653.000000;15915.494141
414;-15887.000000;653.000000;15915.494141
415;-15889.000000;653.000000;15915.494141
416;-15892.000000;653.000000;15915.494141
417;-15900.000000;653.000000;15915.494141
418;-15908.000000;653.000000;15915.494141
419;-15916.000000;653.000000;15915.494141
420;-15928.000000;654.000000;15915.494141
