takt;q1;q2;q2p
0;231.000000;-10.000000;0.000000
1;422.000000;-15.000000;0.000000
2;520.000000;-19.000000;0.000000
3;542.000000;-21.000000;0.000000
4;465.000000;-19.000000;0.000000
5;326.000000;-13.000000;0.000000
6;131.000000;-5.000000;0.000000
7;-131.000000;5.000000;0.000000
8;-401.000000;16.000000;0.000000
9;-679.000000;27.000000;0.000000
10;-946.000000;37.000000;0.000000
11;-1168.000000;46.000000;0.000000
12;-1355.000000;54.000000;0.000000
13;-1494.000000;59.000000;0.000000
14;-1566.000000;62.000000;0.000000
15;-1585.000000;63.000000;0.000000
16;-1552.000000;63.000000;0.000000
17;-1461.000000;59.000000;0.000000
18;-1338.000000;54.000000;0.000000
19;-1179.000000;48.000000;0.000000
20;-996.000000;40.000000;0.000000
21;-802.000000;32.000000;0.000000
22;-592.000000;24.000000;0.000000
23;-380.000000;15.000000;0.000000
24;-176.000000;7.000000;0.000000
25;17.000000;0.000000;0.000000
26;192.000000;-8.000000;0.000000
27;337.000000;-13.000000;0.000000
28;455.000000;-18.000000;0.000000
29;538.000000;-22.000000;0.000000
30;583.000000;-23.000000;0.000000
31;592.000000;-24.000000;0.000000
32;556.000000;-23.000000;0.000000
33;496.000000;-21.000000;0.000000
34;414.000000;-17.000000;0.000000
35;312.000000;-13.000000;0.000000
36;203.000000;-9.000000;0.000000
37;86.000000;-5.000000;0.000000
38;-26.000000;0.000000;0.000000
39;-127.000000;4.000000;0.000000
40;-212.000000;7.000000;0.000000
41;-280.000000;10.000000;0.000000
42;-332.000000;12.000000;0.000000
43;-359.000000;13.000000;0.000000
44;-361.000000;14.000000;0.000000
45;-339.000000;14.000000;0.000000
46;-303.000000;12.000000;0.000000
47;-261.000000;10.000000;0.000000
48;-213.000000;9.000000;0.000000
49;-162.000000;6.000000;0.000000
50;-108.000000;4.000000;0.000000
51;-65.000000;2.000000;0.000000
52;-23.000000;1.000000;0.000000
53;11.000000;-1.000000;0.000000
54;38.000000;-2.000000;0.000000
55;63.000000;-3.000000;0.000000
56;81.000000;-4.000000;0.000000
57;90.000000;-4.000000;0.000000
58;99.000000;-4.000000;0.000000
59;103.000000;-5.000000;0.000000
60;99.000000;-5.000000;0.000000
61;98.000000;-5.000000;0.000000
62;89.000000;-5.000000;0.000000
63;84.000000;-4.000000;0.000000
64;87.000000;-4.000000;0.000000
65;80.000000;-4.000000;0.000000
66;79.000000;-4.000000;0.000000
67;77.000000;-4.000000;0.000000
68;70.000000;-4.000000;0.000000
69;71.000000;-4.000000;0.000000
70;68.000000;-4.000000;0.000000
71;64.000000;-4.000000;0.000000
72;63.000000;-4.000000;0.000000
73;58.000000;-4.000000;0.000000
74;57.000000;-3.000000;0.000000
75;55.000000;-3.000000;0.000000
76;49.000000;-3.000000;0.000000
77;43.000000;-3.000000;0.000000
78;36.000000;-3.000000;0.000000
79;31.000000;-2.000000;0.000000
80;26.000000;-2.000000;0.000000
81;19.000000;-2.000000;0.000000
82;15.000000;-2.000000;0.000000
83;13.000000;-1.000000;0.000000
84;13.000000;-1.000000;0.000000
85;12.000000;-1.000000;0.000000
86;8.000000;-1.000000;0.000000
87;5.000000;-1.000000;0.000000
88;5.000000;-1.000000;0.000000
89;4.000000;-1.000000;0.000000
90;3.000000;-1.000000;0.000000
91;0.000000;-1.000000;0.000000
92;-1.000000;-1.000000;0.000000
93;-2.000000;-1.000000;0.000000
94;-4.000000;-1.000000;0.000000
95;-7.000000;-1.000000;0.000000
96;-10.000000;-1.000000;0.000000
97;-10.000000;0.000000;0.000000
98;-10.000000;0.000000;0.000000
99;-13.000000;0.000000;0.000000
100;-15.000000;0.000000;0.000000
101;-19.000000;0.000000;0.000000
102;-19.000000;0.000000;0.000000
103;-19.000000;0.000000;0.000000
104;-21.000000;0.000000;0.000000
105;-20.000000;0.000000;0.000000
106;-21.000000;0.000000;0.000000
107;-22.000000;0.000000;0.000000
108;-20.000000;0.000000;0.000000
109;-23.000000;0.000000;0.000000
110;-23.000000;0.000000;0.000000
111;-23.000000;0.000000;0.000000
112;-23.000000;0.000000;0.000000
113;-20.000000;0.000000;0.000000
114;-20.000000;0.000000;0.000000
115;-21.000000;0.000000;0.000000
116;-19.000000;0.000000;0.000000
117;-21.000000;0.000000;0.000000
118;-21.000000;0.000000;0.000000
119;-20.000000;0.000000;0.000000
120;-22.000000;0.000000;0.000000
121;-21.000000;0.000000;0.000000
122;-21.000000;0.000000;0.000000
123;-22.000000;0.000000;0.000000
124;-20.000000;0.000000;0.000000
125;-21.000000;0.000000;0.000000
126;-21.000000;0.000000;0.000000
127;-20.000000;0.000000;0.000000
128;-21.000000;0.000000;0.000000
129;-21.000000;0.000000;0.000000
130;-20.000000;0.000000;0.000000
131;-22.000000;0.000000;0.000000
132;-20.000000;0.000000;0.000000
133;-20.000000;0.000000;0.000000
134;-21.000000;0.000000;0.000000
135;-21.000000;0.000000;0.000000
136;-22.000000;0.000000;0.000000
137;-20.000000;0.000000;0.000000
138;-21.000000;0.000000;0.000000
139;-22.000000;0.000000;0.000000
140;-18.000000;0.000000;0.000000
141;-21.000000;0.000000;0.000000
142;-20.000000;0.000000;0.000000
143;-22.000000;0.000000;0.000000
144;-24.000000;0.000000;0.000000
145;-22.000000;0.000000;0.000000
146;-24.000000;0.000000;0.000000
147;-24.000000;0.000000;0.000000
148;-23.000000;0.000000;0.000000
149;-24.000000;0.000000;0.000000
150;-24.000000;0.000000;0.000000
151;-23.000000;0.000000;0.000000
152;-24.000000;0.000000;0.000000
153;-23.000000;0.000000;0.000000
154;-22.000000;0.000000;0.000000
155;-22.000000;0.000000;0.000000
156;-20.000000;0.000000;0.000000
157;-18.000000;0.000000;0.000000
158;-16.000000;0.000000;0.000000
159;-14.000000;0.000000;0.000000
160;-9.000000;0.000000;0.000000
161;-4.000000;0.000000;0.000000
162;2.000000;0.000000;0.000000
163;8.000000;-1.000000;0.000000
164;8.000000;-1.000000;0.000000
165;10.000000;-1.000000;0.000000
166;10.000000;-1.000000;0.000000
167;9.000000;-1.000000;0.000000
168;9.000000;-1.000000;0.000000
169;7.000000;-1.000000;0.000000
170;8.000000;-1.000000;0.000000
171;10.000000;-1.000000;0.000000
172;11.000000;-1.000000;0.000000
173;10.000000;-1.000000;0.000000
174;9.000000;-1.000000;0.000000
