takt;q1;q2;q2p
0;226.000000;-9.000000;0.000000
1;403.000000;-14.000000;0.000000
2;484.000000;-18.000000;0.000000
3;487.000000;-19.000000;0.000000
4;392.000000;-16.000000;0.000000
5;235.000000;-9.000000;0.000000
6;27.000000;0.000000;0.000000
7;-243.000000;10.000000;0.000000
8;-521.000000;21.000000;0.000000
9;-790.000000;31.000000;0.000000
10;-1046.000000;42.000000;0.000000
11;-1255.000000;50.000000;0.000000
12;-1418.000000;57.000000;0.000000
13;-1531.000000;61.000000;0.000000
14;-1567.000000;63.000000;0.000000
15;-1542.000000;62.000000;0.000000
16;-1458.000000;59.000000;0.000000
17;-1322.000000;53.000000;0.000000
18;-1144.000000;47.000000;0.000000
19;-939.000000;38.000000;0.000000
20;-698.000000;28.000000;0.000000
21;-441.000000;18.000000;0.000000
22;-177.000000;7.000000;0.000000
23;88.000000;-4.000000;0.000000
24;337.000000;-13.000000;0.000000
25;565.000000;-23.000000;0.000000
26;764.000000;-30.000000;0.000000
27;918.000000;-36.000000;0.000000
28;1027.000000;-41.000000;0.000000
29;1077.000000;-43.000000;0.000000
30;1070.000000;-43.000000;0.000000
31;1007.000000;-41.000000;0.000000
32;893.000000;-36.000000;0.000000
33;742.000000;-30.000000;0.000000
34;556.000000;-23.000000;0.000000
35;346.000000;-14.000000;0.000000
36;118.000000;-5.000000;0.000000
37;-109.000000;4.000000;0.000000
38;-320.000000;12.000000;0.000000
39;-506.000000;19.000000;0.000000
40;-654.000000;25.000000;0.000000
41;-763.000000;30.000000;0.000000
42;-821.000000;32.000000;0.000000
43;-827.000000;32.000000;0.000000
44;-784.000000;32.000000;0.000000
45;-702.000000;28.000000;0.000000
46;-590.000000;24.000000;0.000000
47;-457.000000;18.000000;0.000000
48;-314.000000;12.000000;0.000000
49;-164.000000;6.000000;0.000000
50;-17.000000;0.000000;0.000000
51;124.000000;-5.000000;0.000000
52;246.000000;-10.000000;0.000000
53;353.000000;-14.000000;0.000000
54;435.000000;-17.000000;0.000000
55;490.000000;-20.000000;0.000000
56;524.000000;-21.000000;0.000000
57;526.000000;-21.000000;0.000000
58;502.000000;-21.000000;0.000000
59;457.000000;-19.000000;0.000000
60;394.000000;-16.000000;0.000000
61;319.000000;-13.000000;0.000000
62;236.000000;-10.000000;0.000000
63;147.000000;-7.000000;0.000000
64;54.000000;-3.000000;0.000000
65;-33.000000;0.000000;0.000000
66;-115.000000;4.000000;0.000000
67;-181.000000;7.000000;0.000000
68;-233.000000;9.000000;0.000000
69;-269.000000;10.000000;0.000000
70;-289.000000;11.000000;0.000000
71;-285.000000;11.000000;0.000000
72;-270.000000;11.000000;0.000000
73;-242.000000;10.000000;0.000000
74;-211.000000;8.000000;0.000000
75;-172.000000;7.000000;0.000000
76;-136.000000;5.000000;0.000000
77;-100.000000;4.000000;0.000000
78;-65.000000;3.000000;0.000000
79;-37.000000;1.000000;0.000000
80;-13.000000;0.000000;0.000000
81;11.000000;-1.000000;0.000000
82;27.000000;-1.000000;0.000000
83;39.000000;-2.000000;0.000000
84;48.000000;-2.000000;0.000000
85;55.000000;-2.000000;0.000000
86;56.000000;-3.000000;0.000000
87;56.000000;-3.000000;0.000000
88;53.000000;-3.000000;0.000000
89;50.000000;-3.000000;0.000000
