takt;q1;q2;q2p
0;253.000000;-11.000000;0.000000
1;456.000000;-17.000000;0.000000
2;566.000000;-21.000000;0.000000
3;588.000000;-23.000000;0.000000
4;505.000000;-21.000000;0.000000
5;361.000000;-15.000000;0.000000
6;162.000000;-7.000000;0.000000
7;-105.000000;3.000000;0.000000
8;-383.000000;14.000000;0.000000
9;-666.000000;26.000000;0.000000
10;-931.000000;36.000000;0.000000
11;-1148.000000;45.000000;0.000000
12;-1335.000000;52.000000;0.000000
13;-1481.000000;58.000000;0.000000
14;-1577.000000;62.000000;0.000000
15;-1626.000000;64.000000;0.000000
16;-1624.000000;64.000000;0.000000
17;-1574.000000;63.000000;0.000000
18;-1500.000000;60.000000;0.000000
19;-1402.000000;56.000000;0.000000
20;-1278.000000;51.000000;0.000000
21;-1143.000000;45.000000;0.000000
22;-992.000000;40.000000;0.000000
23;-834.000000;33.000000;0.000000
24;-681.000000;27.000000;0.000000
25;-531.000000;21.000000;0.000000
26;-386.000000;16.000000;0.000000
27;-258.000000;10.000000;0.000000
28;-148.000000;6.000000;0.000000
29;-68.000000;3.000000;0.000000
30;-21.000000;1.000000;0.000000
31;-1.000000;0.000000;0.000000
32;-5.000000;0.000000;0.000000
33;-32.000000;0.000000;0.000000
34;-79.000000;2.000000;0.000000
35;-142.000000;4.000000;0.000000
36;-210.000000;7.000000;0.000000
37;-271.000000;9.000000;0.000000
38;-330.000000;12.000000;0.000000
39;-373.000000;13.000000;0.000000
40;-404.000000;14.000000;0.000000
41;-422.000000;15.000000;0.000000
42;-424.000000;16.000000;0.000000
43;-405.000000;15.000000;0.000000
44;-375.000000;15.000000;0.000000
45;-334.000000;13.000000;0.000000
46;-289.000000;11.000000;0.000000
47;-246.000000;10.000000;0.000000
48;-206.000000;8.000000;0.000000
49;-169.000000;6.000000;0.000000
50;-139.000000;5.000000;0.000000
51;-113.000000;4.000000;0.000000
52;-94.000000;4.000000;0.000000
53;-85.000000;3.000000;0.000000
54;-76.000000;3.000000;0.000000
55;-71.000000;2.000000;0.000000
56;-75.000000;2.000000;0.000000
57;-80.000000;2.000000;0.000000
58;-94.000000;2.000000;0.000000
59;-105.000000;3.000000;0.000000
60;-110.000000;3.000000;0.000000
61;-122.000000;3.000000;0.000000
62;-124.000000;4.000000;0.000000
63;-122.000000;4.000000;0.000000
64;-121.000000;4.000000;0.000000
65;-108.000000;4.000000;0.000000
66;-99.000000;3.000000;0.000000
67;-90.000000;3.000000;0.000000
68;-71.000000;2.000000;0.000000
69;-64.000000;2.000000;0.000000
70;-53.000000;2.000000;0.000000
71;-42.000000;1.000000;0.000000
72;-39.000000;1.000000;0.000000
73;-27.000000;0.000000;0.000000
74;-21.000000;0.000000;0.000000
75;-16.000000;0.000000;0.000000
76;-6.000000;0.000000;0.000000
77;-4.000000;-1.000000;0.000000
78;-1.000000;-1.000000;0.000000
79;2.000000;-1.000000;0.000000
80;-2.000000;-1.000000;0.000000
81;-5.000000;-1.000000;0.000000
82;-9.000000;-1.000000;0.000000
83;-16.000000;-1.000000;0.000000
84;-20.000000;-1.000000;0.000000
85;-25.000000;-1.000000;0.000000
86;-27.000000;0.000000;0.000000
87;-22.000000;0.000000;0.000000
88;-18.000000;0.000000;0.000000
89;-10.000000;0.000000;0.000000
90;1.000000;-1.000000;0.000000
91;6.000000;-1.000000;0.000000
92;10.000000;-1.000000;0.000000
93;11.000000;-1.000000;0.000000
94;9.000000;-1.000000;0.000000
95;6.000000;-1.000000;0.000000
96;0.000000;-1.000000;0.000000
97;-5.000000;-1.000000;0.000000
98;-9.000000;-1.000000;0.000000
99;-13.000000;-1.000000;0.000000
100;-17.000000;-1.000000;0.000000
101;-20.000000;-1.000000;0.000000
102;-23.000000;-1.000000;0.000000
103;-24.000000;-1.000000;0.000000
104;-26.000000;0.000000;0.000000
105;-24.000000;0.000000;0.000000
106;-19.000000;0.000000;0.000000
107;-14.000000;0.000000;0.000000
108;-7.000000;0.000000;0.000000
109;0.000000;-1.000000;0.000000
110;1.000000;-1.000000;0.000000
111;2.000000;-1.000000;0.000000
112;-3.000000;-1.000000;0.000000
113;-9.000000;-1.000000;0.000000
114;-12.000000;-1.000000;0.000000
115;-19.000000;-1.000000;0.000000
116;-24.000000;0.000000;0.000000
117;-21.000000;0.000000;0.000000
118;-18.000000;0.000000;0.000000
119;-11.000000;0.000000;0.000000
120;-2.000000;-1.000000;0.000000
121;-2.000000;-1.000000;0.000000
122;1.000000;-1.000000;0.000000
123;0.000000;-1.000000;0.000000
124;-6.000000;-1.000000;0.000000
125;-8.000000;-1.000000;0.000000
126;-14.000000;-1.000000;0.000000
127;-20.000000;-1.000000;0.000000
128;-23.000000;-1.000000;0.000000
129;-27.000000;0.000000;0.000000
130;-24.000000;0.000000;0.000000
131;-18.000000;0.000000;0.000000
132;-10.000000;0.000000;0.000000
133;-1.000000;0.000000;0.000000
134;5.000000;-1.000000;0.000000
135;14.000000;-1.000000;0.000000
136;20.000000;-1.000000;0.000000
137;24.000000;-2.000000;0.000000
138;22.000000;-2.000000;0.000000
139;18.000000;-2.000000;0.000000
140;12.000000;-2.000000;0.000000
141;5.000000;-2.000000;0.000000
142;-1.000000;-2.000000;0.000000
143;-4.000000;-1.000000;0.000000
144;-6.000000;-1.000000;0.000000
145;-7.000000;-1.000000;0.000000
146;-7.000000;-1.000000;0.000000
147;-8.000000;-1.000000;0.000000
148;-8.000000;-1.000000;0.000000
149;-10.000000;-1.000000;0.000000
150;-11.000000;-1.000000;0.000000
151;-10.000000;-1.000000;0.000000
152;-8.000000;-1.000000;0.000000
153;-5.000000;-1.000000;0.000000
154;0.000000;-1.000000;0.000000
155;4.000000;-1.000000;0.000000
156;10.000000;-1.000000;0.000000
157;17.000000;-1.000000;0.000000
158;23.000000;-1.000000;0.000000
159;25.000000;-2.000000;0.000000
160;23.000000;-2.000000;0.000000
161;21.000000;-2.000000;0.000000
162;18.000000;-2.000000;0.000000
163;14.000000;-2.000000;0.000000
164;9.000000;-2.000000;0.000000
165;3.000000;-2.000000;0.000000
166;3.000000;-1.000000;0.000000
167;3.000000;-1.000000;0.000000
168;1.000000;-1.000000;0.000000
169;2.000000;-1.000000;0.000000
170;-1.000000;-1.000000;0.000000
171;-3.000000;-1.000000;0.000000
172;-2.000000;-1.000000;0.000000
173;-6.000000;-1.000000;0.000000
174;-7.000000;-1.000000;0.000000
175;-7.000000;-1.000000;0.000000
176;-9.000000;-1.000000;0.000000
177;-8.000000;-1.000000;0.000000
178;-8.000000;-1.000000;0.000000
179;-11.000000;-1.000000;0.000000
180;-12.000000;-1.000000;0.000000
181;-15.000000;-1.000000;0.000000
182;-18.000000;-1.000000;0.000000
183;-21.000000;-1.000000;0.000000
