takt;q1;q2;q2p
0;238.000000;-10.000000;0.000000
1;430.000000;-15.000000;0.000000
2;510.000000;-19.000000;0.000000
3;498.000000;-20.000000;0.000000
4;378.000000;-15.000000;0.000000
5;179.000000;-6.000000;0.000000
6;-69.000000;3.000000;0.000000
7;-367.000000;15.000000;0.000000
8;-661.000000;26.000000;0.000000
9;-925.000000;36.000000;0.000000
10;-1146.000000;45.000000;0.000000
11;-1283.000000;51.000000;0.000000
12;-1339.000000;52.000000;0.000000
13;-1319.000000;52.000000;0.000000
14;-1210.000000;48.000000;0.000000
15;-1043.000000;41.000000;0.000000
16;-829.000000;32.000000;0.000000
17;-571.000000;23.000000;0.000000
18;-307.000000;12.000000;0.000000
19;-38.000000;1.000000;0.000000
20;228.000000;-9.000000;0.000000
21;453.000000;-18.000000;0.000000
22;636.000000;-25.000000;0.000000
23;759.000000;-30.000000;0.000000
24;813.000000;-32.000000;0.000000
25;800.000000;-32.000000;0.000000
26;723.000000;-29.000000;0.000000
27;586.000000;-24.000000;0.000000
28;409.000000;-16.000000;0.000000
29;202.000000;-9.000000;0.000000
30;-18.000000;0.000000;0.000000
31;-233.000000;8.000000;0.000000
32;-425.000000;16.000000;0.000000
33;-586.000000;23.000000;0.000000
34;-698.000000;27.000000;0.000000
35;-754.000000;29.000000;0.000000
36;-754.000000;29.000000;0.000000
37;-690.000000;27.000000;0.000000
38;-581.000000;23.000000;0.000000
39;-440.000000;17.000000;0.000000
40;-262.000000;10.000000;0.000000
41;-73.000000;3.000000;0.000000
42;120.000000;-5.000000;0.000000
43;306.000000;-12.000000;0.000000
44;458.000000;-19.000000;0.000000
45;582.000000;-23.000000;0.000000
46;654.000000;-26.000000;0.000000
47;675.000000;-27.000000;0.000000
48;639.000000;-26.000000;0.000000
49;555.000000;-23.000000;0.000000
50;431.000000;-18.000000;0.000000
51;274.000000;-12.000000;0.000000
52;103.000000;-5.000000;0.000000
53;-76.000000;2.000000;0.000000
54;-245.000000;9.000000;0.000000
55;-382.000000;14.000000;0.000000
56;-489.000000;19.000000;0.000000
57;-555.000000;21.000000;0.000000
58;-568.000000;22.000000;0.000000
59;-535.000000;21.000000;0.000000
60;-459.000000;18.000000;0.000000
61;-356.000000;14.000000;0.000000
62;-232.000000;9.000000;0.000000
63;-94.000000;3.000000;0.000000
64;44.000000;-2.000000;0.000000
65;173.000000;-7.000000;0.000000
66;286.000000;-11.000000;0.000000
67;375.000000;-15.000000;0.000000
68;430.000000;-17.000000;0.000000
69;449.000000;-18.000000;0.000000
70;432.000000;-18.000000;0.000000
71;372.000000;-16.000000;0.000000
72;289.000000;-12.000000;0.000000
73;184.000000;-8.000000;0.000000
74;66.000000;-4.000000;0.000000
75;-43.000000;1.000000;0.000000
