takt;q1;q2;q2p
0;224.000000;-10.000000;0.000000
1;396.000000;-13.000000;0.000000
2;454.000000;-16.000000;0.000000
3;431.000000;-17.000000;0.000000
4;309.000000;-13.000000;0.000000
5;122.000000;-4.000000;0.000000
6;-95.000000;5.000000;0.000000
7;-361.000000;15.000000;0.000000
8;-605.000000;24.000000;0.000000
9;-818.000000;32.000000;0.000000
10;-995.000000;39.000000;0.000000
11;-1099.000000;43.000000;0.000000
12;-1137.000000;45.000000;0.000000
13;-1109.000000;44.000000;0.000000
14;-1031.000000;41.000000;0.000000
15;-910.000000;36.000000;0.000000
16;-759.000000;30.000000;0.000000
17;-568.000000;22.000000;0.000000
18;-368.000000;14.000000;0.000000
19;-175.000000;7.000000;0.000000
20;4.000000;0.000000;0.000000
21;159.000000;-6.000000;0.000000
22;290.000000;-11.000000;0.000000
23;389.000000;-15.000000;0.000000
24;442.000000;-17.000000;0.000000
25;453.000000;-18.000000;0.000000
26;434.000000;-18.000000;0.000000
27;390.000000;-16.000000;0.000000
28;324.000000;-13.000000;0.000000
29;240.000000;-10.000000;0.000000
30;144.000000;-6.000000;0.000000
31;45.000000;-2.000000;0.000000
32;-41.000000;1.000000;0.000000
33;-120.000000;4.000000;0.000000
34;-181.000000;7.000000;0.000000
35;-226.000000;8.000000;0.000000
36;-252.000000;10.000000;0.000000
37;-249.000000;10.000000;0.000000
38;-235.000000;9.000000;0.000000
39;-223.000000;9.000000;0.000000
40;-202.000000;8.000000;0.000000
41;-185.000000;7.000000;0.000000
42;-166.000000;6.000000;0.000000
43;-139.000000;5.000000;0.000000
44;-117.000000;4.000000;0.000000
45;-92.000000;3.000000;0.000000
46;-64.000000;2.000000;0.000000
47;-40.000000;1.000000;0.000000
48;-13.000000;0.000000;0.000000
49;7.000000;-1.000000;0.000000
50;13.000000;-1.000000;0.000000
51;22.000000;-1.000000;0.000000
52;23.000000;-2.000000;0.000000
53;26.000000;-2.000000;0.000000
54;29.000000;-2.000000;0.000000
55;27.000000;-2.000000;0.000000
56;31.000000;-2.000000;0.000000
57;35.000000;-2.000000;0.000000
58;41.000000;-2.000000;0.000000
59;47.000000;-2.000000;0.000000
60;48.000000;-3.000000;0.000000
61;51.000000;-3.000000;0.000000
62;53.000000;-3.000000;0.000000
63;54.000000;-3.000000;0.000000
64;55.000000;-3.000000;0.000000
65;50.000000;-3.000000;0.000000
66;54.000000;-3.000000;0.000000
67;54.000000;-3.000000;0.000000
68;50.000000;-3.000000;0.000000
69;52.000000;-3.000000;0.000000
70;50.000000;-3.000000;0.000000
71;52.000000;-3.000000;0.000000
72;51.000000;-3.000000;0.000000
73;50.000000;-3.000000;0.000000
74;51.000000;-3.000000;0.000000
75;51.000000;-3.000000;0.000000
76;51.000000;-3.000000;0.000000
77;49.000000;-3.000000;0.000000
78;50.000000;-3.000000;0.000000
79;48.000000;-3.000000;0.000000
80;45.000000;-3.000000;0.000000
81;44.000000;-3.000000;0.000000
82;43.000000;-3.000000;0.000000
83;42.000000;-3.000000;0.000000
84;41.000000;-3.000000;0.000000
85;38.000000;-2.000000;0.000000
86;39.000000;-2.000000;0.000000
87;35.000000;-2.000000;0.000000
88;32.000000;-2.000000;0.000000
89;28.000000;-2.000000;0.000000
90;25.000000;-2.000000;0.000000
91;26.000000;-2.000000;0.000000
92;21.000000;-1.000000;0.000000
93;25.000000;-1.000000;0.000000
94;20.000000;-1.000000;0.000000
95;18.000000;-1.000000;0.000000
96;15.000000;-1.000000;0.000000
97;11.000000;-1.000000;0.000000
98;8.000000;-1.000000;0.000000
99;4.000000;-1.000000;0.000000
100;-1.000000;0.000000;0.000000
101;2.000000;0.000000;0.000000
102;-4.000000;0.000000;0.000000
103;-7.000000;0.000000;0.000000
104;-11.000000;0.000000;0.000000
105;-14.000000;0.000000;0.000000
106;-16.000000;0.000000;0.000000
107;-21.000000;0.000000;0.000000
108;-24.000000;1.000000;0.000000
109;-26.000000;1.000000;0.000000
110;-29.000000;1.000000;0.000000
111;-30.000000;1.000000;0.000000
112;-33.000000;1.000000;0.000000
113;-33.000000;1.000000;0.000000
114;-35.000000;1.000000;0.000000
115;-37.000000;1.000000;0.000000
116;-36.000000;1.000000;0.000000
117;-39.000000;1.000000;0.000000
118;-40.000000;1.000000;0.000000
119;-40.000000;1.000000;0.000000
120;-41.000000;1.000000;0.000000
121;-40.000000;1.000000;0.000000
122;-41.000000;1.000000;0.000000
123;-41.000000;1.000000;0.000000
124;-41.000000;1.000000;0.000000
125;-40.000000;1.000000;0.000000
126;-41.000000;1.000000;0.000000
127;-42.000000;1.000000;0.000000
128;-41.000000;1.000000;0.000000
129;-41.000000;1.000000;0.000000
130;-41.000000;1.000000;0.000000
131;-41.000000;1.000000;0.000000
132;-39.000000;1.000000;0.000000
133;-38.000000;1.000000;0.000000
134;-38.000000;1.000000;0.000000
135;-40.000000;1.000000;0.000000
136;-37.000000;1.000000;0.000000
137;-37.000000;1.000000;0.000000
138;-37.000000;1.000000;0.000000
