takt;q1;q2;q2p
0;233.000000;-9.000000;0.000000
1;403.000000;-13.000000;0.000000
2;479.000000;-17.000000;0.000000
3;487.000000;-18.000000;0.000000
4;396.000000;-15.000000;0.000000
5;211.000000;-7.000000;0.000000
6;11.000000;0.000000;0.000000
7;-220.000000;9.000000;0.000000
8;-492.000000;20.000000;0.000000
9;-722.000000;29.000000;0.000000
10;-892.000000;35.000000;0.000000
11;-1016.000000;40.000000;0.000000
12;-1095.000000;44.000000;0.000000
13;-1096.000000;44.000000;0.000000
14;-1059.000000;43.000000;0.000000
15;-997.000000;41.000000;0.000000
16;-898.000000;37.000000;0.000000
17;-783.000000;32.000000;0.000000
18;-676.000000;28.000000;0.000000
19;-578.000000;24.000000;0.000000
20;-490.000000;21.000000;0.000000
21;-418.000000;18.000000;0.000000
22;-369.000000;16.000000;0.000000
23;-336.000000;15.000000;0.000000
24;-326.000000;14.000000;0.000000
25;-333.000000;14.000000;0.000000
26;-352.000000;14.000000;0.000000
27;-380.000000;15.000000;0.000000
28;-414.000000;17.000000;0.000000
29;-455.000000;18.000000;0.000000
30;-495.000000;20.000000;0.000000
31;-525.000000;21.000000;0.000000
32;-556.000000;22.000000;0.000000
33;-584.000000;24.000000;0.000000
34;-599.000000;24.000000;0.000000
35;-612.000000;25.000000;0.000000
36;-619.000000;25.000000;0.000000
37;-614.000000;25.000000;0.000000
38;-607.000000;25.000000;0.000000
39;-598.000000;25.000000;0.000000
40;-579.000000;24.000000;0.000000
41;-566.000000;24.000000;0.000000
42;-554.000000;23.000000;0.000000
43;-548.000000;23.000000;0.000000
44;-542.000000;23.000000;0.000000
45;-537.000000;23.000000;0.000000
46;-543.000000;22.000000;0.000000
47;-544.000000;22.000000;0.000000
48;-547.000000;22.000000;0.000000
49;-553.000000;22.000000;0.000000
50;-557.000000;23.000000;0.000000
51;-552.000000;23.000000;0.000000
52;-555.000000;23.000000;0.000000
53;-557.000000;23.000000;0.000000
54;-550.000000;23.000000;0.000000
55;-550.000000;23.000000;0.000000
56;-550.000000;23.000000;0.000000
57;-547.000000;23.000000;0.000000
58;-544.000000;23.000000;0.000000
59;-543.000000;23.000000;0.000000
60;-540.000000;23.000000;0.000000
61;-537.000000;22.000000;0.000000
62;-542.000000;22.000000;0.000000
63;-541.000000;22.000000;0.000000
64;-542.000000;22.000000;0.000000
65;-545.000000;22.000000;0.000000
66;-544.000000;22.000000;0.000000
67;-546.000000;22.000000;0.000000
68;-548.000000;22.000000;0.000000
69;-548.000000;22.000000;0.000000
70;-547.000000;22.000000;0.000000
71;-548.000000;22.000000;0.000000
72;-548.000000;22.000000;0.000000
73;-548.000000;22.000000;0.000000
74;-547.000000;22.000000;0.000000
75;-547.000000;22.000000;0.000000
76;-548.000000;22.000000;0.000000
