takt;q1;q2;q2p
0;241.000000;-10.000000;0.000000
1;392.000000;-13.000000;0.000000
2;425.000000;-15.000000;0.000000
3;388.000000;-14.000000;0.000000
4;265.000000;-10.000000;0.000000
5;67.000000;-2.000000;0.000000
6;-93.000000;3.000000;0.000000
7;-257.000000;10.000000;0.000000
8;-447.000000;18.000000;0.000000
9;-557.000000;22.000000;0.000000
10;-584.000000;23.000000;0.000000
11;-615.000000;25.000000;0.000000
12;-625.000000;25.000000;0.000000
13;-591.000000;24.000000;0.000000
14;-583.000000;24.000000;0.000000
15;-597.000000;24.000000;0.000000
16;-573.000000;24.000000;0.000000
17;-563.000000;24.000000;0.000000
18;-582.000000;24.000000;0.000000
19;-584.000000;24.000000;0.000000
20;-562.000000;23.000000;0.000000
21;-569.000000;23.000000;0.000000
22;-568.000000;23.000000;0.000000
23;-538.000000;22.000000;0.000000
24;-537.000000;22.000000;0.000000
25;-552.000000;23.000000;0.000000
26;-535.000000;22.000000;0.000000
27;-536.000000;22.000000;0.000000
28;-565.000000;23.000000;0.000000
29;-560.000000;23.000000;0.000000
30;-555.000000;23.000000;0.000000
31;-577.000000;23.000000;0.000000
32;-580.000000;24.000000;0.000000
33;-562.000000;23.000000;0.000000
34;-579.000000;23.000000;0.000000
35;-583.000000;24.000000;0.000000
36;-559.000000;23.000000;0.000000
37;-568.000000;23.000000;0.000000
38;-580.000000;24.000000;0.000000
39;-555.000000;23.000000;0.000000
40;-552.000000;23.000000;0.000000
41;-569.000000;23.000000;0.000000
42;-558.000000;23.000000;0.000000
43;-554.000000;23.000000;0.000000
44;-577.000000;23.000000;0.000000
45;-576.000000;24.000000;0.000000
46;-558.000000;23.000000;0.000000
47;-571.000000;23.000000;0.000000
48;-578.000000;24.000000;0.000000
49;-558.000000;23.000000;0.000000
50;-569.000000;23.000000;0.000000
51;-588.000000;24.000000;0.000000
52;-566.000000;24.000000;0.000000
53;-567.000000;23.000000;0.000000
54;-585.000000;24.000000;0.000000
55;-562.000000;23.000000;0.000000
56;-547.000000;23.000000;0.000000
57;-561.000000;23.000000;0.000000
58;-553.000000;23.000000;0.000000
59;-540.000000;22.000000;0.000000
60;-563.000000;23.000000;0.000000
61;-569.000000;23.000000;0.000000
62;-554.000000;23.000000;0.000000
63;-565.000000;23.000000;0.000000
64;-578.000000;23.000000;0.000000
65;-560.000000;23.000000;0.000000
66;-562.000000;23.000000;0.000000
67;-577.000000;23.000000;0.000000
68;-569.000000;23.000000;0.000000
69;-565.000000;23.000000;0.000000
70;-578.000000;23.000000;0.000000
71;-576.000000;23.000000;0.000000
72;-559.000000;23.000000;0.000000
73;-563.000000;23.000000;0.000000
74;-570.000000;23.000000;0.000000
75;-558.000000;23.000000;0.000000
76;-560.000000;23.000000;0.000000
77;-575.000000;23.000000;0.000000
78;-572.000000;23.000000;0.000000
79;-570.000000;23.000000;0.000000
80;-585.000000;24.000000;0.000000
81;-580.000000;24.000000;0.000000
82;-566.000000;24.000000;0.000000
83;-574.000000;23.000000;0.000000
84;-577.000000;23.000000;0.000000
85;-566.000000;23.000000;0.000000
86;-569.000000;23.000000;0.000000
87;-579.000000;23.000000;0.000000
88;-566.000000;24.000000;0.000000
89;-564.000000;23.000000;0.000000
90;-584.000000;24.000000;0.000000
91;-569.000000;24.000000;0.000000
92;-558.000000;23.000000;0.000000
93;-578.000000;23.000000;0.000000
94;-572.000000;24.000000;0.000000
95;-558.000000;23.000000;0.000000
96;-578.000000;23.000000;0.000000
97;-577.000000;24.000000;0.000000
98;-555.000000;23.000000;0.000000
99;-571.000000;23.000000;0.000000
100;-578.000000;24.000000;0.000000
101;-553.000000;23.000000;0.000000
102;-561.000000;23.000000;0.000000
103;-578.000000;23.000000;0.000000
104;-559.000000;23.000000;0.000000
105;-562.000000;23.000000;0.000000
106;-584.000000;24.000000;0.000000
107;-564.000000;24.000000;0.000000
108;-554.000000;23.000000;0.000000
109;-574.000000;23.000000;0.000000
110;-566.000000;24.000000;0.000000
111;-551.000000;23.000000;0.000000
112;-571.000000;23.000000;0.000000
113;-580.000000;23.000000;0.000000
114;-564.000000;23.000000;0.000000
115;-574.000000;23.000000;0.000000
116;-583.000000;24.000000;0.000000
117;-558.000000;23.000000;0.000000
118;-555.000000;23.000000;0.000000
119;-573.000000;23.000000;0.000000
120;-564.000000;23.000000;0.000000
121;-556.000000;23.000000;0.000000
122;-576.000000;23.000000;0.000000
123;-576.000000;24.000000;0.000000
124;-556.000000;23.000000;0.000000
125;-572.000000;23.000000;0.000000
126;-578.000000;24.000000;0.000000
127;-551.000000;23.000000;0.000000
128;-560.000000;23.000000;0.000000
129;-580.000000;23.000000;0.000000
130;-566.000000;23.000000;0.000000
131;-563.000000;23.000000;0.000000
132;-585.000000;24.000000;0.000000
133;-569.000000;24.000000;0.000000
134;-554.000000;23.000000;0.000000
135;-575.000000;23.000000;0.000000
136;-571.000000;24.000000;0.000000
137;-549.000000;23.000000;0.000000
138;-559.000000;23.000000;0.000000
139;-570.000000;23.000000;0.000000
140;-554.000000;23.000000;0.000000
141;-560.000000;23.000000;0.000000
142;-579.000000;23.000000;0.000000
143;-566.000000;23.000000;0.000000
144;-557.000000;23.000000;0.000000
145;-576.000000;23.000000;0.000000
146;-571.000000;24.000000;0.000000
147;-551.000000;23.000000;0.000000
148;-562.000000;23.000000;0.000000
149;-571.000000;23.000000;0.000000
150;-559.000000;23.000000;0.000000
151;-565.000000;23.000000;0.000000
152;-582.000000;23.000000;0.000000
153;-568.000000;23.000000;0.000000
154;-558.000000;23.000000;0.000000
155;-575.000000;23.000000;0.000000
156;-566.000000;24.000000;0.000000
157;-550.000000;23.000000;0.000000
158;-562.000000;23.000000;0.000000
159;-571.000000;23.000000;0.000000
160;-559.000000;23.000000;0.000000
161;-568.000000;23.000000;0.000000
162;-587.000000;24.000000;0.000000
163;-566.000000;24.000000;0.000000
164;-562.000000;23.000000;0.000000
165;-578.000000;23.000000;0.000000
166;-562.000000;23.000000;0.000000
167;-553.000000;23.000000;0.000000
168;-571.000000;23.000000;0.000000
169;-572.000000;23.000000;0.000000
170;-560.000000;23.000000;0.000000
171;-574.000000;23.000000;0.000000
172;-583.000000;24.000000;0.000000
173;-558.000000;23.000000;0.000000
174;-562.000000;23.000000;0.000000
175;-578.000000;23.000000;0.000000
176;-557.000000;23.000000;0.000000
177;-553.000000;23.000000;0.000000
178;-573.000000;23.000000;0.000000
179;-567.000000;23.000000;0.000000
180;-555.000000;23.000000;0.000000
181;-573.000000;23.000000;0.000000
182;-575.000000;24.000000;0.000000
183;-551.000000;23.000000;0.000000
184;-564.000000;23.000000;0.000000
185;-581.000000;24.000000;0.000000
186;-557.000000;23.000000;0.000000
187;-560.000000;23.000000;0.000000
188;-582.000000;23.000000;0.000000
189;-568.000000;23.000000;0.000000
190;-560.000000;23.000000;0.000000
191;-581.000000;24.000000;0.000000
192;-568.000000;24.000000;0.000000
193;-548.000000;23.000000;0.000000
194;-565.000000;23.000000;0.000000
195;-570.000000;23.000000;0.000000
196;-552.000000;23.000000;0.000000
197;-557.000000;23.000000;0.000000
198;-577.000000;23.000000;0.000000
