takt;q1;q2;q2p
0;265.000000;-11.000000;0.000000
1;435.000000;-15.000000;0.000000
2;459.000000;-16.000000;0.000000
3;412.000000;-16.000000;0.000000
4;260.000000;-10.000000;0.000000
5;22.000000;-1.000000;0.000000
6;-169.000000;6.000000;0.000000
7;-358.000000;13.000000;0.000000
8;-567.000000;22.000000;0.000000
9;-683.000000;26.000000;0.000000
10;-699.000000;27.000000;0.000000
11;-710.000000;28.000000;0.000000
12;-696.000000;28.000000;0.000000
13;-633.000000;25.000000;0.000000
14;-597.000000;24.000000;0.000000
15;-570.000000;23.000000;0.000000
16;-504.000000;21.000000;0.000000
17;-444.000000;18.000000;0.000000
18;-409.000000;17.000000;0.000000
19;-363.000000;15.000000;0.000000
20;-298.000000;12.000000;0.000000
21;-257.000000;10.000000;0.000000
22;-202.000000;8.000000;0.000000
23;-139.000000;6.000000;0.000000
24;-93.000000;4.000000;0.000000
25;-69.000000;3.000000;0.000000
26;-39.000000;2.000000;0.000000
27;-18.000000;1.000000;0.000000
28;-18.000000;1.000000;0.000000
29;-13.000000;1.000000;0.000000
30;-9.000000;0.000000;0.000000
31;-18.000000;0.000000;0.000000
32;-23.000000;0.000000;0.000000
33;-17.000000;0.000000;0.000000
34;-19.000000;0.000000;0.000000
35;-17.000000;0.000000;0.000000
36;-9.000000;0.000000;0.000000
37;0.000000;0.000000;0.000000
38;10.000000;0.000000;0.000000
39;19.000000;-1.000000;0.000000
40;31.000000;-1.000000;0.000000
41;37.000000;-2.000000;0.000000
42;46.000000;-2.000000;0.000000
43;55.000000;-2.000000;0.000000
44;59.000000;-3.000000;0.000000
45;56.000000;-3.000000;0.000000
46;55.000000;-3.000000;0.000000
47;54.000000;-3.000000;0.000000
48;50.000000;-3.000000;0.000000
49;52.000000;-3.000000;0.000000
50;50.000000;-3.000000;0.000000
51;50.000000;-3.000000;0.000000
52;50.000000;-3.000000;0.000000
53;52.000000;-3.000000;0.000000
54;52.000000;-3.000000;0.000000
55;51.000000;-3.000000;0.000000
56;52.000000;-3.000000;0.000000
57;50.000000;-3.000000;0.000000
58;50.000000;-3.000000;0.000000
59;49.000000;-3.000000;0.000000
60;46.000000;-3.000000;0.000000
61;43.000000;-3.000000;0.000000
62;38.000000;-2.000000;0.000000
63;37.000000;-2.000000;0.000000
64;33.000000;-2.000000;0.000000
65;27.000000;-2.000000;0.000000
66;18.000000;-1.000000;0.000000
67;14.000000;-1.000000;0.000000
68;10.000000;-1.000000;0.000000
69;7.000000;-1.000000;0.000000
70;9.000000;-1.000000;0.000000
71;5.000000;-1.000000;0.000000
72;3.000000;-1.000000;0.000000
